,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,69.26,1349128800,35.89,1349092800,0.09,powder river,34.3,0.52,1349071200powder river,45.408926,-105.555344,0.55,,0,0,,0,,1020.77,MT,1349096537,1349138609,69.26,1349128800,39.27,1349096400,1349071200,9.62,214,2.04
0,2012-10-02 00:00:00,76.98,1349208000,52.9,1349157600,0,powder river,30.94,0.31,1349157600powder river,45.408926,-105.555344,0.58,,0,0,,0,,1006.97,MT,1349183012,1349224895,76.98,1349208000,52.9,1349157600,1349157600,9.96,307,1.71
0,2012-10-03 00:00:00,53.34,1349244000,23.81,1349326800,0.63,powder river,33.24,0.77,1349244000powder river,45.408926,-105.555344,0.61,,0.0067,0.0171,1349301600,0.58,rain,1018.3,MT,1349269487,1349311181,53.34,1349244000,33.81,1349323200,1349244000,8.52,339,13.8
0,2012-10-04 00:00:00,34.56,1349384400,23.95,1349334000,0.89,powder river,28.25,0.77,1349330400powder river,45.408926,-105.555344,0.64,,0.0024,0.0169,1349341200,0.58,rain,1029.94,MT,1349355963,1349397468,39.58,1349384400,30.57,1349413200,1349330400,9.59,336,5.71
0,2012-10-05 00:00:00,33.43,1349467200,20.18,1349499600,0.83,powder river,26.25,0.81,1349416800powder river,45.408926,-105.555344,0.67,0.635,0.0031,0.0125,1349499600,0.53,snow,1029.81,MT,1349442438,1349483755,37.86,1349467200,27.37,1349499600,1349416800,7.84,346,3.79
0,2012-10-06 00:00:00,36.97,1349560800,15.63,1349524800,0.25,powder river,20.18,0.71,1349503200powder river,45.408926,-105.555344,0.7,0.307,0.0011,0.0205,1349503200,0.6,snow,1029.18,MT,1349528914,1349570043,40.9,1349560800,19.48,1349528400,1349503200,9.45,261,3.93
0,2012-10-07 00:00:00,55.56,1349647200,20.92,1349589600,0.28,powder river,26.09,0.53,1349589600powder river,45.408926,-105.555344,0.73,,0,0,,0,,1016.83,MT,1349615391,1349656331,55.56,1349647200,29.48,1349589600,1349589600,10,263,9.9
0,2012-10-08 00:00:00,50.76,1349722800,30.2,1349758800,0.61,powder river,32.69,0.59,1349676000powder river,45.408926,-105.555344,0.77,,0.0026,0.0159,1349758800,0.57,rain,1011.02,MT,1349701868,1349742620,50.76,1349722800,38.61,1349758800,1349676000,9.71,303,11.48
0,2012-10-09 00:00:00,37.88,1349823600,24.5,1349784000,0.72,powder river,28.16,0.71,1349762400powder river,45.408926,-105.555344,0.8,,0.005,0.0593,1349776800,0.73,rain,1019.2,MT,1349788345,1349828909,44.31,1349823600,32.45,1349784000,1349762400,9.49,304,9.65
0,2012-10-10 00:00:00,65.82,1349906400,27.63,1349870400,0.07,powder river,29.23,0.53,1349848800powder river,45.408926,-105.555344,0.83,,0,0,,0,,1014.61,MT,1349874822,1349915200,65.82,1349906400,34.99,1349866800,1349848800,9.97,261,5.85
0,2012-10-11 00:00:00,37.19,1349935200,27.58,1350018000,0.69,powder river,30.94,0.76,1349935200powder river,45.408926,-105.555344,0.86,,0.0002,0.0022,1349960400,0.06,rain,1022.6,MT,1349961300,1350001491,42.53,1349935200,34.51,1349960400,1349935200,9.71,81,4.52
0,2012-10-12 00:00:00,71.66,1350079200,23.53,1350032400,0.01,powder river,32.99,0.59,1350021600powder river,45.408926,-105.555344,0.9,,0,0,,0,,1011.35,MT,1350047778,1350087782,71.66,1350079200,33.44,1350036000,1350021600,9.94,171,7.81
0,2012-10-13 00:00:00,65.19,1350154800,39,1350129600,0.3,powder river,33.67,0.49,1350108000powder river,45.408926,-105.555344,0.93,,0,0,,0,,1010.36,MT,1350134257,1350174075,65.19,1350154800,44.11,1350129600,1350108000,9.95,304,9.48
