,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,76.11,1349128800,34.44,1349096400,0.02,powell,31.92,0.43,1349071200powell,46.844225,-112.9311,0.55,,0,0,,0,,1020.59,MT,1349098345,1349140341,76.11,1349128800,39.22,1349096400,1349071200,9.41,223,9.1
0,2012-10-02 00:00:00,69.71,1349211600,41.07,1349240400,0.18,powell,33.15,0.39,1349157600powell,46.844225,-112.9311,0.58,,0.0014,0.0177,1349240400,0.58,rain,1009.78,MT,1349184825,1349226622,69.71,1349211600,45.74,1349240400,1349157600,9.84,276,6.07
0,2012-10-03 00:00:00,34.92,1349244000,26.86,1349272800,0.77,powell,30.61,0.75,1349244000powell,46.844225,-112.9311,0.61,,0.0076,0.0394,1349262000,0.68,rain,1027.93,MT,1349271305,1349312903,41.7,1349244000,32.78,1349326800,1349244000,8.9,343,9
0,2012-10-04 00:00:00,38.59,1349388000,25.33,1349348400,0.7,powell,25.43,0.7,1349330400powell,46.844225,-112.9311,0.64,,0,0,,0,,1031.43,MT,1349357785,1349399185,42.05,1349388000,27.64,1349355600,1349330400,9.99,15,2.56
0,2012-10-05 00:00:00,39.24,1349478000,22.19,1349438400,0.41,powell,22.21,0.65,1349416800powell,46.844225,-112.9311,0.67,,0,0,,0,,1032.08,MT,1349444266,1349485467,43.65,1349478000,26.07,1349442000,1349416800,10,325,3.12
0,2012-10-06 00:00:00,45.7,1349560800,10.5,1349532000,0.31,powell,21.1,0.6,1349503200powell,46.844225,-112.9311,0.7,,0,0,,0,,1029.95,MT,1349530747,1349571750,48.85,1349560800,21.69,1349528400,1349503200,10,236,4.61
0,2012-10-07 00:00:00,62.33,1349647200,20.53,1349614800,0.04,powell,24.94,0.52,1349589600powell,46.844225,-112.9311,0.73,,0,0,,0,,1020.55,MT,1349617228,1349658033,62.33,1349647200,28.33,1349618400,1349589600,10,225,6.17
0,2012-10-08 00:00:00,50.34,1349726400,32.75,1349694000,0.65,powell,32.43,0.67,1349676000powell,46.844225,-112.9311,0.77,,0.0038,0.0108,1349744400,0.51,rain,1016.61,MT,1349703710,1349744317,50.34,1349726400,35.7,1349701200,1349676000,8.67,331,3.1
0,2012-10-09 00:00:00,57.48,1349823600,30.49,1349791200,0.46,powell,30.68,0.61,1349762400powell,46.844225,-112.9311,0.8,,0,0.0008,1349784000,0,,1020.17,MT,1349790192,1349830602,57.48,1349823600,35.58,1349791200,1349762400,9.92,194,2.47
