,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,71.73,1349132400,32.8,1349096400,0.01,prairie,35.55,0.57,1349071200prairie,46.812381,-105.503991,0.55,,0,0,,0,,1020.24,MT,1349096560,1349138561,71.73,1349132400,36.02,1349096400,1349071200,9.75,203,5.34
0,2012-10-02 00:00:00,70.89,1349211600,50.9,1349240400,0.06,prairie,33.95,0.39,1349157600prairie,46.812381,-105.503991,0.58,,0,0,,0,,1007.22,MT,1349183040,1349224842,70.89,1349211600,50.9,1349240400,1349157600,10,320,4.11
0,2012-10-03 00:00:00,50.24,1349244000,27.94,1349283600,0.9,prairie,34.88,0.83,1349244000prairie,46.812381,-105.503991,0.61,,0.0225,0.135,1349283600,0.81,rain,1021.82,MT,1349269520,1349311124,50.24,1349244000,36.12,1349283600,1349244000,8.83,358,12.22
0,2012-10-04 00:00:00,36.62,1349388000,25.97,1349413200,0.74,prairie,29.88,0.79,1349330400prairie,46.812381,-105.503991,0.64,,0.0006,0.0047,1349377200,0.19,rain,1031.43,MT,1349356000,1349397406,41.28,1349388000,30.88,1349413200,1349330400,9.94,335,6.23
0,2012-10-05 00:00:00,34.55,1349470800,20.36,1349499600,0.49,prairie,23.9,0.71,1349416800prairie,46.812381,-105.503991,0.67,0.206,0.0011,0.0138,1349456400,0.55,snow,1031.56,MT,1349442480,1349483688,40.86,1349470800,25.79,1349499600,1349416800,9.96,352,5.05
0,2012-10-06 00:00:00,41.95,1349560800,13.79,1349528400,0.05,prairie,20.9,0.65,1349503200prairie,46.812381,-105.503991,0.7,,0,0,,0,,1028.77,MT,1349528961,1349569971,47.24,1349560800,19.47,1349528400,1349503200,9.67,234,5.41
0,2012-10-07 00:00:00,57.99,1349647200,23.57,1349607600,0.28,prairie,30.3,0.59,1349589600prairie,46.812381,-105.503991,0.73,,0,0,,0,,1014.86,MT,1349615443,1349656255,57.99,1349647200,30.24,1349600400,1349589600,10,268,8.73
0,2012-10-08 00:00:00,54.24,1349676000,31.7,1349758800,0.64,prairie,33.77,0.59,1349676000prairie,46.812381,-105.503991,0.77,,0.0005,0.0023,1349730000,0.06,rain,1010.94,MT,1349701924,1349742539,54.24,1349676000,39.63,1349758800,1349676000,9.92,307,14.57
0,2012-10-09 00:00:00,40.3,1349820000,22.36,1349787600,0.61,prairie,25.42,0.62,1349762400prairie,46.812381,-105.503991,0.8,,0,0.001,1349769600,0,,1019.47,MT,1349788406,1349828824,46.36,1349820000,30.25,1349787600,1349762400,9.99,303,9.63
0,2012-10-10 00:00:00,61.52,1349899200,27.28,1349870400,0.39,prairie,31.07,0.61,1349848800prairie,46.812381,-105.503991,0.83,,0,0,,0,,1014.77,MT,1349874888,1349915109,61.52,1349899200,32.86,1349870400,1349848800,10,313,4.17
0,2012-10-11 00:00:00,35.91,1349992800,25.51,1349953200,0.92,prairie,28.62,0.74,1349935200prairie,46.812381,-105.503991,0.86,,0.0007,0.0047,1349956800,0.19,rain,1025.33,MT,1349961371,1350001395,39.36,1349992800,32.68,1349960400,1349935200,9.48,74,4.15
0,2012-10-12 00:00:00,67.42,1350079200,22.56,1350046800,0.04,prairie,32.22,0.63,1350021600prairie,46.812381,-105.503991,0.9,,0.001,0.0115,1350075600,0.52,rain,1010.69,MT,1350047854,1350087682,67.42,1350079200,30.8,1350046800,1350021600,9.92,175,7.46
0,2012-10-13 00:00:00,62.44,1350162000,36.1,1350133200,0.26,prairie,35.17,0.58,1350108000prairie,46.812381,-105.503991,0.93,,0,0,,0,,1010.45,MT,1350134337,1350173970,62.44,1350162000,40.96,1350111600,1350108000,9.94,290,6.8
0,2012-10-14 00:00:00,67.96,1350248400,38.83,1350212400,0.26,prairie,36.07,0.53,1350194400prairie,46.812381,-105.503991,0.97,,0,0,,0,,1014.74,MT,1350220821,1350260259,67.96,1350248400,42.89,1350219600,1350194400,9.96,273,7.94
0,2012-10-15 00:00:00,69.63,1350327600,45.98,1350363600,0.5,prairie,40.51,0.54,1350280800prairie,46.812381,-105.503991,0.01,,0.0005,0.0047,1350352800,0.19,rain,1006.73,MT,1350307305,1350346548,69.63,1350327600,49.37,1350363600,1350280800,9.98,257,8.24
0,2012-10-16 00:00:00,55.86,1350410400,38.09,1350450000,0.41,prairie,43.73,0.81,1350367200prairie,46.812381,-105.503991,0.04,,0.0098,0.0405,1350421200,0.69,rain,998.03,MT,1350393789,1350432838,55.86,1350410400,43.27,1350381600,1350367200,9.68,246,7.42
0,2012-10-17 00:00:00,50.73,1350504000,30.4,1350460800,0.39,prairie,26.15,0.5,1350453600prairie,46.812381,-105.503991,0.08,,0.0249,0.1502,1350532800,0.82,rain,1006.83,MT,1350480274,1350519130,50.73,1350504000,40.86,1350482400,1350453600,9.73,299,29.22
0,2012-10-18 00:00:00,41.81,1350597600,24.91,1350565200,0.38,prairie,25.47,0.58,1350540000prairie,46.812381,-105.503991,0.12,,0.0376,0.1908,1350615600,0.84,rain,1018.96,MT,1350566759,1350605422,48.41,1350597600,29.54,1350622800,1350540000,10,310,18.49
0,2012-10-19 00:00:00,61.38,1350684000,19.47,1350648000,0.01,prairie,26.93,0.6,1350626400prairie,46.812381,-105.503991,0.16,,0.0186,0.22,1350684000,0.85,rain,1009.11,MT,1350653245,1350691715,61.38,1350684000,25.88,1350644400,1350626400,9.97,173,4.46
0,2012-10-20 00:00:00,66.27,1350763200,39.42,1350738000,0.47,prairie,35.58,0.54,1350712800prairie,46.812381,-105.503991,0.2,,0.002,0.0294,1350795600,0.65,rain,1001.26,MT,1350739730,1350778009,66.27,1350763200,43.76,1350730800,1350712800,9.91,261,4.67
0,2012-10-21 00:00:00,48.89,1350853200,32.76,1350820800,0.73,prairie,29.99,0.61,1350799200prairie,46.812381,-105.503991,0.23,,0.0013,0.022,1350799200,0.61,rain,1013.65,MT,1350826217,1350864305,49.65,1350853200,36.82,1350828000,1350799200,9.95,26,2.94
0,2012-10-22 00:00:00,37.23,1350936000,29.49,1350903600,0.93,prairie,35.04,0.84,1350885600prairie,46.812381,-105.503991,0.27,,0.0107,0.0443,1350957600,0.7,rain,1011.72,MT,1350912703,1350950601,43.75,1350936000,36.89,1350910800,1350885600,9.31,105,11.81
0,2012-10-23 00:00:00,32.76,1351026000,20.25,1351054800,0.59,prairie,32.1,0.81,1350972000prairie,46.812381,-105.503991,0.3,,0.0007,0.0069,1351015200,0.33,rain,1008.92,MT,1350999190,1351036899,40.75,1351026000,28.6,1351054800,1350972000,9.07,297,6.16
0,2012-10-24 00:00:00,28.34,1351116000,15.67,1351087200,0.54,prairie,22.07,0.73,1351058400prairie,46.812381,-105.503991,0.34,,0,0.001,1351062000,0,,1020.44,MT,1351085677,1351123198,36.73,1351116000,25.72,1351087200,1351058400,9.96,290,10.27
0,2012-10-25 00:00:00,19.43,1351202400,15.07,1351155600,0.96,prairie,19.27,0.68,1351144800prairie,46.812381,-105.503991,0.37,,0,0,,0,,1028.55,MT,1351172164,1351209498,30.91,1351202400,26.72,1351148400,1351144800,9.93,307,15.23
0,2012-10-26 00:00:00,28.14,1351288800,14.76,1351249200,0.7,prairie,16.42,0.62,1351231200prairie,46.812381,-105.503991,0.4,0.034,0.0001,0.0021,1351249200,0.06,snow,1029.74,MT,1351258652,1351295799,33.76,1351288800,24.52,1351314000,1351231200,9.52,289,5.87
0,2012-10-27 00:00:00,25.92,1351371600,13.76,1351339200,0.82,prairie,20.86,0.77,1351317600prairie,46.812381,-105.503991,0.44,,0,0.0008,1351364400,0,,1023.6,MT,1351345140,1351382102,32.72,1351371600,23.54,1351332000,1351317600,9.6,65,7.82
0,2012-10-28 00:00:00,35.02,1351461600,18.85,1351407600,0.9,prairie,27.08,0.79,1351404000prairie,46.812381,-105.503991,0.47,,0.0003,0.0015,1351468800,0.03,rain,1016.36,MT,1351431628,1351468406,40.24,1351461600,27.37,1351407600,1351404000,9.29,104,7.52
0,2012-10-29 00:00:00,48.51,1351544400,30.16,1351497600,0.53,prairie,34.87,0.83,1351490400prairie,46.812381,-105.503991,0.49,,0.001,0.007,1351573200,0.34,rain,1014.64,MT,1351518117,1351554711,48.51,1351544400,30.63,1351519200,1351490400,8.21,91,2.33
0,2012-10-30 00:00:00,59.7,1351634400,31.69,1351605600,0.13,prairie,38.39,0.76,1351576800prairie,46.812381,-105.503991,0.53,,0.0008,0.0075,1351584000,0.37,rain,1015.81,MT,1351604605,1351641018,59.7,1351634400,36.13,1351605600,1351576800,8.95,199,4.05
0,2012-10-31 00:00:00,38.47,1351717200,25.02,1351746000,0.64,prairie,34.02,0.8,1351663200prairie,46.812381,-105.503991,0.56,,0,0,,0,,1018.05,MT,1351691094,1351727326,43.38,1351717200,33.35,1351746000,1351663200,9.56,39,4.37
0,2012-11-01 00:00:00,35.42,1351803600,23.87,1351753200,0.76,prairie,33.25,0.87,1351749600prairie,46.812381,-105.503991,0.59,,0.0004,0.0079,1351832400,0.4,rain,1013.48,MT,1351777583,1351813636,42.3,1351803600,32.89,1351753200,1351749600,7.26,104,10.74
0,2012-11-02 00:00:00,36.1,1351879200,27.97,1351908000,0.96,prairie,33.95,0.87,1351836000prairie,46.812381,-105.503991,0.62,,0.0032,0.0145,1351839600,0.55,rain,1017.65,MT,1351864072,1351899947,42.3,1351879200,34.83,1351918800,1351836000,8.96,308,5.29
0,2012-11-03 00:00:00,34.04,1351980000,28.03,1351954800,0.8,prairie,30.36,0.84,1351922400prairie,46.812381,-105.503991,0.65,,0,0,,0,,1021.98,MT,1351950562,1351986260,38.71,1351980000,31.78,1351951200,1351922400,9.18,65,3.52
0,2012-11-04 00:00:00,50.52,1352055600,28.68,1352012400,0.54,prairie,33.69,0.81,1352008800prairie,46.812381,-105.503991,0.68,,0.0009,0.0053,1352019600,0.23,rain,1021.05,MT,1352037051,1352072575,50.52,1352055600,33.86,1352095200,1352008800,9.09,316,4.74
0,2012-11-05 00:00:00,62.65,1352149200,27.98,1352113200,0.49,prairie,34.45,0.74,1352098800prairie,46.812381,-105.503991,0.71,,0.0004,0.0068,1352160000,0.33,rain,1017.84,MT,1352123540,1352158891,62.65,1352149200,33.89,1352102400,1352098800,8.76,276,4.52
0,2012-11-06 00:00:00,51.68,1352235600,22.92,1352210400,0.2,prairie,27.2,0.64,1352185200prairie,46.812381,-105.503991,0.75,,0,0,,0,,1021.76,MT,1352210029,1352245209,51.68,1352235600,30.52,1352210400,1352185200,10,284,4.75
0,2012-11-07 00:00:00,62.69,1352322000,29.89,1352275200,0.17,prairie,32.01,0.57,1352271600prairie,46.812381,-105.503991,0.78,,0.0001,0.0014,1352336400,0.03,rain,1009.15,MT,1352296519,1352331528,62.69,1352322000,35.46,1352271600,1352271600,9.98,241,2.45
0,2012-11-08 00:00:00,36.05,1352358000,18.49,1352437200,0.94,prairie,28.19,0.78,1352358000prairie,46.812381,-105.503991,0.81,,0.0031,0.0114,1352430000,0.52,rain,1017.79,MT,1352383008,1352417850,41.82,1352358000,30.35,1352437200,1352358000,9.27,42,7.82
0,2012-11-09 00:00:00,17.34,1352444400,9.66,1352527200,0.99,prairie,23.79,0.88,1352444400prairie,46.812381,-105.503991,0.85,2.924,0.0097,0.1259,1352520000,0.8,snow,1012.48,MT,1352469497,1352504173,29.94,1352444400,22.19,1352527200,1352444400,5.87,84,15.76
0,2012-11-10 00:00:00,8.92,1352530800,-11.88,1352613600,0.72,prairie,9.47,0.81,1352530800prairie,46.812381,-105.503991,0.88,2.782,0.007,0.0382,1352534400,0.68,snow,1016.22,MT,1352555986,1352590498,21.12,1352530800,5.68,1352613600,1352530800,6.72,324,10.82
0,2012-11-11 00:00:00,-2.97,1352667600,-11.36,1352617200,0.48,prairie,2.6,0.78,1352617200prairie,46.812381,-105.503991,0.92,,0,0.0008,1352638800,0,,1021.76,MT,1352642474,1352676825,13.24,1352667600,0.12,1352700000,1352617200,7.82,286,12.9
0,2012-11-12 00:00:00,17.06,1352754000,-11.21,1352707200,0.16,prairie,7.67,0.8,1352703600prairie,46.812381,-105.503991,0.96,,0,0,,0,,1024.28,MT,1352728963,1352763154,24.96,1352754000,-1.5,1352714400,1352703600,9.57,208,4.83
0,2012-11-13 00:00:00,29.5,1352840400,13.58,1352790000,0.31,prairie,21.26,0.79,1352790000prairie,46.812381,-105.503991,0.99,0.029,0.0002,0.0019,1352840400,0.05,snow,1023.03,MT,1352815451,1352849485,35.32,1352840400,19.68,1352790000,1352790000,9.83,208,4.92
0,2012-11-14 00:00:00,34.19,1352926800,11.96,1352901600,0.13,prairie,23.04,0.8,1352876400prairie,46.812381,-105.503991,0.03,,0,0.001,1352923200,0,,1021.14,MT,1352901938,1352935818,37.27,1352926800,20.56,1352901600,1352876400,9.35,217,3.99
0,2012-11-15 00:00:00,33.2,1353013200,7.59,1352984400,0.06,prairie,21.89,0.82,1352962800prairie,46.812381,-105.503991,0.07,,0,0.0009,1353020400,0,,1026.43,MT,1352988425,1353022153,38.28,1353013200,15.88,1352988000,1352962800,9.56,164,4.71
0,2012-11-16 00:00:00,35.24,1353099600,17.48,1353074400,0.05,prairie,25.57,0.79,1353049200prairie,46.812381,-105.503991,0.11,,0,0,,0,,1017.2,MT,1353074912,1353108490,39.64,1353099600,25.51,1353074400,1353049200,9.95,169,5.04
0,2012-11-17 00:00:00,44.06,1353189600,26.73,1353160800,0.24,prairie,28.65,0.77,1353135600prairie,46.812381,-105.503991,0.15,,0,0,,0,,1015.89,MT,1353161398,1353194829,45.94,1353189600,28.97,1353146400,1353135600,9.95,156,3.38
0,2012-11-18 00:00:00,46.31,1353272400,22.12,1353247200,0.18,prairie,28.93,0.74,1353222000prairie,46.812381,-105.503991,0.18,,0,0,,0,,1011.22,MT,1353247884,1353281170,46.31,1353272400,29.26,1353247200,1353222000,9.93,174,1.38
0,2012-11-19 00:00:00,44.61,1353358800,20.19,1353330000,0.1,prairie,27.3,0.7,1353308400prairie,46.812381,-105.503991,0.22,,0,0,,0,,1017.7,MT,1353334369,1353367514,48.57,1353358800,25.53,1353333600,1353308400,10,167,6.27
0,2012-11-20 00:00:00,52.45,1353445200,27.45,1353420000,0.04,prairie,31.7,0.68,1353394800prairie,46.812381,-105.503991,0.25,,0,0,,0,,1012.21,MT,1353420853,1353453860,52.45,1353445200,33.61,1353420000,1353394800,10,174,6.91
0,2012-11-21 00:00:00,55.55,1353531600,28.12,1353506400,0.24,prairie,33.63,0.75,1353481200prairie,46.812381,-105.503991,0.29,,0.0001,0.0023,1353556800,0.06,rain,1007.28,MT,1353507337,1353540208,55.55,1353531600,33.59,1353506400,1353481200,9.89,230,3.09
0,2012-11-22 00:00:00,30.12,1353567600,0.62,1353646800,0.64,prairie,16.58,0.76,1353567600prairie,46.812381,-105.503991,0.32,0.877,0.0023,0.0417,1353618000,0.69,snow,1025.95,MT,1353593819,1353626558,37.38,1353567600,11.47,1353650400,1353567600,9.53,311,14.1
0,2012-11-23 00:00:00,24.04,1353708000,0.7,1353654000,0.24,prairie,13.78,0.74,1353654000prairie,46.812381,-105.503991,0.35,,0,0,,0,,1029.43,MT,1353680301,1353712911,30.84,1353708000,9.94,1353672000,1353654000,10,126,3.9
0,2012-11-24 00:00:00,34.68,1353787200,17.95,1353823200,0.5,prairie,25.7,0.77,1353740400prairie,46.812381,-105.503991,0.38,4.54,0.0224,0.0761,1353816000,0.76,snow,1015.66,MT,1353766781,1353799266,41.45,1353787200,25.65,1353823200,1353740400,9.98,282,4.21
0,2012-11-25 00:00:00,25.22,1353826800,5.13,1353906000,0.53,prairie,16.32,0.84,1353826800prairie,46.812381,-105.503991,0.42,3.107,0.0093,0.048,1353852000,0.71,snow,1021.86,MT,1353853261,1353885624,25.22,1353826800,11.52,1353909600,1353826800,9.14,0,4.1
0,2012-11-26 00:00:00,26.78,1353963600,4.39,1353920400,0.36,prairie,17.18,0.81,1353913200prairie,46.812381,-105.503991,0.45,6.323,0.0228,0.1137,1353970800,0.79,snow,1026.85,MT,1353939740,1353971984,34.5,1353963600,11.89,1353913200,1353913200,9.56,232,6.52
0,2012-11-27 00:00:00,32.67,1354050000,11.25,1354082400,0.05,prairie,18.84,0.82,1353999600prairie,46.812381,-105.503991,0.48,4.52,0.0158,0.0803,1354057200,0.76,snow,1023.03,MT,1354026217,1354058347,32.67,1354050000,18.58,1354021200,1353999600,9.28,211,2.48
0,2012-11-28 00:00:00,39.33,1354136400,11.87,1354086000,0.03,prairie,19.26,0.76,1354086000prairie,46.812381,-105.503991,0.51,7.354,0.0333,0.3483,1354129200,0.88,snow,1018.67,MT,1354112693,1354144712,39.33,1354136400,19.82,1354086000,1354086000,9.92,122,2.37
0,2012-11-29 00:00:00,23.99,1354226400,10.6,1354190400,0.36,prairie,19.16,0.83,1354172400prairie,46.812381,-105.503991,0.54,,0,0,,0,,1014.69,MT,1354199168,1354231080,29.43,1354226400,20.56,1354176000,1354172400,8.59,84,6.77
0,2012-11-30 00:00:00,38.53,1354309200,14.03,1354258800,0.15,prairie,25.53,0.81,1354258800prairie,46.812381,-105.503991,0.57,,0.0004,0.0046,1354330800,0.19,rain,1008.22,MT,1354285641,1354317450,41.14,1354309200,21.29,1354258800,1354258800,9.54,132,3.87
