,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,68.54,1349132400,32.37,1349096400,0.01,richland,36.29,0.6,1349071200richland,47.785513,-104.563387,0.55,,0,0,,0,,1020.22,MT,1349096359,1349138311,68.54,1349132400,36.07,1349096400,1349071200,9.86,215,5.77
0,2012-10-02 00:00:00,69.69,1349211600,43.26,1349240400,0.06,richland,35.09,0.43,1349157600richland,47.785513,-104.563387,0.58,,0,0,,0,,1006.81,MT,1349182843,1349224588,69.69,1349211600,48.25,1349240400,1349157600,10,297,6.43
0,2012-10-03 00:00:00,42.02,1349244000,28.09,1349316000,0.89,richland,35.49,0.86,1349244000richland,47.785513,-104.563387,0.61,,0.0248,0.0986,1349283600,0.78,rain,1021.46,MT,1349269326,1349310866,46.6,1349244000,36.05,1349326800,1349244000,8.81,3,12.18
0,2012-10-04 00:00:00,34.09,1349388000,21.06,1349413200,0.66,richland,27.94,0.77,1349330400richland,47.785513,-104.563387,0.64,,0.0001,0.0023,1349355600,0.06,rain,1031.18,MT,1349355810,1349397145,40.8,1349388000,28.66,1349413200,1349330400,9.96,330,8.74
0,2012-10-05 00:00:00,33.34,1349474400,19.95,1349442000,0.41,richland,20.88,0.67,1349416800richland,47.785513,-104.563387,0.67,0.023,0.0001,0.0013,1349442000,0.02,snow,1031.85,MT,1349442294,1349483423,40.52,1349474400,25.63,1349499600,1349416800,9.98,339,7.21
0,2012-10-06 00:00:00,41.99,1349560800,13.2,1349521200,0.06,richland,19.93,0.65,1349503200richland,47.785513,-104.563387,0.7,,0,0,,0,,1028.51,MT,1349528778,1349569703,47.4,1349560800,18.42,1349528400,1349503200,10,240,5.88
0,2012-10-07 00:00:00,55.12,1349643600,22.84,1349593200,0.39,richland,30.48,0.63,1349589600richland,47.785513,-104.563387,0.73,,0.0002,0.0022,1349650800,0.06,rain,1013.71,MT,1349615263,1349655983,55.12,1349643600,29.73,1349593200,1349589600,9.99,262,6.81
0,2012-10-08 00:00:00,51.47,1349676000,28.26,1349758800,0.62,richland,33.31,0.61,1349676000richland,47.785513,-104.563387,0.77,,0,0,,0,,1008.94,MT,1349701748,1349742264,51.47,1349676000,37.31,1349758800,1349676000,9.96,308,15.86
0,2012-10-09 00:00:00,38.19,1349820000,20.71,1349787600,0.63,richland,24.44,0.63,1349762400richland,47.785513,-104.563387,0.8,,0.001,0.0137,1349794800,0.55,rain,1018.44,MT,1349788233,1349828545,44.93,1349820000,29.43,1349787600,1349762400,9.97,307,10.99
