,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,70.79,1349128800,28.81,1349096400,0.02,roosevelt,35.54,0.6,1349071200roosevelt,48.282747,-104.99517,0.55,,0,0,,0,,1019.77,MT,1349096477,1349138401,70.79,1349128800,33.12,1349096400,1349071200,10,216,6.17
0,2012-10-02 00:00:00,68.95,1349211600,41.11,1349240400,0.09,roosevelt,35.58,0.45,1349157600roosevelt,48.282747,-104.99517,0.58,,0,0,,0,,1006.92,MT,1349182962,1349224676,68.95,1349211600,46.34,1349240400,1349157600,10,300,7.13
0,2012-10-03 00:00:00,40.83,1349244000,29.39,1349326800,0.89,roosevelt,35.51,0.85,1349244000roosevelt,48.282747,-104.99517,0.61,,0.0184,0.0633,1349269200,0.74,rain,1023.06,MT,1349269447,1349310953,45.49,1349244000,36.41,1349326800,1349244000,8.79,6,11.88
0,2012-10-04 00:00:00,35.68,1349388000,18.08,1349413200,0.67,roosevelt,27.09,0.77,1349330400roosevelt,48.282747,-104.99517,0.64,,0,0,,0,,1031.82,MT,1349355932,1349397229,41.79,1349388000,26.22,1349413200,1349330400,9.98,336,7.95
0,2012-10-05 00:00:00,34.99,1349470800,16.62,1349499600,0.44,roosevelt,20.47,0.68,1349416800roosevelt,48.282747,-104.99517,0.67,0.059,0.0003,0.0031,1349456400,0.1,snow,1032.34,MT,1349442418,1349483506,41.44,1349470800,21.95,1349499600,1349416800,9.97,344,6.84
0,2012-10-06 00:00:00,43.74,1349560800,11.81,1349521200,0.07,roosevelt,19.41,0.65,1349503200roosevelt,48.282747,-104.99517,0.7,,0,0,,0,,1028.2,MT,1349528904,1349569784,48.87,1349560800,16.66,1349528400,1349503200,9.97,241,6.03
0,2012-10-07 00:00:00,55.68,1349643600,21.1,1349607600,0.39,roosevelt,30.94,0.64,1349589600roosevelt,48.282747,-104.99517,0.73,,0.0001,0.0014,1349650800,0.03,rain,1013.54,MT,1349615391,1349656062,55.68,1349643600,28.05,1349596800,1349589600,9.98,261,6.76
0,2012-10-08 00:00:00,51.14,1349676000,27.36,1349758800,0.57,roosevelt,32.74,0.61,1349676000roosevelt,48.282747,-104.99517,0.77,,0,0,,0,,1009.86,MT,1349701878,1349742341,51.14,1349676000,36.78,1349758800,1349676000,9.92,308,15.99
0,2012-10-09 00:00:00,40.47,1349820000,17.32,1349787600,0.64,roosevelt,25.14,0.65,1349762400roosevelt,48.282747,-104.99517,0.8,,0.0006,0.009,1349794800,0.48,rain,1018.86,MT,1349788365,1349828621,46.66,1349820000,26.58,1349787600,1349762400,9.94,306,10.4
0,2012-10-10 00:00:00,53.42,1349892000,27.24,1349931600,0.71,roosevelt,31.9,0.7,1349848800roosevelt,48.282747,-104.99517,0.83,,0,0,,0,,1015.21,MT,1349874852,1349914901,53.42,1349892000,32.25,1349870400,1349848800,9.78,345,3.73
0,2012-10-11 00:00:00,38.66,1349992800,24.71,1349960400,0.81,roosevelt,27.27,0.75,1349935200roosevelt,48.282747,-104.99517,0.86,,0.0002,0.0016,1349949600,0.03,rain,1026.72,MT,1349961340,1350001182,38.66,1349992800,31.41,1349960400,1349935200,9.44,15,2.74
0,2012-10-12 00:00:00,63.41,1350079200,20.81,1350046800,0.09,roosevelt,30.54,0.65,1350021600roosevelt,48.282747,-104.99517,0.9,,0.0002,0.0026,1350075600,0.08,rain,1010.73,MT,1350047828,1350087463,63.41,1350079200,29.49,1350046800,1350021600,9.85,180,7.79
0,2012-10-13 00:00:00,59.54,1350162000,32.02,1350122400,0.24,roosevelt,35.1,0.65,1350108000roosevelt,48.282747,-104.99517,0.93,,0,0,,0,,1010.19,MT,1350134317,1350173746,59.54,1350162000,36.52,1350122400,1350108000,9.86,298,5.22
0,2012-10-14 00:00:00,67.57,1350248400,30.96,1350216000,0.3,roosevelt,36.7,0.62,1350194400roosevelt,48.282747,-104.99517,0.97,,0,0,,0,,1013.89,MT,1350220806,1350260029,67.57,1350248400,33.86,1350219600,1350194400,9.81,259,5.64
0,2012-10-15 00:00:00,69.49,1350327600,41.95,1350363600,0.42,roosevelt,41.25,0.54,1350280800roosevelt,48.282747,-104.99517,0.01,,0,0,,0,,1004.91,MT,1350307295,1350346313,69.49,1350327600,45.42,1350363600,1350280800,9.95,251,8.22
0,2012-10-16 00:00:00,59.09,1350410400,34.46,1350381600,0.42,roosevelt,42.55,0.83,1350367200roosevelt,48.282747,-104.99517,0.04,,0.0057,0.0404,1350421200,0.69,rain,996.37,MT,1350393785,1350432598,59.09,1350410400,37.17,1350381600,1350367200,9.64,238,8.19
0,2012-10-17 00:00:00,50.02,1350504000,30.66,1350536400,0.61,roosevelt,31.71,0.62,1350453600roosevelt,48.282747,-104.99517,0.08,,0.0113,0.0448,1350464400,0.7,rain,1003.15,MT,1350480275,1350518884,50.02,1350504000,41.45,1350482400,1350453600,9.52,301,28.78
0,2012-10-18 00:00:00,36.65,1350590400,20.21,1350619200,0.64,roosevelt,29.76,0.71,1350540000roosevelt,48.282747,-104.99517,0.12,,0.0089,0.0437,1350615600,0.7,rain,1017.51,MT,1350566765,1350605171,45.01,1350590400,26.51,1350622800,1350540000,9.84,320,19.57
