,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.34,1349132400,35.79,1349089200,0.04,stillwater,33.52,0.48,1349071200stillwater,45.658903,-109.382098,0.55,,0,0,,0,,1020.78,MT,1349097462,1349139520,74.34,1349132400,39.05,1349096400,1349071200,9.99,249,6.83
0,2012-10-02 00:00:00,73.49,1349211600,52.13,1349240400,0.09,stillwater,29.74,0.29,1349157600stillwater,45.658903,-109.382098,0.58,,0,0,,0,,1007.51,MT,1349183938,1349225805,73.49,1349211600,52.13,1349240400,1349157600,9.99,273,8.63
0,2012-10-03 00:00:00,47.25,1349244000,26.03,1349269200,0.67,stillwater,31.07,0.75,1349244000stillwater,45.658903,-109.382098,0.61,,0.0063,0.0257,1349280000,0.63,rain,1023.96,MT,1349270414,1349312090,49.69,1349244000,33.11,1349326800,1349244000,8.7,343,10.81
0,2012-10-04 00:00:00,36.86,1349391600,26.54,1349355600,0.84,stillwater,28.33,0.78,1349330400stillwater,45.658903,-109.382098,0.64,,0.001,0.0106,1349388000,0.51,rain,1031,MT,1349356890,1349398376,40.24,1349391600,30.24,1349355600,1349330400,9.66,48,3.69
0,2012-10-05 00:00:00,31.17,1349467200,23.19,1349496000,0.76,stillwater,26.32,0.8,1349416800stillwater,45.658903,-109.382098,0.67,0.279,0.0014,0.0115,1349481600,0.52,snow,1031.7,MT,1349443367,1349484663,36.83,1349467200,25.86,1349499600,1349416800,9.28,21,4.31
0,2012-10-06 00:00:00,40.49,1349560800,12.06,1349524800,0.3,stillwater,19.55,0.63,1349503200stillwater,45.658903,-109.382098,0.7,,0.0001,0.0008,1349582400,0.01,rain,1030.66,MT,1349529844,1349570950,45.98,1349560800,17.93,1349528400,1349503200,9.91,258,5.85
0,2012-10-07 00:00:00,58.61,1349647200,23.46,1349618400,0.18,stillwater,23.75,0.48,1349589600stillwater,45.658903,-109.382098,0.73,,0,0.0008,1349593200,0,,1019.33,MT,1349616321,1349657237,58.61,1349647200,31.76,1349611200,1349589600,10,256,8.71
0,2012-10-08 00:00:00,47.18,1349726400,29.81,1349758800,0.58,stillwater,29.69,0.63,1349676000stillwater,45.658903,-109.382098,0.77,,0.0043,0.0149,1349744400,0.56,rain,1015.66,MT,1349702799,1349743525,48.74,1349726400,35.58,1349758800,1349676000,9.27,308,4.58
0,2012-10-09 00:00:00,52.57,1349823600,28.77,1349791200,0.59,stillwater,29.38,0.68,1349762400stillwater,45.658903,-109.382098,0.8,,0.0001,0.0017,1349762400,0.04,rain,1021.06,MT,1349789277,1349829814,52.57,1349823600,34.2,1349784000,1349762400,9.88,268,4.94
0,2012-10-10 00:00:00,63.36,1349902800,26.98,1349874000,0.1,stillwater,28.77,0.54,1349848800stillwater,45.658903,-109.382098,0.83,,0,0,,0,,1016.46,MT,1349875755,1349916103,63.36,1349902800,33.49,1349870400,1349848800,9.93,295,3.91
0,2012-10-11 00:00:00,42.73,1349992800,24.99,1349960400,0.62,stillwater,32.22,0.81,1349935200stillwater,45.658903,-109.382098,0.86,,0.0003,0.003,1349938800,0.1,rain,1022.26,MT,1349962234,1350002393,45.74,1349992800,31.77,1349960400,1349935200,8.84,74,4.85
0,2012-10-12 00:00:00,71.87,1350079200,28.9,1350021600,0.17,stillwater,29.11,0.53,1350021600stillwater,45.658903,-109.382098,0.9,,0,0,,0,,1011.57,MT,1350048713,1350088684,71.87,1350079200,32.14,1350043200,1350021600,9.11,249,6.49
0,2012-10-13 00:00:00,59.08,1350165600,40.81,1350129600,0.43,stillwater,32.75,0.49,1350108000stillwater,45.658903,-109.382098,0.93,,0.0001,0.0024,1350151200,0.07,rain,1013.81,MT,1350135192,1350174976,59.08,1350165600,44.34,1350129600,1350108000,9.97,269,9.14
0,2012-10-14 00:00:00,65.23,1350248400,38.29,1350223200,0.24,stillwater,32.34,0.46,1350194400stillwater,45.658903,-109.382098,0.97,,0,0,,0,,1018.71,MT,1350221672,1350261268,65.23,1350248400,43.68,1350223200,1350194400,10,251,11.92
0,2012-10-15 00:00:00,58.92,1350342000,43.47,1350360000,0.49,stillwater,36,0.5,1350280800stillwater,45.658903,-109.382098,0.01,,0.0007,0.0043,1350331200,0.17,rain,1009.97,MT,1350308152,1350347562,58.92,1350342000,46.76,1350363600,1350280800,10,248,12.27
0,2012-10-16 00:00:00,55.43,1350417600,31.86,1350450000,0.48,stillwater,33.58,0.54,1350367200stillwater,45.658903,-109.382098,0.04,,0.0051,0.0425,1350406800,0.69,rain,1001.6,MT,1350394633,1350433856,55.43,1350417600,41.65,1350450000,1350367200,9.84,264,15.86
0,2012-10-17 00:00:00,38.45,1350511200,26.43,1350536400,0.37,stillwater,17.73,0.4,1350453600stillwater,45.658903,-109.382098,0.08,,0,0,,0,,1015.78,MT,1350481114,1350520151,46.3,1350511200,34.8,1350536400,1350453600,9.99,292,18.48
0,2012-10-18 00:00:00,55.34,1350597600,18.02,1350565200,0.02,stillwater,18.34,0.44,1350540000stillwater,45.658903,-109.382098,0.12,,0,0,,0,,1023.86,MT,1350567595,1350606447,55.34,1350597600,26.69,1350565200,1350540000,10,269,8.47
0,2012-10-19 00:00:00,61.53,1350684000,33.59,1350630000,0.33,stillwater,25.82,0.39,1350626400stillwater,45.658903,-109.382098,0.16,,0,0.0008,1350694800,0,,1010.16,MT,1350654076,1350692745,61.53,1350684000,39.47,1350633600,1350626400,10,237,13.43
