,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.95,1349132400,34.43,1349089200,0.04,sweet grass,32.56,0.47,1349071200sweet grass,45.81306,-109.941312,0.55,,0,0,,0,,1020.89,MT,1349097600,1349139650,74.95,1349132400,38.06,1349096400,1349071200,9.97,256,7.8
0,2012-10-02 00:00:00,73.2,1349215200,51.33,1349240400,0.07,sweet grass,29.11,0.28,1349157600sweet grass,45.81306,-109.941312,0.58,,0,0,,0,,1007.59,MT,1349184077,1349225935,73.2,1349215200,51.33,1349240400,1349157600,10,272,10.84
0,2012-10-03 00:00:00,44.76,1349244000,25.87,1349269200,0.73,sweet grass,31.01,0.77,1349244000sweet grass,45.81306,-109.941312,0.61,,0.0067,0.0163,1349319600,0.57,rain,1024.9,MT,1349270553,1349312220,47.97,1349244000,32.51,1349326800,1349244000,8.5,341,9.03
0,2012-10-04 00:00:00,36.84,1349391600,26.62,1349355600,0.86,sweet grass,28.23,0.79,1349330400sweet grass,45.81306,-109.941312,0.64,,0.001,0.0109,1349388000,0.52,rain,1031.17,MT,1349357030,1349398505,39.84,1349391600,30.24,1349355600,1349330400,9.63,61,3.86
0,2012-10-05 00:00:00,30.88,1349467200,23.74,1349492400,0.75,sweet grass,25.98,0.79,1349416800sweet grass,45.81306,-109.941312,0.67,0.327,0.0016,0.0085,1349481600,0.44,snow,1032.03,MT,1349443507,1349484791,36.82,1349467200,25.71,1349499600,1349416800,9.13,40,3.97
0,2012-10-06 00:00:00,40.71,1349560800,10.3,1349524800,0.29,sweet grass,19.2,0.63,1349503200sweet grass,45.81306,-109.941312,0.7,,0,0,,0,,1030.86,MT,1349529985,1349571077,46.45,1349560800,17,1349528400,1349503200,9.95,261,6.24
0,2012-10-07 00:00:00,59.48,1349647200,23.89,1349611200,0.16,sweet grass,24.05,0.48,1349589600sweet grass,45.81306,-109.941312,0.73,,0,0,,0,,1019.41,MT,1349616463,1349657364,59.48,1349647200,31.65,1349611200,1349589600,10,261,9.3
0,2012-10-08 00:00:00,47.22,1349726400,31.04,1349758800,0.59,sweet grass,29.8,0.63,1349676000sweet grass,45.81306,-109.941312,0.77,,0.0038,0.0116,1349744400,0.52,rain,1015.69,MT,1349702941,1349743652,49.17,1349726400,35.23,1349758800,1349676000,9.28,305,4.64
0,2012-10-09 00:00:00,53.51,1349823600,29.53,1349791200,0.59,sweet grass,29.37,0.67,1349762400sweet grass,45.81306,-109.941312,0.8,,0,0.0009,1349762400,0,,1021.08,MT,1349789419,1349829940,53.51,1349823600,34.29,1349791200,1349762400,9.92,268,4.57
0,2012-10-10 00:00:00,63.74,1349902800,27.36,1349877600,0.11,sweet grass,28.99,0.55,1349848800sweet grass,45.81306,-109.941312,0.83,,0,0,,0,,1016.53,MT,1349875898,1349916229,63.74,1349902800,32.96,1349870400,1349848800,9.92,313,4.24
0,2012-10-11 00:00:00,42.3,1349992800,24.72,1349967600,0.68,sweet grass,32.26,0.81,1349935200sweet grass,45.81306,-109.941312,0.86,,0.0003,0.0027,1349938800,0.08,rain,1022.1,MT,1349962377,1350002518,45.71,1349992800,32.13,1349960400,1349935200,8.89,84,5.77
0,2012-10-12 00:00:00,72.21,1350079200,26.38,1350043200,0.16,sweet grass,28.38,0.52,1350021600sweet grass,45.81306,-109.941312,0.9,,0,0,,0,,1011.59,MT,1350048857,1350088809,72.21,1350079200,31.81,1350043200,1350021600,9.24,262,7.25
0,2012-10-13 00:00:00,58.66,1350165600,41.05,1350129600,0.46,sweet grass,32.27,0.49,1350108000sweet grass,45.81306,-109.941312,0.93,,0.0001,0.0029,1350151200,0.09,rain,1014.23,MT,1350135337,1350175100,58.66,1350165600,44.84,1350129600,1350108000,9.97,266,9.83
0,2012-10-14 00:00:00,65.03,1350252000,38.74,1350223200,0.25,sweet grass,32.64,0.46,1350194400sweet grass,45.81306,-109.941312,0.97,,0,0,,0,,1018.67,MT,1350221817,1350261392,65.03,1350252000,43.87,1350223200,1350194400,10,249,13.15
0,2012-10-15 00:00:00,59.07,1350334800,43.51,1350360000,0.52,sweet grass,36.36,0.5,1350280800sweet grass,45.81306,-109.941312,0.01,,0.0007,0.0054,1350331200,0.24,rain,1009.83,MT,1350308298,1350347685,59.07,1350334800,46.96,1350363600,1350280800,10,246,13.94
0,2012-10-16 00:00:00,55.02,1350403200,31.39,1350450000,0.5,sweet grass,33.06,0.52,1350367200sweet grass,45.81306,-109.941312,0.04,,0.0058,0.0455,1350406800,0.7,rain,1001.62,MT,1350394779,1350433979,55.02,1350403200,41.38,1350450000,1350367200,9.81,259,17.64
0,2012-10-17 00:00:00,38.55,1350511200,25.89,1350536400,0.36,sweet grass,17.74,0.4,1350453600sweet grass,45.81306,-109.941312,0.08,,0,0,,0,,1016.35,MT,1350481260,1350520273,46.43,1350511200,34.27,1350536400,1350453600,9.99,286,19
0,2012-10-18 00:00:00,56.09,1350597600,17.68,1350565200,0.02,sweet grass,18.43,0.44,1350540000sweet grass,45.81306,-109.941312,0.12,,0,0,,0,,1024.02,MT,1350567742,1350606569,56.09,1350597600,26.44,1350565200,1350540000,10,269,9.81
0,2012-10-19 00:00:00,62.66,1350684000,33.89,1350630000,0.31,sweet grass,26.57,0.39,1350626400sweet grass,45.81306,-109.941312,0.16,,0,0,,0,,1009.76,MT,1350654224,1350692866,62.66,1350684000,40.74,1350633600,1350626400,10,235,15.78
0,2012-10-20 00:00:00,56.88,1350759600,32.98,1350795600,0.52,sweet grass,31.67,0.5,1350712800sweet grass,45.81306,-109.941312,0.2,,0.0015,0.0085,1350770400,0.44,rain,1002.93,MT,1350740706,1350779163,56.88,1350759600,39.14,1350795600,1350712800,9.94,268,11.09
0,2012-10-21 00:00:00,43.4,1350853200,30.84,1350813600,0.55,sweet grass,23.48,0.55,1350799200sweet grass,45.81306,-109.941312,0.23,,0,0.0009,1350799200,0,,1012.84,MT,1350827189,1350865462,46.97,1350853200,33.53,1350828000,1350799200,9.99,96,1.5
0,2012-10-22 00:00:00,32.66,1350932400,26.42,1350914400,0.63,sweet grass,29.35,0.86,1350885600sweet grass,45.81306,-109.941312,0.27,,0.0058,0.0235,1350946800,0.62,rain,1010.63,MT,1350913672,1350951762,38.19,1350932400,27.74,1350903600,1350885600,8.45,123,2.29
0,2012-10-23 00:00:00,29,1351026000,17.32,1351054800,0.72,sweet grass,26.2,0.82,1350972000sweet grass,45.81306,-109.941312,0.3,0.839,0.0038,0.0188,1351047600,0.59,snow,1012.01,MT,1351000156,1351038063,35.3,1351026000,26.02,1351054800,1350972000,8.04,284,8.09
0,2012-10-24 00:00:00,28.73,1351116000,16.3,1351069200,0.71,sweet grass,20.78,0.82,1351058400sweet grass,45.81306,-109.941312,0.34,0.076,0.0002,0.0032,1351062000,0.11,snow,1022.28,MT,1351086639,1351124365,32.32,1351116000,20.7,1351087200,1351058400,9.45,333,3.12
0,2012-10-25 00:00:00,19.88,1351202400,14.29,1351227600,0.93,sweet grass,18.61,0.83,1351144800sweet grass,45.81306,-109.941312,0.37,0.695,0.0021,0.0133,1351184400,0.54,snow,1030.74,MT,1351173123,1351210669,25.44,1351202400,21.13,1351227600,1351144800,8.54,341,3.87
0,2012-10-26 00:00:00,27.3,1351288800,11.82,1351252800,0.53,sweet grass,17.75,0.72,1351231200sweet grass,45.81306,-109.941312,0.4,0.023,0.0001,0.0014,1351299600,0.03,snow,1030.12,MT,1351259608,1351296973,35.47,1351288800,16.58,1351249200,1351231200,9.72,246,5.47
0,2012-10-27 00:00:00,32.78,1351371600,22.42,1351335600,0.88,sweet grass,24.97,0.77,1351317600sweet grass,45.81306,-109.941312,0.44,0.145,0.0007,0.0021,1351396800,0.06,snow,1021.35,MT,1351346092,1351383279,37.3,1351371600,26.93,1351342800,1351317600,8.83,228,3.18
0,2012-10-28 00:00:00,53.18,1351458000,27.7,1351414800,0.63,sweet grass,32.81,0.66,1351404000sweet grass,45.81306,-109.941312,0.47,,0.0014,0.0116,1351425600,0.52,rain,1014.32,MT,1351432577,1351469587,53.18,1351458000,33.65,1351404000,1351404000,9.43,240,12.14
0,2012-10-29 00:00:00,58.37,1351548000,40.41,1351519200,0.7,sweet grass,37.5,0.62,1351490400sweet grass,45.81306,-109.941312,0.49,,0.0024,0.0181,1351530000,0.58,rain,1013.96,MT,1351519062,1351555896,58.37,1351548000,45.24,1351504800,1351490400,9.96,235,11.13
0,2012-10-30 00:00:00,61.62,1351634400,38.58,1351594800,0.3,sweet grass,31.22,0.48,1351576800sweet grass,45.81306,-109.941312,0.53,,0,0,,0,,1016.44,MT,1351605548,1351642206,61.62,1351634400,43.18,1351602000,1351576800,10,239,10.38
0,2012-10-31 00:00:00,58.37,1351720800,40.13,1351692000,0.22,sweet grass,33.97,0.58,1351663200sweet grass,45.81306,-109.941312,0.56,,0,0,,0,,1016.11,MT,1351692033,1351728517,58.37,1351720800,40.13,1351692000,1351663200,9.76,195,3.87
0,2012-11-01 00:00:00,55.86,1351800000,35.69,1351828800,0.53,sweet grass,34.17,0.65,1351749600sweet grass,45.81306,-109.941312,0.59,,0.0012,0.0132,1351825200,0.54,rain,1011.54,MT,1351778519,1351814830,55.86,1351800000,38.85,1351774800,1351749600,9.65,240,6.22
0,2012-11-02 00:00:00,50.7,1351890000,29.53,1351918800,0.6,sweet grass,31.37,0.65,1351836000sweet grass,45.81306,-109.941312,0.62,,0.0003,0.0019,1351836000,0.05,rain,1019.06,MT,1351865005,1351901145,50.7,1351890000,34.34,1351918800,1351836000,10,262,7.61
0,2012-11-03 00:00:00,55.24,1351976400,23.06,1351944000,0.27,sweet grass,27.34,0.61,1351922400sweet grass,45.81306,-109.941312,0.65,,0.0001,0.0029,1351998000,0.09,rain,1021.46,MT,1351951491,1351987461,55.24,1351976400,28.86,1351947600,1351922400,10,249,7.23
0,2012-11-04 00:00:00,55.24,1352066400,40.88,1352026800,0.67,sweet grass,33.49,0.55,1352008800sweet grass,45.81306,-109.941312,0.68,,0.0001,0.0008,1352048400,0.01,rain,1023.02,MT,1352037977,1352073779,55.24,1352066400,45.57,1352095200,1352008800,10,269,10.44
