,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.63,1349132400,29.94,1349092800,0,valley,36.31,0.57,1349071200valley,48.34985,-106.670424,0.55,,0,0,,0,,1019.17,MT,1349096881,1349138800,74.63,1349132400,33.91,1349096400,1349071200,10,185,5.33
0,2012-10-02 00:00:00,69.32,1349211600,39.74,1349240400,0.09,valley,35.75,0.45,1349157600valley,48.34985,-106.670424,0.58,,0.0002,0.006,1349240400,0.27,rain,1007.41,MT,1349183366,1349225076,69.32,1349211600,46.67,1349240400,1349157600,10,328,8.89
0,2012-10-03 00:00:00,38.93,1349244000,31.77,1349323200,0.94,valley,35.77,0.81,1349244000valley,48.34985,-106.670424,0.61,,0.0095,0.0601,1349265600,0.73,rain,1024.03,MT,1349269852,1349311352,46.05,1349244000,37.98,1349326800,1349244000,9.22,4,11.94
0,2012-10-04 00:00:00,38.37,1349388000,27.01,1349413200,0.78,valley,29.91,0.75,1349330400valley,48.34985,-106.670424,0.64,,0.0003,0.006,1349395200,0.27,rain,1031.94,MT,1349356337,1349397628,43.86,1349388000,31.91,1349413200,1349330400,10,358,4.34
0,2012-10-05 00:00:00,38.1,1349470800,19.86,1349492400,0.57,valley,24.01,0.69,1349416800valley,48.34985,-106.670424,0.67,0.422,0.002,0.018,1349442000,0.58,snow,1032.2,MT,1349442823,1349483905,42.99,1349470800,26.72,1349499600,1349416800,9.7,24,5.25
0,2012-10-06 00:00:00,44.38,1349564400,11.89,1349528400,0,valley,20.1,0.6,1349503200valley,48.34985,-106.670424,0.7,,0,0,,0,,1027.72,MT,1349529310,1349570182,49.9,1349564400,20,1349528400,1349503200,10,220,4.4
0,2012-10-07 00:00:00,58.6,1349650800,24.57,1349607600,0.28,valley,31.53,0.62,1349589600valley,48.34985,-106.670424,0.73,,0,0,,0,,1013.82,MT,1349615797,1349656460,58.6,1349650800,30.74,1349604000,1349589600,10,274,6.78
0,2012-10-08 00:00:00,53.3,1349676000,32.25,1349758800,0.44,valley,32.32,0.57,1349676000valley,48.34985,-106.670424,0.77,,0,0.0008,1349701200,0,,1011.31,MT,1349702284,1349742739,53.3,1349676000,40.16,1349755200,1349676000,9.95,309,14.88
0,2012-10-09 00:00:00,43.28,1349820000,20.42,1349791200,0.42,valley,24.56,0.6,1349762400valley,48.34985,-106.670424,0.8,,0,0.0008,1349769600,0,,1019.48,MT,1349788771,1349829018,49.18,1349820000,26.84,1349791200,1349762400,10,308,7.95
