,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,67.91,1349128800,33.25,1349096400,0.03,wibaux,35.47,0.6,1349071200wibaux,46.962966,-104.274518,0.55,,0,0,,0,,1020.77,MT,1349096268,1349138263,67.91,1349128800,36.34,1349096400,1349071200,9.69,216,5.37
0,2012-10-02 00:00:00,71.14,1349204400,46.02,1349236800,0.09,wibaux,33.69,0.39,1349157600wibaux,46.962966,-104.274518,0.58,,0,0,,0,,1006.93,MT,1349182749,1349224543,71.14,1349204400,49.65,1349236800,1349157600,10,291,4.79
0,2012-10-03 00:00:00,44.96,1349244000,25.69,1349316000,0.89,wibaux,34.85,0.86,1349244000wibaux,46.962966,-104.274518,0.61,,0.0382,0.2946,1349283600,0.87,rain,1019.27,MT,1349269229,1349310824,49.58,1349244000,34.83,1349323200,1349244000,8.42,358,12.13
0,2012-10-04 00:00:00,34.01,1349388000,23.1,1349413200,0.71,wibaux,28.59,0.79,1349330400wibaux,46.962966,-104.274518,0.64,,0.0002,0.0009,1349377200,0.01,rain,1030.41,MT,1349355710,1349397106,40.83,1349388000,28.4,1349413200,1349330400,9.85,330,9.03
0,2012-10-05 00:00:00,32.85,1349470800,18.49,1349499600,0.35,wibaux,21.25,0.69,1349416800wibaux,46.962966,-104.274518,0.67,,0,0,,0,,1030.95,MT,1349442191,1349483388,40.08,1349470800,24.68,1349442000,1349416800,9.99,333,6.74
0,2012-10-06 00:00:00,40.5,1349560800,12.75,1349517600,0.07,wibaux,18.8,0.64,1349503200wibaux,46.962966,-104.274518,0.7,,0,0,,0,,1028.83,MT,1349528673,1349569670,45.96,1349560800,18.44,1349528400,1349503200,9.93,248,5.76
0,2012-10-07 00:00:00,56.16,1349647200,21.02,1349600400,0.31,wibaux,28.96,0.58,1349589600wibaux,46.962966,-104.274518,0.73,,0,0,,0,,1014.53,MT,1349615154,1349655953,56.16,1349647200,29.18,1349596800,1349589600,10,266,9.13
0,2012-10-08 00:00:00,53,1349679600,29.07,1349758800,0.68,wibaux,33.47,0.59,1349676000wibaux,46.962966,-104.274518,0.77,,0.0002,0.0009,1349719200,0.01,rain,1008.87,MT,1349701636,1349742237,53,1349679600,38.07,1349758800,1349676000,9.96,306,15.91
0,2012-10-09 00:00:00,37.4,1349820000,20.83,1349784000,0.58,wibaux,23.42,0.61,1349762400wibaux,46.962966,-104.274518,0.8,,0.0002,0.0033,1349802000,0.11,rain,1018.33,MT,1349788119,1349828521,44.62,1349820000,29.68,1349784000,1349762400,9.97,306,11.85
0,2012-10-10 00:00:00,61.33,1349899200,25.23,1349870400,0.52,wibaux,30.43,0.61,1349848800wibaux,46.962966,-104.274518,0.83,,0,0,,0,,1014.55,MT,1349874602,1349914806,61.33,1349899200,31.87,1349870400,1349848800,9.99,295,4.95
0,2012-10-11 00:00:00,39.22,1349992800,25.29,1349953200,0.92,wibaux,27.63,0.73,1349935200wibaux,46.962966,-104.274518,0.86,,0.0009,0.0056,1349982000,0.25,rain,1025.25,MT,1349961085,1350001091,39.22,1349992800,32.58,1349964000,1349935200,9.7,49,3.12
0,2012-10-12 00:00:00,66.31,1350079200,21.38,1350046800,0.11,wibaux,31.12,0.62,1350021600wibaux,46.962966,-104.274518,0.9,,0.0028,0.0308,1350075600,0.65,rain,1012.09,MT,1350047568,1350087378,66.31,1350079200,30.9,1350046800,1350021600,9.97,175,9.51
0,2012-10-13 00:00:00,62.7,1350154800,35.48,1350108000,0.2,wibaux,34.92,0.6,1350108000wibaux,46.962966,-104.274518,0.93,,0,0,,0,,1009.43,MT,1350134052,1350173665,62.7,1350154800,39.4,1350111600,1350108000,9.98,299,6.12
0,2012-10-14 00:00:00,67.02,1350248400,35.84,1350212400,0.28,wibaux,35.68,0.58,1350194400wibaux,46.962966,-104.274518,0.97,,0,0,,0,,1014.61,MT,1350220536,1350259953,67.02,1350248400,39.4,1350219600,1350194400,9.93,274,7.44
0,2012-10-15 00:00:00,70.95,1350327600,50.33,1350363600,0.5,wibaux,39.68,0.52,1350280800wibaux,46.962966,-104.274518,0.01,,0.0003,0.0028,1350356400,0.09,rain,1006.35,MT,1350307021,1350346242,70.95,1350327600,50.33,1350363600,1350280800,9.94,256,9.66
0,2012-10-16 00:00:00,58.15,1350414000,39.27,1350450000,0.39,wibaux,44.69,0.83,1350367200wibaux,46.962966,-104.274518,0.04,,0.0118,0.0476,1350381600,0.71,rain,997.75,MT,1350393506,1350432532,58.15,1350414000,43.19,1350392400,1350367200,9.55,242,8.27
0,2012-10-17 00:00:00,40.7,1350504000,29.9,1350482400,0.54,wibaux,27.86,0.55,1350453600wibaux,46.962966,-104.274518,0.08,,0.0609,0.4038,1350532800,0.89,rain,1002.45,MT,1350479991,1350518823,49.84,1350504000,40.7,1350482400,1350453600,9.61,300,31.44
0,2012-10-18 00:00:00,37.12,1350597600,23.04,1350622800,0.66,wibaux,29.1,0.69,1350540000wibaux,46.962966,-104.274518,0.12,,0.1012,0.5119,1350615600,0.9,rain,1015.37,MT,1350566477,1350605114,45.34,1350597600,30.08,1350622800,1350540000,9.9,315,22.88
0,2012-10-19 00:00:00,57.82,1350684000,24.66,1350644400,0.09,wibaux,27.12,0.65,1350626400wibaux,46.962966,-104.274518,0.16,,0.0498,0.5902,1350684000,0.91,rain,1010.37,MT,1350652963,1350691407,57.82,1350684000,24.66,1350644400,1350626400,9.9,187,4.19
0,2012-10-20 00:00:00,66.72,1350763200,34.33,1350738000,0.4,wibaux,35.42,0.55,1350712800wibaux,46.962966,-104.274518,0.2,,0.0015,0.0134,1350795600,0.54,rain,1001.19,MT,1350739449,1350777701,66.72,1350763200,39.75,1350738000,1350712800,9.91,260,5.06
0,2012-10-21 00:00:00,48.09,1350853200,34.34,1350820800,0.75,wibaux,31.59,0.64,1350799200wibaux,46.962966,-104.274518,0.23,,0.0008,0.0098,1350799200,0.5,rain,1013.08,MT,1350825936,1350863996,48.94,1350853200,38.6,1350828000,1350799200,9.98,16,3.31
0,2012-10-22 00:00:00,34.77,1350936000,27.09,1350903600,0.94,wibaux,34.26,0.85,1350885600wibaux,46.962966,-104.274518,0.27,,0.0083,0.0217,1350954000,0.61,rain,1013.32,MT,1350912423,1350950292,42.15,1350936000,36.14,1350900000,1350885600,9.25,110,12.98
0,2012-10-23 00:00:00,33.13,1351026000,22.56,1351054800,0.63,wibaux,34.21,0.86,1350972000wibaux,46.962966,-104.274518,0.3,,0.0018,0.0175,1351015200,0.58,rain,1007.95,MT,1350998910,1351036589,41.31,1351026000,30.01,1351054800,1350972000,8.73,288,5.12
0,2012-10-24 00:00:00,26.83,1351116000,16.41,1351094400,0.57,wibaux,22.95,0.76,1351058400wibaux,46.962966,-104.274518,0.34,0.025,0.0001,0.0012,1351083600,0.02,snow,1018.88,MT,1351085398,1351122887,35.7,1351116000,26.77,1351087200,1351058400,9.96,292,11.25
0,2012-10-25 00:00:00,18.49,1351202400,13.5,1351155600,0.98,wibaux,19.98,0.71,1351144800wibaux,46.962966,-104.274518,0.37,,0,0,,0,,1026.32,MT,1351171886,1351209187,30.6,1351202400,26.55,1351148400,1351144800,9.94,305,17.29
0,2012-10-26 00:00:00,25.98,1351288800,13.31,1351238400,0.75,wibaux,16.13,0.63,1351231200wibaux,46.962966,-104.274518,0.4,0.087,0.0003,0.0056,1351249200,0.25,snow,1029.29,MT,1351258374,1351295487,32.66,1351288800,23.24,1351314000,1351231200,9.71,290,8.7
0,2012-10-27 00:00:00,25.79,1351371600,14.11,1351339200,0.84,wibaux,20.19,0.76,1351317600wibaux,46.962966,-104.274518,0.44,0.094,0.0004,0.0036,1351357200,0.13,snow,1023.86,MT,1351344862,1351381790,32.61,1351371600,22.73,1351335600,1351317600,9.5,64,7.09
0,2012-10-28 00:00:00,28.88,1351461600,17.02,1351425600,0.93,wibaux,26.36,0.82,1351404000wibaux,46.962966,-104.274518,0.47,0.132,0.0007,0.0037,1351468800,0.14,snow,1018.4,MT,1351431351,1351468093,36.8,1351461600,25.82,1351407600,1351404000,8.58,117,8.95
0,2012-10-29 00:00:00,51.45,1351544400,29.99,1351497600,0.62,wibaux,35.21,0.82,1351490400wibaux,46.962966,-104.274518,0.49,,0.0008,0.006,1351558800,0.27,rain,1015.28,MT,1351517840,1351554398,51.45,1351544400,30.88,1351512000,1351490400,7.74,121,3.2
0,2012-10-30 00:00:00,59.03,1351630800,33.1,1351602000,0.14,wibaux,38.64,0.77,1351576800wibaux,46.962966,-104.274518,0.53,,0.0007,0.0111,1351584000,0.52,rain,1015.62,MT,1351604329,1351640704,59.03,1351630800,37.36,1351602000,1351576800,9.03,230,4.41
0,2012-10-31 00:00:00,37.43,1351710000,25.25,1351746000,0.71,wibaux,34.57,0.83,1351663200wibaux,46.962966,-104.274518,0.56,,0,0,,0,,1017.57,MT,1351690819,1351727012,43.85,1351710000,33.12,1351746000,1351663200,9.18,12,4.55
0,2012-11-01 00:00:00,29.55,1351803600,21.33,1351782000,0.89,wibaux,31.96,0.89,1351749600wibaux,46.962966,-104.274518,0.59,,0,0,,0,,1015.4,MT,1351777308,1351813321,38.82,1351803600,32.3,1351774800,1351749600,6.38,119,13.64
0,2012-11-02 00:00:00,35.98,1351882800,24.96,1351850400,0.98,wibaux,32.81,0.89,1351836000wibaux,46.962966,-104.274518,0.62,,0.0036,0.0133,1351861200,0.54,rain,1017.49,MT,1351863798,1351899632,41.38,1351882800,32.23,1351854000,1351836000,8.08,292,3.44
