,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,65.56,1349128800,39.8,1349096400,0.19,albany,34.1,0.5,1349071200albany,41.665514,-105.721883,0.55,,0.0001,0.0012,1349089200,0.02,rain,1021.39,WY,1349096490,1349138736,65.56,1349128800,43.07,1349096400,1349071200,9.97,346,4.23
0,2012-10-02 00:00:00,77.17,1349211600,38.77,1349182800,0,albany,26.94,0.36,1349157600albany,41.665514,-105.721883,0.58,,0,0,,0,,1010.74,WY,1349182953,1349225034,77.17,1349211600,43.83,1349182800,1349157600,9.96,252,8.7
0,2012-10-03 00:00:00,69.15,1349290800,26.53,1349323200,0.16,albany,25.88,0.38,1349244000albany,41.665514,-105.721883,0.61,,0,0,,0,,1011.62,WY,1349269417,1349311331,69.15,1349290800,34.03,1349326800,1349244000,9.87,299,8.82
0,2012-10-04 00:00:00,41.34,1349388000,24.22,1349348400,0.36,albany,21.5,0.58,1349330400albany,41.665514,-105.721883,0.64,,0,0,,0,,1026.34,WY,1349355881,1349397630,45.15,1349388000,27.14,1349355600,1349330400,9.8,113,1.99
0,2012-10-05 00:00:00,36.45,1349470800,22.99,1349499600,0.72,albany,23.65,0.66,1349416800albany,41.665514,-105.721883,0.67,,0.0005,0.0024,1349445600,0.07,rain,1025.09,WY,1349442345,1349483928,39.43,1349470800,29.47,1349442000,1349416800,9.61,94,3.29
0,2012-10-06 00:00:00,31.52,1349560800,19.07,1349532000,0.63,albany,21.67,0.73,1349503200albany,41.665514,-105.721883,0.7,0.611,0.0026,0.0153,1349542800,0.56,snow,1027.43,WY,1349528809,1349570228,35.48,1349560800,25.24,1349586000,1349503200,8.54,42,2.42
0,2012-10-07 00:00:00,50.85,1349647200,9.28,1349614800,0.06,albany,13.95,0.51,1349589600albany,41.665514,-105.721883,0.73,,0,0,,0,,1022.88,WY,1349615274,1349656528,50.85,1349647200,16.75,1349614800,1349589600,9.95,268,4.79
0,2012-10-08 00:00:00,62.88,1349730000,23.22,1349697600,0,albany,12.4,0.29,1349676000albany,41.665514,-105.721883,0.77,,0,0,,0,,1012.32,WY,1349701739,1349742828,62.88,1349730000,29.75,1349683200,1349676000,9.96,254,8.21
0,2012-10-09 00:00:00,46.54,1349820000,30.33,1349845200,0.31,albany,25.9,0.53,1349762400albany,41.665514,-105.721883,0.8,,0,0,,0,,1016.14,WY,1349788205,1349829129,49.81,1349820000,34.15,1349845200,1349762400,9.77,316,3.82
0,2012-10-10 00:00:00,63.36,1349902800,22.14,1349874000,0.06,albany,24.89,0.53,1349848800albany,41.665514,-105.721883,0.83,,0,0,,0,,1017.94,WY,1349874671,1349915431,63.36,1349902800,25.62,1349870400,1349848800,9.49,244,5.53
0,2012-10-11 00:00:00,58.87,1349989200,32.38,1350018000,0.26,albany,30.69,0.5,1349935200albany,41.665514,-105.721883,0.86,,0,0,,0,,1016.67,WY,1349961137,1350001734,58.87,1349989200,39.49,1350018000,1349935200,9.87,181,2.31
0,2012-10-12 00:00:00,58.74,1350068400,28.51,1350032400,0.28,albany,33.14,0.64,1350021600albany,41.665514,-105.721883,0.9,,0.0009,0.009,1350086400,0.48,rain,1015.01,WY,1350047603,1350088037,58.74,1350068400,33.03,1350046800,1350021600,9.69,188,5.65
0,2012-10-13 00:00:00,54.77,1350165600,36.81,1350136800,0.83,albany,37.16,0.69,1350108000albany,41.665514,-105.721883,0.93,,0.0087,0.0323,1350133200,0.66,rain,1012.1,WY,1350134070,1350174341,54.77,1350165600,41.14,1350133200,1350108000,9.08,294,6.34
0,2012-10-14 00:00:00,62.7,1350252000,33.9,1350219600,0.23,albany,33.03,0.55,1350194400albany,41.665514,-105.721883,0.97,,0,0,,0,,1019.96,WY,1350220538,1350260646,62.7,1350252000,39.75,1350219600,1350194400,10,268,9.82
0,2012-10-15 00:00:00,67.48,1350338400,35.12,1350291600,0.06,albany,28.83,0.42,1350280800albany,41.665514,-105.721883,0.01,,0,0,,0,,1012.62,WY,1350307006,1350346952,67.48,1350338400,41.96,1350295200,1350280800,9.96,247,11.73
0,2012-10-16 00:00:00,66.67,1350421200,36.77,1350450000,0.32,albany,33,0.5,1350367200albany,41.665514,-105.721883,0.04,,0.0011,0.0097,1350435600,0.5,rain,1003.72,WY,1350393474,1350433258,66.67,1350421200,42.51,1350388800,1350367200,9.76,260,14.53
0,2012-10-17 00:00:00,39.48,1350511200,23.66,1350478800,0.17,albany,15.72,0.39,1350453600albany,41.665514,-105.721883,0.08,,0.0006,0.0078,1350457200,0.39,rain,1009.81,WY,1350479942,1350519566,47.84,1350511200,34.1,1350482400,1350453600,9.97,294,19.51
