,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,73.67,1349132400,40.56,1349100000,0.02,bighorn,35.13,0.44,1349071200bighorn,44.525117,-107.994848,0.55,,0,0,,0,,1020.54,WY,1349097101,1349139215,73.67,1349132400,42.98,1349100000,1349071200,9.99,184,2.2
0,2012-10-02 00:00:00,78.59,1349211600,46.15,1349182800,0.01,bighorn,27.79,0.3,1349157600bighorn,44.525117,-107.994848,0.58,,0,0,,0,,1008.11,WY,1349183573,1349225504,80.66,1349211600,47.51,1349182800,1349157600,9.94,241,2.17
0,2012-10-03 00:00:00,59.97,1349244000,28.05,1349326800,0.26,bighorn,29.39,0.55,1349244000bighorn,44.525117,-107.994848,0.61,,0.0004,0.0042,1349280000,0.17,rain,1017.05,WY,1349270046,1349311793,59.97,1349244000,37,1349326800,1349244000,9.73,325,20.45
0,2012-10-04 00:00:00,45.95,1349384400,27.92,1349352000,0.69,bighorn,25.99,0.62,1349330400bighorn,44.525117,-107.994848,0.64,,0.0001,0.0013,1349406000,0.02,rain,1028.01,WY,1349356518,1349398083,47.4,1349384400,30.53,1349348400,1349330400,9.88,353,2.82
0,2012-10-05 00:00:00,40.99,1349467200,22.02,1349499600,0.97,bighorn,27.55,0.67,1349416800bighorn,44.525117,-107.994848,0.67,,0.0011,0.0041,1349485200,0.16,rain,1027.02,WY,1349442991,1349484373,43.36,1349467200,32.96,1349499600,1349416800,9.33,337,7.53
0,2012-10-06 00:00:00,39.36,1349564400,17.06,1349521200,0.39,bighorn,19.54,0.6,1349503200bighorn,44.525117,-107.994848,0.7,,0.0002,0.0009,1349517600,0.01,rain,1029.19,WY,1349529465,1349570663,42.85,1349564400,22.57,1349528400,1349503200,9.86,232,1.01
0,2012-10-07 00:00:00,55.51,1349650800,22.43,1349618400,0.24,bighorn,20.04,0.45,1349589600bighorn,44.525117,-107.994848,0.73,,0,0,,0,,1020.79,WY,1349615938,1349656954,55.51,1349650800,29.19,1349618400,1349589600,10,184,3.37
0,2012-10-08 00:00:00,57.74,1349733600,28.59,1349686800,0.12,bighorn,23.98,0.47,1349676000bighorn,44.525117,-107.994848,0.77,,0.0003,0.0017,1349751600,0.04,rain,1013.81,WY,1349702412,1349743246,57.74,1349733600,30.64,1349701200,1349676000,9.98,331,4.45
0,2012-10-09 00:00:00,46.9,1349823600,29.59,1349769600,0.67,bighorn,28.79,0.63,1349762400bighorn,44.525117,-107.994848,0.8,,0.0001,0.0012,1349762400,0.02,rain,1019.52,WY,1349788886,1349829539,48.67,1349823600,35.63,1349845200,1349762400,9.69,307,6.3
0,2012-10-10 00:00:00,66.21,1349910000,19.31,1349874000,0,bighorn,25.12,0.51,1349848800bighorn,44.525117,-107.994848,0.83,,0,0,,0,,1016.8,WY,1349875361,1349915832,66.21,1349910000,26.43,1349874000,1349848800,10,202,2.68
0,2012-10-11 00:00:00,54.04,1349992800,32.13,1349960400,0.14,bighorn,32.85,0.63,1349935200bighorn,44.525117,-107.994848,0.86,,0,0,,0,,1018.86,WY,1349961836,1350002126,54.04,1349992800,37.53,1349960400,1349935200,9.92,320,3.35
0,2012-10-12 00:00:00,73.03,1350082800,24.42,1350050400,0.04,bighorn,31.22,0.55,1350021600bighorn,44.525117,-107.994848,0.9,,0,0,,0,,1011.96,WY,1350048311,1350088420,73.03,1350082800,30.27,1350046800,1350021600,9.89,156,4.67
