,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,65.91,1349132400,37.63,1349096400,0.1,carbon,31.58,0.47,1349071200carbon,41.70359,-106.933153,0.55,,0,0,,0,,1021.45,WY,1349096782,1349139026,65.91,1349132400,40.63,1349096400,1349071200,10,322,2.53
0,2012-10-02 00:00:00,74.25,1349211600,39.27,1349182800,0,carbon,24.56,0.31,1349157600carbon,41.70359,-106.933153,0.58,,0,0,,0,,1011.64,WY,1349183245,1349225323,74.25,1349211600,44.47,1349182800,1349157600,10,252,11.48
0,2012-10-03 00:00:00,64.6,1349294400,27.56,1349323200,0.14,carbon,24.17,0.38,1349244000carbon,41.70359,-106.933153,0.61,,0,0,,0,,1012.35,WY,1349269709,1349311621,64.6,1349294400,33.37,1349326800,1349244000,9.98,284,9
0,2012-10-04 00:00:00,50.03,1349391600,20.69,1349359200,0.22,carbon,19.47,0.54,1349330400carbon,41.70359,-106.933153,0.64,,0,0,,0,,1024.5,WY,1349356173,1349397919,50.03,1349391600,23.81,1349355600,1349330400,9.97,58,2.36
0,2012-10-05 00:00:00,39.93,1349470800,22.08,1349499600,0.41,carbon,20.92,0.57,1349416800carbon,41.70359,-106.933153,0.67,,0.0001,0.0014,1349499600,0.03,rain,1022.97,WY,1349442637,1349484218,43.6,1349470800,27.67,1349442000,1349416800,9.82,34,3.61
0,2012-10-06 00:00:00,36.06,1349564400,14.79,1349528400,0.41,carbon,17.04,0.61,1349503200carbon,41.70359,-106.933153,0.7,0.386,0.0015,0.0073,1349542800,0.36,snow,1026.1,WY,1349529102,1349570517,38.6,1349564400,23.14,1349528400,1349503200,9.26,4,3.42
0,2012-10-07 00:00:00,50.14,1349647200,10.74,1349614800,0.04,carbon,8.47,0.41,1349589600carbon,41.70359,-106.933153,0.73,,0,0,,0,,1022.82,WY,1349615567,1349656817,50.14,1349647200,15.79,1349614800,1349589600,9.99,258,5.81
0,2012-10-08 00:00:00,60.87,1349733600,21.91,1349697600,0,carbon,7.01,0.23,1349676000carbon,41.70359,-106.933153,0.77,,0,0,,0,,1012.85,WY,1349702032,1349743117,60.87,1349733600,31.79,1349697600,1349676000,9.97,250,12.39
0,2012-10-09 00:00:00,55.4,1349820000,31.82,1349780400,0.12,carbon,20.1,0.39,1349762400carbon,41.70359,-106.933153,0.8,,0,0,,0,,1014.99,WY,1349788497,1349829418,55.4,1349820000,35.28,1349787600,1349762400,9.89,290,5.77
0,2012-10-10 00:00:00,65.9,1349902800,20.5,1349870400,0.05,carbon,20.01,0.42,1349848800carbon,41.70359,-106.933153,0.83,,0,0,,0,,1017.18,WY,1349874963,1349915720,65.9,1349902800,25.91,1349870400,1349848800,9.89,246,7.46
0,2012-10-11 00:00:00,63.47,1349992800,38.88,1350018000,0.32,carbon,28.06,0.4,1349935200carbon,41.70359,-106.933153,0.86,,0,0,,0,,1014.65,WY,1349961430,1350002022,63.47,1349992800,43.56,1350018000,1349935200,9.97,225,3.9
0,2012-10-12 00:00:00,57.92,1350064800,29.35,1350036000,0.35,carbon,33.17,0.62,1350021600carbon,41.70359,-106.933153,0.9,,0.0012,0.0153,1350090000,0.56,rain,1014.16,WY,1350047896,1350088325,57.92,1350064800,35.85,1350039600,1350021600,9.68,197,6.98
0,2012-10-13 00:00:00,52.9,1350162000,34.56,1350133200,0.8,carbon,36.03,0.7,1350108000carbon,41.70359,-106.933153,0.93,,0.003,0.0128,1350133200,0.54,rain,1013.7,WY,1350134364,1350174629,52.9,1350162000,39.86,1350133200,1350108000,9.14,262,9.12
0,2012-10-14 00:00:00,60.41,1350252000,31.65,1350219600,0.21,carbon,31.93,0.56,1350194400carbon,41.70359,-106.933153,0.97,,0,0,,0,,1021.37,WY,1350220831,1350260934,60.41,1350252000,39.11,1350216000,1350194400,10,258,11.69
0,2012-10-15 00:00:00,63.49,1350334800,36.38,1350291600,0.07,carbon,28.48,0.43,1350280800carbon,41.70359,-106.933153,0.01,,0,0,,0,,1014.27,WY,1350307299,1350347240,63.49,1350334800,42.64,1350291600,1350280800,10,247,13.6
0,2012-10-16 00:00:00,61.68,1350421200,32.55,1350450000,0.35,carbon,32.77,0.55,1350367200carbon,41.70359,-106.933153,0.04,,0.0012,0.0057,1350435600,0.25,rain,1005.33,WY,1350393767,1350433546,61.68,1350421200,41.59,1350388800,1350367200,9.72,253,17.94
0,2012-10-17 00:00:00,37.31,1350511200,19.23,1350482400,0.1,carbon,13.58,0.39,1350453600carbon,41.70359,-106.933153,0.08,,0.0002,0.0039,1350453600,0.15,rain,1011.84,WY,1350480236,1350519854,46.23,1350511200,29.79,1350482400,1350453600,10,280,19.87
0,2012-10-18 00:00:00,52.99,1350597600,17.13,1350558000,0.01,carbon,12.4,0.37,1350540000carbon,41.70359,-106.933153,0.12,,0,0,,0,,1021.29,WY,1350566705,1350606162,52.99,1350597600,26.85,1350565200,1350540000,10,280,11.01
