,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,67.87,1349128800,38.35,1349096400,0.17,converse,34.22,0.48,1349071200converse,42.974898,-105.505917,0.55,,0.0002,0.004,1349078400,0.15,rain,1021.15,WY,1349096467,1349138655,67.87,1349128800,41.36,1349096400,1349071200,9.94,311,2.76
0,2012-10-02 00:00:00,78.87,1349211600,39.46,1349182800,0,converse,26.8,0.32,1349157600converse,42.974898,-105.505917,0.58,,0,0,,0,,1009.13,WY,1349182935,1349224948,81.24,1349211600,44.03,1349182800,1349157600,9.94,254,6.81
0,2012-10-03 00:00:00,56.65,1349283600,24.89,1349326800,0.33,converse,27.81,0.51,1349244000converse,42.974898,-105.505917,0.61,,0.0006,0.0019,1349319600,0.05,rain,1013.75,WY,1349269402,1349311242,56.65,1349283600,33.75,1349326800,1349244000,9.76,334,12.81
0,2012-10-04 00:00:00,41.34,1349388000,23.71,1349337600,0.43,converse,22.08,0.59,1349330400converse,42.974898,-105.505917,0.64,,0.0003,0.0014,1349337600,0.03,rain,1027.61,WY,1349355870,1349397537,44.5,1349388000,28.52,1349344800,1349330400,9.9,59,3.25
0,2012-10-05 00:00:00,33.59,1349474400,21.25,1349431200,0.9,converse,26.34,0.79,1349416800converse,42.974898,-105.505917,0.67,0.526,0.0027,0.0085,1349478000,0.44,snow,1026.79,WY,1349442338,1349483832,36.14,1349474400,29.59,1349442000,1349416800,8.05,95,6.4
0,2012-10-06 00:00:00,32.28,1349560800,17.53,1349532000,0.57,converse,23.15,0.78,1349503200converse,42.974898,-105.505917,0.7,0.828,0.0035,0.0367,1349542800,0.67,snow,1028.4,WY,1349528806,1349570127,37.4,1349560800,23.84,1349586000,1349503200,8.32,359,2.22
0,2012-10-07 00:00:00,53.66,1349647200,13.23,1349614800,0.07,converse,19.48,0.56,1349589600converse,42.974898,-105.505917,0.73,,0,0,,0,,1021.01,WY,1349615275,1349656423,53.66,1349647200,21.32,1349604000,1349589600,9.96,275,7.59
0,2012-10-08 00:00:00,59.97,1349726400,24.24,1349697600,0.11,converse,22.82,0.45,1349676000converse,42.974898,-105.505917,0.77,,0.0005,0.0028,1349751600,0.09,rain,1012.45,WY,1349701744,1349742720,59.97,1349726400,31.68,1349701200,1349676000,9.98,288,5.3
0,2012-10-09 00:00:00,42.24,1349823600,28.7,1349784000,0.54,converse,28.54,0.68,1349762400converse,42.974898,-105.505917,0.8,,0.0007,0.0034,1349766000,0.12,rain,1018.09,WY,1349788213,1349829017,46.3,1349823600,31.64,1349845200,1349762400,9.82,336,5.1
0,2012-10-10 00:00:00,67.85,1349906400,18.6,1349870400,0,converse,24.76,0.54,1349848800converse,42.974898,-105.505917,0.83,,0,0,,0,,1017.2,WY,1349874683,1349915315,67.85,1349906400,25.52,1349870400,1349848800,9.9,240,4.96
0,2012-10-11 00:00:00,51.5,1349992800,27.57,1350018000,0.15,converse,30.04,0.61,1349935200converse,42.974898,-105.505917,0.86,,0,0,,0,,1019.13,WY,1349961153,1350001614,51.5,1349992800,34.66,1349960400,1349935200,9.88,113,4.17
0,2012-10-12 00:00:00,68.28,1350072000,23.15,1350039600,0.16,converse,32.37,0.57,1350021600converse,42.974898,-105.505917,0.9,,0.0001,0.0014,1350086400,0.03,rain,1013.9,WY,1350047624,1350087913,68.28,1350072000,32.14,1350046800,1350021600,9.84,169,9.4
0,2012-10-13 00:00:00,65.08,1350162000,46.19,1350133200,0.61,converse,33.57,0.45,1350108000converse,42.974898,-105.505917,0.93,,0.0013,0.0095,1350136800,0.5,rain,1010.2,WY,1350134095,1350174213,65.08,1350162000,48.31,1350190800,1350108000,9.91,307,7.65
0,2012-10-14 00:00:00,65.52,1350252000,32.47,1350219600,0.08,converse,29.2,0.47,1350194400converse,42.974898,-105.505917,0.97,,0,0,,0,,1019.19,WY,1350220566,1350260514,65.52,1350252000,38.45,1350219600,1350194400,9.96,278,9.01
0,2012-10-15 00:00:00,71.49,1350334800,35.54,1350291600,0.15,converse,28.45,0.37,1350280800converse,42.974898,-105.505917,0.01,,0,0,,0,,1010.96,WY,1350307038,1350346816,71.49,1350334800,40.94,1350295200,1350280800,9.99,262,11.78
0,2012-10-16 00:00:00,69.92,1350417600,34.18,1350396000,0.35,converse,35.52,0.57,1350367200converse,42.974898,-105.505917,0.04,,0.0042,0.0375,1350450000,0.68,rain,1002.07,WY,1350393509,1350433119,69.92,1350417600,38.85,1350388800,1350367200,9.89,263,12.87
0,2012-10-17 00:00:00,38.72,1350511200,24.34,1350536400,0.37,converse,20.99,0.48,1350453600converse,42.974898,-105.505917,0.08,,0.0019,0.0322,1350453600,0.66,rain,1009.66,WY,1350479982,1350519423,47.56,1350511200,34.99,1350475200,1350453600,9.97,308,18.25
0,2012-10-18 00:00:00,51.85,1350594000,19.35,1350565200,0.09,converse,13.97,0.38,1350540000converse,42.974898,-105.505917,0.12,,0,0,,0,,1019.52,WY,1350566455,1350605727,51.85,1350594000,30.4,1350565200,1350540000,9.98,306,16.54
0,2012-10-19 00:00:00,67.29,1350684000,24.31,1350651600,0.03,converse,20.55,0.37,1350626400converse,42.974898,-105.505917,0.16,,0,0,,0,,1012.65,WY,1350652928,1350692033,67.29,1350684000,30.84,1350651600,1350626400,9.98,268,8.02
0,2012-10-20 00:00:00,73.33,1350766800,40.2,1350738000,0.11,converse,24.05,0.3,1350712800converse,42.974898,-105.505917,0.2,,0,0,,0,,1002.33,WY,1350739401,1350778340,73.33,1350766800,43.93,1350738000,1350712800,9.99,261,9.59
0,2012-10-21 00:00:00,54.57,1350856800,37.12,1350820800,0.44,converse,33.76,0.62,1350799200converse,42.974898,-105.505917,0.23,,0.0003,0.0023,1350882000,0.06,rain,1008.82,WY,1350825875,1350864647,54.57,1350856800,40.09,1350828000,1350799200,9.89,88,3.05
0,2012-10-22 00:00:00,56.74,1350946800,35.21,1350896400,0.53,converse,38.14,0.74,1350885600converse,42.974898,-105.505917,0.27,,0.0009,0.0056,1350896400,0.25,rain,1007.89,WY,1350912349,1350950956,56.74,1350946800,40.97,1350896400,1350885600,9.82,143,10.37
0,2012-10-23 00:00:00,56.84,1351018800,35.88,1351000800,0.4,converse,34.63,0.65,1350972000converse,42.974898,-105.505917,0.3,,0.0013,0.0057,1351026000,0.26,rain,1005.91,WY,1350998824,1351037266,56.84,1351018800,38.66,1351000800,1350972000,9.27,282,5.98
0,2012-10-24 00:00:00,36.57,1351062000,19.67,1351130400,0.95,converse,29.95,0.88,1351058400converse,42.974898,-105.505917,0.34,,0.0086,0.0311,1351094400,0.65,rain,1015.21,WY,1351085299,1351123577,40.24,1351062000,26.47,1351141200,1351058400,5.99,346,5.64
0,2012-10-25 00:00:00,29.7,1351195200,11.99,1351170000,0.56,converse,20.71,0.86,1351144800converse,42.974898,-105.505917,0.37,0.587,0.002,0.0211,1351188000,0.6,snow,1026.04,WY,1351171774,1351209889,29.7,1351195200,17.63,1351170000,1351144800,8.74,351,2.27
0,2012-10-26 00:00:00,27.26,1351288800,10.64,1351256400,0.4,converse,20.53,0.79,1351231200converse,42.974898,-105.505917,0.4,0.092,0.0004,0.004,1351274400,0.15,snow,1029.6,WY,1351258249,1351296203,33.16,1351288800,18.07,1351260000,1351231200,9.54,217,3.83
0,2012-10-27 00:00:00,38.39,1351375200,20.13,1351346400,0.4,converse,22.46,0.67,1351317600converse,42.974898,-105.505917,0.44,,0,0,,0,,1020.51,WY,1351344725,1351382518,44.31,1351375200,25.4,1351342800,1351317600,9.84,257,4.49
0,2012-10-28 00:00:00,55.98,1351458000,20.54,1351418400,0.25,converse,29.41,0.68,1351404000converse,42.974898,-105.505917,0.47,,0,0,,0,,1016.75,WY,1351431201,1351468834,55.98,1351458000,27.83,1351414800,1351404000,10,235,8.19
0,2012-10-29 00:00:00,64.24,1351548000,34.11,1351519200,0.17,converse,34.28,0.58,1351490400converse,42.974898,-105.505917,0.49,,0,0,,0,,1015.3,WY,1351517678,1351555151,64.24,1351548000,38.69,1351519200,1351490400,9.99,264,8.5
0,2012-10-30 00:00:00,63.14,1351627200,32.94,1351605600,0.01,converse,31.29,0.55,1351576800converse,42.974898,-105.505917,0.53,,0,0,,0,,1017.42,WY,1351604154,1351641470,63.14,1351627200,36.55,1351602000,1351576800,10,281,6.56
0,2012-10-31 00:00:00,66.79,1351717200,29.77,1351684800,0.01,converse,29.17,0.53,1351663200converse,42.974898,-105.505917,0.56,,0,0,,0,,1017.98,WY,1351690631,1351727790,66.79,1351717200,34.39,1351684800,1351663200,10,263,4.49
0,2012-11-01 00:00:00,63.13,1351800000,30.25,1351767600,0.04,converse,28.95,0.51,1351749600converse,42.974898,-105.505917,0.59,,0,0,,0,,1012.38,WY,1351777108,1351814112,63.13,1351800000,36.43,1351760400,1351749600,9.99,224,8.37
0,2012-11-02 00:00:00,56.18,1351890000,31.47,1351864800,0.24,converse,27.53,0.53,1351836000converse,42.974898,-105.505917,0.62,,0,0,,0,,1015.82,WY,1351863585,1351900435,56.18,1351890000,32.63,1351918800,1351836000,9.84,313,6.47
0,2012-11-03 00:00:00,56.53,1351980000,19.84,1351951200,0.03,converse,22.95,0.59,1351922400converse,42.974898,-105.505917,0.65,,0,0,,0,,1021.64,WY,1351950063,1351986760,56.53,1351980000,25.9,1351947600,1351922400,9.99,268,4.85
0,2012-11-04 00:00:00,55.58,1352059200,26.99,1352012400,0.44,converse,27.65,0.56,1352008800converse,42.974898,-105.505917,0.68,,0,0,,0,,1022.11,WY,1352036540,1352073086,55.58,1352059200,33.07,1352012400,1352008800,9.99,300,8.14
0,2012-11-05 00:00:00,61.05,1352149200,28.06,1352116800,0.14,converse,30.85,0.58,1352098800converse,42.974898,-105.505917,0.71,,0,0,,0,,1020.86,WY,1352123018,1352159414,61.05,1352149200,34.69,1352116800,1352098800,9.99,280,8.1
0,2012-11-06 00:00:00,61.01,1352235600,27.43,1352206800,0.01,converse,28.5,0.56,1352185200converse,42.974898,-105.505917,0.75,,0,0,,0,,1021.6,WY,1352209496,1352245744,61.01,1352235600,31.96,1352210400,1352185200,9.98,272,3.91
0,2012-11-07 00:00:00,70.61,1352322000,27.16,1352296800,0,converse,23.42,0.42,1352271600converse,42.974898,-105.505917,0.78,,0,0,,0,,1012.66,WY,1352295973,1352332075,70.61,1352322000,32.12,1352289600,1352271600,9.97,248,8.59
0,2012-11-08 00:00:00,51.35,1352408400,27.85,1352440800,0.02,converse,26.53,0.56,1352358000converse,42.974898,-105.505917,0.81,,0,0,,0,,1010.99,WY,1352382451,1352418407,51.35,1352408400,32.71,1352379600,1352358000,9.96,131,6.61
0,2012-11-09 00:00:00,43.55,1352491200,26.83,1352448000,0.39,converse,30.84,0.73,1352444400converse,42.974898,-105.505917,0.85,,0.0006,0.0025,1352512800,0.07,rain,1003.19,WY,1352468929,1352504742,48.69,1352491200,32.37,1352527200,1352444400,8.82,143,8.28
0,2012-11-10 00:00:00,27.59,1352530800,-0.88,1352610000,0.93,converse,18,0.84,1352530800converse,42.974898,-105.505917,0.88,1.132,0.0035,0.0206,1352595600,0.6,snow,1007.55,WY,1352555406,1352591078,31.84,1352530800,10.65,1352613600,1352530800,6.07,333,10.51
0,2012-11-11 00:00:00,9.75,1352667600,-8.26,1352635200,0.21,converse,4.94,0.71,1352617200converse,42.974898,-105.505917,0.92,0.169,0.0005,0.0059,1352660400,0.27,snow,1021.2,WY,1352641884,1352677416,23.04,1352667600,4.95,1352628000,1352617200,9.74,277,8.88
0,2012-11-12 00:00:00,30.31,1352757600,-4.03,1352718000,0.05,converse,10.95,0.56,1352703600converse,42.974898,-105.505917,0.96,0.028,0.0001,0.0022,1352743200,0.06,snow,1026.84,WY,1352728361,1352763756,38.65,1352757600,11,1352703600,1352703600,9.99,250,9.77
0,2012-11-13 00:00:00,39.38,1352840400,22.16,1352869200,0.41,converse,20.73,0.57,1352790000converse,42.974898,-105.505917,0.99,,0,0,,0,,1024,WY,1352814839,1352850098,45,1352840400,26.55,1352872800,1352790000,10,262,7.88
0,2012-11-14 00:00:00,42.82,1352923200,15.87,1352880000,0.35,converse,22.78,0.61,1352876400converse,42.974898,-105.505917,0.03,,0,0,,0,,1022.13,WY,1352901315,1352936441,48.92,1352923200,23.83,1352876400,1352876400,9.92,259,7.99
0,2012-11-15 00:00:00,42.46,1353013200,20,1352980800,0.17,converse,23,0.66,1352962800converse,42.974898,-105.505917,0.07,,0,0,,0,,1026.92,WY,1352987792,1353022787,47.27,1353013200,22.19,1352988000,1352962800,9.93,191,3.69
0,2012-11-16 00:00:00,55.5,1353099600,18.25,1353067200,0.19,converse,22.12,0.51,1353049200converse,42.974898,-105.505917,0.11,,0,0,,0,,1019.17,WY,1353074268,1353109134,55.5,1353099600,26.26,1353063600,1353049200,9.95,213,6.97
0,2012-11-17 00:00:00,55.94,1353186000,29.11,1353160800,0.28,converse,28.47,0.56,1353135600converse,42.974898,-105.505917,0.15,,0,0,,0,,1016.33,WY,1353160744,1353195484,55.94,1353186000,33.35,1353160800,1353135600,10,253,7.09
0,2012-11-18 00:00:00,59.36,1353272400,34.06,1353304800,0.17,converse,29.51,0.52,1353222000converse,42.974898,-105.505917,0.18,,0,0,,0,,1012.02,WY,1353247220,1353281835,59.36,1353272400,39.93,1353297600,1353222000,10,246,10.85
0,2012-11-19 00:00:00,55.97,1353358800,27.25,1353333600,0.04,converse,27.7,0.6,1353308400converse,42.974898,-105.505917,0.22,,0,0,,0,,1019.64,WY,1353333695,1353368189,55.97,1353358800,32.04,1353333600,1353308400,9.97,259,8.43
0,2012-11-20 00:00:00,61.66,1353445200,33.89,1353394800,0,converse,26.03,0.41,1353394800converse,42.974898,-105.505917,0.25,,0,0,,0,,1016.63,WY,1353420169,1353454545,61.66,1353445200,39.95,1353398400,1353394800,9.98,237,13.02
0,2012-11-21 00:00:00,61.96,1353531600,37.78,1353506400,0.01,converse,21.54,0.32,1353481200converse,42.974898,-105.505917,0.29,,0,0,,0,,1009.58,WY,1353506643,1353540902,61.96,1353531600,44.1,1353502800,1353481200,10,238,13.44
0,2012-11-22 00:00:00,38.23,1353567600,15.41,1353650400,0.23,converse,17.01,0.51,1353567600converse,42.974898,-105.505917,0.32,,0.0006,0.0052,1353578400,0.22,rain,1022.19,WY,1353593116,1353627262,45.43,1353567600,21.13,1353650400,1353567600,9.76,309,13.11
0,2012-11-23 00:00:00,40.08,1353708000,5.89,1353675600,0,converse,11.75,0.51,1353654000converse,42.974898,-105.505917,0.35,,0,0,,0,,1030.65,WY,1353679589,1353713624,44.2,1353708000,14.86,1353675600,1353654000,9.96,219,6.21
0,2012-11-24 00:00:00,56.42,1353787200,28.11,1353740400,0.2,converse,17.22,0.36,1353740400converse,42.974898,-105.505917,0.38,,0,0,,0,,1014.89,WY,1353766060,1353799988,56.42,1353787200,34.6,1353823200,1353740400,10,276,9.33
0,2012-11-25 00:00:00,38.34,1353873600,20.13,1353909600,0.84,converse,26.69,0.74,1353826800converse,42.974898,-105.505917,0.42,,0.0025,0.0075,1353866400,0.37,rain,1014.47,WY,1353852531,1353886355,40.35,1353873600,27.63,1353909600,1353826800,7.61,35,2.58
0,2012-11-26 00:00:00,23.02,1353963600,13.02,1353978000,0.52,converse,20.49,0.85,1353913200converse,42.974898,-105.505917,0.45,0.872,0.0032,0.0198,1353949200,0.6,snow,1026.12,WY,1353939001,1353972723,28.33,1353963600,20.52,1353938400,1353913200,7.07,172,0.87
0,2012-11-27 00:00:00,36.59,1354050000,1.94,1354017600,0.01,converse,15.98,0.64,1353999600converse,42.974898,-105.505917,0.48,,0,0,,0,,1023.72,WY,1354025470,1354059094,42.61,1354050000,15.09,1354017600,1353999600,8.93,241,8.3
0,2012-11-28 00:00:00,51.59,1354136400,14.55,1354100400,0,converse,18.61,0.49,1354086000converse,42.974898,-105.505917,0.51,,0,0,,0,,1019.33,WY,1354111939,1354145467,51.59,1354136400,23.96,1354086000,1354086000,9.88,238,6.72
0,2012-11-29 00:00:00,54.35,1354219200,27.94,1354255200,0.05,converse,23.23,0.47,1354172400converse,42.974898,-105.505917,0.54,,0,0,,0,,1013.43,WY,1354198406,1354231843,54.35,1354219200,33.02,1354248000,1354172400,9.97,261,11.18
0,2012-11-30 00:00:00,56.58,1354309200,27.37,1354262400,0.02,converse,26.3,0.48,1354258800converse,42.974898,-105.505917,0.57,,0,0,,0,,1010.59,WY,1354284872,1354318221,56.58,1354309200,34.46,1354262400,1354258800,9.99,224,11.24
0,2012-12-01 00:00:00,55.5,1354395600,37.13,1354366800,0.05,converse,28.13,0.46,1354345200converse,42.974898,-105.505917,0.6,,0,0,,0,,1009.34,WY,1354371336,1354404601,55.5,1354395600,44.11,1354356000,1354345200,10,259,15.28
