,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,71.03,1349132400,43.89,1349100000,0.02,fremont,31.69,0.4,1349071200fremont,43.054831,-108.608935,0.55,,0,0,,0,,1020.52,WY,1349097214,1349139397,71.03,1349132400,43.89,1349100000,1349071200,9.97,283,1.52
0,2012-10-02 00:00:00,76.9,1349211600,45.56,1349175600,0.01,fremont,22.59,0.26,1349157600fremont,43.054831,-108.608935,0.58,,0,0,,0,,1009.57,WY,1349183682,1349225690,76.9,1349211600,48.76,1349182800,1349157600,9.99,253,7.47
0,2012-10-03 00:00:00,57.96,1349247600,25.78,1349326800,0.31,fremont,23.4,0.41,1349244000fremont,43.054831,-108.608935,0.61,,0,0,,0,,1014.14,WY,1349270150,1349311984,57.96,1349247600,33.66,1349326800,1349244000,9.89,344,9.89
0,2012-10-04 00:00:00,47.14,1349388000,22.37,1349352000,0.44,fremont,20.95,0.55,1349330400fremont,43.054831,-108.608935,0.64,,0,0,,0,,1025.34,WY,1349356618,1349398278,47.14,1349388000,26.61,1349355600,1349330400,9.93,53,3.56
0,2012-10-05 00:00:00,38.05,1349467200,19.89,1349499600,0.81,fremont,24.07,0.65,1349416800fremont,43.054831,-108.608935,0.67,,0.0003,0.0022,1349499600,0.06,rain,1024.3,WY,1349443086,1349484573,41.87,1349467200,29.58,1349499600,1349416800,9.65,12,6.31
0,2012-10-06 00:00:00,35.98,1349564400,16.3,1349517600,0.43,fremont,20.43,0.68,1349503200fremont,43.054831,-108.608935,0.7,0.581,0.0022,0.0118,1349517600,0.53,snow,1027.37,WY,1349529555,1349570868,39.73,1349564400,23.28,1349532000,1349503200,8.72,26,1.72
0,2012-10-07 00:00:00,52.82,1349650800,15.64,1349611200,0.07,fremont,16.29,0.47,1349589600fremont,43.054831,-108.608935,0.73,,0,0,,0,,1021.33,WY,1349616024,1349657164,52.82,1349650800,23.24,1349614800,1349589600,10,237,3.08
0,2012-10-08 00:00:00,60.84,1349733600,27.02,1349697600,0.01,fremont,17.62,0.36,1349676000fremont,43.054831,-108.608935,0.77,,0,0,,0,,1012.66,WY,1349702493,1349743460,60.84,1349733600,31.58,1349697600,1349676000,9.99,297,2.34
0,2012-10-09 00:00:00,47.78,1349820000,26.5,1349780400,0.35,fremont,25.95,0.59,1349762400fremont,43.054831,-108.608935,0.8,,0,0,,0,,1017.47,WY,1349788963,1349829757,48.59,1349820000,32.75,1349780400,1349762400,9.64,355,3.23
0,2012-10-10 00:00:00,63.99,1349910000,24.74,1349874000,0.02,fremont,23.54,0.48,1349848800fremont,43.054831,-108.608935,0.83,,0,0,,0,,1016.65,WY,1349875433,1349916055,63.99,1349910000,28.43,1349874000,1349848800,9.98,248,1.55
