,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,67.44,1349128800,43.39,1349154000,0.23,goshen,35.96,0.5,1349071200goshen,42.08958,-104.353482,0.55,,0.0001,0.001,1349071200,0.01,rain,1021.12,WY,1349096171,1349138399,67.44,1349128800,45.64,1349154000,1349071200,9.93,351,5.52
0,2012-10-02 00:00:00,80.45,1349215200,36.8,1349182800,0,goshen,29.44,0.37,1349157600goshen,42.08958,-104.353482,0.58,,0,0,,0,,1009.92,WY,1349182635,1349224695,83.61,1349215200,41.64,1349182800,1349157600,9.93,257,4.44
0,2012-10-03 00:00:00,75.63,1349287200,27.26,1349319600,0.1,goshen,28.73,0.41,1349244000goshen,42.08958,-104.353482,0.61,,0,0,,0,,1011.03,WY,1349269100,1349310991,75.63,1349287200,36.69,1349326800,1349244000,9.89,321,13.04
0,2012-10-04 00:00:00,43.09,1349391600,22.61,1349355600,0.28,goshen,23.19,0.58,1349330400goshen,42.08958,-104.353482,0.64,,0,0,,0,,1027.73,WY,1349355565,1349397289,45.9,1349391600,29.47,1349355600,1349330400,9.97,13,3.16
0,2012-10-05 00:00:00,28,1349420400,22.61,1349438400,0.95,goshen,27.73,0.81,1349416800goshen,42.08958,-104.353482,0.67,,0.0026,0.0153,1349445600,0.56,rain,1027.7,WY,1349442030,1349483586,35.98,1349420400,30.55,1349442000,1349416800,8.16,102,7.07
0,2012-10-06 00:00:00,35.89,1349560800,17.79,1349586000,0.76,goshen,27.04,0.85,1349503200goshen,42.08958,-104.353482,0.7,0.715,0.0035,0.0123,1349528400,0.53,snow,1029,WY,1349528496,1349569884,35.89,1349560800,25.09,1349586000,1349503200,6.77,69,2.69
0,2012-10-07 00:00:00,54.57,1349647200,11.4,1349614800,0.03,goshen,21.67,0.63,1349589600goshen,42.08958,-104.353482,0.73,,0,0,,0,,1021.96,WY,1349614962,1349656183,54.57,1349647200,19.27,1349614800,1349589600,9.94,281,6.01
0,2012-10-08 00:00:00,65.77,1349733600,25.26,1349686800,0.02,goshen,23.62,0.47,1349676000goshen,42.08958,-104.353482,0.77,,0,0,,0,,1012.31,WY,1349701429,1349742482,65.77,1349733600,28.97,1349701200,1349676000,9.98,305,4.66
0,2012-10-09 00:00:00,42.75,1349823600,29.51,1349838000,0.52,goshen,31.16,0.71,1349762400goshen,42.08958,-104.353482,0.8,,0.0002,0.002,1349787600,0.05,rain,1018.14,WY,1349787895,1349828782,46.75,1349823600,30.95,1349845200,1349762400,9.68,354,5.46
0,2012-10-10 00:00:00,66.44,1349906400,20.51,1349859600,0.03,goshen,28.63,0.62,1349848800goshen,42.08958,-104.353482,0.83,,0,0,,0,,1018.26,WY,1349874363,1349915083,66.44,1349906400,24.44,1349874000,1349848800,9.41,207,3.22
0,2012-10-11 00:00:00,52.34,1349989200,28.52,1350018000,0.14,goshen,31.57,0.62,1349935200goshen,42.08958,-104.353482,0.86,,0,0,,0,,1019.97,WY,1349960830,1350001384,52.34,1349989200,36.87,1350018000,1349935200,9.81,73,4.98
0,2012-10-12 00:00:00,63.81,1350079200,23.62,1350046800,0.11,goshen,32.16,0.59,1350021600goshen,42.08958,-104.353482,0.9,,0.0001,0.0013,1350086400,0.02,rain,1016.27,WY,1350047298,1350087686,63.81,1350079200,31.56,1350046800,1350021600,9.81,159,8.77
0,2012-10-13 00:00:00,65.54,1350165600,43,1350115200,0.65,goshen,39.44,0.6,1350108000goshen,42.08958,-104.353482,0.93,,0.005,0.0341,1350136800,0.67,rain,1009.8,WY,1350133766,1350173989,65.54,1350165600,45.71,1350111600,1350108000,9.72,316,8.51
0,2012-10-14 00:00:00,67.73,1350252000,34.75,1350219600,0.11,goshen,33.37,0.51,1350194400goshen,42.08958,-104.353482,0.97,,0,0,,0,,1018.58,WY,1350220235,1350260293,67.73,1350252000,40.24,1350219600,1350194400,9.96,292,8.51
0,2012-10-15 00:00:00,75.9,1350334800,34.53,1350291600,0.06,goshen,30.12,0.44,1350280800goshen,42.08958,-104.353482,0.01,,0,0,,0,,1011.47,WY,1350306704,1350346597,75.9,1350334800,37.4,1350295200,1350280800,9.99,266,8.27
0,2012-10-16 00:00:00,71.49,1350421200,37.84,1350388800,0.29,goshen,35.78,0.49,1350367200goshen,42.08958,-104.353482,0.04,,0.0008,0.0091,1350450000,0.49,rain,1002.27,WY,1350393173,1350432902,71.49,1350421200,41.63,1350388800,1350367200,9.86,276,12.26
0,2012-10-17 00:00:00,51.47,1350504000,28.26,1350536400,0.35,goshen,22.51,0.46,1350453600goshen,42.08958,-104.353482,0.08,,0.0021,0.0308,1350457200,0.65,rain,1008.66,WY,1350479643,1350519209,51.47,1350504000,37.4,1350536400,1350453600,9.97,315,18.21
0,2012-10-18 00:00:00,54.38,1350597600,24.3,1350558000,0.07,goshen,13.93,0.33,1350540000goshen,42.08958,-104.353482,0.12,,0,0,,0,,1017.7,WY,1350566113,1350605516,54.38,1350597600,35.33,1350558000,1350540000,9.88,317,20.54
0,2012-10-19 00:00:00,69.74,1350680400,24.28,1350651600,0,goshen,21.23,0.37,1350626400goshen,42.08958,-104.353482,0.16,,0,0,,0,,1012.49,WY,1350652583,1350691824,69.74,1350680400,30.07,1350651600,1350626400,9.89,288,8.04
0,2012-10-20 00:00:00,75.5,1350766800,40.49,1350734400,0.09,goshen,23.7,0.29,1350712800goshen,42.08958,-104.353482,0.2,,0,0,,0,,1002.92,WY,1350739054,1350778133,75.5,1350766800,45.06,1350734400,1350712800,9.85,255,8.21
0,2012-10-21 00:00:00,62.03,1350856800,37.36,1350882000,0.13,goshen,33.47,0.55,1350799200goshen,42.08958,-104.353482,0.23,,0,0,,0,,1008.56,WY,1350825525,1350864444,62.03,1350856800,41.17,1350882000,1350799200,9.98,58,3.98
0,2012-10-22 00:00:00,60.47,1350943200,35.22,1350889200,0.39,goshen,37.93,0.73,1350885600goshen,42.08958,-104.353482,0.27,,0,0,,0,,1009.77,WY,1350911997,1350950755,60.47,1350943200,38.46,1350889200,1350885600,9.44,129,6.97
0,2012-10-23 00:00:00,71.08,1351022400,37.72,1350986400,0.16,goshen,36.35,0.62,1350972000goshen,42.08958,-104.353482,0.3,,0,0,,0,,1005.45,WY,1350998469,1351037068,71.08,1351022400,41.23,1350997200,1350972000,7.76,319,2.83
0,2012-10-24 00:00:00,39.71,1351058400,18.41,1351130400,0.94,goshen,33.25,0.85,1351058400goshen,42.08958,-104.353482,0.34,,0.0063,0.0237,1351112400,0.62,rain,1013.73,WY,1351084941,1351123381,43.45,1351058400,28.86,1351141200,1351058400,6.67,10,7.67
0,2012-10-25 00:00:00,34.19,1351202400,15.09,1351170000,0.56,goshen,23.71,0.86,1351144800goshen,42.08958,-104.353482,0.37,0.44,0.0018,0.01,1351184400,0.5,snow,1025.89,WY,1351171414,1351209696,34.19,1351202400,21.05,1351173600,1351144800,8.97,340,3.36
0,2012-10-26 00:00:00,26.93,1351285200,17.06,1351256400,0.52,goshen,22.66,0.81,1351231200goshen,42.08958,-104.353482,0.4,0.32,0.0013,0.0055,1351231200,0.24,snow,1030.97,WY,1351257887,1351296012,34.17,1351285200,21.92,1351260000,1351231200,8.69,212,3.43
0,2012-10-27 00:00:00,42.93,1351375200,21.66,1351346400,0.27,goshen,23.66,0.67,1351317600goshen,42.08958,-104.353482,0.44,,0,0,,0,,1021.56,WY,1351344360,1351382330,46.45,1351375200,27.33,1351342800,1351317600,9.62,280,2.47
0,2012-10-28 00:00:00,57.36,1351461600,21.98,1351429200,0.27,goshen,29.95,0.68,1351404000goshen,42.08958,-104.353482,0.47,,0,0,,0,,1017.93,WY,1351430834,1351468648,57.36,1351461600,27.74,1351414800,1351404000,9.97,249,5.63
0,2012-10-29 00:00:00,66.28,1351537200,31.41,1351501200,0.06,goshen,35.18,0.62,1351490400goshen,42.08958,-104.353482,0.49,,0,0,,0,,1015.88,WY,1351517307,1351554968,66.28,1351537200,35.88,1351504800,1351490400,9.96,273,7.19
0,2012-10-30 00:00:00,67.98,1351630800,33.98,1351602000,0.02,goshen,32.94,0.55,1351576800goshen,42.08958,-104.353482,0.53,,0,0,,0,,1017.25,WY,1351603781,1351641290,67.98,1351630800,39.15,1351598400,1351576800,9.99,298,6.79
0,2012-10-31 00:00:00,68.92,1351717200,26.58,1351684800,0,goshen,30.17,0.57,1351663200goshen,42.08958,-104.353482,0.56,,0,0,,0,,1018.25,WY,1351690256,1351727613,68.92,1351717200,31.9,1351684800,1351663200,10,293,4.99
0,2012-11-01 00:00:00,63.4,1351803600,27.62,1351767600,0.02,goshen,31.43,0.61,1351749600goshen,42.08958,-104.353482,0.59,,0,0,,0,,1014.08,WY,1351776730,1351813937,63.4,1351803600,31.82,1351764000,1351749600,9.99,236,4.51
0,2012-11-02 00:00:00,59.01,1351890000,30.72,1351918800,0.09,goshen,29.29,0.5,1351836000goshen,42.08958,-104.353482,0.62,,0,0,,0,,1015.5,WY,1351863205,1351900262,59.01,1351890000,34.61,1351918800,1351836000,9.73,317,7.71
0,2012-11-03 00:00:00,58.68,1351976400,18.96,1351944000,0.02,goshen,25.37,0.62,1351922400goshen,42.08958,-104.353482,0.65,,0,0,,0,,1021.55,WY,1351949680,1351986590,58.68,1351976400,25.23,1351944000,1351922400,9.99,289,4.26
0,2012-11-04 00:00:00,59.65,1352059200,24.09,1352023200,0.31,goshen,28.51,0.59,1352008800goshen,42.08958,-104.353482,0.68,,0,0,,0,,1021.4,WY,1352036155,1352072918,59.65,1352059200,30.55,1352012400,1352008800,10,314,8.89
0,2012-11-05 00:00:00,62.28,1352149200,31,1352113200,0.25,goshen,32,0.59,1352098800goshen,42.08958,-104.353482,0.71,,0.0005,0.011,1352138400,0.52,rain,1020.62,WY,1352122630,1352159249,62.28,1352149200,36.3,1352120400,1352098800,9.96,291,7.35
0,2012-11-06 00:00:00,62.5,1352239200,29.66,1352268000,0.02,goshen,30.05,0.56,1352185200goshen,42.08958,-104.353482,0.75,,0,0,,0,,1021.62,WY,1352209106,1352245580,62.5,1352239200,33.63,1352268000,1352185200,9.97,311,4.85
0,2012-11-07 00:00:00,73.87,1352322000,25.13,1352289600,0,goshen,24.26,0.47,1352271600goshen,42.08958,-104.353482,0.78,,0,0,,0,,1013.98,WY,1352295581,1352331914,73.87,1352322000,28.62,1352293200,1352271600,9.95,251,6.38
0,2012-11-08 00:00:00,54.19,1352408400,27.8,1352440800,0.01,goshen,27.99,0.57,1352358000goshen,42.08958,-104.353482,0.81,,0,0,,0,,1012.31,WY,1352382056,1352418249,54.19,1352408400,34.71,1352440800,1352358000,9.95,95,4.36
0,2012-11-09 00:00:00,51.65,1352494800,23.36,1352466000,0.24,goshen,31.43,0.76,1352444400goshen,42.08958,-104.353482,0.85,,0,0,,0,,1005.21,WY,1352468532,1352504586,51.65,1352494800,32.41,1352469600,1352444400,8.69,120,9.76
0,2012-11-10 00:00:00,31.45,1352541600,2.33,1352613600,0.82,goshen,24,0.86,1352530800goshen,42.08958,-104.353482,0.88,1.195,0.0038,0.0439,1352595600,0.7,snow,1005.58,WY,1352555007,1352590924,34.33,1352541600,14.62,1352613600,1352530800,5.57,348,8.93
