,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,71.62,1349132400,42.5,1349096400,0.06,hot springs,33.03,0.44,1349071200hot springs,43.720209,-108.435076,0.55,,0,0,,0,,1020.83,WY,1349097188,1349139340,71.62,1349132400,42.5,1349096400,1349071200,9.97,217,1.33
0,2012-10-02 00:00:00,76.08,1349211600,46.76,1349182800,0.01,hot springs,24.15,0.27,1349157600hot springs,43.720209,-108.435076,0.58,,0,0,,0,,1008.85,WY,1349183658,1349225631,76.08,1349211600,48.28,1349182800,1349157600,9.97,235,5.76
0,2012-10-03 00:00:00,57.06,1349244000,22.54,1349326800,0.4,hot springs,26.99,0.54,1349244000hot springs,43.720209,-108.435076,0.61,,0,0,,0,,1016.34,WY,1349270127,1349311923,57.06,1349244000,32.4,1349326800,1349244000,9.61,321,15.22
0,2012-10-04 00:00:00,44.31,1349388000,22.21,1349330400,0.61,hot springs,23.63,0.64,1349330400hot springs,43.720209,-108.435076,0.64,,0.0001,0.0011,1349413200,0.02,rain,1027.01,WY,1349356597,1349398215,44.31,1349388000,27.6,1349355600,1349330400,9.73,17,2.7
0,2012-10-05 00:00:00,37.3,1349463600,18.46,1349499600,0.89,hot springs,26.29,0.74,1349416800hot springs,43.720209,-108.435076,0.67,0.296,0.0016,0.0066,1349424000,0.31,snow,1026.3,WY,1349443068,1349484507,41.11,1349463600,29.58,1349499600,1349416800,8.98,340,7.99
0,2012-10-06 00:00:00,36.3,1349564400,12.96,1349524800,0.42,hot springs,19.99,0.68,1349503200hot springs,43.720209,-108.435076,0.7,0.332,0.0012,0.0073,1349517600,0.36,snow,1028.58,WY,1349529539,1349570801,39.62,1349564400,21.41,1349528400,1349503200,9.32,315,1.68
0,2012-10-07 00:00:00,52.26,1349650800,20.02,1349614800,0.14,hot springs,18.6,0.49,1349589600hot springs,43.720209,-108.435076,0.73,,0,0,,0,,1020.92,WY,1349616010,1349657094,52.26,1349650800,25.8,1349614800,1349589600,10,195,3.29
0,2012-10-08 00:00:00,56.58,1349733600,33.5,1349701200,0.06,hot springs,21,0.42,1349676000hot springs,43.720209,-108.435076,0.77,,0,0,,0,,1013.29,WY,1349702481,1349743389,56.58,1349733600,33.5,1349701200,1349676000,10,326,3.41
0,2012-10-09 00:00:00,42.89,1349820000,24.97,1349780400,0.51,hot springs,27.29,0.66,1349762400hot springs,43.720209,-108.435076,0.8,,0.0001,0.0011,1349773200,0.02,rain,1018.88,WY,1349788953,1349829684,46.68,1349820000,32.75,1349784000,1349762400,9.02,330,5.9
0,2012-10-10 00:00:00,63.19,1349910000,22.22,1349874000,0.01,hot springs,24.12,0.49,1349848800hot springs,43.720209,-108.435076,0.83,,0,0,,0,,1016.71,WY,1349875425,1349915979,63.19,1349910000,28.45,1349874000,1349848800,9.99,180,2.74
0,2012-10-11 00:00:00,54.43,1349996400,32,1349960400,0.25,hot springs,31.19,0.6,1349935200hot springs,43.720209,-108.435076,0.86,,0,0,,0,,1018.1,WY,1349961897,1350002276,54.43,1349996400,36.39,1349964000,1349935200,9.9,17,2.22
0,2012-10-12 00:00:00,64.64,1350082800,27.98,1350043200,0.11,hot springs,32.01,0.57,1350021600hot springs,43.720209,-108.435076,0.9,,0,0,,0,,1012.26,WY,1350048370,1350088573,64.64,1350082800,33.67,1350046800,1350021600,9.99,158,6.01
0,2012-10-13 00:00:00,59.17,1350158400,38.22,1350126000,0.4,hot springs,32.65,0.52,1350108000hot springs,43.720209,-108.435076,0.93,,0,0,,0,,1012.49,WY,1350134843,1350174871,59.17,1350158400,42.28,1350136800,1350108000,9.87,311,6.94
0,2012-10-14 00:00:00,62.68,1350252000,34.07,1350219600,0.02,hot springs,28.82,0.47,1350194400hot springs,43.720209,-108.435076,0.97,,0,0,,0,,1020.02,WY,1350221317,1350261169,62.68,1350252000,38.74,1350219600,1350194400,9.99,230,2.9
0,2012-10-15 00:00:00,60.53,1350338400,40.76,1350302400,0.22,hot springs,30.19,0.45,1350280800hot springs,43.720209,-108.435076,0.01,,0.0001,0.0014,1350349200,0.03,rain,1012.12,WY,1350307790,1350347469,60.53,1350338400,44.29,1350309600,1350280800,10,232,6.87
0,2012-10-16 00:00:00,58.93,1350417600,32.99,1350450000,0.35,hot springs,34.79,0.6,1350367200hot springs,43.720209,-108.435076,0.04,,0.0042,0.0223,1350428400,0.61,rain,1002.76,WY,1350394265,1350433770,58.93,1350417600,40.33,1350450000,1350367200,9.83,251,7.45
0,2012-10-17 00:00:00,37.67,1350511200,23.14,1350475200,0.18,hot springs,13.78,0.36,1350453600hot springs,43.720209,-108.435076,0.08,,0,0,,0,,1012.75,WY,1350480739,1350520071,46.21,1350511200,31.66,1350482400,1350453600,10,310,15.25
0,2012-10-18 00:00:00,50.52,1350597600,17.95,1350550800,0.01,hot springs,14.9,0.4,1350540000hot springs,43.720209,-108.435076,0.12,,0,0,,0,,1022.43,WY,1350567214,1350606373,50.52,1350597600,27.18,1350565200,1350540000,10,296,5.54
0,2012-10-19 00:00:00,57.56,1350680400,27.55,1350640800,0.16,hot springs,21.23,0.41,1350626400hot springs,43.720209,-108.435076,0.16,,0,0,,0,,1014.02,WY,1350653690,1350692677,57.56,1350680400,31.82,1350651600,1350626400,10,218,5.46
0,2012-10-20 00:00:00,65.11,1350766800,38.59,1350720000,0.21,hot springs,27.56,0.39,1350712800hot springs,43.720209,-108.435076,0.2,,0,0,,0,,1002.74,WY,1350740165,1350778981,65.11,1350766800,43.4,1350738000,1350712800,9.98,239,8.2
0,2012-10-21 00:00:00,47.11,1350856800,35.7,1350813600,0.6,hot springs,32.97,0.67,1350799200hot springs,43.720209,-108.435076,0.23,,0.0004,0.0027,1350817200,0.08,rain,1008.55,WY,1350826642,1350865287,49.11,1350856800,38.67,1350828000,1350799200,9.81,31,1.23
0,2012-10-22 00:00:00,45.08,1350946800,33.25,1350907200,0.72,hot springs,37.08,0.83,1350885600hot springs,43.720209,-108.435076,0.27,,0.0057,0.0187,1350961200,0.59,rain,1006.53,WY,1350913118,1350951593,48.74,1350946800,37.15,1350910800,1350885600,9.04,141,4.26
0,2012-10-23 00:00:00,37.7,1351022400,30.59,1351047600,0.74,hot springs,31.29,0.75,1350972000hot springs,43.720209,-108.435076,0.3,,0.0027,0.0166,1350997200,0.57,rain,1006.88,WY,1350999595,1351037901,42.2,1351022400,33.47,1351054800,1350972000,8.69,216,5
0,2012-10-24 00:00:00,28.46,1351112400,24.52,1351094400,0.64,hot springs,23.19,0.72,1351058400hot springs,43.720209,-108.435076,0.34,,0.0007,0.0026,1351101600,0.08,rain,1016.35,WY,1351086072,1351124210,35.43,1351112400,25.2,1351141200,1351058400,9.02,329,3.01
0,2012-10-25 00:00:00,23.13,1351195200,11.1,1351227600,0.82,hot springs,21.25,0.84,1351144800hot springs,43.720209,-108.435076,0.37,0.756,0.0027,0.0105,1351216800,0.51,snow,1025.13,WY,1351172549,1351210520,29.35,1351195200,21.77,1351227600,1351144800,7.93,357,3.12
0,2012-10-26 00:00:00,26.47,1351292400,9.87,1351260000,0.49,hot springs,18.76,0.76,1351231200hot springs,43.720209,-108.435076,0.4,0.111,0.0004,0.0032,1351231200,0.11,snow,1028.93,WY,1351259027,1351296831,32.95,1351292400,16.99,1351260000,1351231200,9.24,175,4
0,2012-10-27 00:00:00,37.35,1351375200,16.02,1351339200,0.43,hot springs,20.94,0.64,1351317600hot springs,43.720209,-108.435076,0.44,,0.0007,0.0024,1351389600,0.07,rain,1019.95,WY,1351345505,1351383144,41.78,1351375200,24.56,1351342800,1351317600,9.83,217,4.36
0,2012-10-28 00:00:00,52.71,1351461600,24.46,1351414800,0.33,hot springs,28.49,0.62,1351404000hot springs,43.720209,-108.435076,0.47,,0.0017,0.0071,1351425600,0.35,rain,1015.82,WY,1351431983,1351469458,52.71,1351461600,30.96,1351425600,1351404000,9.86,210,5.8
0,2012-10-29 00:00:00,59.26,1351548000,36.23,1351515600,0.34,hot springs,33.86,0.57,1351490400hot springs,43.720209,-108.435076,0.49,,0.0004,0.0019,1351490400,0.05,rain,1015.37,WY,1351518462,1351555773,59.26,1351548000,41.85,1351515600,1351490400,9.9,224,9.09
