,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,66.01,1349128800,42.12,1349154000,0.24,laramie,37.25,0.52,1349071200laramie,41.29283,-104.660395,0.55,,0.0002,0.0035,1349089200,0.13,rain,1022.19,WY,1349096227,1349138490,66.01,1349128800,44.23,1349154000,1349071200,9.96,357,6.65
0,2012-10-02 00:00:00,78.97,1349215200,39.6,1349175600,0,laramie,29.87,0.38,1349157600laramie,41.29283,-104.660395,0.58,,0,0,,0,,1011.57,WY,1349182689,1349224788,81.46,1349215200,43.51,1349175600,1349157600,9.96,268,7.31
0,2012-10-03 00:00:00,77.21,1349287200,24.89,1349323200,0.08,laramie,27.56,0.4,1349244000laramie,41.29283,-104.660395,0.61,,0,0,,0,,1011.64,WY,1349269151,1349311087,77.21,1349287200,34.54,1349326800,1349244000,9.86,318,10.45
0,2012-10-04 00:00:00,38.64,1349388000,23.16,1349355600,0.41,laramie,23.41,0.63,1349330400laramie,41.29283,-104.660395,0.64,,0,0,,0,,1029.01,WY,1349355614,1349397387,42.2,1349388000,28.92,1349355600,1349330400,9.86,42,2.26
0,2012-10-05 00:00:00,29.08,1349470800,22.16,1349427600,0.91,laramie,26.28,0.77,1349416800laramie,41.29283,-104.660395,0.67,0.21,0.0011,0.006,1349445600,0.27,snow,1028.14,WY,1349442077,1349483687,35.31,1349470800,29.93,1349442000,1349416800,9.12,106,5.72
0,2012-10-06 00:00:00,25.63,1349557200,19.39,1349586000,0.83,laramie,26.2,0.85,1349503200laramie,41.29283,-104.660395,0.7,1.027,0.0048,0.0215,1349539200,0.61,snow,1029.99,WY,1349528541,1349569987,33.11,1349557200,27.6,1349586000,1349503200,7.15,77,3.27
0,2012-10-07 00:00:00,52.47,1349647200,11.67,1349614800,0.09,laramie,19.68,0.58,1349589600laramie,41.29283,-104.660395,0.73,,0,0,,0,,1024.37,WY,1349615004,1349656288,52.47,1349647200,19.85,1349614800,1349589600,9.9,278,5.68
0,2012-10-08 00:00:00,66.81,1349733600,23.72,1349686800,0,laramie,18.13,0.36,1349676000laramie,41.29283,-104.660395,0.77,,0,0,,0,,1012.95,WY,1349701469,1349742590,66.81,1349733600,29.92,1349683200,1349676000,9.98,279,6.38
0,2012-10-09 00:00:00,39.5,1349762400,29.7,1349841600,0.53,laramie,31.75,0.74,1349762400laramie,41.29283,-104.660395,0.8,,0,0,,0,,1018.62,WY,1349787933,1349828892,43.81,1349762400,34.01,1349845200,1349762400,9.34,11,3.54
