,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,72.32,1349132400,41.08,1349096400,0,lincoln,31.66,0.43,1349071200lincoln,42.229993,-110.682961,0.55,,0,0,,0,,1021.13,WY,1349097694,1349139913,72.32,1349132400,41.08,1349096400,1349071200,9.99,252,1.82
0,2012-10-02 00:00:00,74.63,1349211600,38.7,1349182800,0.01,lincoln,26.87,0.35,1349157600lincoln,42.229993,-110.682961,0.58,,0,0,,0,,1013.35,WY,1349184159,1349226209,74.63,1349211600,40.89,1349182800,1349157600,9.97,238,6.36
0,2012-10-03 00:00:00,58.7,1349290800,32.31,1349323200,0.05,lincoln,20.45,0.32,1349244000lincoln,42.229993,-110.682961,0.61,,0,0,,0,,1014.12,WY,1349270624,1349312505,58.7,1349290800,35.77,1349326800,1349244000,9.96,289,5.24
0,2012-10-04 00:00:00,54.42,1349388000,24.85,1349355600,0.1,lincoln,18.6,0.47,1349330400lincoln,42.229993,-110.682961,0.64,,0,0,,0,,1020.74,WY,1349357090,1349398801,54.42,1349388000,24.85,1349355600,1349330400,10,22,1.14
0,2012-10-05 00:00:00,50.58,1349474400,26.71,1349442000,0.19,lincoln,16.61,0.42,1349416800lincoln,42.229993,-110.682961,0.67,,0,0,,0,,1020.66,WY,1349443556,1349485099,50.58,1349474400,26.71,1349442000,1349416800,9.95,330,2.92
0,2012-10-06 00:00:00,48.09,1349564400,16.61,1349532000,0.1,lincoln,13.57,0.45,1349503200lincoln,42.229993,-110.682961,0.7,0.166,0.0007,0.0043,1349517600,0.17,snow,1023.36,WY,1349530022,1349571396,48.09,1349564400,22.63,1349532000,1349503200,9.75,40,1.91
0,2012-10-07 00:00:00,54.94,1349650800,19,1349607600,0,lincoln,10.84,0.36,1349589600lincoln,42.229993,-110.682961,0.73,,0,0,,0,,1021.5,WY,1349616488,1349657695,54.94,1349650800,20.83,1349614800,1349589600,10,242,1.56
0,2012-10-08 00:00:00,63.05,1349733600,26.32,1349697600,0.01,lincoln,11.54,0.31,1349676000lincoln,42.229993,-110.682961,0.77,,0,0,,0,,1015.24,WY,1349702955,1349743993,63.05,1349733600,26.32,1349697600,1349676000,9.97,251,4.66
0,2012-10-09 00:00:00,60.75,1349820000,30.71,1349787600,0.02,lincoln,17.75,0.35,1349762400lincoln,42.229993,-110.682961,0.8,,0,0,,0,,1014.88,WY,1349789422,1349830293,60.75,1349820000,30.71,1349787600,1349762400,9.98,294,3.19
