,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,74.01,1349132400,37.83,1349096400,0.09,sheridan,36.06,0.5,1349071200sheridan,44.781369,-106.881211,0.55,,0,0,,0,,1020.84,WY,1349096840,1349138942,74.01,1349132400,39.91,1349096400,1349071200,9.97,174,1.97
0,2012-10-02 00:00:00,78.74,1349215200,44.94,1349157600,0.02,sheridan,30.84,0.32,1349157600sheridan,44.781369,-106.881211,0.58,,0,0,,0,,1007.3,WY,1349183313,1349225230,80.69,1349215200,48.01,1349157600,1349157600,9.99,232,0.77
0,2012-10-03 00:00:00,57.8,1349244000,24.57,1349294400,0.57,sheridan,32.88,0.75,1349244000sheridan,44.781369,-106.881211,0.61,,0.0019,0.0083,1349287200,0.43,rain,1019.28,WY,1349269786,1349311518,57.8,1349244000,34.03,1349323200,1349244000,9.11,322,16.86
0,2012-10-04 00:00:00,41.9,1349384400,26.27,1349337600,0.93,sheridan,29.76,0.78,1349330400sheridan,44.781369,-106.881211,0.64,,0.0011,0.008,1349406000,0.41,rain,1030.05,WY,1349356260,1349397807,41.9,1349384400,30.54,1349348400,1349330400,9.64,358,2.34
0,2012-10-05 00:00:00,36.71,1349463600,21.69,1349499600,0.98,sheridan,30.97,0.89,1349416800sheridan,44.781369,-106.881211,0.67,,0.0058,0.0422,1349485200,0.69,rain,1029.54,WY,1349442733,1349484096,40.03,1349463600,29.91,1349496000,1349416800,6.94,339,4.08
0,2012-10-06 00:00:00,38.99,1349564400,13.57,1349532000,0.31,sheridan,22.13,0.75,1349503200sheridan,44.781369,-106.881211,0.7,0.015,0.0001,0.001,1349510400,0.01,snow,1029.92,WY,1349529207,1349570386,40.67,1349564400,20.31,1349532000,1349503200,9.73,216,2.77
0,2012-10-07 00:00:00,57.57,1349643600,24.62,1349589600,0.25,sheridan,27.07,0.55,1349589600sheridan,44.781369,-106.881211,0.73,,0,0,,0,,1018.66,WY,1349615682,1349656676,57.57,1349643600,31.28,1349614800,1349589600,10,224,4.65
0,2012-10-08 00:00:00,52.8,1349726400,31.41,1349758800,0.41,sheridan,31.41,0.58,1349676000sheridan,44.781369,-106.881211,0.77,,0.0006,0.003,1349751600,0.1,rain,1013.01,WY,1349702157,1349742967,52.8,1349726400,38.26,1349690400,1349676000,9.98,320,6.83
0,2012-10-09 00:00:00,51.04,1349820000,26.61,1349776800,0.62,sheridan,30.75,0.72,1349762400sheridan,44.781369,-106.881211,0.8,,0.0007,0.0081,1349773200,0.42,rain,1020.03,WY,1349788632,1349829259,51.04,1349820000,34.52,1349784000,1349762400,9.71,310,6.71
