,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,70.05,1349128800,40.73,1349096400,0.01,sweetwater,31.07,0.42,1349071200sweetwater,41.660328,-108.875677,0.55,,0,0,,0,,1021.42,WY,1349097247,1349139492,70.05,1349128800,43.22,1349096400,1349071200,9.97,282,2.32
0,2012-10-02 00:00:00,74.32,1349211600,39.36,1349182800,0.01,sweetwater,25.49,0.31,1349157600sweetwater,41.660328,-108.875677,0.58,,0,0,,0,,1013.26,WY,1349183710,1349225790,74.32,1349211600,44.51,1349179200,1349157600,10,260,11.6
0,2012-10-03 00:00:00,63.92,1349294400,27.04,1349326800,0.06,sweetwater,22.58,0.34,1349244000sweetwater,41.660328,-108.875677,0.61,,0,0,,0,,1013.34,WY,1349270174,1349312088,63.92,1349294400,34.55,1349326800,1349244000,9.93,287,7.06
0,2012-10-04 00:00:00,53.42,1349388000,17.7,1349355600,0.13,sweetwater,19.87,0.52,1349330400sweetwater,41.660328,-108.875677,0.64,,0,0,,0,,1022.17,WY,1349356638,1349398386,53.42,1349388000,24.64,1349355600,1349330400,9.99,64,4.59
0,2012-10-05 00:00:00,47.91,1349478000,22.3,1349442000,0.26,sweetwater,19.1,0.47,1349416800sweetwater,41.660328,-108.875677,0.67,,0,0,,0,,1020.54,WY,1349443102,1349484685,49.87,1349478000,27.87,1349442000,1349416800,9.92,28,4.24
0,2012-10-06 00:00:00,41.2,1349560800,12.7,1349528400,0.18,sweetwater,16.08,0.54,1349503200sweetwater,41.660328,-108.875677,0.7,0.189,0.0007,0.0044,1349517600,0.18,snow,1024.51,WY,1349529567,1349570984,42.84,1349560800,22.68,1349528400,1349503200,9.66,58,4.15
0,2012-10-07 00:00:00,52.52,1349650800,18.71,1349604000,0.01,sweetwater,9.34,0.36,1349589600sweetwater,41.660328,-108.875677,0.73,,0,0,,0,,1021.89,WY,1349616031,1349657284,52.52,1349650800,20.58,1349614800,1349589600,10,249,4.11
0,2012-10-08 00:00:00,62.95,1349733600,23.01,1349697600,0,sweetwater,8.81,0.25,1349676000sweetwater,41.660328,-108.875677,0.77,,0,0,,0,,1014.53,WY,1349702497,1349743585,62.95,1349733600,29.79,1349697600,1349676000,9.8,257,10.63
0,2012-10-09 00:00:00,60.8,1349820000,29.44,1349787600,0.04,sweetwater,18.16,0.34,1349762400sweetwater,41.660328,-108.875677,0.8,,0,0,,0,,1014.53,WY,1349788962,1349829886,60.8,1349820000,34.32,1349787600,1349762400,9.97,285,4.92
0,2012-10-10 00:00:00,67.2,1349910000,27.35,1349874000,0.06,sweetwater,21.62,0.4,1349848800sweetwater,41.660328,-108.875677,0.83,,0,0,,0,,1016.36,WY,1349875428,1349916188,67.2,1349910000,30.62,1349874000,1349848800,9.97,251,4.85
0,2012-10-11 00:00:00,66.28,1349985600,44.21,1349964000,0.29,sweetwater,27.29,0.36,1349935200sweetwater,41.660328,-108.875677,0.86,,0,0,,0,,1013.55,WY,1349961894,1350002490,66.28,1349985600,44.21,1349964000,1349935200,9.98,214,2.49
0,2012-10-12 00:00:00,56.95,1350072000,39.51,1350104400,0.4,sweetwater,33.11,0.56,1350021600sweetwater,41.660328,-108.875677,0.9,,0.0026,0.012,1350090000,0.53,rain,1012.35,WY,1350048361,1350088794,56.95,1350072000,41.97,1350046800,1350021600,9.85,198,5.6
0,2012-10-13 00:00:00,55.02,1350162000,33.57,1350129600,0.62,sweetwater,37.01,0.71,1350108000sweetwater,41.660328,-108.875677,0.93,,0.0013,0.0047,1350140400,0.19,rain,1016.43,WY,1350134828,1350175098,55.02,1350162000,40.11,1350126000,1350108000,9.71,259,11.19
0,2012-10-14 00:00:00,60.63,1350252000,32.19,1350219600,0.13,sweetwater,32.98,0.58,1350194400sweetwater,41.660328,-108.875677,0.97,,0,0,,0,,1023.1,WY,1350221295,1350261403,60.63,1350252000,38.66,1350219600,1350194400,9.99,251,10.37
0,2012-10-15 00:00:00,63.44,1350334800,34.04,1350309600,0.05,sweetwater,30.71,0.49,1350280800sweetwater,41.660328,-108.875677,0.01,,0,0,,0,,1016.61,WY,1350307763,1350347708,63.44,1350334800,39.27,1350309600,1350280800,10,259,10.78
0,2012-10-16 00:00:00,62.23,1350414000,32.28,1350450000,0.37,sweetwater,34.06,0.57,1350367200sweetwater,41.660328,-108.875677,0.04,,0.0015,0.0079,1350428400,0.4,rain,1007.78,WY,1350394231,1350434015,62.23,1350414000,41.08,1350450000,1350367200,9.67,256,16.07
0,2012-10-17 00:00:00,40.73,1350511200,20.75,1350482400,0.01,sweetwater,14.59,0.39,1350453600sweetwater,41.660328,-108.875677,0.08,,0,0,,0,,1015.48,WY,1350480699,1350520322,48.21,1350511200,30.21,1350478800,1350453600,9.99,272,16.44
0,2012-10-18 00:00:00,55.78,1350597600,19.79,1350561600,0.01,sweetwater,14.86,0.36,1350540000sweetwater,41.660328,-108.875677,0.12,,0,0,,0,,1022.48,WY,1350567168,1350606631,55.78,1350597600,28.89,1350565200,1350540000,10,267,12.5
0,2012-10-19 00:00:00,61.85,1350680400,26.34,1350651600,0.08,sweetwater,21.5,0.39,1350626400sweetwater,41.660328,-108.875677,0.16,,0,0,,0,,1016.41,WY,1350653637,1350692940,61.85,1350680400,33.71,1350651600,1350626400,10,254,9.59
0,2012-10-20 00:00:00,66.8,1350770400,39.01,1350734400,0.43,sweetwater,23.01,0.33,1350712800sweetwater,41.660328,-108.875677,0.2,,0,0,,0,,1005.98,WY,1350740107,1350779251,66.8,1350770400,42.45,1350734400,1350712800,10,244,8.96
0,2012-10-21 00:00:00,59.56,1350853200,39.24,1350820800,0.52,sweetwater,29.58,0.47,1350799200sweetwater,41.660328,-108.875677,0.23,,0.0001,0.0015,1350878400,0.03,rain,1006.1,WY,1350826577,1350865563,59.56,1350853200,40.69,1350824400,1350799200,9.95,260,4.56
0,2012-10-22 00:00:00,59.15,1350939600,39.11,1350914400,0.56,sweetwater,37.76,0.64,1350885600sweetwater,41.660328,-108.875677,0.27,,0.0019,0.0063,1350961200,0.29,rain,1003.82,WY,1350913047,1350951875,59.15,1350939600,42.27,1350914400,1350885600,9.79,210,11.88
0,2012-10-23 00:00:00,41.52,1350972000,30.24,1351054800,0.74,sweetwater,32.26,0.74,1350972000sweetwater,41.660328,-108.875677,0.3,,0.0015,0.0101,1350997200,0.51,rain,1007.89,WY,1350999518,1351038189,47.91,1350972000,33.38,1351054800,1350972000,8.07,266,6.92
0,2012-10-24 00:00:00,29.86,1351058400,18.5,1351141200,0.8,sweetwater,25.48,0.83,1351058400sweetwater,41.660328,-108.875677,0.34,0.532,0.0026,0.0149,1351101600,0.56,snow,1015.75,WY,1351085989,1351124504,33.09,1351058400,24.75,1351141200,1351058400,6.7,296,2.81
0,2012-10-25 00:00:00,22.8,1351202400,12.3,1351227600,0.59,sweetwater,20.6,0.83,1351144800sweetwater,41.660328,-108.875677,0.37,0.348,0.0014,0.008,1351216800,0.41,snow,1024.09,WY,1351172460,1351210820,30.96,1351202400,21.06,1351166400,1351144800,8.19,246,4.33
0,2012-10-26 00:00:00,24.83,1351288800,6.63,1351256400,0.39,sweetwater,17.87,0.75,1351231200sweetwater,41.660328,-108.875677,0.4,0.058,0.0002,0.0022,1351231200,0.06,snow,1029.85,WY,1351258932,1351297137,32.38,1351288800,17.19,1351252800,1351231200,9.59,242,7.41
0,2012-10-27 00:00:00,34.77,1351375200,16.47,1351339200,0.61,sweetwater,22.74,0.64,1351317600sweetwater,41.660328,-108.875677,0.44,,0,0,,0,,1021.7,WY,1351345404,1351383456,42.77,1351375200,26.19,1351321200,1351317600,9.83,253,10.56
0,2012-10-28 00:00:00,51.82,1351461600,26.99,1351414800,0.63,sweetwater,30.88,0.64,1351404000sweetwater,41.660328,-108.875677,0.47,,0,0,,0,,1019.14,WY,1351431877,1351469776,51.82,1351461600,35.36,1351414800,1351404000,9.88,246,10.36
0,2012-10-29 00:00:00,59.78,1351544400,31.89,1351515600,0.25,sweetwater,32.65,0.58,1351490400sweetwater,41.660328,-108.875677,0.49,,0,0,,0,,1019.45,WY,1351518349,1351556097,59.78,1351544400,38.41,1351515600,1351490400,9.91,256,9.67
0,2012-10-30 00:00:00,59.8,1351634400,30.13,1351598400,0.02,sweetwater,28.07,0.51,1351576800sweetwater,41.660328,-108.875677,0.53,,0,0,,0,,1020.58,WY,1351604822,1351642420,59.8,1351634400,35.53,1351602000,1351576800,10,254,8.23
0,2012-10-31 00:00:00,63.07,1351720800,31.79,1351688400,0.01,sweetwater,26.48,0.47,1351663200sweetwater,41.660328,-108.875677,0.56,,0,0,,0,,1019.93,WY,1351691295,1351728744,63.07,1351720800,34.6,1351688400,1351663200,10,227,3.33
0,2012-11-01 00:00:00,59.44,1351800000,33.98,1351774800,0.15,sweetwater,24.94,0.44,1351749600sweetwater,41.660328,-108.875677,0.59,,0,0,,0,,1014.16,WY,1351777769,1351815069,59.44,1351800000,37.06,1351774800,1351749600,9.99,244,6.16
0,2012-11-02 00:00:00,52.89,1351890000,28.54,1351864800,0.1,sweetwater,23.83,0.49,1351836000sweetwater,41.660328,-108.875677,0.62,,0,0,,0,,1017.46,WY,1351864242,1351901396,52.89,1351890000,34.33,1351864800,1351836000,9.99,268,7.02
0,2012-11-03 00:00:00,53.35,1351980000,22.48,1351944000,0.02,sweetwater,20.38,0.5,1351922400sweetwater,41.660328,-108.875677,0.65,,0,0,,0,,1022.75,WY,1351950716,1351987724,53.35,1351980000,27.02,1351951200,1351922400,10,257,6.78
0,2012-11-04 00:00:00,55.51,1352066400,27.79,1352037600,0.08,sweetwater,24.95,0.5,1352008800sweetwater,41.660328,-108.875677,0.68,,0,0,,0,,1025.18,WY,1352037190,1352074054,55.51,1352066400,35.25,1352034000,1352008800,10,262,9.5
0,2012-11-05 00:00:00,57.91,1352152800,27.09,1352116800,0.02,sweetwater,29.19,0.55,1352098800sweetwater,41.660328,-108.875677,0.71,,0,0,,0,,1025.61,WY,1352123664,1352160386,57.91,1352152800,35.28,1352124000,1352098800,9.99,265,11.74
0,2012-11-06 00:00:00,60.25,1352239200,28.89,1352210400,0.01,sweetwater,28.25,0.52,1352185200sweetwater,41.660328,-108.875677,0.75,,0,0,,0,,1023.9,WY,1352210138,1352246719,60.25,1352239200,36.22,1352210400,1352185200,10,252,8.48
0,2012-11-07 00:00:00,61.79,1352322000,26.97,1352293200,0.01,sweetwater,24.04,0.46,1352271600sweetwater,41.660328,-108.875677,0.78,,0,0,,0,,1016.72,WY,1352296612,1352333053,61.79,1352322000,32.73,1352293200,1352271600,9.98,244,6.9
0,2012-11-08 00:00:00,58.84,1352408400,31.11,1352372400,0.04,sweetwater,21.79,0.4,1352358000sweetwater,41.660328,-108.875677,0.81,,0,0,,0,,1006.73,WY,1352383087,1352419390,58.84,1352408400,34.52,1352383200,1352358000,9.96,193,10.4
0,2012-11-09 00:00:00,41.35,1352444400,24.33,1352523600,0.63,sweetwater,31.4,0.71,1352444400sweetwater,41.660328,-108.875677,0.85,,0.0033,0.0098,1352520000,0.5,rain,998.89,WY,1352469561,1352505727,46.38,1352444400,31.65,1352527200,1352444400,7.56,212,9.73
0,2012-11-10 00:00:00,22.58,1352530800,2.2,1352613600,0.71,sweetwater,18.64,0.82,1352530800sweetwater,41.660328,-108.875677,0.88,0.918,0.0033,0.0144,1352538000,0.55,snow,1006.47,WY,1352556035,1352592067,31.27,1352530800,15.1,1352613600,1352530800,7.86,256,9.05
0,2012-11-11 00:00:00,6.25,1352667600,-3.81,1352642400,0.31,sweetwater,8.51,0.73,1352617200sweetwater,41.660328,-108.875677,0.92,0.035,0.0001,0.0011,1352653200,0.02,snow,1022.84,WY,1352642509,1352678409,22.02,1352667600,11.18,1352638800,1352617200,9.49,258,15.57
0,2012-11-12 00:00:00,20.15,1352754000,-3.72,1352707200,0.22,sweetwater,9.96,0.65,1352703600sweetwater,41.660328,-108.875677,0.96,0.074,0.0003,0.0029,1352750400,0.09,snow,1032.7,WY,1352728983,1352764752,27.73,1352754000,11.95,1352718000,1352703600,9.97,241,9.07
