,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,71.22,1349128800,35.43,1349096400,0.01,teton,31.19,0.49,1349071200teton,44.048663,-110.426071,0.55,,0,0,,0,,1022.52,WY,1349097674,1349139809,71.22,1349128800,35.43,1349096400,1349071200,9.98,230,1.54
0,2012-10-02 00:00:00,72.35,1349215200,40.4,1349182800,0.02,teton,25.59,0.35,1349157600teton,44.048663,-110.426071,0.58,,0,0,,0,,1011.81,WY,1349184145,1349226100,72.35,1349215200,40.4,1349182800,1349157600,9.99,228,7.3
0,2012-10-03 00:00:00,54.13,1349244000,26.7,1349323200,0.19,teton,22.36,0.42,1349244000teton,44.048663,-110.426071,0.61,,0.0004,0.0023,1349319600,0.06,rain,1016.54,WY,1349270615,1349312390,54.13,1349244000,31.03,1349326800,1349244000,9.75,317,6.26
0,2012-10-04 00:00:00,47.66,1349388000,16.54,1349355600,0.32,teton,19.03,0.55,1349330400teton,44.048663,-110.426071,0.64,,0,0,,0,,1024.11,WY,1349357087,1349398681,47.66,1349388000,21.69,1349355600,1349330400,9.93,24,2.44
0,2012-10-05 00:00:00,40.49,1349474400,22.26,1349431200,0.4,teton,19.06,0.57,1349416800teton,44.048663,-110.426071,0.67,,0.0003,0.0011,1349445600,0.02,rain,1024.35,WY,1349443558,1349484973,44.59,1349474400,22.81,1349442000,1349416800,9.78,358,4.47
0,2012-10-06 00:00:00,45.08,1349564400,11.71,1349532000,0.18,teton,12.06,0.5,1349503200teton,44.048663,-110.426071,0.7,0.073,0.0002,0.0015,1349517600,0.03,snow,1026.69,WY,1349530030,1349571265,45.08,1349564400,16.35,1349528400,1349503200,9.8,353,1.66
0,2012-10-07 00:00:00,53.73,1349650800,16.24,1349611200,0.07,teton,14.24,0.45,1349589600teton,44.048663,-110.426071,0.73,,0,0,,0,,1022,WY,1349616502,1349657558,53.73,1349650800,19.88,1349614800,1349589600,9.99,231,1.54
0,2012-10-08 00:00:00,58.42,1349733600,19.59,1349701200,0.05,teton,15.63,0.41,1349676000teton,44.048663,-110.426071,0.77,,0,0,,0,,1015.45,WY,1349702974,1349743851,58.42,1349733600,23.57,1349701200,1349676000,9.99,269,2.1
0,2012-10-09 00:00:00,54.4,1349823600,23.29,1349787600,0.27,teton,21.68,0.51,1349762400teton,44.048663,-110.426071,0.8,,0,0,,0,,1017.66,WY,1349789447,1349830145,54.4,1349823600,28.13,1349787600,1349762400,9.79,321,3.04
