,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,65.82,1349128800,37.96,1349096400,0.18,weston,34.16,0.51,1349071200weston,43.846213,-104.57002,0.55,,0.0001,0.0008,1349078400,0.01,rain,1021.41,WY,1349096263,1349138410,65.82,1349128800,42.23,1349096400,1349071200,9.85,339,2.53
0,2012-10-02 00:00:00,79.66,1349211600,50.15,1349157600,0,weston,28.01,0.29,1349157600weston,43.846213,-104.57002,0.58,,0,0,,0,,1008.39,WY,1349182733,1349224701,79.66,1349211600,50.15,1349157600,1349157600,9.88,281,2.39
0,2012-10-03 00:00:00,51.44,1349244000,23.87,1349326800,0.38,weston,30.84,0.62,1349244000weston,43.846213,-104.57002,0.61,,0.0039,0.0134,1349301600,0.54,rain,1013.85,WY,1349269203,1349310993,51.44,1349244000,33.53,1349326800,1349244000,9.27,339,13.34
0,2012-10-04 00:00:00,36.49,1349384400,22.12,1349334000,0.63,weston,23.8,0.65,1349330400weston,43.846213,-104.57002,0.64,,0.0022,0.0198,1349341200,0.6,rain,1028.65,WY,1349355673,1349397284,41.41,1349384400,29.27,1349352000,1349330400,9.76,356,5.81
0,2012-10-05 00:00:00,35.3,1349467200,24.34,1349499600,0.92,weston,25.4,0.77,1349416800weston,43.846213,-104.57002,0.67,0.898,0.0046,0.021,1349478000,0.6,snow,1028.73,WY,1349442144,1349483576,35.3,1349467200,29.24,1349434800,1349416800,7.49,46,2.76
0,2012-10-06 00:00:00,31.65,1349560800,19.17,1349521200,0.51,weston,20.93,0.71,1349503200weston,43.846213,-104.57002,0.7,0.529,0.0023,0.0246,1349503200,0.62,snow,1029.25,WY,1349528615,1349569869,37.34,1349560800,24.64,1349528400,1349503200,8.94,307,2.98
0,2012-10-07 00:00:00,53.57,1349647200,17.82,1349593200,0.13,weston,21.69,0.52,1349589600weston,43.846213,-104.57002,0.73,,0,0,,0,,1019.35,WY,1349615087,1349656163,53.57,1349647200,25.9,1349593200,1349589600,9.93,270,8.84
0,2012-10-08 00:00:00,54.03,1349722800,33.68,1349758800,0.44,weston,28.55,0.51,1349676000weston,43.846213,-104.57002,0.77,,0.0026,0.0174,1349758800,0.58,rain,1011.39,WY,1349701558,1349742456,54.03,1349722800,40.09,1349679600,1349676000,9.71,308,8.26
0,2012-10-09 00:00:00,35.57,1349820000,26.08,1349776800,0.71,weston,28.41,0.74,1349762400weston,43.846213,-104.57002,0.8,,0.0063,0.0702,1349776800,0.75,rain,1018.91,WY,1349788030,1349828751,42.34,1349820000,31.86,1349787600,1349762400,9.44,319,7.86
0,2012-10-10 00:00:00,65.66,1349906400,22.67,1349863200,0.03,weston,25.96,0.51,1349848800weston,43.846213,-104.57002,0.83,,0,0,,0,,1016.46,WY,1349874503,1349915046,65.66,1349906400,30.55,1349866800,1349848800,9.9,242,5.8
0,2012-10-11 00:00:00,40.86,1349992800,25.77,1350018000,0.41,weston,29.42,0.7,1349935200weston,43.846213,-104.57002,0.86,,0,0,,0,,1021.74,WY,1349960976,1350001342,44.67,1349992800,33.56,1350018000,1349935200,9.76,74,4.46
0,2012-10-12 00:00:00,69.07,1350079200,24.19,1350036000,0.06,weston,31.26,0.53,1350021600weston,43.846213,-104.57002,0.9,,0,0,,0,,1013.92,WY,1350047449,1350087639,69.07,1350079200,33.4,1350021600,1350021600,9.74,183,10.42
0,2012-10-13 00:00:00,65.81,1350162000,50.53,1350190800,0.51,weston,32.37,0.41,1350108000weston,43.846213,-104.57002,0.93,,0.0002,0.0024,1350136800,0.07,rain,1009.05,WY,1350133922,1350173937,65.81,1350162000,50.53,1350190800,1350108000,9.91,320,8.58
0,2012-10-14 00:00:00,64.27,1350252000,37.71,1350216000,0.07,weston,30.78,0.46,1350194400weston,43.846213,-104.57002,0.97,,0,0,,0,,1017.73,WY,1350220396,1350260235,64.27,1350252000,42.49,1350216000,1350194400,9.94,292,9.12
0,2012-10-15 00:00:00,71.05,1350334800,43.04,1350291600,0.17,weston,28.71,0.36,1350280800weston,43.846213,-104.57002,0.01,,0,0,,0,,1009.81,WY,1350306870,1350346534,71.05,1350334800,46.37,1350291600,1350280800,9.99,269,6.35
0,2012-10-16 00:00:00,66.48,1350417600,38.3,1350450000,0.38,weston,36.59,0.57,1350367200weston,43.846213,-104.57002,0.04,,0.0083,0.0648,1350435600,0.74,rain,1000.79,WY,1350393345,1350432834,66.48,1350417600,42.85,1350392400,1350367200,9.64,268,8.3
0,2012-10-17 00:00:00,36.82,1350504000,23.5,1350536400,0.35,weston,21.5,0.47,1350453600weston,43.846213,-104.57002,0.08,,0.0008,0.0059,1350453600,0.27,rain,1007.52,WY,1350479820,1350519135,45.78,1350504000,35.75,1350536400,1350453600,9.92,309,22.8
