,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,72.02,1412197200,42.15,1412226000,0.04,cheyenne,41.44,0.59,1412143200cheyenne,38.835386,-102.604585,0.25,,0.0009,0.0084,1412226000,0.44,rain,1007.64,CO,1412167652,1412210098,72.02,1412197200,44.92,1412164800,1412143200,9.75,341,3.27
0,2014-10-02 00:00:00,63.6,1412287200,38.94,1412254800,0.04,cheyenne,36.58,0.61,1412229600cheyenne,38.835386,-102.604585,0.29,,0.0002,0.0022,1412240400,0.06,rain,1015.53,CO,1412254108,1412296403,63.6,1412287200,43.54,1412312400,1412229600,9.96,331,9.84
0,2014-10-03 00:00:00,57.56,1412373600,28.58,1412337600,0.03,cheyenne,30.01,0.58,1412316000cheyenne,38.835386,-102.604585,0.33,,0,0,,0,,1025.26,CO,1412340563,1412382709,57.56,1412373600,36.35,1412341200,1412316000,9.95,337,8.51
0,2014-10-04 00:00:00,72.73,1412460000,30.62,1412427600,0.01,cheyenne,29.64,0.49,1412402400cheyenne,38.835386,-102.604585,0.36,,0,0,,0,,1017.62,CO,1412427019,1412469015,72.73,1412460000,34.73,1412409600,1412402400,9.99,281,3.55
0,2014-10-05 00:00:00,73.42,1412539200,37.38,1412514000,0.05,cheyenne,35.27,0.5,1412488800cheyenne,38.835386,-102.604585,0.4,,0,0,,0,,1012.9,CO,1412513475,1412555321,73.42,1412539200,41.65,1412510400,1412488800,10,316,4.72
0,2014-10-06 00:00:00,78.39,1412629200,37.71,1412600400,0.01,cheyenne,36.07,0.49,1412575200cheyenne,38.835386,-102.604585,0.44,,0,0,,0,,1010.79,CO,1412599932,1412641628,78.39,1412629200,41.98,1412600400,1412575200,9.98,274,6.21
0,2014-10-07 00:00:00,78.31,1412715600,43.05,1412679600,0,cheyenne,36.87,0.44,1412661600cheyenne,38.835386,-102.604585,0.48,,0,0,,0,,1012.71,CO,1412686388,1412727936,78.31,1412715600,45.7,1412679600,1412661600,9.92,209,0.81
0,2014-10-08 00:00:00,73.99,1412802000,46.49,1412766000,0.03,cheyenne,45.19,0.61,1412748000cheyenne,38.835386,-102.604585,0.51,,0,0,,0,,1013.7,CO,1412772845,1412814244,73.99,1412802000,47.07,1412769600,1412748000,9.81,132,6.23
0,2014-10-09 00:00:00,57.92,1412874000,51.19,1412917200,0.19,cheyenne,49.79,0.85,1412834400cheyenne,38.835386,-102.604585,0.55,,0.0134,0.0778,1412910000,0.76,rain,1013.93,CO,1412859303,1412900553,57.92,1412874000,51.19,1412917200,1412834400,8.69,49,6.87
0,2014-10-10 00:00:00,50.66,1412920800,38.63,1413003600,0.33,cheyenne,44.2,0.9,1412920800cheyenne,38.835386,-102.604585,0.58,,0.0075,0.0284,1412920800,0.64,rain,1021.42,CO,1412945761,1412986862,50.66,1412920800,42.38,1413003600,1412920800,8.69,70,5.03
0,2014-10-11 00:00:00,63.93,1413064800,35.64,1413025200,0.06,cheyenne,42.98,0.78,1413007200cheyenne,38.835386,-102.604585,0.62,,0,0,,0,,1016.89,CO,1413032219,1413073172,63.93,1413064800,39.65,1413025200,1413007200,9.16,184,8.95
0,2014-10-12 00:00:00,59.66,1413140400,34.75,1413176400,0.22,cheyenne,42.11,0.75,1413093600cheyenne,38.835386,-102.604585,0.65,,0.0049,0.0386,1413151200,0.68,rain,1005.77,CO,1413118677,1413159483,59.66,1413140400,43.42,1413176400,1413093600,9.66,343,8.28
0,2014-10-13 00:00:00,58.55,1413237600,31.61,1413205200,0.08,cheyenne,32.15,0.59,1413180000cheyenne,38.835386,-102.604585,0.68,,0,0,,0,,1018.33,CO,1413205136,1413245794,58.55,1413237600,38.6,1413262800,1413180000,10,341,16.11
0,2014-10-14 00:00:00,70.34,1413324000,29.15,1413291600,0,cheyenne,30.88,0.53,1413266400cheyenne,38.835386,-102.604585,0.72,,0,0,,0,,1019.61,CO,1413291595,1413332107,70.34,1413324000,35.12,1413291600,1413266400,9.95,271,4.7
0,2014-10-15 00:00:00,79.5,1413406800,35.66,1413367200,0,cheyenne,35.48,0.48,1413352800cheyenne,38.835386,-102.604585,0.75,,0,0,,0,,1012.84,CO,1413378055,1413418420,79.5,1413406800,38.59,1413378000,1413352800,9.99,194,7.55
0,2014-10-16 00:00:00,74.64,1413493200,46.06,1413522000,0,cheyenne,33.21,0.39,1413439200cheyenne,38.835386,-102.604585,0.78,,0,0,,0,,1010.83,CO,1413464515,1413504734,74.64,1413493200,48.18,1413522000,1413439200,10,336,2.71
0,2014-10-17 00:00:00,64.22,1413583200,34.91,1413550800,0,cheyenne,33.05,0.54,1413525600cheyenne,38.835386,-102.604585,0.81,,0,0,,0,,1018.73,CO,1413550976,1413591049,64.22,1413583200,37.8,1413550800,1413525600,9.89,110,1.71
0,2014-10-18 00:00:00,65.14,1413662400,35.88,1413633600,0,cheyenne,38.28,0.64,1413612000cheyenne,38.835386,-102.604585,0.84,,0,0,,0,,1019.32,CO,1413637437,1413677364,65.14,1413662400,39.73,1413630000,1413612000,9.89,167,9.07
0,2014-10-19 00:00:00,74.86,1413752400,39.77,1413720000,0.01,cheyenne,39.21,0.59,1413698400cheyenne,38.835386,-102.604585,0.87,,0,0,,0,,1015.35,CO,1413723898,1413763681,74.86,1413752400,43.24,1413720000,1413698400,9.95,323,1.12
0,2014-10-20 00:00:00,73.24,1413838800,36.37,1413810000,0,cheyenne,39.05,0.59,1413784800cheyenne,38.835386,-102.604585,0.9,,0,0,,0,,1017.8,CO,1413810359,1413849999,73.24,1413838800,40,1413806400,1413784800,9.97,178,6.03
0,2014-10-21 00:00:00,76.09,1413925200,42.59,1413896400,0.02,cheyenne,43.6,0.61,1413871200cheyenne,38.835386,-102.604585,0.93,,0,0,,0,,1012.88,CO,1413896822,1413936318,76.09,1413925200,45.41,1413892800,1413871200,9.16,179,10.32
0,2014-10-22 00:00:00,70.51,1414011600,48.33,1413982800,0.05,cheyenne,43.34,0.6,1413957600cheyenne,38.835386,-102.604585,0.96,,0,0.0009,1414018800,0,,1013.53,CO,1413983284,1414022637,70.51,1414011600,49.66,1413982800,1413957600,9.97,28,0.47
