,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,45.28,1412193600,35.69,1412226000,0.21,delta,38.19,0.83,1412143200delta,38.861756,-107.864757,0.25,,0.0115,0.0505,1412204400,0.71,rain,1012.97,CO,1412168916,1412211359,47.36,1412193600,39.66,1412226000,1412143200,8.48,259,0.51
0,2014-10-02 00:00:00,52.8,1412287200,30.14,1412254800,0.02,delta,32.24,0.69,1412229600delta,38.861756,-107.864757,0.29,,0.0006,0.0075,1412229600,0.37,rain,1022.58,CO,1412255372,1412297664,52.8,1412287200,34.01,1412254800,1412229600,9.27,295,0.82
0,2014-10-03 00:00:00,60.43,1412377200,33.39,1412326800,0,delta,31.37,0.6,1412316000delta,38.861756,-107.864757,0.33,,0,0,,0,,1026.06,CO,1412341827,1412383969,60.43,1412377200,34.06,1412341200,1412316000,9.71,258,0.92
0,2014-10-04 00:00:00,64.6,1412463600,33.46,1412427600,0,delta,31.87,0.55,1412402400delta,38.861756,-107.864757,0.36,,0,0,,0,,1021.85,CO,1412428283,1412470275,64.6,1412463600,35.82,1412427600,1412402400,9.53,236,1.71
0,2014-10-05 00:00:00,65.69,1412546400,37.33,1412514000,0.01,delta,32.92,0.55,1412488800delta,38.861756,-107.864757,0.4,,0,0,,0,,1018.14,CO,1412514739,1412556582,65.69,1412546400,37.33,1412514000,1412488800,9.79,254,1.27
0,2014-10-06 00:00:00,68.27,1412632800,38.79,1412600400,0.01,delta,33.31,0.53,1412575200delta,38.861756,-107.864757,0.44,,0,0,,0,,1017.1,CO,1412601196,1412642888,68.27,1412632800,38.79,1412600400,1412575200,9.84,246,1.79
0,2014-10-07 00:00:00,67.46,1412719200,39.45,1412686800,0,delta,33.07,0.51,1412661600delta,38.861756,-107.864757,0.48,,0,0,,0,,1017.22,CO,1412687652,1412729196,67.46,1412719200,39.45,1412686800,1412661600,10,143,0.77
0,2014-10-08 00:00:00,66.4,1412802000,42.96,1412769600,0.04,delta,35.15,0.51,1412748000delta,38.861756,-107.864757,0.51,,0,0,,0,,1014.71,CO,1412774110,1412815504,66.4,1412802000,43.93,1412773200,1412748000,9.99,160,0.39
0,2014-10-09 00:00:00,52.97,1412834400,43.62,1412913600,0.38,delta,42.55,0.76,1412834400delta,38.861756,-107.864757,0.55,,0.0069,0.0312,1412884800,0.66,rain,1012.75,CO,1412860567,1412901813,52.97,1412834400,46.84,1412917200,1412834400,9.25,73,2.31
0,2014-10-10 00:00:00,58.76,1412978400,44.21,1412935200,0.27,delta,43.43,0.79,1412920800delta,38.861756,-107.864757,0.58,,0.0014,0.0095,1412920800,0.5,rain,1016.35,CO,1412947025,1412988122,58.76,1412978400,45.44,1412946000,1412920800,8.95,120,1.41
0,2014-10-11 00:00:00,64.23,1413061200,38.43,1413028800,0.09,delta,38.35,0.65,1413007200delta,38.861756,-107.864757,0.62,,0,0,,0,,1015.6,CO,1413033483,1413074432,64.23,1413061200,40.85,1413032400,1413007200,9.68,229,0.61
0,2014-10-12 00:00:00,47.79,1413097200,35.73,1413129600,0.21,delta,33.33,0.64,1413093600delta,38.861756,-107.864757,0.65,,0.0024,0.0111,1413133200,0.52,rain,1010.39,CO,1413119942,1413160743,47.79,1413097200,38.07,1413176400,1413093600,9.07,314,5.42
0,2014-10-13 00:00:00,51.99,1413241200,30.9,1413208800,0.03,delta,27.6,0.61,1413180000delta,38.861756,-107.864757,0.68,,0.0001,0.0008,1413198000,0.01,rain,1023.35,CO,1413206401,1413247054,51.99,1413241200,31.38,1413205200,1413180000,9.54,262,0.69
0,2014-10-14 00:00:00,63.57,1413324000,28.29,1413288000,0,delta,27.18,0.52,1413266400delta,38.861756,-107.864757,0.72,,0,0,,0,,1023.24,CO,1413292860,1413333366,63.57,1413324000,31.48,1413291600,1413266400,9.99,141,1.12
0,2014-10-15 00:00:00,65.44,1413406800,36.13,1413360000,0,delta,28.79,0.47,1413352800delta,38.861756,-107.864757,0.75,,0,0,,0,,1016.97,CO,1413379320,1413419679,65.44,1413406800,36.55,1413378000,1413352800,9.87,155,1.17
0,2014-10-16 00:00:00,68.42,1413496800,38.65,1413464400,0.01,delta,29.29,0.43,1413439200delta,38.861756,-107.864757,0.78,,0,0,,0,,1014.42,CO,1413465780,1413505993,68.42,1413496800,40.61,1413464400,1413439200,9.92,243,1.96
0,2014-10-17 00:00:00,67.09,1413583200,38.4,1413550800,0.01,delta,27.81,0.43,1413525600delta,38.861756,-107.864757,0.81,,0,0,,0,,1015.42,CO,1413552241,1413592308,67.09,1413583200,38.4,1413550800,1413525600,9.97,165,1.24
0,2014-10-18 00:00:00,65.15,1413666000,39.76,1413637200,0.08,delta,31.21,0.46,1413612000delta,38.861756,-107.864757,0.84,,0,0,,0,,1015.93,CO,1413638702,1413678624,65.15,1413666000,41.54,1413637200,1413612000,9.99,184,0.89
0,2014-10-19 00:00:00,66.99,1413756000,45.01,1413723600,0.09,delta,35.44,0.5,1413698400delta,38.861756,-107.864757,0.87,,0,0,,0,,1015.45,CO,1413725163,1413764941,66.99,1413756000,46.24,1413723600,1413698400,9.94,137,1.19
0,2014-10-20 00:00:00,67.29,1413838800,39.56,1413806400,0.09,delta,35.62,0.55,1413784800delta,38.861756,-107.864757,0.9,,0,0,,0,,1016.51,CO,1413811625,1413851258,67.29,1413838800,40.42,1413810000,1413784800,9.96,138,1.6
0,2014-10-21 00:00:00,59.3,1413921600,43.35,1413896400,0.22,delta,38.72,0.63,1413871200delta,38.861756,-107.864757,0.93,,0.0018,0.0183,1413925200,0.59,rain,1013.39,CO,1413898087,1413937577,59.3,1413921600,45.48,1413892800,1413871200,9.89,114,2.86
0,2014-10-22 00:00:00,59.97,1414011600,39.22,1413982800,0.13,delta,39.17,0.7,1413957600delta,38.861756,-107.864757,0.96,,0.0018,0.0072,1413972000,0.35,rain,1017.16,CO,1413984549,1414023897,59.97,1414011600,41.53,1413982800,1413957600,9.41,344,0.08
0,2014-10-23 00:00:00,65.62,1414098000,34.7,1414069200,0.01,delta,33.52,0.57,1414044000delta,38.861756,-107.864757,0.99,,0,0,,0,,1020.66,CO,1414071012,1414110217,65.62,1414098000,36.91,1414069200,1414044000,9.87,160,0.56
0,2014-10-24 00:00:00,70.25,1414188000,37.26,1414148400,0,delta,29.38,0.46,1414130400delta,38.861756,-107.864757,0.03,,0,0,,0,,1021.78,CO,1414157476,1414196539,70.25,1414188000,37.95,1414155600,1414130400,9.93,193,1.04
0,2014-10-25 00:00:00,71.62,1414274400,34.68,1414242000,0,delta,26.71,0.4,1414216800delta,38.861756,-107.864757,0.06,,0,0,,0,,1019.51,CO,1414243939,1414282862,71.62,1414274400,36.94,1414242000,1414216800,9.99,194,1.78
0,2014-10-26 00:00:00,66.56,1414353600,45.82,1414328400,0.01,delta,32.13,0.44,1414303200delta,38.861756,-107.864757,0.09,,0.0003,0.0045,1414378800,0.18,rain,1009.28,CO,1414330403,1414369187,66.56,1414353600,45.82,1414328400,1414303200,9.96,232,4.58
0,2014-10-27 00:00:00,50.37,1414440000,34.38,1414461600,0.08,delta,25.24,0.49,1414389600delta,38.861756,-107.864757,0.13,,0.0001,0.0011,1414418400,0.02,rain,1012.73,CO,1414416868,1414455512,50.37,1414440000,35.25,1414468800,1414389600,9.72,282,5.14
0,2014-10-28 00:00:00,55.8,1414530000,29.44,1414504800,0.03,delta,14.64,0.38,1414476000delta,38.861756,-107.864757,0.16,,0,0,,0,,1021.83,CO,1414503332,1414541839,55.8,1414530000,29.44,1414504800,1414476000,10,244,1.65
