,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,63.38,1412193600,36.79,1412226000,0.19,douglas,36.62,0.62,1412143200douglas,39.325414,-104.925987,0.25,,0.0062,0.0435,1412222400,0.7,rain,1009.37,CO,1412168219,1412210645,63.38,1412193600,42.39,1412226000,1412143200,9.56,269,0.65
0,2014-10-02 00:00:00,60.68,1412287200,34.67,1412244000,0.07,douglas,30.3,0.56,1412229600douglas,39.325414,-104.925987,0.29,,0.0021,0.0251,1412233200,0.63,rain,1017.52,CO,1412254676,1412296949,60.68,1412287200,37.09,1412254800,1412229600,9.86,300,4.14
0,2014-10-03 00:00:00,55.02,1412373600,24.54,1412330400,0.11,douglas,29.75,0.63,1412316000douglas,39.325414,-104.925987,0.33,,0,0,,0,,1026.23,CO,1412341133,1412383253,55.02,1412373600,32.6,1412341200,1412316000,9.87,61,1.88
0,2014-10-04 00:00:00,69.73,1412456400,35.59,1412416800,0.13,douglas,28.6,0.42,1412402400douglas,39.325414,-104.925987,0.36,,0,0,,0,,1018.01,CO,1412427590,1412469558,69.73,1412456400,38.31,1412416800,1412402400,9.96,207,1.33
0,2014-10-05 00:00:00,69.82,1412546400,42.92,1412514000,0.13,douglas,30.38,0.39,1412488800douglas,39.325414,-104.925987,0.4,,0,0,,0,,1013.77,CO,1412514047,1412555863,69.82,1412546400,42.92,1412514000,1412488800,9.97,321,2.8
0,2014-10-06 00:00:00,75.66,1412629200,41.51,1412596800,0.12,douglas,30.38,0.38,1412575200douglas,39.325414,-104.925987,0.44,,0,0,,0,,1011.39,CO,1412600505,1412642169,75.66,1412629200,43.92,1412596800,1412575200,9.93,269,4.9
0,2014-10-07 00:00:00,74.12,1412715600,47.34,1412686800,0.1,douglas,30.68,0.34,1412661600douglas,39.325414,-104.925987,0.48,,0,0,,0,,1013.46,CO,1412686963,1412728475,74.12,1412715600,47.34,1412686800,1412661600,9.97,172,4.46
0,2014-10-08 00:00:00,71.59,1412805600,47.21,1412769600,0.08,douglas,36.9,0.46,1412748000douglas,39.325414,-104.925987,0.51,,0,0,,0,,1014.22,CO,1412773422,1412814782,71.59,1412805600,47.21,1412769600,1412748000,9.98,162,1.79
0,2014-10-09 00:00:00,55.49,1412870400,44.57,1412910000,0.34,douglas,43.9,0.77,1412834400douglas,39.325414,-104.925987,0.55,,0.0364,0.1767,1412881200,0.83,rain,1015.47,CO,1412859880,1412901089,55.49,1412870400,47.44,1412910000,1412834400,8.67,334,4.88
0,2014-10-10 00:00:00,50.6,1412967600,38.25,1413003600,0.46,douglas,44.17,0.89,1412920800douglas,39.325414,-104.925987,0.58,,0.0036,0.0182,1412920800,0.59,rain,1021.62,CO,1412946339,1412987397,50.6,1412967600,43.06,1413003600,1412920800,8.94,158,3.51
0,2014-10-11 00:00:00,63.97,1413057600,37.05,1413021600,0.18,douglas,41.07,0.72,1413007200douglas,39.325414,-104.925987,0.62,,0.0001,0.0014,1413068400,0.03,rain,1016.29,CO,1413032799,1413073706,63.97,1413057600,40.28,1413028800,1413007200,9.03,195,5.02
0,2014-10-12 00:00:00,55.41,1413129600,30.62,1413172800,0.28,douglas,35.27,0.64,1413093600douglas,39.325414,-104.925987,0.65,,0.006,0.0756,1413140400,0.76,rain,1007.65,CO,1413119259,1413160015,55.41,1413129600,39.11,1413176400,1413093600,9.77,339,8.96
0,2014-10-13 00:00:00,54.11,1413237600,30.13,1413205200,0.15,douglas,29.49,0.59,1413180000douglas,39.325414,-104.925987,0.68,,0,0,,0,,1021.25,CO,1413205719,1413246326,54.11,1413237600,35.85,1413205200,1413180000,9.95,340,6.85
