,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,65.18,1412197200,36.16,1412222400,0.18,el paso,34.61,0.53,1412143200el paso,38.827383,-104.527472,0.25,,0.0008,0.0051,1412222400,0.22,rain,1009.38,CO,1412168114,1412210559,65.18,1412197200,44.11,1412222400,1412143200,9.92,346,1.12
0,2014-10-02 00:00:00,60.54,1412287200,31.61,1412236800,0.03,el paso,28.46,0.5,1412229600el paso,38.827383,-104.527472,0.29,,0.0003,0.0034,1412233200,0.12,rain,1017.64,CO,1412254569,1412296864,60.54,1412287200,39.29,1412254800,1412229600,9.98,334,5.63
0,2014-10-03 00:00:00,52.95,1412373600,20.67,1412334000,0.06,el paso,28.09,0.6,1412316000el paso,38.827383,-104.527472,0.33,,0,0,,0,,1026.75,CO,1412341025,1412383170,52.95,1412373600,31.63,1412341200,1412316000,9.97,345,3.3
0,2014-10-04 00:00:00,68.96,1412456400,34.94,1412416800,0.08,el paso,25.34,0.37,1412402400el paso,38.827383,-104.527472,0.36,,0,0,,0,,1018.73,CO,1412427481,1412469476,68.96,1412456400,36.7,1412409600,1412402400,9.98,208,1.41
0,2014-10-05 00:00:00,70.37,1412546400,41.71,1412514000,0.07,el paso,27.69,0.35,1412488800el paso,38.827383,-104.527472,0.4,,0,0,,0,,1014.12,CO,1412513937,1412555783,70.37,1412546400,44.88,1412514000,1412488800,10,342,3.73
0,2014-10-06 00:00:00,76.12,1412632800,40.13,1412600400,0.06,el paso,28.91,0.37,1412575200el paso,38.827383,-104.527472,0.44,,0,0,,0,,1012.17,CO,1412600393,1412642090,76.12,1412632800,43.36,1412600400,1412575200,9.96,274,1.92
0,2014-10-07 00:00:00,72.95,1412715600,48.45,1412686800,0.04,el paso,28.86,0.3,1412661600el paso,38.827383,-104.527472,0.48,,0,0,,0,,1013.76,CO,1412686850,1412728397,72.95,1412715600,48.96,1412686800,1412661600,9.99,170,3.13
0,2014-10-08 00:00:00,72.23,1412805600,45.64,1412769600,0.08,el paso,37.58,0.48,1412748000el paso,38.827383,-104.527472,0.51,,0,0,,0,,1014.71,CO,1412773307,1412814705,72.23,1412805600,47.42,1412769600,1412748000,9.99,107,2.57
0,2014-10-09 00:00:00,58.21,1412870400,41.92,1412892000,0.39,el paso,45.14,0.78,1412834400el paso,38.827383,-104.527472,0.55,,0.0274,0.1522,1412881200,0.82,rain,1015.18,CO,1412859764,1412901014,58.21,1412870400,46.38,1412917200,1412834400,8.69,7,8.5
0,2014-10-10 00:00:00,46.62,1412956800,37.08,1413003600,0.48,el paso,43.65,0.92,1412920800el paso,38.827383,-104.527472,0.58,,0.003,0.0131,1412924400,0.54,rain,1022.71,CO,1412946222,1412987323,48.04,1412956800,41.84,1413003600,1412920800,8.51,143,2.68
0,2014-10-11 00:00:00,60.79,1413064800,37.14,1413007200,0.19,el paso,42.91,0.83,1413007200el paso,38.827383,-104.527472,0.62,,0.0001,0.0013,1413068400,0.02,rain,1018.17,CO,1413032680,1413073633,60.79,1413064800,40.62,1413032400,1413007200,7.07,191,4.37
0,2014-10-12 00:00:00,56.78,1413129600,29.27,1413176400,0.27,el paso,35.31,0.64,1413093600el paso,38.827383,-104.527472,0.65,,0.0021,0.0141,1413140400,0.55,rain,1007.86,CO,1413119139,1413159944,56.78,1413129600,39.38,1413176400,1413093600,9.91,339,12.72
0,2014-10-13 00:00:00,53.9,1413237600,28.4,1413205200,0.09,el paso,28.68,0.57,1413180000el paso,38.827383,-104.527472,0.68,,0,0,,0,,1021.54,CO,1413205598,1413246256,53.9,1413237600,36.61,1413205200,1413180000,9.94,342,11.67
0,2014-10-14 00:00:00,66.54,1413324000,32.63,1413273600,0.01,el paso,26.8,0.43,1413266400el paso,38.827383,-104.527472,0.72,,0.0001,0.0008,1413309600,0.01,rain,1021.37,CO,1413292057,1413332568,66.54,1413324000,36.37,1413280800,1413266400,9.99,235,3.13
0,2014-10-15 00:00:00,76.21,1413410400,41.27,1413378000,0.03,el paso,28.95,0.36,1413352800el paso,38.827383,-104.527472,0.75,,0,0,,0,,1014.25,CO,1413378517,1413418881,76.21,1413410400,42.32,1413370800,1413352800,9.99,204,2.73
0,2014-10-16 00:00:00,71.37,1413493200,45.35,1413522000,0.03,el paso,26.02,0.29,1413439200el paso,38.827383,-104.527472,0.78,,0,0,,0,,1011.98,CO,1413464977,1413505195,71.37,1413493200,47.91,1413522000,1413439200,10,133,2.34
0,2014-10-17 00:00:00,58.52,1413583200,36.87,1413550800,0.04,el paso,29.27,0.49,1413525600el paso,38.827383,-104.527472,0.81,,0,0,,0,,1019.51,CO,1413551437,1413591510,58.52,1413583200,38.86,1413550800,1413525600,9.99,147,2.53
0,2014-10-18 00:00:00,59.52,1413669600,37.3,1413626400,0.07,el paso,35.56,0.63,1413612000el paso,38.827383,-104.527472,0.84,,0,0,,0,,1020.25,CO,1413637898,1413677826,59.52,1413669600,40.14,1413640800,1413612000,9.99,147,1.52
0,2014-10-19 00:00:00,70.28,1413752400,42.64,1413702000,0.11,el paso,32.51,0.44,1413698400el paso,38.827383,-104.527472,0.87,,0,0,,0,,1016.84,CO,1413724359,1413764143,70.28,1413752400,44.46,1413702000,1413698400,10,6,4.39
0,2014-10-20 00:00:00,67.69,1413842400,43,1413802800,0.04,el paso,36.04,0.52,1413784800el paso,38.827383,-104.527472,0.9,,0,0,,0,,1018.72,CO,1413810821,1413850460,67.69,1413842400,43.64,1413810000,1413784800,9.97,165,5.35
0,2014-10-21 00:00:00,69.09,1413921600,41.78,1413889200,0.07,el paso,38.44,0.56,1413871200el paso,38.827383,-104.527472,0.93,,0,0,,0,,1013.73,CO,1413897283,1413936779,69.09,1413921600,43.86,1413885600,1413871200,9.89,162,2.82
0,2014-10-22 00:00:00,64.64,1414008000,44.36,1413982800,0.17,el paso,38.36,0.54,1413957600el paso,38.827383,-104.527472,0.96,,0.0001,0.0023,1414015200,0.06,rain,1015.05,CO,1413983745,1414023099,64.64,1414008000,46.77,1413982800,1413957600,10,8,1.51
0,2014-10-23 00:00:00,69.12,1414098000,38.84,1414062000,0.04,el paso,32.76,0.49,1414044000el paso,38.827383,-104.527472,0.99,,0,0,,0,,1019.05,CO,1414070208,1414109420,69.12,1414098000,42.78,1414062000,1414044000,10,225,1.52
0,2014-10-24 00:00:00,77,1414180800,47.01,1414137600,0.02,el paso,24.84,0.29,1414130400el paso,38.827383,-104.527472,0.03,,0,0,,0,,1018.37,CO,1414156671,1414195742,77,1414180800,48.49,1414141200,1414130400,9.99,199,0.88
0,2014-10-25 00:00:00,76.2,1414270800,50.59,1414220400,0,el paso,20.91,0.23,1414216800el paso,38.827383,-104.527472,0.06,,0,0,,0,,1017.12,CO,1414243135,1414282065,76.2,1414270800,50.59,1414220400,1414216800,9.91,334,0.78
0,2014-10-26 00:00:00,75.43,1414357200,53.91,1414310400,0.02,el paso,24.55,0.24,1414303200el paso,38.827383,-104.527472,0.09,,0,0,,0,,1006.29,CO,1414329599,1414368389,75.43,1414357200,53.91,1414310400,1414303200,10,241,7.9
0,2014-10-27 00:00:00,60.17,1414393200,25.91,1414472400,0.16,el paso,30.05,0.61,1414389600el paso,38.827383,-104.527472,0.13,,0.0001,0.0008,1414447200,0.01,rain,1011.24,CO,1414416063,1414454715,60.17,1414393200,33.5,1414472400,1414389600,9.95,23,5.7
0,2014-10-28 00:00:00,53.45,1414530000,25.16,1414476000,0.07,el paso,23.88,0.55,1414476000el paso,38.827383,-104.527472,0.16,,0,0,,0,,1022.8,CO,1414502528,1414541042,53.45,1414530000,31.9,1414483200,1414476000,10,195,3.71
0,2014-10-29 00:00:00,65.7,1414616400,28.8,1414587600,0.03,el paso,16.59,0.32,1414562400el paso,38.827383,-104.527472,0.2,,0,0,,0,,1021.15,CO,1414588993,1414627370,65.7,1414616400,33.46,1414587600,1414562400,10,342,1.31
0,2014-10-30 00:00:00,58.66,1414702800,34.24,1414674000,0.03,el paso,22.23,0.37,1414648800el paso,38.827383,-104.527472,0.24,,0,0,,0,,1025.76,CO,1414675458,1414713699,58.66,1414702800,40.61,1414731600,1414648800,10,28,1.96
0,2014-10-31 00:00:00,50.84,1414792800,24.27,1414764000,0.05,el paso,26.64,0.6,1414735200el paso,38.827383,-104.527472,0.28,,0,0,,0,,1026.59,CO,1414761924,1414800030,50.84,1414792800,30.94,1414764000,1414735200,10,155,6.75
0,2014-11-01 00:00:00,67.42,1414879200,34.58,1414825200,0.07,el paso,30.91,0.46,1414821600el paso,38.827383,-104.527472,0.31,,0,0,,0,,1013.14,CO,1414848389,1414886362,67.42,1414879200,38.19,1414821600,1414821600,10,206,4.65
0,2014-11-02 00:00:00,62.66,1414962000,40.33,1414994400,0.09,el paso,32.38,0.47,1414908000el paso,38.827383,-104.527472,0.35,,0,0,,0,,1007.79,CO,1414934856,1414972695,62.66,1414962000,43.43,1414994400,1414908000,9.99,208,8.07
0,2014-11-03 00:00:00,45.89,1415041200,26.92,1415062800,0.16,el paso,31.11,0.7,1414998000el paso,38.827383,-104.527472,0.39,,0.0003,0.0031,1415026800,0.1,rain,1015.1,CO,1415021322,1415059030,49.61,1415041200,35.51,1415066400,1414998000,9.89,6,7.67
0,2014-11-04 00:00:00,52.94,1415134800,26.81,1415102400,0.07,el paso,23.48,0.57,1415084400el paso,38.827383,-104.527472,0.43,,0,0.0011,1415088000,0,,1025.22,CO,1415107788,1415145366,52.94,1415134800,29.98,1415109600,1415084400,9.95,207,3.64
0,2014-11-05 00:00:00,60.08,1415217600,29.92,1415170800,0.05,el paso,15.83,0.31,1415170800el paso,38.827383,-104.527472,0.46,,0,0,,0,,1024.77,CO,1415194255,1415231704,60.08,1415217600,34.89,1415170800,1415170800,10,301,0.28
0,2014-11-06 00:00:00,61.91,1415307600,29.67,1415278800,0.02,el paso,23.04,0.45,1415257200el paso,38.827383,-104.527472,0.5,,0,0,,0,,1027.89,CO,1415280722,1415318043,61.91,1415307600,32.53,1415278800,1415257200,10,159,1.87
0,2014-11-07 00:00:00,64.05,1415394000,34.73,1415426400,0.09,el paso,21.21,0.34,1415343600el paso,38.827383,-104.527472,0.53,,0.0001,0.0015,1415426400,0.03,rain,1017.57,CO,1415367189,1415404384,64.05,1415394000,39.69,1415343600,1415343600,9.97,341,8.59
0,2014-11-08 00:00:00,56.61,1415484000,27.36,1415451600,0.08,el paso,29.72,0.62,1415430000el paso,38.827383,-104.527472,0.57,,0.0002,0.003,1415430000,0.1,rain,1024.2,CO,1415453657,1415490727,56.61,1415484000,31.67,1415451600,1415430000,9.96,243,2.43
0,2014-11-09 00:00:00,61.44,1415563200,42.71,1415523600,0.04,el paso,11.81,0.2,1415516400el paso,38.827383,-104.527472,0.6,,0,0,,0,,1009.23,CO,1415540124,1415577071,61.44,1415563200,45.65,1415534400,1415516400,10,271,2.78
0,2014-11-10 00:00:00,62.41,1415642400,-1.24,1415674800,0.21,el paso,15.85,0.48,1415602800el paso,38.827383,-104.527472,0.63,,0.0001,0.002,1415674800,0.05,rain,1003.48,CO,1415626591,1415663416,62.41,1415642400,13.9,1415685600,1415602800,8.81,357,10.82
0,2014-11-11 00:00:00,2.95,1415728800,-6.02,1415772000,0.29,el paso,8.72,0.82,1415689200el paso,38.827383,-104.527472,0.66,0.053,0.0001,0.0012,1415714400,0.02,snow,1026.2,CO,1415713059,1415749764,15.43,1415728800,8.4,1415772000,1415689200,5.97,74,3.95
0,2014-11-12 00:00:00,-6.83,1415775600,-16.58,1415800800,0.47,el paso,-3.95,0.75,1415775600el paso,38.827383,-104.527472,0.69,0.168,0.0004,0.0012,1415851200,0.02,snow,975.32,CO,1415799526,1415836113,7.57,1415775600,-2.27,1415858400,1415775600,6.54,24,8.94
0,2014-11-13 00:00:00,-6.99,1415916000,-16.48,1415887200,0.23,el paso,-3.33,0.81,1415862000el paso,38.827383,-104.527472,0.72,,0,0,,0,,973.36,CO,1415885993,1415922463,5.72,1415916000,-5.36,1415869200,1415862000,7.96,182,5.78
0,2014-11-14 00:00:00,34.14,1415998800,-1.91,1415959200,0.08,el paso,14.21,0.78,1415948400el paso,38.827383,-104.527472,0.75,0.217,0.0006,0.0046,1415980800,0.19,snow,1000.55,CO,1415972460,1416008816,34.14,1415998800,4.28,1415955600,1415948400,9.87,111,0.76
