,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,40.88,1412200800,29.9,1412226000,0.15,gunnison,33.74,0.78,1412143200gunnison,38.67264,-107.066506,0.25,,0.0075,0.0282,1412204400,0.64,rain,1012.28,CO,1412168721,1412211171,45.54,1412200800,36,1412164800,1412143200,8.46,263,2.63
0,2014-10-02 00:00:00,50.33,1412287200,25.97,1412254800,0,gunnison,27.01,0.62,1412229600gunnison,38.67264,-107.066506,0.29,,0.0007,0.0072,1412229600,0.35,rain,1021.63,CO,1412255176,1412297477,50.33,1412287200,31.39,1412254800,1412229600,9.51,292,4.44
0,2014-10-03 00:00:00,57.86,1412373600,29.35,1412337600,0,gunnison,26.19,0.53,1412316000gunnison,38.67264,-107.066506,0.33,,0,0,,0,,1025.44,CO,1412341631,1412383782,57.86,1412373600,31.84,1412341200,1412316000,9.94,279,3.68
0,2014-10-04 00:00:00,61.93,1412460000,30.25,1412424000,0,gunnison,27.14,0.5,1412402400gunnison,38.67264,-107.066506,0.36,,0,0,,0,,1021.47,CO,1412428086,1412470089,61.93,1412460000,33.65,1412427600,1412402400,9.9,269,5.21
0,2014-10-05 00:00:00,62.85,1412542800,32.15,1412514000,0.01,gunnison,27.94,0.5,1412488800gunnison,38.67264,-107.066506,0.4,,0,0,,0,,1017.77,CO,1412514542,1412556396,62.85,1412542800,34.83,1412514000,1412488800,9.96,296,4.31
0,2014-10-06 00:00:00,65.23,1412632800,31.01,1412600400,0.01,gunnison,28.77,0.5,1412575200gunnison,38.67264,-107.066506,0.44,,0,0,,0,,1016.62,CO,1412600998,1412642703,65.23,1412632800,35.6,1412600400,1412575200,9.95,266,5.92
0,2014-10-07 00:00:00,64.73,1412719200,35.5,1412686800,0,gunnison,28.17,0.47,1412661600gunnison,38.67264,-107.066506,0.48,,0,0,,0,,1017.05,CO,1412687454,1412729011,64.73,1412719200,35.5,1412686800,1412661600,10,264,1.96
0,2014-10-08 00:00:00,64.17,1412802000,39.71,1412773200,0.06,gunnison,29.73,0.47,1412748000gunnison,38.67264,-107.066506,0.51,,0,0,,0,,1014.7,CO,1412773911,1412815320,64.17,1412802000,39.71,1412773200,1412748000,9.99,255,0.98
0,2014-10-09 00:00:00,47.88,1412834400,38.24,1412913600,0.23,gunnison,38.01,0.75,1412834400gunnison,38.67264,-107.066506,0.55,,0.0072,0.0349,1412884800,0.67,rain,1012.53,CO,1412860368,1412901629,47.88,1412834400,42.49,1412917200,1412834400,8.88,55,2.76
0,2014-10-10 00:00:00,52.65,1412978400,39.08,1412935200,0.23,gunnison,39.07,0.79,1412920800gunnison,38.67264,-107.066506,0.58,,0.0015,0.0124,1412920800,0.53,rain,1016.55,CO,1412946825,1412987939,52.65,1412978400,41.16,1412946000,1412920800,8.85,78,1.06
0,2014-10-11 00:00:00,58.91,1413061200,36.78,1413021600,0.14,gunnison,35.68,0.68,1413007200gunnison,38.67264,-107.066506,0.62,,0,0,,0,,1015.68,CO,1413033283,1413074249,58.91,1413061200,38.27,1413028800,1413007200,9.52,278,2.95
0,2014-10-12 00:00:00,39.11,1413126000,30,1413176400,0.2,gunnison,30.99,0.7,1413093600gunnison,38.67264,-107.066506,0.65,,0.0026,0.0147,1413133200,0.56,rain,1009.64,CO,1413119741,1413160560,42.65,1413126000,34.34,1413176400,1413093600,8.74,299,6.01
