,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,63.26,1412197200,36.71,1412164800,0.07,huerfano,34.36,0.58,1412143200huerfano,37.687815,-104.959928,0.25,,0.0004,0.0034,1412193600,0.12,rain,1008.7,CO,1412168197,1412210684,63.26,1412197200,38.76,1412164800,1412143200,9.95,261,2.14
0,2014-10-02 00:00:00,58.67,1412287200,32.29,1412254800,0.02,huerfano,26.69,0.5,1412229600huerfano,37.687815,-104.959928,0.29,,0,0,,0,,1016.57,CO,1412254649,1412296993,58.67,1412287200,38.06,1412254800,1412229600,9.41,316,4.1
0,2014-10-03 00:00:00,58.2,1412373600,24.81,1412334000,0.01,huerfano,25.48,0.5,1412316000huerfano,37.687815,-104.959928,0.33,,0,0,,0,,1025.3,CO,1412341101,1412383301,58.2,1412373600,31.33,1412341200,1412316000,9.77,302,1.43
0,2014-10-04 00:00:00,68.63,1412456400,32.29,1412424000,0.02,huerfano,24.96,0.39,1412402400huerfano,37.687815,-104.959928,0.36,,0,0,,0,,1018.28,CO,1412427554,1412469610,68.63,1412456400,36.27,1412413200,1412402400,9.98,223,2.94
0,2014-10-05 00:00:00,69.46,1412546400,37.31,1412510400,0.02,huerfano,25.77,0.37,1412488800huerfano,37.687815,-104.959928,0.4,,0,0,,0,,1013.61,CO,1412514007,1412555920,69.46,1412546400,39.56,1412514000,1412488800,10,333,2.84
0,2014-10-06 00:00:00,73.94,1412632800,35.28,1412600400,0.01,huerfano,25.31,0.37,1412575200huerfano,37.687815,-104.959928,0.44,,0,0,,0,,1012.22,CO,1412600460,1412642230,73.94,1412632800,38.27,1412593200,1412575200,9.96,237,3.21
0,2014-10-07 00:00:00,71.14,1412719200,39.23,1412686800,0.01,huerfano,25.37,0.32,1412661600huerfano,37.687815,-104.959928,0.48,,0,0,,0,,1013.75,CO,1412686914,1412728540,71.14,1412719200,42.11,1412686800,1412661600,9.99,185,2.65
0,2014-10-08 00:00:00,70.81,1412802000,44.53,1412773200,0.04,huerfano,31.59,0.4,1412748000huerfano,37.687815,-104.959928,0.51,,0,0,,0,,1013.73,CO,1412773368,1412814851,70.81,1412802000,44.53,1412773200,1412748000,9.94,175,2.21
0,2014-10-09 00:00:00,54.16,1412834400,39.71,1412913600,0.27,huerfano,43.9,0.79,1412834400huerfano,37.687815,-104.959928,0.55,,0.0314,0.1266,1412881200,0.8,rain,1013.42,CO,1412859823,1412901163,54.16,1412834400,44.6,1412917200,1412834400,7.54,6,5.39
0,2014-10-10 00:00:00,42.68,1412967600,37.76,1413000000,0.46,huerfano,41.16,0.9,1412920800huerfano,37.687815,-104.959928,0.58,,0.0086,0.0234,1412924400,0.62,rain,1021.05,CO,1412946277,1412987476,45.5,1412967600,41.16,1413003600,1412920800,7.1,47,3.02
0,2014-10-11 00:00:00,62.71,1413064800,35.78,1413028800,0.11,huerfano,41.43,0.79,1413007200huerfano,37.687815,-104.959928,0.62,,0.0013,0.0066,1413025200,0.31,rain,1017.35,CO,1413032733,1413073789,62.71,1413064800,39.37,1413032400,1413007200,8.19,196,3.56
0,2014-10-12 00:00:00,57.32,1413133200,31.97,1413176400,0.2,huerfano,37.2,0.68,1413093600huerfano,37.687815,-104.959928,0.65,,0.0054,0.043,1413151200,0.69,rain,1007.22,CO,1413119188,1413160102,57.32,1413133200,40.74,1413176400,1413093600,9.76,337,10.49
0,2014-10-13 00:00:00,56.17,1413237600,28.82,1413205200,0.07,huerfano,28.56,0.56,1413180000huerfano,37.687815,-104.959928,0.68,,0,0,,0,,1020.32,CO,1413205644,1413246417,56.17,1413237600,36.3,1413201600,1413180000,9.91,346,10.05
0,2014-10-14 00:00:00,66.78,1413320400,28.64,1413284400,0,huerfano,27.53,0.5,1413266400huerfano,37.687815,-104.959928,0.72,,0,0,,0,,1021.37,CO,1413292100,1413332732,66.78,1413320400,33.49,1413284400,1413266400,9.96,245,2.61
0,2014-10-15 00:00:00,71.16,1413406800,34.77,1413370800,0.01,huerfano,28.35,0.42,1413352800huerfano,37.687815,-104.959928,0.75,,0,0,,0,,1014.95,CO,1413378557,1413419048,71.16,1413406800,37.62,1413378000,1413352800,10,235,2.44
0,2014-10-16 00:00:00,71.28,1413493200,44.49,1413464400,0.01,huerfano,26.04,0.32,1413439200huerfano,37.687815,-104.959928,0.78,,0,0,,0,,1011.81,CO,1413465014,1413505365,71.28,1413493200,46.27,1413464400,1413439200,10,188,2.93
0,2014-10-17 00:00:00,60.61,1413576000,37.9,1413550800,0.02,huerfano,29,0.47,1413525600huerfano,37.687815,-104.959928,0.81,,0,0,,0,,1018.04,CO,1413551472,1413591683,60.61,1413576000,37.9,1413550800,1413525600,9.99,158,1.93
0,2014-10-18 00:00:00,59.28,1413662400,38.73,1413637200,0.09,huerfano,36.28,0.62,1413612000huerfano,37.687815,-104.959928,0.84,,0.0001,0.0014,1413651600,0.03,rain,1018.84,CO,1413637929,1413678002,59.28,1413662400,40.68,1413637200,1413612000,9.98,187,2.77
0,2014-10-19 00:00:00,66.37,1413748800,38.58,1413709200,0.12,huerfano,36.5,0.57,1413698400huerfano,37.687815,-104.959928,0.87,,0,0,,0,,1016.2,CO,1413724388,1413764322,66.37,1413748800,43.06,1413709200,1413698400,9.82,348,1.24
0,2014-10-20 00:00:00,65.18,1413842400,38.08,1413810000,0.04,huerfano,35.08,0.55,1413784800huerfano,37.687815,-104.959928,0.9,,0,0,,0,,1018.21,CO,1413810846,1413850642,65.18,1413842400,40.25,1413810000,1413784800,9.79,126,1.97
0,2014-10-21 00:00:00,64.29,1413928800,37.19,1413892800,0.09,huerfano,38.65,0.64,1413871200huerfano,37.687815,-104.959928,0.93,,0,0.0009,1413925200,0,,1013.81,CO,1413897306,1413936964,64.29,1413928800,39.79,1413896400,1413871200,9.8,193,4.91
0,2014-10-22 00:00:00,63.53,1414008000,40.16,1413979200,0.12,huerfano,37.82,0.59,1413957600huerfano,37.687815,-104.959928,0.96,,0.0001,0.0022,1414015200,0.06,rain,1014.63,CO,1413983765,1414023287,63.53,1414008000,41.78,1413982800,1413957600,9.97,215,2.05
0,2014-10-23 00:00:00,66.72,1414098000,35.15,1414065600,0.01,huerfano,32.52,0.53,1414044000huerfano,37.687815,-104.959928,0.99,,0,0,,0,,1018.67,CO,1414070225,1414109611,66.72,1414098000,38.47,1414065600,1414044000,10,214,2.69
0,2014-10-24 00:00:00,73.85,1414188000,39.25,1414152000,0.01,huerfano,27.53,0.38,1414130400huerfano,37.687815,-104.959928,0.03,,0,0,,0,,1018.67,CO,1414156685,1414195935,73.85,1414188000,41.7,1414148400,1414130400,9.99,218,2.88
0,2014-10-25 00:00:00,74.02,1414270800,41.59,1414242000,0,huerfano,23.88,0.31,1414216800huerfano,37.687815,-104.959928,0.06,,0,0,,0,,1017.3,CO,1414243146,1414282261,74.02,1414270800,43.58,1414242000,1414216800,9.9,229,2.38
0,2014-10-26 00:00:00,70.73,1414357200,46.82,1414310400,0,huerfano,28.97,0.34,1414303200huerfano,37.687815,-104.959928,0.09,,0,0,,0,,1006.94,CO,1414329607,1414368589,70.73,1414357200,48.37,1414314000,1414303200,10,239,8.43
0,2014-10-27 00:00:00,54.97,1414436400,30.56,1414465200,0.07,huerfano,29.14,0.51,1414389600huerfano,37.687815,-104.959928,0.13,,0,0,,0,,1009.68,CO,1414416068,1414454917,54.97,1414436400,34.29,1414468800,1414389600,10,80,0.45
0,2014-10-28 00:00:00,54.62,1414530000,26.7,1414494000,0.03,huerfano,20.02,0.46,1414476000huerfano,37.687815,-104.959928,0.16,,0,0,,0,,1021.49,CO,1414502530,1414541247,54.62,1414530000,31.63,1414501200,1414476000,10,226,2.43
0,2014-10-29 00:00:00,63.2,1414616400,25.29,1414587600,0.01,huerfano,15.21,0.34,1414562400huerfano,37.687815,-104.959928,0.2,,0,0,,0,,1021.07,CO,1414588992,1414627578,63.2,1414616400,30.17,1414584000,1414562400,10,246,1.88
0,2014-10-30 00:00:00,58.61,1414702800,28.58,1414674000,0.01,huerfano,20.22,0.38,1414648800huerfano,37.687815,-104.959928,0.24,,0,0,,0,,1024.98,CO,1414675455,1414713910,58.61,1414702800,34.32,1414674000,1414648800,10,12,1.51
0,2014-10-31 00:00:00,56.1,1414789200,26.06,1414760400,0.02,huerfano,24.93,0.52,1414735200huerfano,37.687815,-104.959928,0.28,,0,0,,0,,1025.25,CO,1414761918,1414800243,56.1,1414789200,29.61,1414760400,1414735200,9.99,171,5.32
