,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,67,1412193600,38.3,1412226000,0.07,lincoln,37.9,0.59,1412143200lincoln,38.99374,-103.507555,0.25,,0.0015,0.0134,1412222400,0.54,rain,1008.57,CO,1412167872,1412210312,67,1412193600,43.12,1412164800,1412143200,9.83,345,1.94
0,2014-10-02 00:00:00,61.67,1412290800,35.17,1412244000,0.01,lincoln,32.21,0.57,1412229600lincoln,38.99374,-103.507555,0.29,,0.0006,0.006,1412233200,0.27,rain,1016.64,CO,1412254328,1412296616,61.67,1412290800,40.59,1412254800,1412229600,9.96,334,6.86
0,2014-10-03 00:00:00,55.47,1412373600,24.8,1412330400,0.04,lincoln,29.39,0.61,1412316000lincoln,38.99374,-103.507555,0.33,,0,0,,0,,1025.87,CO,1412340784,1412382921,55.47,1412373600,32.9,1412341200,1412316000,9.95,348,4.73
0,2014-10-04 00:00:00,70.87,1412456400,31.19,1412413200,0.05,lincoln,27.62,0.44,1412402400lincoln,38.99374,-103.507555,0.36,,0,0,,0,,1018.17,CO,1412427240,1412469227,70.87,1412456400,34.42,1412416800,1412402400,9.97,287,1.26
0,2014-10-05 00:00:00,71.24,1412546400,39.52,1412503200,0.05,lincoln,30.96,0.43,1412488800lincoln,38.99374,-103.507555,0.4,,0,0,,0,,1013.55,CO,1412513697,1412555533,71.24,1412546400,41.95,1412514000,1412488800,10,338,4.08
0,2014-10-06 00:00:00,77.14,1412629200,37.97,1412600400,0.04,lincoln,31.69,0.44,1412575200lincoln,38.99374,-103.507555,0.44,,0,0,,0,,1011.52,CO,1412600154,1412641840,77.14,1412629200,40.67,1412600400,1412575200,9.95,289,3.68
0,2014-10-07 00:00:00,75.76,1412715600,44.04,1412686800,0.02,lincoln,31.93,0.37,1412661600lincoln,38.99374,-103.507555,0.48,,0,0,,0,,1013.38,CO,1412686611,1412728147,75.76,1412715600,45.62,1412686800,1412661600,9.99,179,2.76
0,2014-10-08 00:00:00,73.44,1412805600,46.32,1412773200,0.03,lincoln,40.67,0.53,1412748000lincoln,38.99374,-103.507555,0.51,,0,0,,0,,1014.02,CO,1412773068,1412814454,73.44,1412805600,46.32,1412773200,1412748000,9.93,133,3.92
0,2014-10-09 00:00:00,57.83,1412870400,45.7,1412917200,0.2,lincoln,47.26,0.82,1412834400lincoln,38.99374,-103.507555,0.55,,0.0288,0.1315,1412881200,0.81,rain,1014.5,CO,1412859526,1412900763,57.83,1412870400,48.41,1412917200,1412834400,8.36,18,5.94
0,2014-10-10 00:00:00,45.32,1412920800,38.87,1413000000,0.35,lincoln,44.21,0.91,1412920800lincoln,38.99374,-103.507555,0.58,,0.0053,0.0199,1412920800,0.6,rain,1021.73,CO,1412945984,1412987072,48.21,1412920800,43.52,1413003600,1412920800,8.87,112,3.15
0,2014-10-11 00:00:00,62.67,1413064800,37.51,1413025200,0.11,lincoln,43.03,0.79,1413007200lincoln,38.99374,-103.507555,0.62,,0,0.0011,1413068400,0,,1016.94,CO,1413032443,1413073381,62.67,1413064800,41.02,1413032400,1413007200,8.86,182,6.36
0,2014-10-12 00:00:00,56.42,1413129600,31.61,1413176400,0.2,lincoln,38.7,0.71,1413093600lincoln,38.99374,-103.507555,0.65,,0.0048,0.0342,1413151200,0.67,rain,1006.89,CO,1413118902,1413159692,56.42,1413129600,40.91,1413176400,1413093600,9.73,342,10.82
0,2014-10-13 00:00:00,55.45,1413237600,28.93,1413205200,0.09,lincoln,30.27,0.59,1413180000lincoln,38.99374,-103.507555,0.68,,0,0,,0,,1020.06,CO,1413205361,1413246003,55.45,1413237600,37.6,1413201600,1413180000,9.95,343,13.04
0,2014-10-14 00:00:00,69.19,1413324000,31.18,1413284400,0,lincoln,29.26,0.51,1413266400lincoln,38.99374,-103.507555,0.72,,0.0001,0.0009,1413309600,0.01,rain,1020.47,CO,1413291821,1413332315,69.19,1413324000,35.17,1413284400,1413266400,9.97,258,2.89
0,2014-10-15 00:00:00,76.83,1413403200,38.27,1413367200,0.02,lincoln,32.99,0.45,1413352800lincoln,38.99374,-103.507555,0.75,,0,0,,0,,1013.58,CO,1413378281,1413418627,76.83,1413403200,38.59,1413378000,1413352800,10,198,3.92
0,2014-10-16 00:00:00,72.25,1413493200,46.73,1413522000,0.03,lincoln,30.12,0.35,1413439200lincoln,38.99374,-103.507555,0.78,,0,0,,0,,1011.53,CO,1413464741,1413504941,72.25,1413493200,47.45,1413522000,1413439200,10,103,1.17
