,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,65.37,1412193600,36.28,1412211600,0.16,morgan,40.2,0.7,1412143200morgan,40.263167,-103.812285,0.25,,0.0087,0.0532,1412208000,0.72,rain,1009.7,CO,1412167970,1412210360,65.37,1412193600,43.23,1412226000,1412143200,9.76,349,4.46
0,2014-10-02 00:00:00,62.48,1412287200,34.98,1412247600,0.07,morgan,34.53,0.62,1412229600morgan,40.263167,-103.812285,0.29,,0.0005,0.006,1412233200,0.27,rain,1017.07,CO,1412254429,1412296661,62.48,1412287200,38.2,1412251200,1412229600,9.9,309,7.75
0,2014-10-03 00:00:00,55.08,1412373600,24.91,1412319600,0.16,morgan,30.28,0.63,1412316000morgan,40.263167,-103.812285,0.33,,0.0001,0.0011,1412344800,0.02,rain,1026.07,CO,1412340889,1412382963,55.08,1412373600,34.03,1412341200,1412316000,9.9,339,5.27
0,2014-10-04 00:00:00,73.45,1412460000,32.17,1412420400,0.1,morgan,32.07,0.5,1412402400morgan,40.263167,-103.812285,0.36,,0,0.0011,1412420400,0,,1017.33,CO,1412427348,1412469265,73.45,1412460000,36.55,1412420400,1412402400,9.98,283,4.15
0,2014-10-05 00:00:00,70.65,1412542800,40.9,1412510400,0.19,morgan,36.18,0.51,1412488800morgan,40.263167,-103.812285,0.4,,0,0.0011,1412506800,0,,1013.48,CO,1412513808,1412555567,70.65,1412542800,43.73,1412510400,1412488800,9.98,315,4.69
0,2014-10-06 00:00:00,75.61,1412632800,39.82,1412586000,0.1,morgan,36.89,0.49,1412575200morgan,40.263167,-103.812285,0.44,,0,0.0011,1412611200,0,,1010.39,CO,1412600269,1412641871,75.61,1412632800,43.56,1412589600,1412575200,9.99,278,6.66
0,2014-10-07 00:00:00,76.65,1412715600,41.64,1412686800,0.05,morgan,38.45,0.49,1412661600morgan,40.263167,-103.812285,0.48,,0,0,,0,,1013.21,CO,1412686729,1412728174,76.65,1412715600,45.33,1412686800,1412661600,9.53,170,0.55
0,2014-10-08 00:00:00,75.95,1412805600,43.73,1412769600,0.02,morgan,42.08,0.58,1412748000morgan,40.263167,-103.812285,0.51,,0.0001,0.003,1412794800,0.1,rain,1014.09,CO,1412773190,1412814478,75.95,1412805600,45.59,1412773200,1412748000,9.98,143,3.08
0,2014-10-09 00:00:00,60.35,1412881200,45.99,1412856000,0.23,morgan,47.25,0.79,1412834400morgan,40.263167,-103.812285,0.55,,0.0066,0.0389,1412888400,0.68,rain,1015.77,CO,1412859652,1412900783,60.35,1412881200,47.4,1412852400,1412834400,9.74,37,4.38
