,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,73.26,1412197200,37.95,1412164800,0.05,otero,37.82,0.52,1412143200otero,37.88417,-103.72126,0.25,,0,0,,0,,1007.49,CO,1412167903,1412210384,73.26,1412197200,41.05,1412164800,1412143200,9.97,319,1.57
0,2014-10-02 00:00:00,65.09,1412287200,36.02,1412240400,0.03,otero,31.7,0.51,1412229600otero,37.88417,-103.72126,0.29,,0,0,,0,,1015.78,CO,1412254355,1412296691,65.09,1412287200,40.59,1412312400,1412229600,9.86,337,5.13
0,2014-10-03 00:00:00,58.62,1412373600,28.14,1412337600,0.02,otero,29.22,0.55,1412316000otero,37.88417,-103.72126,0.33,,0,0,,0,,1025.08,CO,1412340808,1412383000,58.62,1412373600,34.07,1412341200,1412316000,9.89,0,3.36
0,2014-10-04 00:00:00,74.42,1412456400,28.57,1412416800,0.02,otero,26.31,0.42,1412402400otero,37.88417,-103.72126,0.36,,0,0,,0,,1017.6,CO,1412427262,1412469308,74.42,1412456400,32.64,1412413200,1412402400,9.98,199,1.71
0,2014-10-05 00:00:00,75.06,1412546400,35.95,1412510400,0.02,otero,28.46,0.38,1412488800otero,37.88417,-103.72126,0.4,,0,0,,0,,1012.78,CO,1412513715,1412555617,75.06,1412546400,39.85,1412503200,1412488800,10,343,2.37
0,2014-10-06 00:00:00,78.54,1412632800,33.49,1412600400,0.02,otero,28.66,0.4,1412575200otero,37.88417,-103.72126,0.44,,0,0,,0,,1011.15,CO,1412600169,1412641926,80.48,1412632800,37.82,1412593200,1412575200,9.95,255,2.47
0,2014-10-07 00:00:00,78.87,1412712000,42.16,1412676000,0.01,otero,30.32,0.34,1412661600otero,37.88417,-103.72126,0.48,,0,0,,0,,1012.63,CO,1412686623,1412728237,78.87,1412712000,44.01,1412679600,1412661600,9.99,151,1.74
0,2014-10-08 00:00:00,78.04,1412802000,44.03,1412766000,0.02,otero,39.9,0.48,1412748000otero,37.88417,-103.72126,0.51,,0,0,,0,,1012.97,CO,1412773078,1412814547,78.04,1412802000,45.29,1412766000,1412748000,9.9,112,3.48
0,2014-10-09 00:00:00,58.66,1412870400,50.16,1412913600,0.2,otero,49.15,0.8,1412834400otero,37.88417,-103.72126,0.55,,0.0238,0.0683,1412910000,0.75,rain,1012.92,CO,1412859533,1412900858,58.66,1412870400,50.16,1412913600,1412834400,7.99,23,6.53
0,2014-10-10 00:00:00,50.26,1412920800,41.12,1413003600,0.39,otero,45.38,0.91,1412920800otero,37.88417,-103.72126,0.58,,0.015,0.0647,1412920800,0.74,rain,1021.01,CO,1412945988,1412987170,50.26,1412920800,43.5,1413003600,1412920800,8.31,59,4.68
0,2014-10-11 00:00:00,66.51,1413064800,35.93,1413028800,0.07,otero,42.95,0.79,1413007200otero,37.88417,-103.72126,0.62,,0.0002,0.0009,1413025200,0.01,rain,1016.86,CO,1413032444,1413073483,66.51,1413064800,38.44,1413028800,1413007200,8.77,174,4.97
0,2014-10-12 00:00:00,60.84,1413133200,35.57,1413176400,0.18,otero,40.82,0.73,1413093600otero,37.88417,-103.72126,0.65,,0.0191,0.1965,1413151200,0.84,rain,1006.21,CO,1413118900,1413159796,60.84,1413133200,43.79,1413111600,1413093600,9.64,339,9.45
0,2014-10-13 00:00:00,59.24,1413237600,31.12,1413194400,0.06,otero,31.11,0.57,1413180000otero,37.88417,-103.72126,0.68,,0,0,,0,,1019.41,CO,1413205356,1413246110,59.24,1413237600,37.92,1413262800,1413180000,9.95,344,12.59
0,2014-10-14 00:00:00,71.03,1413320400,29.42,1413284400,0,otero,29.98,0.51,1413266400otero,37.88417,-103.72126,0.72,,0,0,,0,,1020.2,CO,1413291813,1413332425,71.03,1413320400,34.43,1413284400,1413266400,9.95,253,3.92
0,2014-10-15 00:00:00,78.91,1413406800,34.68,1413378000,0.01,otero,33.73,0.46,1413352800otero,37.88417,-103.72126,0.75,,0,0,,0,,1013.46,CO,1413378270,1413418741,80.67,1413406800,37.57,1413378000,1413352800,9.99,221,3.07
0,2014-10-16 00:00:00,77.29,1413493200,46.67,1413522000,0.01,otero,30.91,0.34,1413439200otero,37.88417,-103.72126,0.78,,0,0,,0,,1010.68,CO,1413464728,1413505057,77.29,1413493200,48.37,1413522000,1413439200,10,162,1.65
