,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,46.91,1412193600,33.8,1412226000,0.14,ouray,37.26,0.82,1412143200ouray,38.1506,-107.767133,0.25,,0.009,0.0464,1412204400,0.7,rain,1012.82,CO,1412168879,1412211349,49.22,1412193600,39,1412226000,1412143200,8.96,247,1.93
0,2014-10-02 00:00:00,53,1412287200,26.91,1412254800,0.01,ouray,29.35,0.63,1412229600ouray,38.1506,-107.767133,0.29,,0.0003,0.0058,1412229600,0.26,rain,1022.04,CO,1412255333,1412297656,53,1412287200,32.66,1412254800,1412229600,9.81,278,2.2
0,2014-10-03 00:00:00,60.38,1412373600,32.73,1412330400,0,ouray,30.22,0.58,1412316000ouray,38.1506,-107.767133,0.33,,0,0,,0,,1025.85,CO,1412341786,1412383963,60.38,1412373600,33.35,1412341200,1412316000,9.91,250,2.25
0,2014-10-04 00:00:00,63.65,1412463600,33.41,1412427600,0,ouray,31.57,0.55,1412402400ouray,38.1506,-107.767133,0.36,,0,0,,0,,1021.6,CO,1412428240,1412470271,63.65,1412463600,36.02,1412427600,1412402400,9.86,243,2.57
0,2014-10-05 00:00:00,65.09,1412546400,34.45,1412514000,0,ouray,30.87,0.51,1412488800ouray,38.1506,-107.767133,0.4,,0,0,,0,,1017.8,CO,1412514695,1412556579,65.09,1412546400,36.75,1412514000,1412488800,9.91,315,0.99
0,2014-10-06 00:00:00,67.32,1412632800,38.3,1412600400,0,ouray,31.07,0.49,1412575200ouray,38.1506,-107.767133,0.44,,0,0,,0,,1017.25,CO,1412601149,1412642888,67.32,1412632800,38.3,1412600400,1412575200,9.95,240,2.49
0,2014-10-07 00:00:00,66,1412719200,38.65,1412679600,0,ouray,31.37,0.49,1412661600ouray,38.1506,-107.767133,0.48,,0,0,,0,,1017.34,CO,1412687604,1412729197,66,1412719200,39.38,1412686800,1412661600,10,194,1.33
0,2014-10-08 00:00:00,65.81,1412802000,43.24,1412773200,0.08,ouray,33.78,0.5,1412748000ouray,38.1506,-107.767133,0.51,,0,0,,0,,1014.72,CO,1412774059,1412815507,65.81,1412802000,43.24,1412773200,1412748000,9.99,220,1.58
0,2014-10-09 00:00:00,51.81,1412834400,41.7,1412913600,0.33,ouray,42.04,0.79,1412834400ouray,38.1506,-107.767133,0.55,,0.01,0.0402,1412884800,0.69,rain,1012.64,CO,1412860515,1412901818,51.81,1412834400,45.56,1412917200,1412834400,9.03,63,2.24
0,2014-10-10 00:00:00,56.38,1412978400,42.69,1412935200,0.23,ouray,42.35,0.79,1412920800ouray,38.1506,-107.767133,0.58,,0.0018,0.0098,1412920800,0.5,rain,1016.35,CO,1412946971,1412988129,56.38,1412978400,44.33,1412946000,1412920800,8.66,66,0.54
0,2014-10-11 00:00:00,60.47,1413061200,38.49,1413028800,0.1,ouray,38.61,0.7,1413007200ouray,38.1506,-107.767133,0.62,,0,0,,0,,1016.46,CO,1413033427,1413074441,60.47,1413061200,40.37,1413032400,1413007200,9.54,205,1.42
0,2014-10-12 00:00:00,42.71,1413126000,33.24,1413176400,0.17,ouray,31.52,0.64,1413093600ouray,38.1506,-107.767133,0.65,,0.001,0.0049,1413133200,0.21,rain,1010.57,CO,1413119884,1413160753,47.14,1413126000,36.51,1413176400,1413093600,9.37,307,6.04
0,2014-10-13 00:00:00,50.99,1413237600,29.18,1413208800,0.03,ouray,23.84,0.56,1413180000ouray,38.1506,-107.767133,0.68,,0,0,,0,,1022.74,CO,1413206341,1413247067,50.99,1413237600,30.01,1413205200,1413180000,9.82,287,2.08
0,2014-10-14 00:00:00,61.87,1413324000,27.67,1413288000,0,ouray,25.79,0.5,1413266400ouray,38.1506,-107.767133,0.72,,0,0,,0,,1023.22,CO,1413292799,1413333381,61.87,1413324000,31.45,1413291600,1413266400,9.98,186,1.53
0,2014-10-15 00:00:00,64.89,1413406800,35.9,1413378000,0,ouray,26.96,0.43,1413352800ouray,38.1506,-107.767133,0.75,,0,0,,0,,1017.85,CO,1413379257,1413419696,64.89,1413406800,38.14,1413378000,1413352800,9.92,195,2.57
0,2014-10-16 00:00:00,66.55,1413496800,37.11,1413464400,0,ouray,26.9,0.41,1413439200ouray,38.1506,-107.767133,0.78,,0,0,,0,,1015.55,CO,1413465715,1413506012,66.55,1413496800,39.78,1413464400,1413439200,9.98,229,3.23
0,2014-10-17 00:00:00,63.51,1413576000,37.34,1413550800,0.01,ouray,25.74,0.41,1413525600ouray,38.1506,-107.767133,0.81,,0,0,,0,,1016.11,CO,1413552174,1413592328,63.51,1413576000,37.34,1413550800,1413525600,9.99,203,2.32
0,2014-10-18 00:00:00,60.75,1413666000,42.54,1413640800,0.11,ouray,32.86,0.5,1413612000ouray,38.1506,-107.767133,0.84,,0,0,,0,,1015.97,CO,1413638633,1413678646,60.75,1413666000,43.19,1413637200,1413612000,9.98,192,1.25
0,2014-10-19 00:00:00,62.83,1413752400,41.44,1413723600,0.1,ouray,36.59,0.57,1413698400ouray,38.1506,-107.767133,0.87,,0.001,0.0084,1413770400,0.44,rain,1015.93,CO,1413725092,1413764964,62.83,1413752400,43.23,1413723600,1413698400,9.93,157,1.73
0,2014-10-20 00:00:00,63.63,1413838800,38.25,1413806400,0.09,ouray,36.14,0.6,1413784800ouray,38.1506,-107.767133,0.9,,0,0,,0,,1016.87,CO,1413811552,1413851284,63.63,1413838800,39.63,1413810000,1413784800,9.94,153,1.43
0,2014-10-21 00:00:00,55.51,1413928800,43.78,1413900000,0.18,ouray,38.49,0.66,1413871200ouray,38.1506,-107.767133,0.93,,0.0014,0.0175,1413925200,0.58,rain,1013.93,CO,1413898012,1413937604,55.51,1413928800,44.87,1413896400,1413871200,9.54,139,2.4
