,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,76.78,1412200800,44.23,1412161200,0.02,prowers,41.83,0.54,1412143200prowers,37.958181,-102.392161,0.25,,0.0002,0.0021,1412226000,0.06,rain,1006.26,CO,1412167585,1412210064,76.78,1412200800,46.54,1412164800,1412143200,9.86,347,2.58
0,2014-10-02 00:00:00,66.87,1412283600,42.4,1412247600,0.03,prowers,37.5,0.56,1412229600prowers,37.958181,-102.392161,0.29,,0.0003,0.0056,1412254800,0.25,rain,1014.41,CO,1412254038,1412296371,66.87,1412283600,45.1,1412312400,1412229600,9.95,337,10.65
0,2014-10-03 00:00:00,60.18,1412377200,32.17,1412341200,0.02,prowers,30.35,0.53,1412316000prowers,37.958181,-102.392161,0.33,,0,0,,0,,1024.36,CO,1412340491,1412382679,60.18,1412377200,38.98,1412341200,1412316000,9.92,345,6.8
0,2014-10-04 00:00:00,75.06,1412460000,31.33,1412416800,0,prowers,30.78,0.47,1412402400prowers,37.958181,-102.392161,0.36,,0,0,,0,,1017.05,CO,1412426944,1412468987,75.06,1412460000,37.12,1412416800,1412402400,9.97,258,3.07
0,2014-10-05 00:00:00,77.18,1412542800,38.78,1412510400,0.02,prowers,34.36,0.44,1412488800prowers,37.958181,-102.392161,0.4,,0,0,,0,,1011.97,CO,1412513398,1412555296,77.18,1412542800,42.73,1412514000,1412488800,9.99,334,3.03
0,2014-10-06 00:00:00,79.27,1412632800,37.77,1412593200,0.01,prowers,35.65,0.47,1412575200prowers,37.958181,-102.392161,0.44,,0,0,,0,,1010.46,CO,1412599852,1412641605,81.38,1412632800,42.08,1412593200,1412575200,9.94,261,5.06
0,2014-10-07 00:00:00,80.47,1412715600,43.35,1412686800,0,prowers,36.03,0.4,1412661600prowers,37.958181,-102.392161,0.48,,0,0,,0,,1011.79,CO,1412686307,1412727915,83.02,1412715600,46.25,1412683200,1412661600,9.97,51,1.24
0,2014-10-08 00:00:00,77.41,1412802000,49.66,1412769600,0.02,prowers,47.15,0.58,1412748000prowers,37.958181,-102.392161,0.51,,0,0,,0,,1012.55,CO,1412772762,1412814226,77.41,1412802000,49.66,1412769600,1412748000,9.62,109,5.4
0,2014-10-09 00:00:00,60.66,1412834400,53.55,1412917200,0.18,prowers,52.38,0.83,1412834400prowers,37.958181,-102.392161,0.55,,0.0178,0.1213,1412917200,0.8,rain,1012.21,CO,1412859217,1412900537,60.66,1412834400,53.55,1412917200,1412834400,8.15,42,6.1
