,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,51.7,1412193600,34.52,1412226000,0.12,san juan,36.98,0.79,1412143200san juan,37.781074,-107.670257,0.25,,0.0052,0.0256,1412204400,0.63,rain,1012.47,CO,1412168849,1412211332,51.7,1412193600,38.45,1412164800,1412143200,9,254,2.57
0,2014-10-02 00:00:00,53.52,1412287200,25.73,1412254800,0,san juan,27.74,0.59,1412229600san juan,37.781074,-107.670257,0.29,,0.0001,0.0034,1412229600,0.12,rain,1021.03,CO,1412255302,1412297640,53.52,1412287200,32.3,1412254800,1412229600,9.83,279,3.22
0,2014-10-03 00:00:00,60.81,1412373600,33.54,1412341200,0,san juan,29.49,0.55,1412316000san juan,37.781074,-107.670257,0.33,,0,0,,0,,1025.23,CO,1412341754,1412383949,60.81,1412373600,33.54,1412341200,1412316000,9.93,257,2.67
0,2014-10-04 00:00:00,63.84,1412460000,35.99,1412427600,0,san juan,31.34,0.54,1412402400san juan,37.781074,-107.670257,0.36,,0,0,,0,,1021.16,CO,1412428207,1412470258,63.84,1412460000,35.99,1412427600,1412402400,9.9,255,3.36
0,2014-10-05 00:00:00,65.46,1412546400,33.99,1412514000,0,san juan,29.68,0.49,1412488800san juan,37.781074,-107.670257,0.4,,0,0,,0,,1017.17,CO,1412514661,1412556567,65.46,1412546400,36.46,1412514000,1412488800,9.93,316,1.98
0,2014-10-06 00:00:00,67.45,1412632800,37.9,1412600400,0,san juan,29.3,0.46,1412575200san juan,37.781074,-107.670257,0.44,,0,0,,0,,1017.22,CO,1412601114,1412642877,67.45,1412632800,37.9,1412600400,1412575200,9.96,251,3.25
0,2014-10-07 00:00:00,65.59,1412719200,39.21,1412686800,0,san juan,30.05,0.47,1412661600san juan,37.781074,-107.670257,0.48,,0,0,,0,,1017.54,CO,1412687568,1412729187,65.59,1412719200,39.21,1412686800,1412661600,10,210,1.12
0,2014-10-08 00:00:00,65.62,1412802000,42.7,1412773200,0.09,san juan,32.67,0.48,1412748000san juan,37.781074,-107.670257,0.51,,0,0,,0,,1015.09,CO,1412774023,1412815498,65.62,1412802000,42.7,1412773200,1412748000,9.99,223,1.86
0,2014-10-09 00:00:00,51.31,1412834400,42.27,1412913600,0.23,san juan,42.16,0.8,1412834400san juan,37.781074,-107.670257,0.55,,0.0094,0.0343,1412892000,0.67,rain,1012.77,CO,1412860477,1412901809,51.31,1412834400,45.26,1412917200,1412834400,8.83,57,1.73
