,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,37.72,1412200800,21.94,1412226000,0.17,summit,30.72,0.78,1412143200summit,39.621023,-106.137555,0.25,,0.0032,0.0173,1412190000,0.58,rain,1010.58,CO,1412168516,1412210930,41.87,1412200800,31.03,1412226000,1412143200,7.8,275,3.96
0,2014-10-02 00:00:00,35.43,1412287200,16.84,1412247600,0.02,summit,24.68,0.67,1412229600summit,39.621023,-106.137555,0.29,0.184,0.0009,0.0065,1412229600,0.31,snow,1019.64,CO,1412254973,1412297233,43.62,1412287200,27.78,1412254800,1412229600,9.54,291,11.72
0,2014-10-03 00:00:00,41.78,1412370000,20.27,1412341200,0.02,summit,24.41,0.59,1412316000summit,39.621023,-106.137555,0.33,,0,0,,0,,1023.57,CO,1412341431,1412383536,47.6,1412370000,30.43,1412341200,1412316000,9.44,288,12.91
0,2014-10-04 00:00:00,54.65,1412456400,22.18,1412427600,0.02,summit,26.07,0.55,1412402400summit,39.621023,-106.137555,0.36,,0.0003,0.0033,1412452800,0.11,rain,1020.31,CO,1412427889,1412469840,54.65,1412456400,31.53,1412427600,1412402400,10,288,11.69
0,2014-10-05 00:00:00,54.77,1412542800,26.61,1412510400,0.1,summit,28.42,0.56,1412488800summit,39.621023,-106.137555,0.4,,0,0,,0,,1016.48,CO,1412514347,1412556145,54.77,1412542800,34.74,1412514000,1412488800,9.98,286,12.79
0,2014-10-06 00:00:00,57.96,1412632800,24.5,1412593200,0.04,summit,29.13,0.55,1412575200summit,39.621023,-106.137555,0.44,,0,0,,0,,1015.06,CO,1412600806,1412642449,57.96,1412632800,35.15,1412593200,1412575200,9.99,288,14.63
0,2014-10-07 00:00:00,61.26,1412715600,30.45,1412686800,0.01,summit,28.31,0.49,1412661600summit,39.621023,-106.137555,0.48,,0,0,,0,,1016.15,CO,1412687265,1412728755,61.26,1412715600,36.6,1412686800,1412661600,9.98,287,5.2
0,2014-10-08 00:00:00,59.97,1412802000,35.94,1412766000,0.09,summit,28.72,0.49,1412748000summit,39.621023,-106.137555,0.51,,0.0007,0.0163,1412791200,0.57,rain,1014.24,CO,1412773724,1412815061,59.97,1412802000,39.52,1412769600,1412748000,9.99,234,2.32
0,2014-10-09 00:00:00,42.25,1412834400,32.21,1412913600,0.09,summit,34.81,0.76,1412834400summit,39.621023,-106.137555,0.55,,0.0045,0.0164,1412906400,0.57,rain,1012.15,CO,1412860183,1412901367,44.8,1412834400,38.57,1412917200,1412834400,8.13,105,7.25
0,2014-10-10 00:00:00,41.96,1412974800,29.49,1412942400,0.25,summit,35.08,0.82,1412920800summit,39.621023,-106.137555,0.58,,0.0014,0.0087,1412956800,0.46,rain,1017,CO,1412946643,1412987675,44.84,1412974800,36.41,1412946000,1412920800,8.43,135,5.59
0,2014-10-11 00:00:00,51.76,1413061200,25.81,1413032400,0.15,summit,32.5,0.71,1413007200summit,39.621023,-106.137555,0.62,,0.0024,0.0161,1413057600,0.57,rain,1015.28,CO,1413033104,1413073983,51.76,1413061200,34.37,1413032400,1413007200,8.53,273,10.68
0,2014-10-12 00:00:00,32.88,1413100800,22.6,1413172800,0.19,summit,28.13,0.73,1413093600summit,39.621023,-106.137555,0.65,,0.0028,0.0147,1413133200,0.56,rain,1008.11,CO,1413119564,1413160291,41.69,1413100800,30.48,1413176400,1413093600,7.84,298,9.7
0,2014-10-13 00:00:00,31.44,1413237600,17.38,1413205200,0.11,summit,23.88,0.71,1413180000summit,39.621023,-106.137555,0.68,0.029,0.0001,0.002,1413198000,0.05,snow,1021.36,CO,1413206025,1413246601,39.17,1413237600,27.13,1413205200,1413180000,9.82,301,10
0,2014-10-14 00:00:00,57.26,1413320400,19.12,1413288000,0.01,summit,24.06,0.54,1413266400summit,39.621023,-106.137555,0.72,,0.0039,0.0553,1413309600,0.72,rain,1022.66,CO,1413292487,1413332911,57.26,1413320400,28.77,1413288000,1413266400,9.99,280,5.23
0,2014-10-15 00:00:00,59.83,1413406800,30.83,1413378000,0.01,summit,24.09,0.41,1413352800summit,39.621023,-106.137555,0.75,,0,0,,0,,1016.64,CO,1413378949,1413419222,59.83,1413406800,37.57,1413378000,1413352800,9.98,220,7.43
0,2014-10-16 00:00:00,58.93,1413493200,31.92,1413464400,0.03,summit,25.93,0.43,1413439200summit,39.621023,-106.137555,0.78,,0.0014,0.0228,1413475200,0.62,rain,1012,CO,1413465411,1413505534,58.93,1413493200,40.58,1413464400,1413439200,9.23,275,9.69
0,2014-10-17 00:00:00,57.89,1413583200,27.42,1413550800,0.02,summit,25.94,0.51,1413525600summit,39.621023,-106.137555,0.81,,0.0003,0.0065,1413558000,0.31,rain,1014.44,CO,1413551873,1413591847,57.89,1413583200,34.28,1413550800,1413525600,9.76,278,5.8
0,2014-10-18 00:00:00,54.71,1413666000,30.65,1413637200,0.09,summit,27.68,0.55,1413612000summit,39.621023,-106.137555,0.84,,0,0,,0,,1015.79,CO,1413638336,1413678160,54.71,1413666000,34.11,1413637200,1413612000,10,279,5.18
0,2014-10-19 00:00:00,57.44,1413756000,34.4,1413709200,0.14,summit,31.46,0.6,1413698400summit,39.621023,-106.137555,0.87,,0,0,,0,,1015.85,CO,1413724800,1413764475,57.44,1413756000,37.69,1413712800,1413698400,9.89,169,1.99
0,2014-10-20 00:00:00,57.96,1413838800,29.13,1413795600,0.11,summit,31.78,0.61,1413784800summit,39.621023,-106.137555,0.9,,0.0016,0.0228,1413824400,0.62,rain,1017.29,CO,1413811263,1413850791,57.96,1413838800,35.87,1413810000,1413784800,9.99,174,6.63
0,2014-10-21 00:00:00,52.42,1413925200,31.28,1413892800,0.15,summit,33.67,0.68,1413871200summit,39.621023,-106.137555,0.93,,0.0031,0.0256,1413943200,0.63,rain,1014,CO,1413897728,1413937107,52.42,1413925200,36.62,1413892800,1413871200,9.46,217,4.07
0,2014-10-22 00:00:00,43.31,1414011600,30.45,1413975600,0.17,summit,32.87,0.73,1413957600summit,39.621023,-106.137555,0.96,,0.0034,0.0147,1413968400,0.56,rain,1017.28,CO,1413984192,1414023425,47.17,1414011600,36.9,1413982800,1413957600,8.83,264,6.11
0,2014-10-23 00:00:00,55.09,1414098000,23.26,1414069200,0.03,summit,28.89,0.6,1414044000summit,39.621023,-106.137555,0.99,,0,0,,0,,1020.33,CO,1414070657,1414109744,55.09,1414098000,33.65,1414069200,1414044000,9.45,272,9.74
0,2014-10-24 00:00:00,62.51,1414184400,34.02,1414155600,0.01,summit,24.68,0.41,1414130400summit,39.621023,-106.137555,0.03,,0,0,,0,,1021.94,CO,1414157122,1414196064,62.51,1414184400,39.73,1414155600,1414130400,10,254,6.71
0,2014-10-25 00:00:00,63.44,1414270800,33.18,1414242000,0,summit,24,0.4,1414216800summit,39.621023,-106.137555,0.06,,0,0,,0,,1020.09,CO,1414243588,1414282385,63.44,1414270800,35.99,1414242000,1414216800,10,231,3.01
0,2014-10-26 00:00:00,56.32,1414353600,34.96,1414328400,0.02,summit,27.4,0.46,1414303200summit,39.621023,-106.137555,0.09,,0.0001,0.0019,1414386000,0.05,rain,1007.93,CO,1414330054,1414368707,56.32,1414353600,41.83,1414332000,1414303200,9.96,252,9.24
0,2014-10-27 00:00:00,38.24,1414389600,18.34,1414461600,0.14,summit,23.16,0.66,1414389600summit,39.621023,-106.137555,0.13,,0.0017,0.0081,1414400400,0.41,rain,1009.14,CO,1414416520,1414455030,42.41,1414389600,25.95,1414461600,1414389600,7.68,275,9.2
0,2014-10-28 00:00:00,37.95,1414530000,14.49,1414486800,0.02,summit,14.55,0.5,1414476000summit,39.621023,-106.137555,0.16,,0.0001,0.0033,1414515600,0.11,rain,1019.98,CO,1414502987,1414541355,44.6,1414530000,23.61,1414483200,1414476000,9.82,286,8.79
0,2014-10-29 00:00:00,50.92,1414616400,17.38,1414573200,0.02,summit,16.99,0.44,1414562400summit,39.621023,-106.137555,0.2,,0,0,,0,,1022.12,CO,1414589454,1414627681,50.92,1414616400,26.82,1414587600,1414562400,9.87,279,11.3
0,2014-10-30 00:00:00,51.47,1414706400,19.11,1414674000,0.02,summit,21.39,0.5,1414648800summit,39.621023,-106.137555,0.24,,0,0,,0,,1022.81,CO,1414675921,1414714009,51.47,1414706400,28.86,1414674000,1414648800,10,281,7.56
0,2014-10-31 00:00:00,51.77,1414789200,26.12,1414746000,0.02,summit,21.8,0.49,1414735200summit,39.621023,-106.137555,0.28,,0,0,,0,,1019.86,CO,1414762389,1414800337,51.77,1414789200,32.53,1414756800,1414735200,9.97,245,4.84
0,2014-11-01 00:00:00,53.59,1414879200,27.48,1414846800,0.06,summit,27.13,0.57,1414821600summit,39.621023,-106.137555,0.31,,0,0,,0,,1010.82,CO,1414848857,1414886667,53.59,1414879200,34.75,1414846800,1414821600,10,187,9.02
0,2014-11-02 00:00:00,37.16,1414951200,28.24,1414990800,0.12,summit,29.74,0.71,1414908000summit,39.621023,-106.137555,0.35,,0.0021,0.0092,1414987200,0.49,rain,1007.07,CO,1414935325,1414972999,43.4,1414951200,33.04,1414994400,1414908000,9.1,187,6.37
0,2014-11-03 00:00:00,23.98,1415048400,16.73,1415080800,0.12,summit,22.38,0.77,1414998000summit,39.621023,-106.137555,0.39,0.541,0.0024,0.015,1415019600,0.56,snow,1014.56,CO,1415021793,1415059332,31.71,1415048400,23.85,1415077200,1414998000,8.22,291,6.52
0,2014-11-04 00:00:00,39.57,1415138400,13.12,1415098800,0.01,summit,16.03,0.59,1415084400summit,39.621023,-106.137555,0.43,0.112,0.0006,0.0074,1415120400,0.37,snow,1025.21,CO,1415108262,1415145666,41.83,1415138400,20.86,1415106000,1415084400,9.88,288,4.32
0,2014-11-05 00:00:00,45.71,1415221200,16.02,1415174400,0.02,summit,18.12,0.51,1415170800summit,39.621023,-106.137555,0.46,,0,0,,0,,1026.99,CO,1415194730,1415232002,47.85,1415221200,26.21,1415181600,1415170800,9.84,301,5.67
0,2014-11-06 00:00:00,52.93,1415311200,22.39,1415271600,0.01,summit,21.32,0.5,1415257200summit,39.621023,-106.137555,0.5,,0,0,,0,,1027.06,CO,1415281199,1415318339,52.93,1415311200,29.95,1415275200,1415257200,10,282,6.19
0,2014-11-07 00:00:00,42.24,1415394000,22.48,1415368800,0.08,summit,22.16,0.52,1415343600summit,39.621023,-106.137555,0.53,,0.0003,0.0055,1415426400,0.24,rain,1020.96,CO,1415367668,1415404678,48.31,1415394000,31.75,1415426400,1415343600,9.94,285,14.02
0,2014-11-08 00:00:00,42.45,1415480400,20.15,1415455200,0.02,summit,18.48,0.53,1415430000summit,39.621023,-106.137555,0.57,,0.0002,0.0047,1415430000,0.19,rain,1023.44,CO,1415454137,1415491019,48.52,1415480400,25.84,1415444400,1415430000,9.39,282,9.82
0,2014-11-09 00:00:00,52.35,1415566800,22.66,1415538000,0.01,summit,18.15,0.4,1415516400summit,39.621023,-106.137555,0.6,,0,0,,0,,1012.63,CO,1415540607,1415577361,52.35,1415566800,32.59,1415538000,1415516400,10,274,12.12
0,2014-11-10 00:00:00,34.62,1415635200,6.75,1415685600,0.11,summit,17.82,0.6,1415602800summit,39.621023,-106.137555,0.63,0.497,0.0018,0.0081,1415656800,0.41,snow,1000.26,CO,1415627076,1415663705,42.84,1415635200,16.6,1415685600,1415602800,8.37,274,12.08
0,2014-11-11 00:00:00,13.47,1415739600,3.23,1415714400,0.11,summit,9.39,0.66,1415689200summit,39.621023,-106.137555,0.66,,0,0,,0,,1008.91,CO,1415713545,1415750050,25.77,1415739600,13.73,1415710800,1415689200,8.06,262,9.3
0,2014-11-12 00:00:00,5.05,1415775600,-14.06,1415851200,0.2,summit,3.44,0.77,1415775600summit,39.621023,-106.137555,0.69,0.633,0.0014,0.0035,1415836800,0.13,snow,1014.31,CO,1415800014,1415836397,17.48,1415775600,1.33,1415858400,1415775600,4.31,280,5.99
0,2014-11-13 00:00:00,5.36,1415926800,-15.36,1415862000,0.14,summit,7.75,0.79,1415862000summit,39.621023,-106.137555,0.72,0.725,0.0018,0.0057,1415934000,0.26,snow,1018.12,CO,1415886483,1415922746,19.26,1415926800,1.64,1415862000,1415862000,6.18,272,11.32
0,2014-11-14 00:00:00,21.45,1415995200,2.24,1415955600,0.08,summit,17.28,0.8,1415948400summit,39.621023,-106.137555,0.75,0.305,0.0009,0.0025,1416027600,0.07,snow,1011.71,CO,1415972952,1416009097,28.88,1415995200,16.9,1415962800,1415948400,7.71,276,9.02
0,2014-11-15 00:00:00,12.85,1416034800,0.48,1416114000,0.25,summit,14.28,0.8,1416034800summit,39.621023,-106.137555,0.78,1.038,0.0026,0.0065,1416099600,0.31,snow,1007.54,CO,1416059421,1416095450,23.04,1416034800,9.83,1416117600,1416034800,5.23,282,9.18
0,2014-11-16 00:00:00,3.31,1416171600,-18.26,1416142800,0.12,summit,-1.38,0.69,1416121200summit,39.621023,-106.137555,0.81,0.108,0.0002,0.0031,1416160800,0.1,snow,1020.83,CO,1416145890,1416181804,14.84,1416171600,-2.49,1416146400,1416121200,9.08,302,8.72
0,2014-11-17 00:00:00,5.63,1416261600,-12.77,1416225600,0.04,summit,-0.68,0.59,1416207600summit,39.621023,-106.137555,0.84,,0,0,,0,,1028.42,CO,1416232358,1416268160,20.23,1416261600,4.62,1416232800,1416207600,8.77,283,13.22
0,2014-11-18 00:00:00,12.6,1416344400,-7.05,1416304800,0.03,summit,4.69,0.54,1416294000summit,39.621023,-106.137555,0.88,,0,0,,0,,1027.59,CO,1416318826,1416354518,27.27,1416344400,8.66,1416315600,1416294000,9.45,285,14.44
