,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,61.78,1412186400,36.3,1412200800,0.14,weld,38.43,0.69,1412143200weld,40.553696,-104.394221,0.25,,0.0089,0.0718,1412197200,0.75,rain,1010.04,CO,1412168116,1412210494,61.78,1412186400,42.38,1412215200,1412143200,9.81,352,3.19
0,2014-10-02 00:00:00,62.13,1412287200,32.77,1412312400,0.04,weld,32.68,0.58,1412229600weld,40.553696,-104.394221,0.29,,0.0003,0.0036,1412312400,0.13,rain,1017.5,CO,1412254576,1412296794,62.13,1412287200,36.62,1412251200,1412229600,9.78,303,5.46
0,2014-10-03 00:00:00,56.81,1412373600,24.98,1412319600,0.15,weld,29.44,0.6,1412316000weld,40.553696,-104.394221,0.33,,0.0004,0.0063,1412316000,0.29,rain,1025.62,CO,1412341036,1412383095,56.81,1412373600,34.42,1412341200,1412316000,9.84,332,3.29
0,2014-10-04 00:00:00,71.1,1412456400,33.14,1412416800,0.06,weld,31.53,0.49,1412402400weld,40.553696,-104.394221,0.36,,0,0,,0,,1016.77,CO,1412427496,1412469396,71.1,1412456400,36.36,1412409600,1412402400,9.97,288,4.11
0,2014-10-05 00:00:00,70.19,1412539200,42.5,1412510400,0.1,weld,34.61,0.47,1412488800weld,40.553696,-104.394221,0.4,,0,0,,0,,1013.14,CO,1412513957,1412555698,70.19,1412539200,43.41,1412514000,1412488800,9.96,322,4.73
0,2014-10-06 00:00:00,75.89,1412629200,35.91,1412589600,0.05,weld,35.46,0.49,1412575200weld,40.553696,-104.394221,0.44,,0,0,,0,,1010,CO,1412600418,1412642000,75.89,1412629200,39.82,1412589600,1412575200,9.99,283,6.05
0,2014-10-07 00:00:00,76.85,1412719200,43.2,1412686800,0.05,weld,36.38,0.44,1412661600weld,40.553696,-104.394221,0.48,,0,0,,0,,1012.48,CO,1412686880,1412728303,76.85,1412719200,46.99,1412686800,1412661600,9.78,253,1.4
0,2014-10-08 00:00:00,75.59,1412805600,44.22,1412773200,0.03,weld,38.65,0.53,1412748000weld,40.553696,-104.394221,0.51,,0,0,,0,,1013.76,CO,1412773342,1412814606,75.59,1412805600,44.22,1412773200,1412748000,9.97,245,1.01
0,2014-10-09 00:00:00,58.79,1412881200,45.83,1412852400,0.24,weld,44.27,0.73,1412834400weld,40.553696,-104.394221,0.55,,0.0063,0.0527,1412888400,0.72,rain,1015.92,CO,1412859804,1412900910,58.79,1412881200,47.7,1412852400,1412834400,9.68,5,3.22
0,2014-10-10 00:00:00,55.34,1412978400,41.73,1413000000,0.31,weld,44.39,0.83,1412920800weld,40.553696,-104.394221,0.58,,0.0002,0.0028,1412949600,0.09,rain,1020.13,CO,1412946266,1412987215,55.34,1412978400,42.85,1413003600,1412920800,9.04,137,5.52
0,2014-10-11 00:00:00,68.95,1413061200,32.56,1413028800,0.11,weld,39.11,0.66,1413007200weld,40.553696,-104.394221,0.62,,0.0006,0.0104,1413064800,0.51,rain,1013.38,CO,1413032729,1413073520,68.95,1413061200,37.99,1413028800,1413007200,8.79,220,4.24
0,2014-10-12 00:00:00,52.71,1413129600,32.58,1413176400,0.22,weld,35.86,0.61,1413093600weld,40.553696,-104.394221,0.65,,0.0003,0.0057,1413144000,0.25,rain,1007.05,CO,1413119192,1413159826,52.71,1413129600,39.38,1413176400,1413093600,9.98,342,10.89
0,2014-10-13 00:00:00,58.87,1413237600,29.84,1413194400,0.06,weld,28.37,0.54,1413180000weld,40.553696,-104.394221,0.68,,0,0,,0,,1020.5,CO,1413205656,1413246133,58.87,1413237600,35.87,1413198000,1413180000,10,332,9.16
0,2014-10-14 00:00:00,73.01,1413324000,28.61,1413291600,0.01,weld,29.8,0.48,1413266400weld,40.553696,-104.394221,0.72,,0,0,,0,,1018.17,CO,1413292120,1413332441,73.01,1413324000,34.43,1413288000,1413266400,9.7,247,4.16
0,2014-10-15 00:00:00,74.41,1413406800,34.09,1413378000,0.02,weld,32.27,0.46,1413352800weld,40.553696,-104.394221,0.75,,0,0,,0,,1011.07,CO,1413378584,1413418749,74.41,1413406800,37.85,1413378000,1413352800,9.85,224,3.44
0,2014-10-16 00:00:00,69.21,1413489600,41.8,1413522000,0.05,weld,31.07,0.39,1413439200weld,40.553696,-104.394221,0.78,,0,0,,0,,1011.93,CO,1413465049,1413505059,69.21,1413489600,43.23,1413522000,1413439200,9.93,25,1.11
0,2014-10-17 00:00:00,61.81,1413583200,30.89,1413550800,0.02,weld,29.9,0.54,1413525600weld,40.553696,-104.394221,0.81,,0,0,,0,,1019.42,CO,1413551514,1413591369,61.81,1413583200,34.34,1413550800,1413525600,9.88,82,1.33
0,2014-10-18 00:00:00,66.9,1413666000,34.85,1413637200,0.03,weld,34.18,0.6,1413612000weld,40.553696,-104.394221,0.84,,0,0,,0,,1017.56,CO,1413637980,1413677680,66.9,1413666000,34.85,1413637200,1413612000,9.94,194,3.08
0,2014-10-19 00:00:00,72.96,1413752400,39.12,1413712800,0.03,weld,34.06,0.49,1413698400weld,40.553696,-104.394221,0.87,,0,0,,0,,1015.71,CO,1413724446,1413763992,72.96,1413752400,42.06,1413712800,1413698400,9.66,358,0.95
0,2014-10-20 00:00:00,75.28,1413838800,36.39,1413806400,0.03,weld,35.29,0.51,1413784800weld,40.553696,-104.394221,0.9,,0,0,,0,,1016.04,CO,1413810912,1413850305,75.28,1413838800,39.4,1413810000,1413784800,9.98,196,3.88
0,2014-10-21 00:00:00,75.19,1413925200,39.13,1413892800,0.09,weld,37.3,0.51,1413871200weld,40.553696,-104.394221,0.93,,0.0006,0.0089,1413954000,0.47,rain,1010.61,CO,1413897379,1413936619,75.19,1413925200,41.79,1413892800,1413871200,9.9,257,2.77
0,2014-10-22 00:00:00,67.6,1414008000,45.46,1414040400,0.12,weld,38.23,0.54,1413957600weld,40.553696,-104.394221,0.96,,0.0005,0.0046,1413961200,0.19,rain,1014.04,CO,1413983846,1414022935,67.6,1414008000,45.46,1414040400,1413957600,9.92,304,1.77
0,2014-10-23 00:00:00,71.99,1414098000,34.29,1414069200,0.04,weld,32.56,0.5,1414044000weld,40.553696,-104.394221,0.99,,0,0,,0,,1016.84,CO,1414070313,1414109251,71.99,1414098000,36.98,1414069200,1414044000,9.96,241,4.15
0,2014-10-24 00:00:00,79.69,1414188000,48.02,1414213200,0.02,weld,30.13,0.36,1414130400weld,40.553696,-104.394221,0.03,,0,0,,0,,1016.05,CO,1414156781,1414195568,79.69,1414188000,49.33,1414213200,1414130400,10,255,3.69
0,2014-10-25 00:00:00,78.71,1414270800,36.79,1414238400,0,weld,26.97,0.36,1414216800weld,40.553696,-104.394221,0.06,,0,0,,0,,1016.31,CO,1414243249,1414281887,78.71,1414270800,40.08,1414238400,1414216800,9.92,206,2.81
0,2014-10-26 00:00:00,74.41,1414357200,42.5,1414310400,0.02,weld,31.9,0.39,1414303200weld,40.553696,-104.394221,0.09,,0.0004,0.0054,1414382400,0.24,rain,1005.36,CO,1414329718,1414368207,74.41,1414357200,45.01,1414310400,1414303200,9.9,276,2.94
0,2014-10-27 00:00:00,51.96,1414432800,29.03,1414472400,0.11,weld,24.89,0.48,1414389600weld,40.553696,-104.394221,0.13,,0.002,0.0316,1414393200,0.66,rain,1011.8,CO,1414416186,1414454528,51.96,1414432800,32.7,1414472400,1414389600,9.96,317,11.96
0,2014-10-28 00:00:00,55.92,1414533600,29.6,1414501200,0.04,weld,21.35,0.48,1414476000weld,40.553696,-104.394221,0.16,,0,0,,0,,1020.52,CO,1414502656,1414540850,55.92,1414533600,31.69,1414476000,1414476000,9.86,281,1.31
0,2014-10-29 00:00:00,68.29,1414616400,23.86,1414587600,0.04,weld,20.72,0.4,1414562400weld,40.553696,-104.394221,0.2,,0,0,,0,,1018.87,CO,1414589125,1414627173,68.29,1414616400,29.46,1414587600,1414562400,9.84,291,6.26
0,2014-10-30 00:00:00,60.75,1414702800,31.31,1414674000,0.04,weld,25.65,0.44,1414648800weld,40.553696,-104.394221,0.24,,0,0,,0,,1025.07,CO,1414675595,1414713498,60.75,1414702800,34.99,1414674000,1414648800,9.9,2,1.93
0,2014-10-31 00:00:00,53.92,1414789200,25.28,1414753200,0.03,weld,27.37,0.62,1414735200weld,40.553696,-104.394221,0.28,,0,0,,0,,1024.04,CO,1414762065,1414799824,53.92,1414789200,29.8,1414760400,1414735200,9.93,161,4.73
0,2014-11-01 00:00:00,63.31,1414879200,31.34,1414825200,0.04,weld,29.53,0.58,1414821600weld,40.553696,-104.394221,0.31,,0,0,,0,,1010.67,CO,1414848535,1414886152,63.31,1414879200,31.34,1414825200,1414821600,9.89,215,1.09
0,2014-11-02 00:00:00,63.94,1414958400,34.08,1414933200,0.08,weld,32.14,0.53,1414908000weld,40.553696,-104.394221,0.35,,0,0,,0,,1005.37,CO,1414935006,1414972481,63.94,1414958400,38.71,1414915200,1414908000,9.89,317,1.38
0,2014-11-03 00:00:00,40.13,1414998000,25.61,1415077200,0.23,weld,32.21,0.82,1414998000weld,40.553696,-104.394221,0.39,,0.0146,0.0818,1415019600,0.76,rain,1016.31,CO,1415021476,1415058811,44.49,1414998000,30.74,1415077200,1414998000,9.02,351,6.63
0,2014-11-04 00:00:00,55.62,1415138400,20.87,1415106000,0.02,weld,23.63,0.57,1415084400weld,40.553696,-104.394221,0.43,,0,0,,0,,1023.23,CO,1415107947,1415145143,55.62,1415138400,27.68,1415102400,1415084400,9.45,242,5.3
0,2014-11-05 00:00:00,60.74,1415217600,31.09,1415181600,0.03,weld,27.8,0.52,1415170800weld,40.553696,-104.394221,0.46,,0,0,,0,,1023.52,CO,1415194418,1415231477,60.74,1415217600,35.93,1415188800,1415170800,9.98,289,2.68
0,2014-11-06 00:00:00,63.23,1415307600,25.75,1415278800,0.03,weld,28.49,0.56,1415257200weld,40.553696,-104.394221,0.5,,0,0,,0,,1024.91,CO,1415280890,1415317812,63.23,1415307600,30.9,1415278800,1415257200,9.98,229,2.88
0,2014-11-07 00:00:00,66.29,1415390400,36.83,1415347200,0.11,weld,31.81,0.52,1415343600weld,40.553696,-104.394221,0.53,,0.0006,0.0073,1415422800,0.36,rain,1016.53,CO,1415367361,1415404149,66.29,1415390400,41.54,1415426400,1415343600,9.74,328,8.5
0,2014-11-08 00:00:00,62.57,1415484000,27.68,1415448000,0.04,weld,31.24,0.63,1415430000weld,40.553696,-104.394221,0.57,,0.0001,0.0024,1415430000,0.07,rain,1021.07,CO,1415453832,1415490487,62.57,1415484000,30.2,1415451600,1415430000,9.93,248,4.86
0,2014-11-09 00:00:00,64.25,1415566800,35.73,1415538000,0.03,weld,27.94,0.41,1415516400weld,40.553696,-104.394221,0.6,,0,0,,0,,1005.18,CO,1415540304,1415576827,64.25,1415566800,39.42,1415534400,1415516400,9.99,258,6.79
0,2014-11-10 00:00:00,52.65,1415602800,1.94,1415671200,0.21,weld,16.18,0.54,1415602800weld,40.553696,-104.394221,0.63,0.026,0.0001,0.003,1415638800,0.1,snow,1006.57,CO,1415626775,1415663168,52.65,1415602800,14.54,1415678400,1415602800,8.84,3,8.33
