,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,57.77,1412200800,34.59,1412168400,0.08,adams,34.77,0.66,1412143200adams,44.877004,-116.461624,0.25,,0.0005,0.0116,1412143200,0.52,rain,1019.81,ID,1412171106,1412213295,57.77,1412200800,37.09,1412172000,1412143200,9.83,270,3.37
0,2014-10-02 00:00:00,62.32,1412287200,33.35,1412240400,0,adams,32.33,0.6,1412229600adams,44.877004,-116.461624,0.29,,0,0,,0,,1023.62,ID,1412257579,1412299582,62.32,1412287200,36.59,1412240400,1412229600,9.72,256,0.58
0,2014-10-03 00:00:00,66.49,1412377200,33.2,1412344800,0,adams,31.53,0.57,1412316000adams,44.877004,-116.461624,0.33,,0,0,,0,,1028.32,ID,1412344052,1412385870,66.49,1412377200,33.2,1412344800,1412316000,9.93,127,0.71
0,2014-10-04 00:00:00,71.22,1412463600,34.56,1412431200,0.03,adams,35.04,0.58,1412402400adams,44.877004,-116.461624,0.36,,0,0,,0,,1024.87,ID,1412430526,1412472158,71.22,1412463600,34.56,1412431200,1412402400,9.59,321,0.47
0,2014-10-05 00:00:00,75.44,1412550000,40.22,1412517600,0.01,adams,39.33,0.57,1412488800adams,44.877004,-116.461624,0.4,,0,0,,0,,1020.61,ID,1412517000,1412558447,75.44,1412550000,40.22,1412517600,1412488800,9.93,47,0.26
0,2014-10-06 00:00:00,77.34,1412632800,41.88,1412600400,0,adams,41.72,0.58,1412575200adams,44.877004,-116.461624,0.44,,0,0,,0,,1017.44,ID,1412603474,1412644736,77.34,1412632800,42.91,1412604000,1412575200,9.92,131,0.31
0,2014-10-07 00:00:00,77.86,1412719200,42.66,1412690400,0,adams,41.98,0.59,1412661600adams,44.877004,-116.461624,0.48,,0,0,,0,,1015.19,ID,1412689948,1412731026,77.86,1412719200,42.66,1412690400,1412661600,9.84,116,1.37
0,2014-10-08 00:00:00,74.42,1412809200,38.91,1412776800,0,adams,38.59,0.55,1412748000adams,44.877004,-116.461624,0.51,,0,0,,0,,1014.11,ID,1412776423,1412817316,74.42,1412809200,40.86,1412776800,1412748000,9.94,197,0.56
0,2014-10-09 00:00:00,70.89,1412892000,40.69,1412863200,0,adams,36.9,0.53,1412834400adams,44.877004,-116.461624,0.55,,0,0,,0,,1015.3,ID,1412862899,1412903607,70.89,1412892000,40.69,1412863200,1412834400,9.86,297,2.53
0,2014-10-10 00:00:00,70.34,1412978400,35.65,1412946000,0,adams,36.23,0.57,1412920800adams,44.877004,-116.461624,0.58,,0,0,,0,,1017.52,ID,1412949374,1412989899,70.34,1412978400,38.12,1412949600,1412920800,9.77,258,0.32
0,2014-10-11 00:00:00,63.95,1413064800,43.23,1413032400,0.09,adams,38.94,0.61,1413007200adams,44.877004,-116.461624,0.62,,0.0025,0.0082,1413064800,0.42,rain,1016.23,ID,1413035850,1413076191,63.95,1413064800,44.7,1413021600,1413007200,9.43,261,3.39
0,2014-10-12 00:00:00,57.55,1413147600,39.97,1413118800,0.13,adams,35.13,0.6,1413093600adams,44.877004,-116.461624,0.65,,0,0.0011,1413108000,0,,1021.44,ID,1413122326,1413162484,57.55,1413147600,41.95,1413176400,1413093600,9.85,304,3.78
0,2014-10-13 00:00:00,66.63,1413237600,35.79,1413205200,0.03,adams,33.2,0.54,1413180000adams,44.877004,-116.461624,0.68,,0,0,,0,,1019.53,ID,1413208803,1413248778,66.63,1413237600,37.96,1413208800,1413180000,9.8,136,5.24
0,2014-10-14 00:00:00,65.47,1413320400,47.87,1413298800,0.02,adams,35.76,0.47,1413266400adams,44.877004,-116.461624,0.72,,0,0,,0,,1010.09,ID,1413295280,1413335073,65.47,1413320400,49.5,1413295200,1413266400,9.99,156,4.48
0,2014-10-15 00:00:00,53.95,1413356400,40.7,1413435600,0.15,adams,36.52,0.59,1413352800adams,44.877004,-116.461624,0.75,,0.0029,0.0154,1413399600,0.56,rain,1007.75,ID,1413381757,1413421368,53.95,1413356400,40.7,1413435600,1413352800,9.86,185,4.94
