,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,59.41,1412114400,42.76,1412143200,0.25,benewah,43.21,0.72,1412143200benewah,47.218451,-116.633541,0.22,,0.0066,0.0205,1412067600,0.6,rain,1012.04,ID,1412084721,1412127002,59.41,1412114400,42.76,1412143200,1412060400,9.07,233,7.52
0,2014-10-02 00:00:00,59.22,1412200800,33.16,1412172000,0.11,benewah,37.64,0.68,1412229600benewah,47.218451,-116.633541,0.25,,0,0,,0,,1018.57,ID,1412171202,1412213281,59.22,1412200800,37.97,1412172000,1412146800,9.41,215,6.08
0,2014-10-03 00:00:00,61.14,1412287200,37.38,1412254800,0.02,benewah,31.35,0.54,1412316000benewah,47.218451,-116.633541,0.29,,0,0,,0,,1023.25,ID,1412257683,1412299560,61.14,1412287200,37.97,1412258400,1412233200,9.95,271,3.18
0,2014-10-04 00:00:00,64.17,1412377200,31.12,1412344800,0.02,benewah,29.19,0.52,1412402400benewah,47.218451,-116.633541,0.33,,0,0,,0,,1027.74,ID,1412344164,1412385840,64.17,1412377200,34.95,1412337600,1412319600,9.95,87,2.7
0,2014-10-05 00:00:00,71.05,1412463600,42.34,1412413200,0.11,benewah,35.8,0.5,1412488800benewah,47.218451,-116.633541,0.37,,0,0,,0,,1021.98,ID,1412430646,1412472120,71.05,1412463600,42.57,1412409600,1412406000,9.9,179,1.4
0,2014-10-06 00:00:00,71.84,1412546400,44.68,1412517600,0.06,benewah,41.76,0.58,1412575200benewah,47.218451,-116.633541,0.4,,0,0,,0,,1018.95,ID,1412517128,1412558401,71.84,1412546400,44.68,1412517600,1412492400,9.98,114,0.2
0,2014-10-07 00:00:00,77.44,1412632800,46.9,1412600400,0.03,benewah,45.1,0.59,1412661600benewah,47.218451,-116.633541,0.44,,0,0,,0,,1014.78,ID,1412603610,1412644682,77.44,1412632800,47.87,1412604000,1412578800,9.99,188,3.68
0,2014-10-08 00:00:00,78.15,1412719200,48.09,1412686800,0.03,benewah,46.05,0.59,1412748000benewah,47.218451,-116.633541,0.48,,0,0,,0,,1012.24,ID,1412690092,1412730964,78.15,1412719200,48.79,1412686800,1412665200,9.92,195,1.13
0,2014-10-09 00:00:00,69.29,1412805600,46.78,1412776800,0.04,benewah,43.52,0.6,1412834400benewah,47.218451,-116.633541,0.51,,0,0,,0,,1012.7,ID,1412776575,1412817247,69.29,1412805600,49.28,1412776800,1412751600,9.91,181,1.97
0,2014-10-10 00:00:00,70.52,1412892000,41.31,1412859600,0.03,benewah,40.72,0.61,1412920800benewah,47.218451,-116.633541,0.55,,0,0,,0,,1016.13,ID,1412863058,1412903530,70.52,1412892000,42.66,1412859600,1412838000,9.75,50,0.87
0,2014-10-11 00:00:00,71.04,1412978400,39.12,1412946000,0.03,benewah,40.18,0.6,1413007200benewah,47.218451,-116.633541,0.59,,0,0,,0,,1016.35,ID,1412949542,1412989813,71.04,1412978400,41.62,1412949600,1412924400,9.44,171,2.04
0,2014-10-12 00:00:00,61.62,1413057600,43.56,1413093600,0.26,benewah,42.01,0.6,1413093600benewah,47.218451,-116.633541,0.62,,0.0036,0.0239,1413068400,0.62,rain,1012.76,ID,1413036026,1413076098,61.62,1413057600,46.45,1413093600,1413010800,9.58,237,9.21
0,2014-10-13 00:00:00,58.83,1413151200,36.5,1413115200,0.14,benewah,37.56,0.66,1413180000benewah,47.218451,-116.633541,0.65,,0.0001,0.0014,1413100800,0.03,rain,1020.95,ID,1413122510,1413162383,58.83,1413151200,39.84,1413122400,1413097200,9.55,214,5.02
0,2014-10-14 00:00:00,67.36,1413237600,40.91,1413208800,0.11,benewah,37.55,0.56,1413266400benewah,47.218451,-116.633541,0.69,,0,0,,0,,1014.91,ID,1413208994,1413248669,67.36,1413237600,43.12,1413208800,1413183600,9.84,114,4.86
0,2014-10-15 00:00:00,59.39,1413320400,50.4,1413352800,0.12,benewah,39.58,0.56,1413352800benewah,47.218451,-116.633541,0.72,,0.0012,0.0278,1413352800,0.64,rain,1007.8,ID,1413295479,1413334956,59.39,1413320400,50.4,1413352800,1413270000,9.93,174,2.77
0,2014-10-16 00:00:00,50.5,1413410400,41.94,1413439200,0.25,benewah,42.9,0.81,1413439200benewah,47.218451,-116.633541,0.75,,0.0069,0.0544,1413399600,0.72,rain,1006.18,ID,1413381965,1413421243,50.5,1413410400,45.45,1413439200,1413356400,9.2,214,4.92
0,2014-10-17 00:00:00,56.15,1413500400,38.42,1413525600,0.07,benewah,39.15,0.78,1413525600benewah,47.218451,-116.633541,0.78,,0,0,,0,,1018.94,ID,1413468450,1413507532,56.15,1413500400,38.9,1413468000,1413442800,9.78,93,2.99
0,2014-10-18 00:00:00,58.91,1413583200,34.98,1413550800,0.12,benewah,39.22,0.73,1413612000benewah,47.218451,-116.633541,0.81,,0,0,,0,,1014.23,ID,1413554936,1413593821,58.91,1413583200,39.16,1413550800,1413529200,9.81,69,4.99
0,2014-10-19 00:00:00,63.36,1413669600,45.87,1413698400,0.22,benewah,44.67,0.73,1413698400benewah,47.218451,-116.633541,0.84,,0.0002,0.0025,1413644400,0.07,rain,1015.78,ID,1413641423,1413680111,63.36,1413669600,47.48,1413633600,1413615600,9.57,148,1.74
0,2014-10-20 00:00:00,68.75,1413756000,43.24,1413727200,0.04,benewah,44.81,0.72,1413784800benewah,47.218451,-116.633541,0.87,,0,0,,0,,1012.19,ID,1413727909,1413766403,68.75,1413756000,46.72,1413727200,1413702000,8.82,73,6.18
0,2014-10-21 00:00:00,68.06,1413838800,40.51,1413813600,0.1,benewah,42.29,0.65,1413871200benewah,47.218451,-116.633541,0.9,,0.0001,0.0012,1413867600,0.02,rain,1007.53,ID,1413814396,1413852695,68.06,1413838800,43.39,1413813600,1413788400,9.27,235,1
0,2014-10-22 00:00:00,54.77,1413928800,39.95,1413957600,0.28,benewah,42.63,0.78,1413957600benewah,47.218451,-116.633541,0.93,,0.0028,0.0113,1413900000,0.52,rain,1012.65,ID,1413900884,1413938988,54.77,1413928800,42.21,1413957600,1413874800,9.29,212,5.76
0,2014-10-23 00:00:00,57.65,1414011600,37.69,1413986400,0.27,benewah,40.78,0.73,1414044000benewah,47.218451,-116.633541,0.96,,0.0048,0.0224,1414029600,0.61,rain,1012.61,ID,1413987372,1414025283,57.65,1414011600,40.97,1413982800,1413961200,9.35,140,5.55
0,2014-10-24 00:00:00,53.84,1414090800,43.6,1414126800,0.38,benewah,46.05,0.84,1414130400benewah,47.218451,-116.633541,0.99,,0.0139,0.0373,1414080000,0.68,rain,1010.36,ID,1414073860,1414111579,53.84,1414090800,46.54,1414130400,1414047600,8.87,193,7.2
0,2014-10-25 00:00:00,52.82,1414188000,40.36,1414155600,0.2,benewah,42.22,0.83,1414216800benewah,47.218451,-116.633541,0.03,,0.0018,0.0052,1414198800,0.22,rain,1017.46,ID,1414160348,1414197875,52.82,1414188000,42.52,1414159200,1414134000,9.38,113,2.84
0,2014-10-26 00:00:00,61.64,1414274400,40.33,1414245600,0.08,benewah,43,0.73,1414303200benewah,47.218451,-116.633541,0.06,,0.0007,0.0046,1414299600,0.19,rain,1005.33,ID,1414246837,1414284174,61.64,1414274400,44.71,1414245600,1414220400,8.94,125,3
0,2014-10-27 00:00:00,51.3,1414306800,36.67,1414335600,0.17,benewah,36.34,0.69,1414389600benewah,47.218451,-116.633541,0.09,,0.0011,0.0046,1414364400,0.19,rain,1011.95,ID,1414333326,1414370473,51.3,1414306800,40.71,1414389600,1414306800,9.52,227,13.78
0,2014-10-28 00:00:00,45.68,1414447200,30.45,1414476000,0.19,benewah,33.79,0.79,1414476000benewah,47.218451,-116.633541,0.13,,0.0004,0.0033,1414393200,0.11,rain,1021.13,ID,1414419815,1414456773,46.97,1414447200,34.06,1414476000,1414393200,9.01,207,3.06
0,2014-10-29 00:00:00,43.21,1414533600,31.78,1414479600,0.46,benewah,36.56,0.83,1414562400benewah,47.218451,-116.633541,0.17,,0.0097,0.073,1414562400,0.75,rain,1019.4,ID,1414506305,1414543075,46.23,1414533600,34.36,1414479600,1414479600,8.75,85,5.11
0,2014-10-30 00:00:00,53.99,1414620000,42.65,1414648800,0.31,benewah,44.02,0.87,1414648800benewah,47.218451,-116.633541,0.2,,0.003,0.0294,1414566000,0.65,rain,1020.57,ID,1414592794,1414629379,53.99,1414620000,44.5,1414648800,1414566000,7.46,199,1.36
0,2014-10-31 00:00:00,53.43,1414706400,41.12,1414674000,0.22,benewah,43.76,0.84,1414735200benewah,47.218451,-116.633541,0.24,,0,0,,0,,1017.55,ID,1414679284,1414715683,53.43,1414706400,44.9,1414663200,1414652400,8.02,65,6.68
0,2014-11-01 00:00:00,53.79,1414792800,44.92,1414756800,0.22,benewah,44.26,0.85,1414821600benewah,47.218451,-116.633541,0.28,,0.0002,0.0016,1414821600,0.03,rain,1008.2,ID,1414765774,1414801990,53.79,1414792800,45.53,1414767600,1414738800,8,154,0.85
0,2014-11-02 00:00:00,43.03,1414879200,37.85,1414908000,0.46,benewah,42.87,0.92,1414908000benewah,47.218451,-116.633541,0.32,,0.008,0.018,1414890000,0.58,rain,1005.43,ID,1414852265,1414888297,46.68,1414879200,43.09,1414908000,1414825200,6.89,281,5.03
0,2014-11-03 00:00:00,43.5,1414965600,29.91,1414936800,0.12,benewah,33.49,0.76,1414998000benewah,47.218451,-116.633541,0.35,,0.0036,0.0189,1414911600,0.59,rain,1016.28,ID,1414938755,1414974606,47.85,1414965600,34.94,1414940400,1414911600,9.44,225,6.29
0,2014-11-04 00:00:00,43.24,1415084400,34.19,1415001600,0.73,benewah,39.92,0.86,1415084400benewah,47.218451,-116.633541,0.39,,0.0012,0.006,1415016000,0.27,rain,1022.27,ID,1415025246,1415060917,47.37,1415084400,37.6,1415001600,1415001600,8.47,155,5.07
0,2014-11-05 00:00:00,51.14,1415142000,40.74,1415116800,0.45,benewah,43.75,0.85,1415170800benewah,47.218451,-116.633541,0.43,,0.0091,0.0333,1415109600,0.66,rain,1019.8,ID,1415111736,1415147230,51.14,1415142000,45.68,1415109600,1415088000,8.6,200,9.88
0,2014-11-06 00:00:00,54.65,1415224800,43.1,1415199600,0.24,benewah,43.87,0.81,1415257200benewah,47.218451,-116.633541,0.46,,0,0,,0,,1025.08,ID,1415198227,1415233544,54.65,1415224800,45.41,1415199600,1415174400,9.76,145,2.89
0,2014-11-07 00:00:00,58.43,1415304000,43.52,1415343600,0.22,benewah,45.23,0.77,1415343600benewah,47.218451,-116.633541,0.5,,0.0029,0.0148,1415296800,0.56,rain,1016.8,ID,1415284718,1415319859,58.43,1415304000,48.5,1415282400,1415260800,9.65,206,4
0,2014-11-08 00:00:00,51.99,1415397600,35.21,1415430000,0.08,benewah,35.69,0.73,1415430000benewah,47.218451,-116.633541,0.54,,0,0,,0,,1027.74,ID,1415371208,1415406177,51.99,1415397600,35.21,1415430000,1415347200,9.75,204,3.63
0,2014-11-09 00:00:00,49.35,1415484000,31.68,1415462400,0.07,benewah,34.57,0.82,1415516400benewah,47.218451,-116.633541,0.57,,0,0,,0,,1024.67,ID,1415457699,1415492496,49.35,1415484000,32.64,1415455200,1415433600,7.97,114,1.68
0,2014-11-10 00:00:00,41.59,1415574000,31.28,1415602800,0.29,benewah,37.78,0.84,1415602800benewah,47.218451,-116.633541,0.6,,0.0138,0.0437,1415552400,0.7,rain,1007.94,ID,1415544189,1415578817,45.07,1415574000,37.1,1415602800,1415520000,8.26,234,4.45
0,2014-11-11 00:00:00,33.52,1415656800,15.31,1415689200,0.18,benewah,23.44,0.69,1415689200benewah,47.218451,-116.633541,0.63,,0.0009,0.009,1415606400,0.48,rain,1020.22,ID,1415630679,1415665140,37.74,1415656800,26.29,1415689200,1415606400,9.43,22,5.61
0,2014-11-12 00:00:00,13.24,1415739600,4.37,1415718000,0.09,benewah,4.87,0.48,1415775600benewah,47.218451,-116.633541,0.67,,0,0,,0,,1033,ID,1415717169,1415751464,26.03,1415739600,17.6,1415775600,1415692800,9.98,58,14.15
0,2014-11-13 00:00:00,17.6,1415829600,2.14,1415797200,0.01,benewah,3.06,0.5,1415862000benewah,47.218451,-116.633541,0.7,,0,0,,0,,1033.64,ID,1415803659,1415837791,26.93,1415829600,13.57,1415804400,1415779200,9.95,61,8.39
0,2014-11-14 00:00:00,21.85,1415916000,2.73,1415883600,0.03,benewah,6.55,0.58,1415948400benewah,47.218451,-116.633541,0.73,,0,0,,0,,1022.95,ID,1415890149,1415924120,27.87,1415916000,12.94,1415890800,1415865600,9.68,61,5.87
0,2014-11-15 00:00:00,21.42,1416002400,6.41,1416034800,0.06,benewah,9.67,0.64,1416034800benewah,47.218451,-116.633541,0.76,,0,0,,0,,1021.42,ID,1415976638,1416010450,28.66,1416002400,14.63,1416034800,1415952000,9.58,19,4.79
0,2014-11-16 00:00:00,29.22,1416088800,1.06,1416060000,0.01,benewah,7.28,0.64,1416121200benewah,47.218451,-116.633541,0.79,,0,0,,0,,1033.88,ID,1416063126,1416096783,29.22,1416088800,9.85,1416063600,1416038400,9.31,40,0.64
