,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,52.48,1412204400,34.6,1412168400,0.17,bingham,35.16,0.7,1412143200bingham,43.216357,-112.399206,0.25,,0.0014,0.015,1412143200,0.56,rain,1017.23,ID,1412170093,1412212358,52.48,1412204400,39.01,1412168400,1412143200,9.91,229,6.07
0,2014-10-02 00:00:00,60.04,1412290800,33.08,1412258400,0.03,bingham,31.37,0.55,1412229600bingham,43.216357,-112.399206,0.29,,0,0,,0,,1022.08,ID,1412256561,1412298650,60.04,1412290800,38.56,1412258400,1412229600,10,221,10.18
0,2014-10-03 00:00:00,61.54,1412377200,33.22,1412344800,0,bingham,30.22,0.57,1412316000bingham,43.216357,-112.399206,0.33,,0,0,,0,,1028.08,ID,1412343029,1412384943,61.54,1412377200,33.22,1412344800,1412316000,9.98,242,0.94
0,2014-10-04 00:00:00,66.48,1412463600,32.05,1412431200,0.02,bingham,35.22,0.6,1412402400bingham,43.216357,-112.399206,0.36,,0,0,,0,,1024.36,ID,1412429498,1412471237,66.48,1412463600,34.94,1412427600,1412402400,10,225,3.56
0,2014-10-05 00:00:00,69.87,1412546400,41.28,1412510400,0.05,bingham,37.86,0.54,1412488800bingham,43.216357,-112.399206,0.4,,0,0,,0,,1019.76,ID,1412515966,1412557530,69.87,1412546400,41.31,1412517600,1412488800,10,221,5.85
0,2014-10-06 00:00:00,71.22,1412632800,40.66,1412600400,0.03,bingham,38.66,0.53,1412575200bingham,43.216357,-112.399206,0.44,,0,0,,0,,1016.91,ID,1412602435,1412643825,71.22,1412632800,42.71,1412600400,1412575200,10,216,6.37
0,2014-10-07 00:00:00,72.49,1412719200,38.71,1412690400,0.03,bingham,40.21,0.59,1412661600bingham,43.216357,-112.399206,0.48,,0,0,,0,,1015.97,ID,1412688905,1412730120,72.49,1412719200,41.61,1412690400,1412661600,9.99,224,2.35
0,2014-10-08 00:00:00,73.48,1412805600,35.03,1412776800,0.02,bingham,37.07,0.58,1412748000bingham,43.216357,-112.399206,0.51,,0,0,,0,,1014.95,ID,1412775374,1412816415,73.48,1412805600,39.02,1412776800,1412748000,9.99,25,1.52
0,2014-10-09 00:00:00,71.02,1412892000,34.81,1412859600,0.05,bingham,36.55,0.58,1412834400bingham,43.216357,-112.399206,0.55,,0,0,,0,,1014.39,ID,1412861844,1412902712,71.02,1412892000,37.98,1412859600,1412834400,9.97,258,2.07
0,2014-10-10 00:00:00,66.83,1412978400,40.45,1412946000,0.08,bingham,36.13,0.55,1412920800bingham,43.216357,-112.399206,0.58,,0,0,,0,,1016.63,ID,1412948315,1412989009,66.83,1412978400,42.23,1412949600,1412920800,9.99,217,5.45
0,2014-10-11 00:00:00,63.92,1413061200,36.15,1413036000,0.07,bingham,33.03,0.51,1413007200bingham,43.216357,-112.399206,0.62,,0,0,,0,,1014.86,ID,1413034785,1413075306,63.92,1413061200,39.4,1413036000,1413007200,9.99,218,8.18
0,2014-10-12 00:00:00,54.9,1413151200,37.02,1413176400,0.17,bingham,32.61,0.58,1413093600bingham,43.216357,-112.399206,0.65,,0.0004,0.003,1413097200,0.1,rain,1017.23,ID,1413121256,1413161604,54.9,1413151200,40.84,1413176400,1413093600,9.92,270,7
0,2014-10-13 00:00:00,59.32,1413241200,29.43,1413208800,0.05,bingham,29.85,0.58,1413180000bingham,43.216357,-112.399206,0.68,,0,0,,0,,1023.42,ID,1413207728,1413247903,59.32,1413241200,33.32,1413205200,1413180000,10,189,2.42
0,2014-10-14 00:00:00,69.11,1413324000,30.28,1413295200,0.03,bingham,31.6,0.54,1413266400bingham,43.216357,-112.399206,0.72,,0,0,,0,,1016.68,ID,1413294199,1413334203,69.11,1413324000,34.58,1413295200,1413266400,10,125,1.2
0,2014-10-15 00:00:00,66.03,1413403200,38.68,1413435600,0.06,bingham,31.81,0.44,1413352800bingham,43.216357,-112.399206,0.75,,0,0,,0,,1008.83,ID,1413380672,1413420504,66.03,1413403200,43.34,1413435600,1413352800,9.84,218,9.65
0,2014-10-16 00:00:00,56.36,1413500400,29.36,1413460800,0.02,bingham,28.29,0.57,1413439200bingham,43.216357,-112.399206,0.78,,0,0,,0,,1019.53,ID,1413467144,1413506806,56.36,1413500400,32.15,1413460800,1413439200,9.99,41,1.41
0,2014-10-17 00:00:00,66.35,1413583200,26.17,1413554400,0.01,bingham,30.76,0.59,1413525600bingham,43.216357,-112.399206,0.81,,0,0,,0,,1017.62,ID,1413553617,1413593108,66.35,1413583200,30.84,1413550800,1413525600,10,34,3.87
0,2014-10-18 00:00:00,66.23,1413669600,34.83,1413637200,0.01,bingham,34.46,0.59,1413612000bingham,43.216357,-112.399206,0.84,,0,0,,0,,1016.56,ID,1413640090,1413679412,66.23,1413669600,36.76,1413640800,1413612000,9.97,238,2.25
0,2014-10-19 00:00:00,69.89,1413759600,28.53,1413727200,0,bingham,32.36,0.59,1413698400bingham,43.216357,-112.399206,0.87,,0,0,,0,,1017.58,ID,1413726564,1413765716,69.89,1413759600,33.09,1413727200,1413698400,9.99,42,3.25
0,2014-10-20 00:00:00,72.37,1413842400,31.04,1413810000,0.08,bingham,33.49,0.53,1413784800bingham,43.216357,-112.399206,0.9,,0,0,,0,,1013.24,ID,1413813038,1413852021,72.37,1413842400,35.71,1413813600,1413784800,10,142,1.46
0,2014-10-21 00:00:00,54.72,1413878400,35.49,1413954000,0.21,bingham,36.22,0.64,1413871200bingham,43.216357,-112.399206,0.93,,0.0014,0.0088,1413907200,0.46,rain,1012.26,ID,1413899512,1413938328,54.72,1413878400,39.61,1413954000,1413871200,9.89,217,10.12
0,2014-10-22 00:00:00,55.54,1414011600,29.8,1413986400,0.04,bingham,28.64,0.61,1413957600bingham,43.216357,-112.399206,0.96,,0,0,,0,,1020.79,ID,1413985987,1414024635,55.54,1414011600,29.8,1413986400,1413957600,9.99,198,2.55
0,2014-10-23 00:00:00,61.55,1414094400,37.12,1414065600,0.1,bingham,31.44,0.53,1414044000bingham,43.216357,-112.399206,0.99,,0,0,,0,,1018.03,ID,1414072462,1414110944,61.55,1414094400,39,1414069200,1414044000,9.97,222,2.34
0,2014-10-24 00:00:00,70.2,1414188000,42.81,1414152000,0.11,bingham,34.16,0.49,1414130400bingham,43.216357,-112.399206,0.03,,0,0,,0,,1017.44,ID,1414158937,1414197254,70.2,1414188000,44.68,1414213200,1414130400,9.9,196,5.13
0,2014-10-25 00:00:00,72.56,1414270800,34.88,1414234800,0,bingham,31.56,0.47,1414216800bingham,43.216357,-112.399206,0.06,,0.0002,0.0059,1414299600,0.27,rain,1012.24,ID,1414245413,1414283565,72.56,1414270800,37.5,1414238400,1414216800,9.94,196,5.46
0,2014-10-26 00:00:00,56.18,1414303200,29.46,1414386000,0.11,bingham,32.36,0.6,1414303200bingham,43.216357,-112.399206,0.09,,0.0008,0.0031,1414335600,0.1,rain,1012.84,ID,1414331889,1414369877,56.18,1414303200,36.76,1414386000,1414303200,9.96,219,13.24
0,2014-10-27 00:00:00,39.28,1414447200,24.08,1414414800,0.14,bingham,26.61,0.67,1414389600bingham,43.216357,-112.399206,0.13,,0.0001,0.0011,1414404000,0.02,rain,1020.51,ID,1414418366,1414456190,44.63,1414447200,31.78,1414418400,1414389600,9.81,216,8.78
0,2014-10-28 00:00:00,51.96,1414533600,18.84,1414501200,0.02,bingham,21.46,0.59,1414476000bingham,43.216357,-112.399206,0.16,,0,0,,0,,1024.83,ID,1414504842,1414542505,51.96,1414533600,22.8,1414501200,1414476000,10,181,0.56
0,2014-10-29 00:00:00,57.88,1414616400,23.6,1414576800,0.16,bingham,26.88,0.56,1414562400bingham,43.216357,-112.399206,0.2,,0,0,,0,,1023.81,ID,1414591319,1414628821,57.88,1414616400,28.78,1414576800,1414562400,9.99,243,2.46
0,2014-10-30 00:00:00,65.56,1414706400,31.3,1414677600,0.1,bingham,30.98,0.56,1414648800bingham,43.216357,-112.399206,0.24,,0,0,,0,,1022.15,ID,1414677797,1414715139,65.56,1414706400,35.55,1414677600,1414648800,10,38,3.32
0,2014-10-31 00:00:00,66.93,1414789200,34.1,1414749600,0.02,bingham,29.32,0.5,1414735200bingham,43.216357,-112.399206,0.28,,0,0,,0,,1011.57,ID,1414764274,1414801458,66.93,1414789200,37.62,1414760400,1414735200,9.97,180,2.07
0,2014-11-01 00:00:00,62.64,1414864800,35.43,1414904400,0.13,bingham,33.26,0.55,1414821600bingham,43.216357,-112.399206,0.31,,0.004,0.0306,1414875600,0.65,rain,1002.32,ID,1414850752,1414887778,62.64,1414864800,41.08,1414904400,1414821600,9.63,185,6.59
0,2014-11-02 00:00:00,32.71,1414908000,26.57,1414994400,0.29,bingham,31.93,0.83,1414908000bingham,43.216357,-112.399206,0.35,,0.0032,0.0137,1414980000,0.55,rain,1014.5,ID,1414937230,1414974100,39.81,1414908000,33.86,1414994400,1414908000,9.16,225,9.77
0,2014-11-03 00:00:00,37.74,1415052000,23.76,1415023200,0.13,bingham,26.84,0.75,1414998000bingham,43.216357,-112.399206,0.39,,0.0001,0.001,1415005200,0.01,rain,1025.41,ID,1415023708,1415060423,42.56,1415052000,29.06,1415077200,1414998000,9.82,219,5.2
0,2014-11-04 00:00:00,43.42,1415134800,23.53,1415095200,0.21,bingham,27.32,0.68,1415084400bingham,43.216357,-112.399206,0.43,,0,0,,0,,1028.36,ID,1415110186,1415146748,47.16,1415134800,28.15,1415095200,1415084400,9.95,200,5.41
0,2014-11-05 00:00:00,52.76,1415224800,29.54,1415253600,0.13,bingham,33.39,0.7,1415170800bingham,43.216357,-112.399206,0.46,,0,0,,0,,1030.12,ID,1415196664,1415233074,52.76,1415224800,33.24,1415253600,1415170800,10,219,2.91
0,2014-11-06 00:00:00,57.1,1415311200,23.38,1415282400,0.02,bingham,31.12,0.69,1415257200bingham,43.216357,-112.399206,0.5,,0,0,,0,,1027.45,ID,1415283142,1415319402,57.1,1415311200,28.51,1415282400,1415257200,9.99,87,0.54
0,2014-11-07 00:00:00,56.67,1415397600,31.37,1415426400,0.08,bingham,33.13,0.61,1415343600bingham,43.216357,-112.399206,0.53,,0,0,,0,,1024.55,ID,1415369621,1415405731,56.67,1415397600,34.63,1415426400,1415343600,10,226,7.58
0,2014-11-08 00:00:00,54.89,1415484000,22.71,1415448000,0.01,bingham,28.86,0.69,1415430000bingham,43.216357,-112.399206,0.57,,0,0,,0,,1027.75,ID,1415456099,1415492063,54.89,1415484000,25.97,1415455200,1415430000,9.91,216,1.67
0,2014-11-09 00:00:00,59.56,1415570400,28.89,1415541600,0.09,bingham,31.27,0.61,1415516400bingham,43.216357,-112.399206,0.6,,0,0,,0,,1011.85,ID,1415542578,1415578396,59.56,1415570400,31.3,1415538000,1415516400,9.85,215,7.76
0,2014-11-10 00:00:00,37.48,1415602800,23.52,1415682000,0.15,bingham,24.43,0.65,1415602800bingham,43.216357,-112.399206,0.63,,0.0026,0.0165,1415610000,0.57,rain,1010.19,ID,1415629056,1415664730,44.2,1415602800,26.43,1415685600,1415602800,9.25,253,5.17
0,2014-11-11 00:00:00,25.51,1415689200,-6.92,1415768400,0.11,bingham,5.98,0.6,1415689200bingham,43.216357,-112.399206,0.66,0.272,0.0007,0.0033,1415714400,0.11,snow,1022.86,ID,1415715534,1415751067,25.51,1415689200,7.5,1415772000,1415689200,8.92,28,9.99
0,2014-11-12 00:00:00,12.84,1415829600,-11.27,1415793600,0.03,bingham,-4.21,0.51,1415775600bingham,43.216357,-112.399206,0.69,,0,0,,0,,1031.15,ID,1415802012,1415837405,22.78,1415829600,2.29,1415800800,1415775600,10,49,7.98
0,2014-11-13 00:00:00,13.51,1415944800,-7.11,1415883600,0.17,bingham,6.55,0.75,1415862000bingham,43.216357,-112.399206,0.72,1.162,0.0028,0.0163,1415916000,0.57,snow,1024.2,ID,1415888490,1415923745,19.21,1415944800,4.9,1415865600,1415862000,6.8,39,5.68
0,2014-11-14 00:00:00,24.63,1416013200,13.58,1415952000,0.43,bingham,24.71,0.9,1415948400bingham,43.216357,-112.399206,0.75,1.964,0.0076,0.0211,1415980800,0.61,snow,1013.27,ID,1415974968,1416010087,32.97,1416013200,19.72,1415948400,1415948400,5.33,229,3.4
0,2014-11-15 00:00:00,14.01,1416034800,-2.93,1416114000,0.11,bingham,6.48,0.72,1416034800bingham,43.216357,-112.399206,0.78,0.139,0.0003,0.0022,1416060000,0.06,snow,1025.62,ID,1416061445,1416096431,23.34,1416034800,1.94,1416117600,1416034800,9.51,323,3.07
0,2014-11-16 00:00:00,18.48,1416175200,-7.46,1416121200,0.11,bingham,3.28,0.78,1416121200bingham,43.216357,-112.399206,0.81,,0,0,,0,,1039.15,ID,1416147922,1416182777,18.48,1416175200,0.92,1416132000,1416121200,8.57,229,1.87
0,2014-11-17 00:00:00,13.54,1416265200,-9.9,1416232800,0.06,bingham,2.6,0.77,1416207600bingham,43.216357,-112.399206,0.84,,0,0,,0,,1039.03,ID,1416234399,1416269125,19.9,1416265200,1.41,1416232800,1416207600,9.45,38,4.22
0,2014-11-18 00:00:00,25.21,1416344400,-6.75,1416308400,0.04,bingham,7.3,0.77,1416294000bingham,43.216357,-112.399206,0.88,,0,0,,0,,1034.42,ID,1416320875,1416355475,25.21,1416344400,3.55,1416308400,1416294000,9.39,33,4.13
0,2014-11-19 00:00:00,34.18,1416430800,9.16,1416398400,0.04,bingham,16.73,0.76,1416380400bingham,43.216357,-112.399206,0.91,,0,0,,0,,1025.43,ID,1416407351,1416441827,34.18,1416430800,16.18,1416398400,1416380400,9.74,26,2.58
0,2014-11-20 00:00:00,33.08,1416520800,20.5,1416488400,0.12,bingham,21.9,0.8,1416466800bingham,43.216357,-112.399206,0.94,,0,0,,0,,1021.2,ID,1416493826,1416528181,36.08,1416520800,20.5,1416488400,1416466800,9.08,6,0.73
0,2014-11-21 00:00:00,37.49,1416607200,14.47,1416571200,0.11,bingham,22.97,0.78,1416553200bingham,43.216357,-112.399206,0.97,,0,0,,0,,1017.93,ID,1416580301,1416614537,40.35,1416607200,20.15,1416571200,1416553200,8.56,157,1.04
0,2014-11-22 00:00:00,29.27,1416686400,20.47,1416722400,0.33,bingham,30.46,0.82,1416639600bingham,43.216357,-112.399206,0.01,,0.011,0.0328,1416661200,0.66,rain,1008.28,ID,1416666775,1416700895,38.33,1416686400,30.74,1416722400,1416639600,8.8,209,11.75
0,2014-11-23 00:00:00,25.99,1416780000,17.68,1416754800,0.16,bingham,23.79,0.76,1416726000bingham,43.216357,-112.399206,0.04,0.102,0.0005,0.002,1416740400,0.05,snow,1020.46,ID,1416753249,1416787256,35.46,1416780000,26.56,1416754800,1416726000,9.51,231,12.2
0,2014-11-24 00:00:00,29.33,1416862800,17.12,1416841200,0.14,bingham,22,0.7,1416812400bingham,43.216357,-112.399206,0.08,0.105,0.0005,0.005,1416816000,0.21,snow,1026.67,ID,1416839721,1416873618,36.91,1416862800,26.02,1416841200,1416812400,9.8,224,9.33
0,2014-11-25 00:00:00,36.26,1416956400,21.67,1416916800,0.29,bingham,30.57,0.75,1416898800bingham,43.216357,-112.399206,0.11,,0.0026,0.0056,1416916800,0.25,rain,1022.7,ID,1416926193,1416959983,43.75,1416956400,31.41,1416898800,1416898800,8.98,217,16.09
0,2014-11-26 00:00:00,44.26,1417035600,30.3,1417010400,0.09,bingham,33.6,0.69,1416985200bingham,43.216357,-112.399206,0.15,,0.0006,0.0044,1416988800,0.18,rain,1024.5,ID,1417012664,1417046350,49.52,1417035600,39.03,1417010400,1416985200,9.98,215,12.37
0,2014-11-27 00:00:00,54.49,1417122000,34.69,1417096800,0.06,bingham,29.63,0.55,1417071600bingham,43.216357,-112.399206,0.19,,0,0,,0,,1020.68,ID,1417099134,1417132719,54.49,1417122000,39.91,1417089600,1417071600,10,202,7.81
0,2014-11-28 00:00:00,53.62,1417212000,35.29,1417186800,0.06,bingham,24.14,0.43,1417158000bingham,43.216357,-112.399206,0.23,,0,0,,0,,1009.24,ID,1417185603,1417219091,53.62,1417212000,40.21,1417186800,1417158000,9.96,202,8.75
0,2014-11-29 00:00:00,41.32,1417244400,26.68,1417327200,0.24,bingham,27.3,0.56,1417244400bingham,43.216357,-112.399206,0.26,,0.0027,0.0284,1417316400,0.64,rain,1001.21,ID,1417272071,1417305465,47.17,1417244400,36.75,1417327200,1417244400,9.25,222,16.3
0,2014-11-30 00:00:00,24.72,1417330800,13.61,1417356000,0.09,bingham,17.57,0.69,1417330800bingham,43.216357,-112.399206,0.3,0.085,0.0003,0.0022,1417402800,0.06,snow,1018.39,ID,1417358538,1417391841,35.46,1417330800,21.69,1417410000,1417330800,9.73,240,4.76
0,2014-12-01 00:00:00,31.07,1417496400,14.07,1417431600,0.33,bingham,23.82,0.83,1417417200bingham,43.216357,-112.399206,0.34,0.385,0.0018,0.0065,1417482000,0.31,snow,1023.31,ID,1417445004,1417478220,37.39,1417496400,19.89,1417428000,1417417200,8.2,181,0.55
0,2014-12-02 00:00:00,38.22,1417550400,22.56,1417582800,0.17,bingham,31.7,0.85,1417503600bingham,43.216357,-112.399206,0.37,,0.0006,0.005,1417514400,0.21,rain,1018.86,ID,1417531468,1417564600,40.91,1417550400,30.29,1417586400,1417503600,8.56,237,3.55
0,2014-12-03 00:00:00,37.9,1417647600,21.82,1417593600,0.33,bingham,31.46,0.87,1417590000bingham,43.216357,-112.399206,0.41,,0.0017,0.0083,1417622400,0.43,rain,1016.13,ID,1417617932,1417650984,41.55,1417647600,29.32,1417604400,1417590000,8.02,45,2.05
0,2014-12-04 00:00:00,42.84,1417726800,31.26,1417759200,0.22,bingham,35.32,0.83,1417676400bingham,43.216357,-112.399206,0.45,,0.0008,0.0039,1417698000,0.15,rain,1014.97,ID,1417704393,1417737369,46.95,1417726800,36.12,1417759200,1417676400,9.56,208,4.84
0,2014-12-05 00:00:00,46.61,1417816800,29.31,1417842000,0.15,bingham,33.69,0.87,1417762800bingham,43.216357,-112.399206,0.48,,0.0002,0.0015,1417773600,0.03,rain,1023.05,ID,1417790854,1417823758,46.61,1417816800,32.82,1417791600,1417762800,8.88,18,1.08
0,2014-12-06 00:00:00,44.31,1417903200,27.35,1417849200,0.2,bingham,33.91,0.82,1417849200bingham,43.216357,-112.399206,0.52,,0,0,,0,,1024.01,ID,1417877313,1417910148,48.35,1417903200,32.09,1417863600,1417849200,9.49,205,3.25
0,2014-12-07 00:00:00,46.61,1417989600,28.19,1418018400,0.15,bingham,33.4,0.83,1417935600bingham,43.216357,-112.399206,0.55,,0.0001,0.0022,1417935600,0.06,rain,1027.47,ID,1417963770,1417996541,46.61,1417989600,32.09,1418018400,1417935600,8.69,339,0.51
0,2014-12-08 00:00:00,42.26,1418076000,22.92,1418050800,0.03,bingham,29.4,0.86,1418022000bingham,43.216357,-112.399206,0.58,,0,0,,0,,1027.32,ID,1418050226,1418082937,43.78,1418076000,26.79,1418050800,1418022000,9.42,35,2.43
0,2014-12-09 00:00:00,42.99,1418162400,18.58,1418133600,0.06,bingham,28.44,0.83,1418108400bingham,43.216357,-112.399206,0.61,,0,0,,0,,1025.75,ID,1418136681,1418169334,44.52,1418162400,25.49,1418133600,1418108400,9.39,22,3.09
0,2014-12-10 00:00:00,41.87,1418248800,21.69,1418220000,0.02,bingham,28.12,0.82,1418194800bingham,43.216357,-112.399206,0.64,,0,0,,0,,1020.82,ID,1418223133,1418255735,45.48,1418248800,25.85,1418223600,1418194800,9.59,18,3.83
0,2014-12-11 00:00:00,51.29,1418335200,25.13,1418302800,0.05,bingham,27.03,0.61,1418281200bingham,43.216357,-112.399206,0.67,,0,0,,0,,1011.81,ID,1418309584,1418342138,51.29,1418335200,30.09,1418302800,1418281200,9.91,166,4.67
0,2014-12-12 00:00:00,53.33,1418414400,37.7,1418450400,0.04,bingham,28.92,0.52,1418367600bingham,43.216357,-112.399206,0.7,,0.0002,0.0045,1418450400,0.18,rain,1008.51,ID,1418396033,1418428543,53.33,1418414400,40.52,1418396400,1418367600,9.99,179,5.69
0,2014-12-13 00:00:00,38.08,1418454000,23.57,1418536800,0.32,bingham,31.3,0.86,1418454000bingham,43.216357,-112.399206,0.73,,0.004,0.0153,1418468400,0.56,rain,1013.71,ID,1418482480,1418514951,42.02,1418454000,31.53,1418536800,1418454000,8.54,223,10.95
0,2014-12-14 00:00:00,23.77,1418540400,20.46,1418608800,0.16,bingham,26.21,0.88,1418540400bingham,43.216357,-112.399206,0.76,0.376,0.0017,0.0068,1418551200,0.33,snow,1021.02,ID,1418568926,1418601361,31.24,1418540400,27.28,1418612400,1418540400,7.42,230,6.59
0,2014-12-15 00:00:00,30.12,1418680800,13.87,1418702400,0.09,bingham,20.86,0.82,1418626800bingham,43.216357,-112.399206,0.79,0.096,0.0004,0.0017,1418626800,0.04,snow,1024.29,ID,1418655369,1418687773,33.87,1418680800,20.66,1418702400,1418626800,9.54,65,2.71
0,2014-12-16 00:00:00,30.72,1418763600,15.7,1418713200,0.33,bingham,24.7,0.86,1418713200bingham,43.216357,-112.399206,0.82,0.336,0.0016,0.0061,1418770800,0.28,snow,1018.38,ID,1418741811,1418774188,33.67,1418763600,23.86,1418713200,1418713200,8.12,31,3.09
0,2014-12-17 00:00:00,32.69,1418853600,21.84,1418817600,0.13,bingham,25.11,0.88,1418799600bingham,43.216357,-112.399206,0.85,0.039,0.0002,0.003,1418799600,0.1,snow,1017.87,ID,1418828250,1418860606,35.51,1418853600,23.56,1418882400,1418799600,7.2,50,1.7
0,2014-12-18 00:00:00,34.95,1418940000,20.08,1418911200,0.15,bingham,24.25,0.85,1418886000bingham,43.216357,-112.399206,0.88,0.017,0.0001,0.0011,1418950800,0.02,snow,1021.87,ID,1418914687,1418947025,34.95,1418940000,23.08,1418896800,1418886000,8.54,107,0.61
0,2014-12-19 00:00:00,30.51,1419022800,24.61,1418972400,0.43,bingham,28.74,0.81,1418972400bingham,43.216357,-112.399206,0.92,,0.0015,0.0061,1419033600,0.28,rain,1020.43,ID,1419001122,1419033447,37.57,1419022800,31.43,1418972400,1418972400,8.55,191,7.39
0,2014-12-20 00:00:00,30.79,1419112800,26.22,1419058800,0.48,bingham,31.64,0.89,1419058800bingham,43.216357,-112.399206,0.95,,0.0032,0.0121,1419134400,0.53,rain,1017.56,ID,1419087555,1419119872,37.19,1419112800,32.8,1419073200,1419058800,8.55,198,8.15
0,2014-12-21 00:00:00,34.28,1419195600,25.44,1419156000,0.31,bingham,34.52,0.87,1419145200bingham,43.216357,-112.399206,0.98,,0.0083,0.021,1419145200,0.6,rain,1010.79,ID,1419173986,1419206299,42.83,1419195600,33.68,1419228000,1419145200,8.66,235,13.27
0,2014-12-22 00:00:00,29.42,1419282000,20.24,1419314400,0.24,bingham,27.01,0.8,1419231600bingham,43.216357,-112.399206,0.03,,0.0004,0.0027,1419285600,0.08,rain,1017.75,ID,1419260415,1419292728,38.38,1419282000,24.95,1419314400,1419231600,9.56,267,7.5
