,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,42.87,1412200800,33.7,1412168400,0.17,caribou,33.53,0.76,1412143200caribou,42.786072,-111.544273,0.25,,0.0016,0.0109,1412143200,0.52,rain,1016.56,ID,1412169879,1412212162,47.19,1412200800,36.28,1412168400,1412143200,9.79,278,3.69
0,2014-10-02 00:00:00,55.83,1412287200,29.72,1412251200,0.02,caribou,30.52,0.62,1412229600caribou,42.786072,-111.544273,0.29,,0,0,,0,,1022.23,ID,1412256345,1412298456,55.83,1412287200,34.17,1412254800,1412229600,9.99,238,7.19
0,2014-10-03 00:00:00,58.93,1412373600,30.52,1412341200,0,caribou,27.85,0.59,1412316000caribou,42.786072,-111.544273,0.33,,0,0,,0,,1027.92,ID,1412342812,1412384750,58.93,1412373600,30.52,1412341200,1412316000,9.96,297,2.79
0,2014-10-04 00:00:00,63.43,1412460000,29.29,1412431200,0.01,caribou,32.14,0.59,1412402400caribou,42.786072,-111.544273,0.36,,0,0,,0,,1024.09,ID,1412429279,1412471045,63.43,1412460000,33.17,1412427600,1412402400,10,284,5.03
0,2014-10-05 00:00:00,66.18,1412546400,34.97,1412514000,0.05,caribou,36.09,0.58,1412488800caribou,42.786072,-111.544273,0.4,,0,0,,0,,1019.63,ID,1412515747,1412557340,66.18,1412546400,38.33,1412514000,1412488800,9.99,271,4.54
0,2014-10-06 00:00:00,67.64,1412632800,36.79,1412600400,0.01,caribou,36.85,0.59,1412575200caribou,42.786072,-111.544273,0.44,,0,0,,0,,1017.19,ID,1412602214,1412643636,67.64,1412632800,39.03,1412600400,1412575200,9.99,251,4.85
0,2014-10-07 00:00:00,69.59,1412719200,34.41,1412690400,0.02,caribou,37.44,0.61,1412661600caribou,42.786072,-111.544273,0.48,,0,0,,0,,1016.48,ID,1412688682,1412729932,69.59,1412719200,38.05,1412686800,1412661600,9.97,281,2.49
0,2014-10-08 00:00:00,69.92,1412805600,33.63,1412776800,0.01,caribou,34.81,0.6,1412748000caribou,42.786072,-111.544273,0.51,,0,0,,0,,1015.5,ID,1412775151,1412816229,69.92,1412805600,36.3,1412773200,1412748000,9.97,327,2.67
0,2014-10-09 00:00:00,68.98,1412892000,30.3,1412859600,0.03,caribou,33.49,0.58,1412834400caribou,42.786072,-111.544273,0.55,,0,0,,0,,1014.49,ID,1412861619,1412902526,68.98,1412892000,35.19,1412859600,1412834400,9.98,337,1.13
