,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,56.12,1412204400,36.35,1412172000,0.11,cassia,34.66,0.63,1412143200cassia,42.282313,-113.626328,0.25,,0.0007,0.0058,1412172000,0.26,rain,1015.08,ID,1412170368,1412212672,56.12,1412204400,40.42,1412168400,1412143200,9.98,250,7.28
0,2014-10-02 00:00:00,62.48,1412290800,34.86,1412251200,0.01,cassia,31.89,0.53,1412229600cassia,42.282313,-113.626328,0.29,,0,0,,0,,1019.73,ID,1412256833,1412298967,62.48,1412290800,39.8,1412258400,1412229600,10,224,8.45
0,2014-10-03 00:00:00,65.11,1412377200,37.71,1412344800,0,cassia,32.73,0.52,1412316000cassia,42.282313,-113.626328,0.33,,0,0,,0,,1024.17,ID,1412343299,1412385263,65.11,1412377200,37.71,1412344800,1412316000,9.98,211,2.08
0,2014-10-04 00:00:00,69.42,1412460000,37.99,1412431200,0.01,cassia,36.54,0.55,1412402400cassia,42.282313,-113.626328,0.36,,0,0,,0,,1020.85,ID,1412429764,1412471559,69.42,1412460000,40.28,1412431200,1412402400,10,213,4.21
0,2014-10-05 00:00:00,72.47,1412546400,42.68,1412514000,0.02,cassia,37.36,0.49,1412488800cassia,42.282313,-113.626328,0.4,,0,0,,0,,1016.82,ID,1412516230,1412557856,72.47,1412546400,44.68,1412514000,1412488800,10,222,5.45
0,2014-10-06 00:00:00,74.64,1412632800,44.46,1412600400,0.01,cassia,39.07,0.48,1412575200cassia,42.282313,-113.626328,0.44,,0,0,,0,,1013.95,ID,1412602696,1412644153,74.64,1412632800,46.97,1412600400,1412575200,10,218,6.17
0,2014-10-07 00:00:00,75.11,1412719200,45.48,1412686800,0.01,cassia,40.41,0.51,1412661600cassia,42.282313,-113.626328,0.48,,0,0,,0,,1012.38,ID,1412689163,1412730451,75.11,1412719200,47.07,1412686800,1412661600,10,208,3.52
0,2014-10-08 00:00:00,77.03,1412805600,42.34,1412773200,0.01,cassia,37.21,0.49,1412748000cassia,42.282313,-113.626328,0.51,,0,0,,0,,1010.95,ID,1412775629,1412816749,77.03,1412805600,43.47,1412776800,1412748000,9.98,91,2.16
0,2014-10-09 00:00:00,72.08,1412892000,43.23,1412856000,0.02,cassia,38.26,0.53,1412834400cassia,42.282313,-113.626328,0.55,,0,0,,0,,1010.7,ID,1412862097,1412903048,72.08,1412892000,43.79,1412859600,1412834400,9.97,217,2.76
0,2014-10-10 00:00:00,69.28,1412978400,43.2,1412949600,0.03,cassia,36.44,0.5,1412920800cassia,42.282313,-113.626328,0.58,,0,0,,0,,1013.56,ID,1412948564,1412989348,69.28,1412978400,45.34,1412946000,1412920800,9.99,221,4.42
0,2014-10-11 00:00:00,68.28,1413064800,40.38,1413036000,0.04,cassia,33.63,0.46,1413007200cassia,42.282313,-113.626328,0.62,,0,0.0011,1413090000,0,,1012.32,ID,1413035032,1413075648,68.28,1413064800,44.73,1413036000,1413007200,9.96,225,7.08
0,2014-10-12 00:00:00,57.84,1413147600,38.16,1413122400,0.12,cassia,33.14,0.53,1413093600cassia,42.282313,-113.626328,0.65,,0.0003,0.0069,1413093600,0.33,rain,1015.22,ID,1413121500,1413161949,57.84,1413147600,44.11,1413176400,1413093600,9.83,273,10.94
0,2014-10-13 00:00:00,63.87,1413241200,30.46,1413208800,0.01,cassia,29.71,0.5,1413180000cassia,42.282313,-113.626328,0.68,,0,0,,0,,1019.66,ID,1413207969,1413248251,63.87,1413241200,35.66,1413208800,1413180000,10,147,2.99
0,2014-10-14 00:00:00,71.07,1413324000,36.48,1413295200,0.02,cassia,30.2,0.42,1413266400cassia,42.282313,-113.626328,0.72,,0,0,,0,,1011.82,ID,1413294438,1413334554,71.07,1413324000,40.22,1413295200,1413266400,10,142,4.19
0,2014-10-15 00:00:00,68.52,1413399600,45.08,1413435600,0.05,cassia,31.38,0.37,1413352800cassia,42.282313,-113.626328,0.75,,0,0,,0,,1006.09,ID,1413380907,1413420857,68.52,1413399600,45.08,1413435600,1413352800,9.7,230,8.23
0,2014-10-16 00:00:00,60.43,1413500400,37.26,1413460800,0.02,cassia,30.65,0.53,1413439200cassia,42.282313,-113.626328,0.78,,0,0,,0,,1015.6,ID,1413467377,1413507162,60.43,1413500400,39.92,1413464400,1413439200,10,57,2.69
0,2014-10-17 00:00:00,68.46,1413583200,33.64,1413554400,0.01,cassia,32.73,0.52,1413525600cassia,42.282313,-113.626328,0.81,,0,0,,0,,1012.87,ID,1413553847,1413593467,68.46,1413583200,38.31,1413554400,1413525600,9.99,56,5.79
0,2014-10-18 00:00:00,67.59,1413669600,40.06,1413637200,0.01,cassia,34.62,0.51,1413612000cassia,42.282313,-113.626328,0.84,,0,0,,0,,1012.9,ID,1413640317,1413679773,67.59,1413669600,42.35,1413637200,1413612000,9.96,220,2.93
0,2014-10-19 00:00:00,72.69,1413756000,35.12,1413720000,0,cassia,33.63,0.51,1413698400cassia,42.282313,-113.626328,0.87,,0,0,,0,,1013.17,ID,1413726788,1413766081,72.69,1413756000,38.29,1413723600,1413698400,9.98,75,4.33
0,2014-10-20 00:00:00,75.04,1413842400,39.75,1413810000,0.08,cassia,34.63,0.45,1413784800cassia,42.282313,-113.626328,0.9,,0,0,,0,,1008.54,ID,1413813259,1413852389,75.04,1413842400,42.89,1413813600,1413784800,9.93,135,3.86
0,2014-10-21 00:00:00,61.65,1413874800,37.9,1413954000,0.15,cassia,36.66,0.57,1413871200cassia,42.282313,-113.626328,0.93,,0.0016,0.0115,1413903600,0.52,rain,1009.67,ID,1413899731,1413938698,61.65,1413874800,41.02,1413954000,1413871200,9.97,240,8.45
0,2014-10-22 00:00:00,58.47,1414015200,30.84,1413982800,0.03,cassia,29.65,0.57,1413957600cassia,42.282313,-113.626328,0.96,,0,0,,0,,1017.25,ID,1413986203,1414025008,58.47,1414015200,33.1,1413986400,1413957600,9.95,112,1.22
0,2014-10-23 00:00:00,62.62,1414098000,40.14,1414065600,0.08,cassia,32.9,0.5,1414044000cassia,42.282313,-113.626328,0.99,,0,0,,0,,1014.51,ID,1414072675,1414111320,62.62,1414098000,42.1,1414069200,1414044000,9.91,235,1.17
0,2014-10-24 00:00:00,72.46,1414188000,41.4,1414159200,0.05,cassia,35.95,0.5,1414130400cassia,42.282313,-113.626328,0.03,,0,0,,0,,1014.12,ID,1414159148,1414197632,72.46,1414188000,44.52,1414159200,1414130400,9.73,131,1.52
0,2014-10-25 00:00:00,73.66,1414270800,42.64,1414238400,0,cassia,33.05,0.41,1414216800cassia,42.282313,-113.626328,0.06,,0.0001,0.0018,1414299600,0.04,rain,1008.55,ID,1414245621,1414283946,73.66,1414270800,44.81,1414238400,1414216800,9.84,183,6.37
0,2014-10-26 00:00:00,59.7,1414303200,34.75,1414386000,0.05,cassia,32.56,0.56,1414303200cassia,42.282313,-113.626328,0.09,,0.0016,0.0098,1414364400,0.5,rain,1011.29,ID,1414332094,1414370261,59.7,1414303200,38.9,1414386000,1414303200,9.96,249,9.37
0,2014-10-27 00:00:00,43.41,1414447200,27.16,1414418400,0.09,cassia,26.62,0.6,1414389600cassia,42.282313,-113.626328,0.13,,0,0,,0,,1017.8,ID,1414418568,1414456577,47.37,1414447200,33.99,1414418400,1414389600,10,233,6.8
