,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,50.7,1412204400,33.96,1412168400,0.21,jefferson,33.91,0.71,1412143200jefferson,43.796965,-112.318588,0.25,,0.0017,0.022,1412143200,0.61,rain,1016.85,ID,1412170087,1412212326,50.7,1412204400,37.74,1412172000,1412143200,9.9,221,4.49
0,2014-10-02 00:00:00,57.63,1412290800,31.03,1412244000,0.02,jefferson,30.7,0.58,1412229600jefferson,43.796965,-112.318588,0.29,,0,0,,0,,1021.79,ID,1412256556,1412298616,57.63,1412290800,37.6,1412247600,1412229600,10,221,9.25
0,2014-10-03 00:00:00,59.17,1412377200,29.65,1412341200,0,jefferson,27.6,0.58,1412316000jefferson,43.796965,-112.318588,0.33,,0,0,,0,,1028.81,ID,1412343026,1412384908,59.17,1412377200,29.65,1412341200,1412316000,9.98,278,0.45
0,2014-10-04 00:00:00,64.16,1412463600,32.96,1412427600,0.04,jefferson,33.8,0.62,1412402400jefferson,43.796965,-112.318588,0.36,,0,0,,0,,1024.54,ID,1412429496,1412471199,64.16,1412463600,32.96,1412427600,1412402400,10,225,3.62
0,2014-10-05 00:00:00,67.98,1412546400,39.97,1412510400,0.07,jefferson,37.89,0.57,1412488800jefferson,43.796965,-112.318588,0.4,,0,0,,0,,1019.8,ID,1412515967,1412557491,67.98,1412546400,40.2,1412514000,1412488800,10,219,5.38
0,2014-10-06 00:00:00,69.32,1412632800,40.01,1412600400,0.04,jefferson,38.08,0.56,1412575200jefferson,43.796965,-112.318588,0.44,,0,0,,0,,1016.98,ID,1412602438,1412643784,69.32,1412632800,41.54,1412604000,1412575200,10,215,6.42
0,2014-10-07 00:00:00,70.49,1412719200,36.4,1412690400,0.03,jefferson,39.19,0.62,1412661600jefferson,43.796965,-112.318588,0.48,,0,0,,0,,1016.45,ID,1412688909,1412730077,70.49,1412719200,39.25,1412690400,1412661600,9.98,224,2.54
0,2014-10-08 00:00:00,70.92,1412805600,33.95,1412776800,0.02,jefferson,36.46,0.62,1412748000jefferson,43.796965,-112.318588,0.51,,0,0,,0,,1015.65,ID,1412775380,1412816371,70.92,1412805600,36.77,1412776800,1412748000,9.98,339,0.7
0,2014-10-09 00:00:00,69.14,1412892000,31.81,1412859600,0.05,jefferson,35.16,0.6,1412834400jefferson,43.796965,-112.318588,0.55,,0,0,,0,,1015.07,ID,1412861852,1412902665,69.14,1412892000,35.35,1412859600,1412834400,9.97,308,1.54
0,2014-10-10 00:00:00,65.31,1412978400,39.17,1412942400,0.08,jefferson,35.42,0.59,1412920800jefferson,43.796965,-112.318588,0.58,,0,0,,0,,1016.96,ID,1412948324,1412988960,65.31,1412978400,39.17,1412942400,1412920800,10,211,4.28
0,2014-10-11 00:00:00,60.88,1413061200,33.96,1413032400,0.08,jefferson,32.72,0.55,1413007200jefferson,43.796965,-112.318588,0.62,,0.0003,0.0042,1413079200,0.16,rain,1014.68,ID,1413034796,1413075256,60.88,1413061200,37.61,1413036000,1413007200,9.92,214,7.83
0,2014-10-12 00:00:00,51.6,1413151200,35.27,1413176400,0.17,jefferson,31.04,0.6,1413093600jefferson,43.796965,-112.318588,0.65,,0.0009,0.0069,1413093600,0.33,rain,1017.02,ID,1413121269,1413161553,51.6,1413151200,37.56,1413176400,1413093600,9.88,302,4.08
0,2014-10-13 00:00:00,56.25,1413241200,29.23,1413208800,0.06,jefferson,29.68,0.63,1413180000jefferson,43.796965,-112.318588,0.68,,0,0,,0,,1023.76,ID,1413207742,1413247850,56.25,1413241200,31.83,1413201600,1413180000,10,203,3.44
0,2014-10-14 00:00:00,66.6,1413324000,29.36,1413295200,0.03,jefferson,31.38,0.59,1413266400jefferson,43.796965,-112.318588,0.72,,0,0,,0,,1017.54,ID,1413294216,1413334148,66.6,1413324000,32.69,1413295200,1413266400,10,173,1.04
0,2014-10-15 00:00:00,65,1413403200,35.29,1413435600,0.07,jefferson,30.65,0.5,1413352800jefferson,43.796965,-112.318588,0.75,,0,0,,0,,1009.08,ID,1413380690,1413420447,65,1413403200,41.6,1413435600,1413352800,9.94,218,9.44
0,2014-10-16 00:00:00,53.01,1413496800,29.75,1413468000,0.04,jefferson,26.52,0.58,1413439200jefferson,43.796965,-112.318588,0.78,,0,0,,0,,1019.94,ID,1413467164,1413506747,53.01,1413496800,29.75,1413468000,1413439200,9.99,218,0.42
0,2014-10-17 00:00:00,63.44,1413586800,23.3,1413550800,0.01,jefferson,28.31,0.6,1413525600jefferson,43.796965,-112.318588,0.81,,0,0,,0,,1018.7,ID,1413553639,1413593047,63.44,1413586800,27.33,1413550800,1413525600,9.99,20,2.09
0,2014-10-18 00:00:00,65.23,1413669600,31.82,1413637200,0.02,jefferson,33.14,0.6,1413612000jefferson,43.796965,-112.318588,0.84,,0,0,,0,,1017.02,ID,1413640114,1413679349,65.23,1413669600,34.57,1413640800,1413612000,10,231,1.73
0,2014-10-19 00:00:00,67.47,1413756000,27.77,1413727200,0,jefferson,30.71,0.61,1413698400jefferson,43.796965,-112.318588,0.87,,0,0,,0,,1018.4,ID,1413726589,1413765652,67.47,1413756000,30.77,1413727200,1413698400,10,13,1.63
0,2014-10-20 00:00:00,69.98,1413842400,28.82,1413810000,0.08,jefferson,31.82,0.55,1413784800jefferson,43.796965,-112.318588,0.9,,0,0,,0,,1014.28,ID,1413813065,1413851955,69.98,1413842400,32.95,1413813600,1413784800,10,169,1.14
0,2014-10-21 00:00:00,44.84,1413885600,33.68,1413954000,0.18,jefferson,35.21,0.68,1413871200jefferson,43.796965,-112.318588,0.93,,0.0027,0.0111,1413921600,0.52,rain,1011.95,ID,1413899541,1413938260,48.57,1413885600,38.49,1413954000,1413871200,9.76,209,9.95
0,2014-10-22 00:00:00,52.48,1414015200,25.25,1413986400,0.05,jefferson,28.78,0.65,1413957600jefferson,43.796965,-112.318588,0.96,,0,0,,0,,1020.86,ID,1413986018,1414024566,52.48,1414015200,29.6,1413986400,1413957600,9.99,206,4.66
0,2014-10-23 00:00:00,59.37,1414094400,36.6,1414044000,0.12,jefferson,30.94,0.56,1414044000jefferson,43.796965,-112.318588,0.99,,0,0,,0,,1018.02,ID,1414072495,1414110873,59.37,1414094400,36.6,1414044000,1414044000,10,208,3.99
0,2014-10-24 00:00:00,64.99,1414188000,38.87,1414213200,0.15,jefferson,34.2,0.52,1414130400jefferson,43.796965,-112.318588,0.03,,0,0,,0,,1017.62,ID,1414158972,1414197181,64.99,1414188000,40.45,1414213200,1414130400,10,202,6.49
0,2014-10-25 00:00:00,70.02,1414270800,31.08,1414231200,0,jefferson,30.66,0.52,1414216800jefferson,43.796965,-112.318588,0.06,,0.0002,0.0048,1414299600,0.2,rain,1013.28,ID,1414245449,1414283490,70.02,1414270800,33.76,1414238400,1414216800,9.96,204,5.01
0,2014-10-26 00:00:00,52.21,1414303200,27.01,1414386000,0.13,jefferson,31.4,0.63,1414303200jefferson,43.796965,-112.318588,0.09,,0.0026,0.0104,1414310400,0.51,rain,1011.67,ID,1414331927,1414369800,52.21,1414303200,34.55,1414386000,1414303200,9.74,214,14.03
0,2014-10-27 00:00:00,35.45,1414447200,23.06,1414414800,0.17,jefferson,25.67,0.7,1414389600jefferson,43.796965,-112.318588,0.13,,0.0001,0.0012,1414404000,0.02,rain,1020.1,ID,1414418405,1414456112,42.04,1414447200,29.91,1414418400,1414389600,9.78,212,8.54
0,2014-10-28 00:00:00,45.89,1414533600,17.77,1414494000,0.04,jefferson,21,0.62,1414476000jefferson,43.796965,-112.318588,0.16,,0,0,,0,,1024.87,ID,1414504884,1414542425,49.24,1414533600,21.89,1414501200,1414476000,9.99,210,2.34
0,2014-10-29 00:00:00,55.08,1414620000,22.58,1414562400,0.16,jefferson,26.23,0.6,1414562400jefferson,43.796965,-112.318588,0.2,,0,0,,0,,1024.05,ID,1414591362,1414628740,55.08,1414620000,27.12,1414576800,1414562400,10,240,2.43
0,2014-10-30 00:00:00,61.63,1414706400,31.32,1414677600,0.12,jefferson,30.27,0.61,1414648800jefferson,43.796965,-112.318588,0.24,,0,0,,0,,1023.37,ID,1414677841,1414715055,61.63,1414706400,34.5,1414674000,1414648800,10,31,2.43
0,2014-10-31 00:00:00,65.46,1414789200,31.58,1414756800,0.03,jefferson,28.53,0.54,1414735200jefferson,43.796965,-112.318588,0.28,,0,0,,0,,1012.65,ID,1414764320,1414801372,65.46,1414789200,34.18,1414764000,1414735200,9.96,202,2.38
