,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,54.3,1412204400,36.51,1412154000,0.19,lemhi,32.09,0.64,1412143200lemhi,44.928506,-113.887042,0.25,,0.0005,0.0104,1412143200,0.51,rain,1017.75,ID,1412170488,1412212677,54.3,1412204400,37.43,1412226000,1412143200,9.97,277,1.02
0,2014-10-02 00:00:00,60.46,1412287200,28.65,1412254800,0,lemhi,28.38,0.59,1412229600lemhi,44.928506,-113.887042,0.29,,0,0,,0,,1022,ID,1412256962,1412298964,60.46,1412287200,32.46,1412244000,1412229600,9.8,298,2.42
0,2014-10-03 00:00:00,61.67,1412377200,24.4,1412344800,0,lemhi,28.34,0.6,1412316000lemhi,44.928506,-113.887042,0.33,,0,0,,0,,1028.64,ID,1412343435,1412385251,61.67,1412377200,28.75,1412341200,1412316000,10,225,1.04
0,2014-10-04 00:00:00,65.49,1412463600,26.16,1412431200,0.07,lemhi,33.98,0.61,1412402400lemhi,44.928506,-113.887042,0.36,,0,0,,0,,1023.92,ID,1412429909,1412471539,65.49,1412463600,32.68,1412431200,1412402400,9.87,256,2.78
0,2014-10-05 00:00:00,71.5,1412546400,43.93,1412503200,0.09,lemhi,39.1,0.58,1412488800lemhi,44.928506,-113.887042,0.4,,0,0,,0,,1019.24,ID,1412516383,1412557828,71.5,1412546400,44.08,1412510400,1412488800,9.78,283,1.96
0,2014-10-06 00:00:00,72.21,1412636400,39.15,1412600400,0.01,lemhi,40.03,0.61,1412575200lemhi,44.928506,-113.887042,0.44,,0,0,,0,,1016.47,ID,1412602857,1412644117,72.21,1412636400,41.96,1412604000,1412575200,10,244,3.24
0,2014-10-07 00:00:00,72.6,1412719200,33.18,1412686800,0.03,lemhi,39.11,0.61,1412661600lemhi,44.928506,-113.887042,0.48,,0,0,,0,,1015.4,ID,1412689332,1412730406,72.6,1412719200,39.08,1412690400,1412661600,9.99,235,2.52
0,2014-10-08 00:00:00,72.04,1412805600,30.4,1412776800,0.01,lemhi,35.95,0.59,1412748000lemhi,44.928506,-113.887042,0.51,,0,0,,0,,1014.53,ID,1412775807,1412816696,72.04,1412805600,35.41,1412776800,1412748000,10,235,1.91
0,2014-10-09 00:00:00,69.4,1412892000,34.2,1412859600,0.03,lemhi,35.4,0.58,1412834400lemhi,44.928506,-113.887042,0.55,,0,0,,0,,1015.02,ID,1412862283,1412902987,69.4,1412892000,36.67,1412859600,1412834400,9.87,236,0.95
0,2014-10-10 00:00:00,67.67,1412978400,33.17,1412942400,0.04,lemhi,35.81,0.62,1412920800lemhi,44.928506,-113.887042,0.58,,0,0,,0,,1016.73,ID,1412948758,1412989279,67.67,1412978400,35.77,1412949600,1412920800,9.99,239,0.82
0,2014-10-11 00:00:00,62.36,1413064800,36.62,1413039600,0.12,lemhi,36.29,0.67,1413007200lemhi,44.928506,-113.887042,0.62,,0.0029,0.0279,1413079200,0.64,rain,1014.2,ID,1413035234,1413075571,62.36,1413064800,38.24,1413036000,1413007200,9.49,246,2.34
0,2014-10-12 00:00:00,53.2,1413151200,35.88,1413118800,0.18,lemhi,32.36,0.64,1413093600lemhi,44.928506,-113.887042,0.65,,0.0005,0.0045,1413093600,0.18,rain,1018.95,ID,1413121711,1413161864,53.2,1413151200,38.08,1413176400,1413093600,9.98,336,2.03
0,2014-10-13 00:00:00,60.76,1413241200,31.74,1413201600,0.06,lemhi,31.63,0.63,1413180000lemhi,44.928506,-113.887042,0.68,,0,0,,0,,1020.94,ID,1413208188,1413248158,60.76,1413241200,33.52,1413205200,1413180000,9.79,224,1.74
0,2014-10-14 00:00:00,67.83,1413324000,36.25,1413295200,0.01,lemhi,31.32,0.52,1413266400lemhi,44.928506,-113.887042,0.72,,0,0.0011,1413309600,0,,1012.37,ID,1413294665,1413334452,67.83,1413324000,36.25,1413295200,1413266400,10,175,3.34
0,2014-10-15 00:00:00,62.17,1413403200,37.12,1413432000,0.09,lemhi,32.35,0.52,1413352800lemhi,44.928506,-113.887042,0.75,,0.001,0.0076,1413403200,0.38,rain,1006.52,ID,1413381142,1413420747,62.17,1413403200,41.77,1413435600,1413352800,9.94,230,5.53
0,2014-10-16 00:00:00,52.69,1413500400,32.84,1413471600,0.06,lemhi,28.69,0.6,1413439200lemhi,44.928506,-113.887042,0.78,,0,0,,0,,1019.51,ID,1413467620,1413507044,52.69,1413500400,33.37,1413468000,1413439200,9.79,247,0.92
0,2014-10-17 00:00:00,60.6,1413586800,25.66,1413554400,0.04,lemhi,27.47,0.61,1413525600lemhi,44.928506,-113.887042,0.81,,0,0,,0,,1018.25,ID,1413554098,1413593341,60.6,1413586800,25.66,1413554400,1413525600,9.92,210,1.14
0,2014-10-18 00:00:00,66.34,1413669600,30.22,1413640800,0.02,lemhi,32.61,0.57,1413612000lemhi,44.928506,-113.887042,0.84,,0,0,,0,,1016.3,ID,1413640577,1413679639,66.34,1413669600,35.34,1413640800,1413612000,9.97,236,1.37
0,2014-10-19 00:00:00,67.62,1413756000,26.96,1413723600,0,lemhi,31.01,0.58,1413698400lemhi,44.928506,-113.887042,0.87,,0,0,,0,,1016.74,ID,1413727056,1413765938,67.62,1413756000,31.38,1413727200,1413698400,10,230,2.4
0,2014-10-20 00:00:00,70.48,1413842400,28.83,1413810000,0.03,lemhi,31.65,0.53,1413784800lemhi,44.928506,-113.887042,0.9,,0,0,,0,,1011.52,ID,1413813535,1413852238,70.48,1413842400,34.14,1413810000,1413784800,10,193,3.07
0,2014-10-21 00:00:00,53.5,1413874800,32.54,1413946800,0.19,lemhi,37.61,0.75,1413871200lemhi,44.928506,-113.887042,0.93,,0.0126,0.0702,1413903600,0.75,rain,1010.32,ID,1413900015,1413938539,53.5,1413874800,35.95,1413954000,1413871200,9.3,200,2.36
0,2014-10-22 00:00:00,53,1414015200,25.41,1413979200,0.05,lemhi,31.18,0.72,1413957600lemhi,44.928506,-113.887042,0.96,,0,0,,0,,1018.76,ID,1413986495,1414024841,53,1414015200,30.05,1413986400,1413957600,8.76,190,3.62
0,2014-10-23 00:00:00,58.99,1414094400,40.07,1414051200,0.24,lemhi,37.35,0.65,1414044000lemhi,44.928506,-113.887042,0.99,,0.003,0.0117,1414116000,0.53,rain,1014.19,ID,1414072976,1414111144,58.99,1414094400,41.87,1414054800,1414044000,9.96,200,4.63
0,2014-10-24 00:00:00,53.19,1414191600,38.45,1414213200,0.14,lemhi,40.9,0.81,1414130400lemhi,44.928506,-113.887042,0.03,,0.0024,0.0097,1414166400,0.5,rain,1016.75,ID,1414159456,1414197449,53.19,1414191600,38.45,1414213200,1414130400,9.54,289,0.23
0,2014-10-25 00:00:00,58.3,1414278000,31.33,1414245600,0,lemhi,37.12,0.74,1414216800lemhi,44.928506,-113.887042,0.06,,0.0001,0.0028,1414296000,0.09,rain,1012.08,ID,1414245937,1414283755,58.3,1414278000,35.15,1414245600,1414216800,9.06,206,3.61
0,2014-10-26 00:00:00,50.21,1414303200,30.33,1414371600,0.06,lemhi,32.23,0.68,1414303200lemhi,44.928506,-113.887042,0.09,,0.0014,0.0055,1414364400,0.24,rain,1010.97,ID,1414332419,1414370062,50.21,1414303200,33.46,1414386000,1414303200,9.87,236,4.48
0,2014-10-27 00:00:00,39.34,1414447200,28.64,1414422000,0.17,lemhi,26.96,0.72,1414389600lemhi,44.928506,-113.887042,0.13,,0.0007,0.0065,1414393200,0.31,rain,1019.53,ID,1414418900,1414456370,43.2,1414447200,30.5,1414418400,1414389600,9.96,281,1.31
0,2014-10-28 00:00:00,51.1,1414537200,21.21,1414486800,0.06,lemhi,25,0.66,1414476000lemhi,44.928506,-113.887042,0.16,,0.0004,0.0035,1414551600,0.12,rain,1022.31,ID,1414505382,1414542679,51.1,1414537200,25.69,1414494000,1414476000,9.61,200,1.63
0,2014-10-29 00:00:00,54.34,1414620000,33.36,1414580400,0.16,lemhi,31.74,0.67,1414562400lemhi,44.928506,-113.887042,0.2,,0.0004,0.0022,1414562400,0.06,rain,1021.62,ID,1414591864,1414628990,54.34,1414620000,35.27,1414562400,1414562400,9.93,263,1.69
0,2014-10-30 00:00:00,57.67,1414706400,33.12,1414663200,0.07,lemhi,32.95,0.67,1414648800lemhi,44.928506,-113.887042,0.24,,0,0,,0,,1021.88,ID,1414678347,1414715303,57.67,1414706400,35.93,1414677600,1414648800,10,249,0.43
0,2014-10-31 00:00:00,61.82,1414796400,29.38,1414760400,0.01,lemhi,33.04,0.65,1414735200lemhi,44.928506,-113.887042,0.28,,0,0,,0,,1010.51,ID,1414764830,1414801616,61.82,1414796400,33.26,1414764000,1414735200,9.91,196,0.64
0,2014-11-01 00:00:00,47.4,1414875600,32.07,1414850400,0.11,lemhi,34.47,0.76,1414821600lemhi,44.928506,-113.887042,0.31,,0.0067,0.0267,1414890000,0.64,rain,1002,ID,1414851312,1414887931,49.28,1414875600,34.63,1414846800,1414821600,9.72,170,2.89
0,2014-11-02 00:00:00,39.31,1414962000,28.54,1414983600,0.12,lemhi,27.85,0.69,1414908000lemhi,44.928506,-113.887042,0.35,,0.0021,0.012,1414911600,0.53,rain,1013.25,ID,1414937795,1414974248,42.2,1414962000,32.54,1414990800,1414908000,9.77,289,2.63
0,2014-11-03 00:00:00,42.97,1415055600,21.03,1415019600,0.12,lemhi,23.37,0.68,1414998000lemhi,44.928506,-113.887042,0.39,,0,0,,0,,1024.98,ID,1415024278,1415060566,42.97,1415055600,25.49,1415023200,1414998000,9.99,187,1.4
0,2014-11-04 00:00:00,44.97,1415138400,23.05,1415088000,0.16,lemhi,29.77,0.77,1415084400lemhi,44.928506,-113.887042,0.43,,0.0008,0.0045,1415145600,0.18,rain,1024.8,ID,1415110762,1415146886,44.97,1415138400,29.23,1415098800,1415084400,9.97,235,2.85
0,2014-11-05 00:00:00,52.51,1415224800,26.09,1415192400,0.11,lemhi,32.64,0.75,1415170800lemhi,44.928506,-113.887042,0.46,,0,0,,0,,1028.36,ID,1415197245,1415233207,52.51,1415224800,33.15,1415199600,1415170800,9.63,236,2.39
0,2014-11-06 00:00:00,55.79,1415311200,25.96,1415268000,0.11,lemhi,32.88,0.73,1415257200lemhi,44.928506,-113.887042,0.5,,0.0002,0.0022,1415336400,0.06,rain,1023.52,ID,1415283728,1415319530,55.79,1415311200,30.14,1415282400,1415257200,9.72,229,1.98
0,2014-11-07 00:00:00,54.26,1415397600,30.97,1415426400,0.11,lemhi,31.17,0.59,1415343600lemhi,44.928506,-113.887042,0.53,,0.0001,0.001,1415347200,0.01,rain,1023.57,ID,1415370212,1415405855,54.26,1415397600,30.97,1415426400,1415343600,9.97,330,1.64
0,2014-11-08 00:00:00,51.89,1415484000,16.65,1415455200,0.01,lemhi,26.22,0.71,1415430000lemhi,44.928506,-113.887042,0.57,,0,0,,0,,1026.39,ID,1415456695,1415492181,51.89,1415484000,24.96,1415455200,1415430000,9.98,228,2.83
0,2014-11-09 00:00:00,56.72,1415570400,25.88,1415520000,0.15,lemhi,31.7,0.72,1415516400lemhi,44.928506,-113.887042,0.6,,0.0048,0.0379,1415588400,0.68,rain,1009.29,ID,1415543178,1415578509,56.72,1415570400,30.86,1415520000,1415516400,9.91,262,4.43
0,2014-11-10 00:00:00,33.41,1415602800,8.5,1415685600,0.19,lemhi,18.33,0.64,1415602800lemhi,44.928506,-113.887042,0.63,0.194,0.0008,0.0034,1415620800,0.12,snow,1014.1,ID,1415629661,1415664839,37.57,1415602800,21.33,1415685600,1415602800,9.14,359,5.4
0,2014-11-11 00:00:00,8.87,1415689200,-6.59,1415772000,0.03,lemhi,-1.43,0.52,1415689200lemhi,44.928506,-113.887042,0.66,0.132,0.0003,0.0027,1415728800,0.08,snow,1026.84,ID,1415716144,1415751171,19.87,1415689200,4.58,1415772000,1415689200,9.62,42,7.25
0,2014-11-12 00:00:00,16.14,1415833200,-11.1,1415804400,0,lemhi,-9.64,0.47,1415775600lemhi,44.928506,-113.887042,0.69,,0,0,,0,,1033.85,ID,1415802627,1415837504,16.14,1415833200,0.05,1415804400,1415775600,9.89,86,1.91
0,2014-11-13 00:00:00,16.56,1415944800,-4.94,1415894400,0.02,lemhi,-0.15,0.68,1415862000lemhi,44.928506,-113.887042,0.72,1.283,0.0029,0.0099,1415944800,0.5,snow,1025.06,ID,1415889110,1415923840,16.56,1415944800,-1.81,1415880000,1415862000,7.06,300,0.28
0,2014-11-14 00:00:00,21.84,1416002400,5.5,1416031200,0.13,lemhi,13.58,0.84,1415948400lemhi,44.928506,-113.887042,0.75,1.744,0.0042,0.0076,1415948400,0.38,snow,1015.76,ID,1415975592,1416010177,21.84,1416002400,15.2,1416031200,1415948400,5.63,32,2.45
0,2014-11-15 00:00:00,14.93,1416088800,-15.61,1416117600,0.03,lemhi,-4.43,0.63,1416034800lemhi,44.928506,-113.887042,0.78,0.042,0.0001,0.0022,1416074400,0.06,snow,1029.73,ID,1416062074,1416096517,14.93,1416088800,-5.59,1416117600,1416034800,9.68,327,0.58
0,2014-11-16 00:00:00,10.22,1416175200,-20.13,1416135600,0.07,lemhi,-6.8,0.65,1416121200lemhi,44.928506,-113.887042,0.81,,0,0,,0,,1040.97,ID,1416148556,1416182858,15.64,1416175200,-6.98,1416128400,1416121200,9.91,205,1.04
0,2014-11-17 00:00:00,18.02,1416265200,-18.04,1416236400,0.02,lemhi,-5.19,0.67,1416207600lemhi,44.928506,-113.887042,0.84,,0,0.0011,1416243600,0,,1038.75,ID,1416235037,1416269202,18.02,1416265200,-5.68,1416236400,1416207600,9.84,211,1.62
0,2014-11-18 00:00:00,21.81,1416348000,-10.4,1416308400,0.01,lemhi,0.12,0.65,1416294000lemhi,44.928506,-113.887042,0.88,,0,0,,0,,1032.38,ID,1416321517,1416355547,21.81,1416348000,-0.19,1416312000,1416294000,9.66,234,2.14
0,2014-11-19 00:00:00,23.33,1416434400,3.88,1416405600,0.08,lemhi,13,0.75,1416380400lemhi,44.928506,-113.887042,0.91,0.251,0.001,0.0079,1416427200,0.4,snow,1025.35,ID,1416407998,1416441895,29.46,1416434400,11.82,1416405600,1416380400,9.82,207,1.31
0,2014-11-20 00:00:00,32.96,1416524400,13.17,1416477600,0.14,lemhi,19.37,0.8,1416466800lemhi,44.928506,-113.887042,0.94,0.129,0.0007,0.0079,1416524400,0.4,snow,1020.18,ID,1416494477,1416528244,32.96,1416524400,18.95,1416477600,1416466800,9.89,202,2.18
0,2014-11-21 00:00:00,29.35,1416607200,9.27,1416567600,0.2,lemhi,20.98,0.83,1416553200lemhi,44.928506,-113.887042,0.97,0.13,0.0006,0.0039,1416607200,0.15,snow,1015.74,ID,1416580956,1416614596,33.47,1416607200,18.39,1416571200,1416553200,9.45,198,3.37
0,2014-11-22 00:00:00,34.8,1416693600,25.46,1416722400,0.19,lemhi,26.22,0.73,1416639600lemhi,44.928506,-113.887042,0.01,,0.0087,0.036,1416654000,0.67,rain,1004.84,ID,1416667434,1416700951,40.59,1416693600,28.59,1416711600,1416639600,9.15,226,2.28
