,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,58.36,1412110800,45.51,1412143200,0.29,lewis,42.4,0.69,1412143200lewis,46.236328,-116.42376,0.22,,0.0095,0.0339,1412085600,0.67,rain,1013.34,ID,1412084651,1412126972,58.36,1412110800,45.51,1412143200,1412060400,9.42,249,7.77
0,2014-10-02 00:00:00,59.3,1412200800,36.65,1412172000,0.09,lewis,37.96,0.67,1412229600lewis,46.236328,-116.42376,0.25,,0,0.0011,1412146800,0,,1019.51,ID,1412171128,1412213254,59.3,1412200800,39.86,1412172000,1412146800,9.75,221,3.94
0,2014-10-03 00:00:00,62.26,1412287200,37.67,1412254800,0.01,lewis,33.17,0.57,1412316000lewis,46.236328,-116.42376,0.29,,0,0,,0,,1023.89,ID,1412257606,1412299537,62.26,1412287200,38.54,1412258400,1412233200,9.9,268,1.21
0,2014-10-04 00:00:00,65.45,1412377200,32.26,1412344800,0.01,lewis,31.37,0.54,1412402400lewis,46.236328,-116.42376,0.33,,0,0,,0,,1028.01,ID,1412344083,1412385820,65.45,1412377200,35.68,1412344800,1412319600,9.82,82,2.7
0,2014-10-05 00:00:00,71.53,1412460000,41.13,1412431200,0.07,lewis,36.2,0.52,1412488800lewis,46.236328,-116.42376,0.37,,0,0,,0,,1023.05,ID,1412430562,1412472104,71.53,1412460000,41.13,1412431200,1412406000,9.64,122,0.7
0,2014-10-06 00:00:00,74.24,1412546400,45.22,1412517600,0.04,lewis,41.5,0.55,1412575200lewis,46.236328,-116.42376,0.4,,0,0,,0,,1019.5,ID,1412517040,1412558388,74.24,1412546400,45.22,1412517600,1412492400,9.98,70,0.75
0,2014-10-07 00:00:00,78.36,1412632800,48.2,1412604000,0.01,lewis,44.74,0.57,1412661600lewis,46.236328,-116.42376,0.44,,0,0,,0,,1015.62,ID,1412603519,1412644673,78.36,1412632800,48.2,1412604000,1412578800,9.96,180,1.81
0,2014-10-08 00:00:00,79.83,1412719200,49.31,1412686800,0.02,lewis,44.99,0.56,1412748000lewis,46.236328,-116.42376,0.48,,0,0,,0,,1012.92,ID,1412689998,1412730958,79.83,1412719200,49.31,1412686800,1412665200,9.92,153,0.49
0,2014-10-09 00:00:00,71.98,1412805600,44.78,1412776800,0.02,lewis,41.9,0.56,1412834400lewis,46.236328,-116.42376,0.51,,0,0,,0,,1013.15,ID,1412776477,1412817244,71.98,1412805600,47.57,1412776800,1412751600,9.97,189,0.89
0,2014-10-10 00:00:00,70.83,1412892000,42.44,1412856000,0.02,lewis,39.2,0.56,1412920800lewis,46.236328,-116.42376,0.55,,0,0,,0,,1016.21,ID,1412862957,1412903530,70.83,1412892000,42.68,1412863200,1412838000,9.88,355,0.33
0,2014-10-11 00:00:00,71.52,1412978400,39.48,1412946000,0.01,lewis,38.99,0.57,1413007200lewis,46.236328,-116.42376,0.59,,0,0,,0,,1017.02,ID,1412949437,1412989817,71.52,1412978400,41.94,1412949600,1412924400,9.67,170,1.14
0,2014-10-12 00:00:00,61.71,1413064800,46.06,1413093600,0.24,lewis,42.43,0.62,1413093600lewis,46.236328,-116.42376,0.62,,0.0053,0.0203,1413068400,0.6,rain,1014.43,ID,1413035918,1413076105,61.71,1413064800,49.38,1413093600,1413010800,9.42,248,8.99
0,2014-10-13 00:00:00,58.39,1413151200,41.3,1413115200,0.11,lewis,38.59,0.65,1413180000lewis,46.236328,-116.42376,0.65,,0,0,,0,,1021.6,ID,1413122398,1413162394,58.39,1413151200,44.06,1413122400,1413097200,9.63,227,3.54
0,2014-10-14 00:00:00,67.79,1413237600,41.86,1413208800,0.07,lewis,37.23,0.54,1413266400lewis,46.236328,-116.42376,0.69,,0,0,,0,,1015.74,ID,1413208880,1413248683,67.79,1413237600,43.77,1413208800,1413183600,9.47,112,4.91
0,2014-10-15 00:00:00,59.18,1413324000,49.79,1413352800,0.1,lewis,39.41,0.55,1413352800lewis,46.236328,-116.42376,0.72,,0.0005,0.0113,1413352800,0.52,rain,1008.32,ID,1413295361,1413334973,59.18,1413324000,49.79,1413352800,1413270000,9.96,152,2.13
0,2014-10-16 00:00:00,52.65,1413410400,41.12,1413439200,0.22,lewis,41.21,0.75,1413439200lewis,46.236328,-116.42376,0.75,,0.0064,0.0372,1413399600,0.68,rain,1007.25,ID,1413381843,1413421264,52.65,1413410400,43.54,1413439200,1413356400,9.46,210,4.23
0,2014-10-17 00:00:00,56.77,1413500400,37.07,1413460800,0.06,lewis,38.39,0.76,1413525600lewis,46.236328,-116.42376,0.78,,0,0,,0,,1019.18,ID,1413468325,1413507556,56.77,1413500400,38.32,1413468000,1413442800,9.62,102,3.05
0,2014-10-18 00:00:00,60.72,1413583200,35.32,1413543600,0.09,lewis,38.1,0.67,1413612000lewis,46.236328,-116.42376,0.81,,0,0,,0,,1014.34,ID,1413554808,1413593849,60.72,1413583200,39.1,1413550800,1413529200,9.8,96,3.77
0,2014-10-19 00:00:00,66.45,1413669600,46.13,1413637200,0.13,lewis,42.29,0.66,1413698400lewis,46.236328,-116.42376,0.84,,0.0001,0.0013,1413644400,0.02,rain,1016.05,ID,1413641291,1413680143,66.45,1413669600,46.13,1413637200,1413615600,9.79,128,1.43
0,2014-10-20 00:00:00,70.28,1413756000,40.55,1413716400,0.02,lewis,41.7,0.65,1413784800lewis,46.236328,-116.42376,0.87,,0,0,,0,,1012.43,ID,1413727774,1413766437,70.28,1413756000,44.3,1413727200,1413702000,9.26,97,5.5
0,2014-10-21 00:00:00,70.09,1413838800,43.02,1413806400,0.08,lewis,40.32,0.58,1413871200lewis,46.236328,-116.42376,0.9,,0.0002,0.0023,1413867600,0.06,rain,1008.05,ID,1413814258,1413852733,70.09,1413838800,44.98,1413813600,1413788400,9.37,243,1.24
0,2014-10-22 00:00:00,55.28,1413928800,38.42,1413957600,0.24,lewis,41.82,0.76,1413957600lewis,46.236328,-116.42376,0.93,,0.004,0.0142,1413892800,0.55,rain,1013.5,ID,1413900742,1413939030,55.28,1413928800,41.24,1413957600,1413874800,9.51,214,4.3
0,2014-10-23 00:00:00,60.31,1414015200,37.11,1413986400,0.25,lewis,38.65,0.65,1414044000lewis,46.236328,-116.42376,0.96,,0.0017,0.0078,1414029600,0.39,rain,1013.55,ID,1413987226,1414025328,60.31,1414015200,40.84,1413972000,1413961200,9.62,147,6.4
0,2014-10-24 00:00:00,55.8,1414090800,46.38,1414126800,0.3,lewis,45.1,0.77,1414130400lewis,46.236328,-116.42376,0.99,,0.0131,0.0338,1414101600,0.66,rain,1011.55,ID,1414073711,1414111627,55.8,1414090800,47.54,1414130400,1414047600,9.14,189,7.03
0,2014-10-25 00:00:00,52.81,1414184400,42.94,1414152000,0.2,lewis,44.15,0.86,1414216800lewis,46.236328,-116.42376,0.03,,0.0035,0.0084,1414144800,0.44,rain,1017.47,ID,1414160196,1414197927,52.81,1414184400,44.76,1414152000,1414134000,8.49,101,3.14
0,2014-10-26 00:00:00,64.18,1414274400,41.19,1414242000,0.04,lewis,42.32,0.7,1414303200lewis,46.236328,-116.42376,0.06,,0.0003,0.0028,1414296000,0.09,rain,1005.97,ID,1414246681,1414284229,64.18,1414274400,44.52,1414242000,1414220400,8.26,169,5.35
0,2014-10-27 00:00:00,52.26,1414306800,36.25,1414386000,0.17,lewis,36.32,0.67,1414389600lewis,46.236328,-116.42376,0.09,,0.0018,0.0074,1414360800,0.37,rain,1013.37,ID,1414333167,1414370531,52.26,1414306800,41.5,1414389600,1414306800,9.7,233,11.53
0,2014-10-28 00:00:00,48.22,1414447200,32.72,1414407600,0.15,lewis,33.31,0.73,1414476000lewis,46.236328,-116.42376,0.13,,0.0007,0.0077,1414393200,0.39,rain,1021.41,ID,1414419653,1414456835,48.72,1414447200,36.85,1414476000,1414393200,9.41,204,3.77
0,2014-10-29 00:00:00,45.93,1414533600,33.37,1414501200,0.41,lewis,35.88,0.74,1414562400lewis,46.236328,-116.42376,0.17,,0.007,0.036,1414562400,0.67,rain,1019.74,ID,1414506139,1414543140,49.42,1414533600,36.87,1414479600,1414479600,9.16,109,6.17
0,2014-10-30 00:00:00,57.23,1414620000,43.43,1414594800,0.19,lewis,42.65,0.78,1414648800lewis,46.236328,-116.42376,0.2,,0.0021,0.0214,1414569600,0.61,rain,1021.07,ID,1414592625,1414629447,57.23,1414620000,44.31,1414591200,1414566000,8.88,189,2.33
0,2014-10-31 00:00:00,56.07,1414706400,42.41,1414663200,0.16,lewis,43.09,0.78,1414735200lewis,46.236328,-116.42376,0.24,,0.0001,0.0008,1414684800,0.01,rain,1017.36,ID,1414679112,1414715755,56.07,1414706400,45.35,1414674000,1414652400,8.56,98,4.73
0,2014-11-01 00:00:00,58.67,1414785600,44.93,1414767600,0.2,lewis,43.33,0.76,1414821600lewis,46.236328,-116.42376,0.28,,0.0004,0.0028,1414821600,0.09,rain,1008.19,ID,1414765599,1414802065,58.67,1414785600,45.82,1414767600,1414738800,8.62,248,0.39
0,2014-11-02 00:00:00,45.24,1414825200,36.62,1414908000,0.54,lewis,41.03,0.87,1414908000lewis,46.236328,-116.42376,0.32,,0.0096,0.0213,1414908000,0.61,rain,1005.51,ID,1414852086,1414888376,46.34,1414825200,42.74,1414908000,1414825200,7.68,286,6.11
0,2014-11-03 00:00:00,44.05,1414965600,32.16,1414936800,0.12,lewis,33.42,0.73,1414998000lewis,46.236328,-116.42376,0.35,,0.0045,0.0331,1414915200,0.66,rain,1017.47,ID,1414938573,1414974688,48.08,1414965600,36.73,1414936800,1414911600,9.67,233,6.72
0,2014-11-04 00:00:00,47.5,1415052000,35.64,1415001600,0.68,lewis,38.23,0.8,1415084400lewis,46.236328,-116.42376,0.39,,0.0006,0.0024,1415016000,0.07,rain,1023.23,ID,1415025060,1415061002,49,1415052000,38.23,1415001600,1415001600,9.31,149,4.13
0,2014-11-05 00:00:00,50.62,1415142000,41.38,1415116800,0.43,lewis,41.73,0.78,1415170800lewis,46.236328,-116.42376,0.43,,0.0063,0.0173,1415106000,0.58,rain,1021.43,ID,1415111547,1415147318,50.62,1415142000,46,1415102400,1415088000,9.13,196,10.82
0,2014-11-06 00:00:00,56.25,1415221200,42.67,1415174400,0.19,lewis,43.34,0.78,1415257200lewis,46.236328,-116.42376,0.46,,0,0.0011,1415235600,0,,1025.91,ID,1415198035,1415233635,56.25,1415221200,45.69,1415199600,1415174400,9.65,138,3.91
0,2014-11-07 00:00:00,61.88,1415307600,46.05,1415264400,0.16,lewis,43.78,0.7,1415343600lewis,46.236328,-116.42376,0.5,,0.0018,0.0091,1415332800,0.49,rain,1018.13,ID,1415284522,1415319954,61.88,1415307600,48.83,1415264400,1415260800,9.7,192,4.14
0,2014-11-08 00:00:00,52.99,1415397600,35.64,1415430000,0.05,lewis,35.92,0.72,1415430000lewis,46.236328,-116.42376,0.54,,0,0,,0,,1028.07,ID,1415371010,1415406274,52.99,1415397600,35.64,1415430000,1415347200,9.58,208,1.56
0,2014-11-09 00:00:00,51.78,1415484000,31.99,1415462400,0.03,lewis,34.03,0.77,1415516400lewis,46.236328,-116.42376,0.57,,0,0,,0,,1025.42,ID,1415457497,1415492597,51.78,1415484000,32.42,1415455200,1415433600,8.84,126,1.97
0,2014-11-10 00:00:00,42.23,1415577600,33.94,1415599200,0.21,lewis,37.65,0.79,1415602800lewis,46.236328,-116.42376,0.6,,0.0122,0.0409,1415563200,0.69,rain,1009.46,ID,1415543984,1415578921,47.13,1415577600,39.96,1415602800,1415520000,8.89,232,6.26
0,2014-11-11 00:00:00,34.37,1415606400,21.25,1415689200,0.16,lewis,26.46,0.71,1415689200lewis,46.236328,-116.42376,0.63,,0.0011,0.009,1415606400,0.48,rain,1019.28,ID,1415630471,1415665247,39.73,1415606400,28.29,1415689200,1415606400,9.7,330,4.3
0,2014-11-12 00:00:00,16.47,1415743200,7.43,1415775600,0.04,lewis,8.59,0.53,1415775600lewis,46.236328,-116.42376,0.67,,0,0,,0,,1030.37,ID,1415716958,1415751575,28.64,1415743200,17.41,1415775600,1415692800,9.99,50,11.09
0,2014-11-13 00:00:00,22.62,1415829600,4.39,1415793600,0,lewis,4.23,0.53,1415862000lewis,46.236328,-116.42376,0.7,,0,0,,0,,1032.32,ID,1415803445,1415837904,28.59,1415829600,11.78,1415804400,1415779200,9.87,81,4.61
0,2014-11-14 00:00:00,23.27,1415912400,5.59,1415880000,0.06,lewis,10.32,0.64,1415948400lewis,46.236328,-116.42376,0.73,0.269,0.0009,0.0034,1415944800,0.12,snow,1022.21,ID,1415889931,1415924236,26.71,1415912400,14.56,1415869200,1415865600,8.25,102,4.02
0,2014-11-15 00:00:00,21.23,1416002400,11.27,1416031200,0.12,lewis,14.64,0.73,1416034800lewis,46.236328,-116.42376,0.76,0.111,0.0003,0.0018,1415955600,0.04,snow,1020.47,ID,1415976417,1416010570,27.48,1416002400,16.1,1416034800,1415952000,8.62,323,2.43
0,2014-11-16 00:00:00,22.37,1416088800,2.06,1416060000,0.01,lewis,8.09,0.7,1416121200lewis,46.236328,-116.42376,0.79,,0,0,,0,,1033.74,ID,1416062903,1416096905,26.28,1416088800,9.64,1416063600,1416038400,8.94,197,0.39
0,2014-11-17 00:00:00,28.61,1416175200,2.54,1416146400,0.01,lewis,8.66,0.7,1416207600lewis,46.236328,-116.42376,0.82,,0,0,,0,,1039.42,ID,1416149388,1416183243,28.61,1416175200,9.81,1416150000,1416124800,8.75,108,1.67
0,2014-11-18 00:00:00,31.47,1416261600,12.62,1416225600,0.01,lewis,11.95,0.7,1416294000lewis,46.236328,-116.42376,0.85,,0,0,,0,,1035.74,ID,1416235873,1416269583,31.47,1416261600,12.62,1416225600,1416211200,8.91,60,1.41
0,2014-11-19 00:00:00,32.47,1416344400,9.46,1416315600,0.03,lewis,15.88,0.69,1416380400lewis,46.236328,-116.42376,0.88,,0,0,,0,,1028.78,ID,1416322357,1416355925,32.47,1416344400,16.92,1416322800,1416297600,8.83,124,2.22
0,2014-11-20 00:00:00,36.6,1416434400,18.39,1416398400,0.1,lewis,20.05,0.68,1416466800lewis,46.236328,-116.42376,0.91,,0,0,,0,,1022.34,ID,1416408841,1416442269,36.6,1416434400,22.88,1416398400,1416384000,8.91,105,2.02
0,2014-11-21 00:00:00,34.09,1416524400,25.59,1416492000,0.39,lewis,27.63,0.81,1416553200lewis,46.236328,-116.42376,0.94,0.178,0.0009,0.0045,1416499200,0.18,snow,1018.94,ID,1416495324,1416528615,36.68,1416524400,29.27,1416474000,1416470400,7.34,124,1.65
0,2014-11-22 00:00:00,37.22,1416600000,28.7,1416567600,0.37,lewis,32.26,0.83,1416639600lewis,46.236328,-116.42376,0.97,,0.0054,0.0322,1416628800,0.66,rain,1010.9,ID,1416581806,1416614964,41.56,1416600000,31.38,1416574800,1416556800,7.31,159,5.84
0,2014-11-23 00:00:00,38.4,1416686400,28.55,1416722400,0.24,lewis,33.34,0.8,1416726000lewis,46.236328,-116.42376,0.01,,0.009,0.0274,1416650400,0.64,rain,1007.27,ID,1416668288,1416701315,43.31,1416686400,34.74,1416726000,1416643200,8.87,239,9.27
0,2014-11-24 00:00:00,33.55,1416776400,26.54,1416754800,0.21,lewis,30.7,0.78,1416812400lewis,46.236328,-116.42376,0.04,,0.0026,0.0199,1416794400,0.6,rain,1021.7,ID,1416754768,1416787668,41.39,1416776400,33.15,1416740400,1416729600,9.31,222,10.09
0,2014-11-25 00:00:00,35.32,1416862800,26.26,1416841200,0.18,lewis,30,0.78,1416898800lewis,46.236328,-116.42376,0.08,,0.0025,0.0181,1416891600,0.58,rain,1027.16,ID,1416841248,1416874023,40.07,1416862800,30.58,1416841200,1416816000,9.29,185,6.36
0,2014-11-26 00:00:00,39.38,1416942000,32.02,1416902400,0.51,lewis,37.77,0.89,1416985200lewis,46.236328,-116.42376,0.12,,0.0248,0.062,1416927600,0.73,rain,1022.22,ID,1416927727,1416960381,42.24,1416942000,38.66,1416978000,1416902400,6.33,242,3.37
0,2014-11-27 00:00:00,46.52,1417035600,35.95,1417014000,0.1,lewis,38.41,0.84,1417071600lewis,46.236328,-116.42376,0.15,,0.0018,0.0078,1417003200,0.39,rain,1022.1,ID,1417014204,1417046742,46.52,1417035600,40.27,1417010400,1416988800,7.56,204,3.96
0,2014-11-28 00:00:00,52.9,1417118400,40.58,1417075200,0.24,lewis,39.8,0.71,1417158000lewis,46.236328,-116.42376,0.19,,0.0017,0.009,1417129200,0.48,rain,1013.85,ID,1417100681,1417133104,52.9,1417118400,43.78,1417075200,1417075200,9.67,197,9.94
0,2014-11-29 00:00:00,50.97,1417204800,40.8,1417240800,0.26,lewis,38.94,0.68,1417244400lewis,46.236328,-116.42376,0.23,,0.0054,0.0158,1417244400,0.57,rain,1000.87,ID,1417187156,1417219470,50.97,1417204800,46.72,1417244400,1417161600,9.37,207,15.79
0,2014-11-30 00:00:00,39.79,1417248000,6.46,1417330800,0.25,lewis,25.07,0.77,1417330800lewis,46.236328,-116.42376,0.27,,0.0071,0.0404,1417266000,0.69,rain,1005.05,ID,1417273631,1417305837,45.6,1417248000,17.19,1417330800,1417248000,8.59,277,7.74
0,2014-12-01 00:00:00,24.82,1417384800,5.84,1417338000,0.02,lewis,9.9,0.74,1417417200lewis,46.236328,-116.42376,0.3,,0,0,,0,,1026,ID,1417360103,1417392208,24.82,1417384800,10.79,1417356000,1417334400,9.69,142,0.9
0,2014-12-02 00:00:00,24.01,1417464000,9.82,1417420800,0.39,lewis,17.11,0.79,1417503600lewis,46.236328,-116.42376,0.34,0.053,0.0002,0.0014,1417464000,0.03,snow,1023.85,ID,1417446575,1417478581,27.51,1417464000,15.55,1417424400,1417420800,9.23,147,1.55
0,2014-12-03 00:00:00,30.37,1417557600,19.72,1417582800,0.17,lewis,21.21,0.83,1417590000lewis,46.236328,-116.42376,0.38,,0,0,,0,,1023.92,ID,1417533045,1417564956,30.37,1417557600,22.79,1417532400,1417507200,7.17,71,1.03
0,2014-12-04 00:00:00,31.49,1417644000,18.7,1417597200,0.15,lewis,23.58,0.84,1417676400lewis,46.236328,-116.42376,0.41,0.176,0.0008,0.0057,1417676400,0.26,snow,1016.67,ID,1417619513,1417651334,31.49,1417644000,23.64,1417608000,1417593600,8.47,65,1.71
0,2014-12-05 00:00:00,31.34,1417734000,30.06,1417723200,0.64,lewis,30.07,0.91,1417762800lewis,46.236328,-116.42376,0.45,1.494,0.0078,0.0173,1417694400,0.58,snow,1015.84,ID,1417705980,1417737715,34.28,1417734000,30.58,1417683600,1417680000,5.66,52,0.56
0,2014-12-06 00:00:00,38.2,1417813200,29.94,1417849200,0.23,lewis,33.9,0.92,1417849200lewis,46.236328,-116.42376,0.48,,0.0007,0.0061,1417766400,0.28,rain,1020.9,ID,1417792446,1417824098,40.91,1417813200,33.02,1417773600,1417766400,5.2,100,3.23
0,2014-12-07 00:00:00,42.55,1417903200,30.51,1417867200,0.21,lewis,35.39,0.88,1417935600lewis,46.236328,-116.42376,0.52,,0.0069,0.0363,1417878000,0.67,rain,1021.2,ID,1417878909,1417910484,43.94,1417903200,35.54,1417935600,1417852800,7.83,170,2.44
0,2014-12-08 00:00:00,38.59,1417986000,29.75,1417964400,0.08,lewis,34.23,0.92,1418022000lewis,46.236328,-116.42376,0.55,,0,0,,0,,1026.77,ID,1417965371,1417996873,40.54,1417986000,33.26,1417960800,1417939200,5.59,102,3.2
0,2014-12-09 00:00:00,42.52,1418076000,30.14,1418040000,0.18,lewis,35.04,0.86,1418108400lewis,46.236328,-116.42376,0.58,,0.0017,0.0397,1418068800,0.68,rain,1023.01,ID,1418051831,1418083264,44.26,1418076000,35.14,1418040000,1418025600,8.12,96,4.28
0,2014-12-10 00:00:00,46.61,1418162400,34.64,1418130000,0.27,lewis,37.88,0.8,1418194800lewis,46.236328,-116.42376,0.61,,0.0024,0.0173,1418169600,0.58,rain,1019.03,ID,1418138289,1418169659,48.48,1418162400,39.55,1418126400,1418112000,9.2,127,4.65
0,2014-12-11 00:00:00,51.48,1418277600,39.31,1418209200,0.12,lewis,38.09,0.69,1418281200lewis,46.236328,-116.42376,0.64,,0.0002,0.0014,1418281200,0.03,rain,1008.95,ID,1418224745,1418256055,51.48,1418277600,43.42,1418202000,1418198400,9.83,131,5.54
0,2014-12-12 00:00:00,52.83,1418346000,41.44,1418302800,0.19,lewis,39.48,0.68,1418367600lewis,46.236328,-116.42376,0.67,,0.0018,0.01,1418338800,0.5,rain,1001.02,ID,1418311199,1418342455,52.83,1418346000,44.68,1418306400,1418284800,9.7,145,5.83
0,2014-12-13 00:00:00,48.55,1418371200,33.45,1418446800,0.44,lewis,38.64,0.85,1418454000lewis,46.236328,-116.42376,0.7,,0.0099,0.0261,1418432400,0.63,rain,1006.55,ID,1418397651,1418428857,48.55,1418371200,38.38,1418454000,1418371200,8.37,251,2.32
0,2014-12-14 00:00:00,36.08,1418504400,30.11,1418482800,0.1,lewis,32.59,0.85,1418540400lewis,46.236328,-116.42376,0.73,,0.0024,0.0105,1418468400,0.51,rain,1020.01,ID,1418484101,1418515262,39.62,1418504400,32.55,1418540400,1418457600,8.49,245,3.72
0,2014-12-15 00:00:00,33.69,1418590800,25.41,1418626800,0.14,lewis,29.54,0.89,1418626800lewis,46.236328,-116.42376,0.76,,0,0,,0,,1024.6,ID,1418570549,1418601670,36.67,1418590800,29.68,1418626800,1418544000,7.49,73,2.11
0,2014-12-16 00:00:00,32.03,1418677200,20.44,1418652000,0.04,lewis,26.83,0.83,1418713200lewis,46.236328,-116.42376,0.79,0.011,0.0001,0.0009,1418709600,0.01,snow,1020.88,ID,1418656994,1418688081,37.35,1418677200,27.38,1418644800,1418630400,8.38,106,5.04
0,2014-12-17 00:00:00,33.85,1418767200,25.18,1418731200,0.41,lewis,29.22,0.83,1418799600lewis,46.236328,-116.42376,0.82,,0.0001,0.0009,1418781600,0.01,rain,1015.92,ID,1418743437,1418774494,36.98,1418767200,31.23,1418727600,1418716800,9,87,3.73
0,2014-12-18 00:00:00,34.24,1418850000,26.6,1418817600,0.3,lewis,30.94,0.84,1418886000lewis,46.236328,-116.42376,0.85,,0.0003,0.0045,1418886000,0.18,rain,1015.48,ID,1418829878,1418860910,38.85,1418850000,32.03,1418824800,1418803200,9.13,96,4.26
0,2014-12-19 00:00:00,39.6,1418940000,30.95,1418914800,0.35,lewis,34.02,0.86,1418972400lewis,46.236328,-116.42376,0.89,,0.0007,0.0033,1418904000,0.11,rain,1017.12,ID,1418916317,1418947328,41.76,1418940000,34.97,1418914800,1418889600,8.22,120,3.51
0,2014-12-20 00:00:00,37.3,1419026400,30.7,1419058800,0.42,lewis,34.81,0.86,1419058800lewis,46.236328,-116.42376,0.92,,0.0085,0.0285,1419012000,0.64,rain,1015.62,ID,1419002753,1419033750,41,1419026400,34.5,1419058800,1418976000,8.16,165,4.27
0,2014-12-21 00:00:00,33.72,1419145200,29.27,1419062400,0.54,lewis,34.79,0.87,1419145200lewis,46.236328,-116.42376,0.95,,0.0167,0.0529,1419138000,0.72,rain,1011.15,ID,1419089186,1419120174,42.21,1419145200,34.5,1419062400,1419062400,8.06,152,6.67
0,2014-12-22 00:00:00,40.1,1419159600,34.37,1419148800,0.21,lewis,37.67,0.77,1419231600lewis,46.236328,-116.42376,0.98,,0.0063,0.0242,1419148800,0.62,rain,1010.16,ID,1419175617,1419206600,47.02,1419159600,41.28,1419231600,1419148800,9.62,245,13.08
0,2014-12-23 00:00:00,37.08,1419285600,30.19,1419310800,0.11,lewis,31,0.76,1419318000lewis,46.236328,-116.42376,0.03,,0.001,0.0055,1419264000,0.24,rain,1023.37,ID,1419262046,1419293029,42.76,1419285600,31.61,1419318000,1419235200,9.53,259,5.63
0,2014-12-24 00:00:00,32.52,1419404400,25.19,1419346800,0.38,lewis,28.82,0.76,1419404400lewis,46.236328,-116.42376,0.06,,0.0004,0.0027,1419404400,0.08,rain,1026.32,ID,1419348472,1419379461,40.44,1419404400,29.84,1419332400,1419321600,9.6,145,4.71
0,2014-12-25 00:00:00,35.17,1419415200,25.65,1419490800,0.42,lewis,31.91,0.83,1419490800lewis,46.236328,-116.42376,0.1,,0.0106,0.0236,1419451200,0.62,rain,1008.38,ID,1419434895,1419465895,41.57,1419415200,32.63,1419490800,1419408000,7.03,236,5
