,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,48.21,1412204400,33.99,1412168400,0.17,madison,33.71,0.73,1412143200madison,43.788614,-111.656993,0.25,,0.0016,0.0163,1412143200,0.57,rain,1016.63,ID,1412169927,1412212167,49.15,1412204400,36.68,1412172000,1412143200,9.88,229,3.12
0,2014-10-02 00:00:00,56.33,1412290800,30.67,1412247600,0.01,madison,30.66,0.6,1412229600madison,43.788614,-111.656993,0.29,,0,0,,0,,1021.82,ID,1412256397,1412298458,56.33,1412290800,36.95,1412247600,1412229600,9.99,224,8.63
0,2014-10-03 00:00:00,57.56,1412377200,25.58,1412341200,0,madison,26.37,0.58,1412316000madison,43.788614,-111.656993,0.33,,0,0,,0,,1029.01,ID,1412342867,1412384749,57.56,1412377200,28.85,1412341200,1412316000,9.97,6,0.88
0,2014-10-04 00:00:00,62.69,1412463600,29.1,1412431200,0.02,madison,32.44,0.61,1412402400madison,43.788614,-111.656993,0.36,,0,0,,0,,1024.74,ID,1412429337,1412471041,62.69,1412463600,31.79,1412427600,1412402400,10,245,2.87
0,2014-10-05 00:00:00,66.39,1412546400,39.02,1412514000,0.07,madison,37.31,0.58,1412488800madison,43.788614,-111.656993,0.4,,0,0,,0,,1019.87,ID,1412515808,1412557333,66.39,1412546400,39.02,1412514000,1412488800,10,230,4.74
0,2014-10-06 00:00:00,68.07,1412632800,37.08,1412604000,0.02,madison,37.14,0.56,1412575200madison,43.788614,-111.656993,0.44,,0,0,,0,,1017.14,ID,1412602278,1412643626,68.07,1412632800,39.52,1412604000,1412575200,9.99,220,5.79
0,2014-10-07 00:00:00,69.51,1412719200,35.1,1412690400,0.02,madison,38.35,0.63,1412661600madison,43.788614,-111.656993,0.48,,0,0,,0,,1016.83,ID,1412688749,1412729919,69.51,1412719200,37.83,1412686800,1412661600,9.98,243,1.62
0,2014-10-08 00:00:00,69.69,1412805600,32.07,1412776800,0.01,madison,36.16,0.63,1412748000madison,43.788614,-111.656993,0.51,,0,0,,0,,1016.04,ID,1412775221,1412816213,69.69,1412805600,36.04,1412776800,1412748000,9.97,334,1.21
0,2014-10-09 00:00:00,68.69,1412892000,30.48,1412859600,0.03,madison,34.35,0.6,1412834400madison,43.788614,-111.656993,0.55,,0,0,,0,,1015.23,ID,1412861693,1412902507,68.69,1412892000,34.47,1412859600,1412834400,9.96,329,1.24
0,2014-10-10 00:00:00,64.33,1412978400,35.4,1412942400,0.08,madison,35.12,0.6,1412920800madison,43.788614,-111.656993,0.58,,0,0,,0,,1017.15,ID,1412948165,1412988802,64.33,1412978400,37.85,1412946000,1412920800,9.99,208,3.3
0,2014-10-11 00:00:00,59.06,1413068400,34.24,1413032400,0.06,madison,31.82,0.55,1413007200madison,43.788614,-111.656993,0.62,,0.0001,0.0028,1413090000,0.09,rain,1014.82,ID,1413034637,1413075098,59.06,1413068400,36.11,1413036000,1413007200,9.99,212,6.83
0,2014-10-12 00:00:00,50.75,1413140400,35.52,1413118800,0.18,madison,29.82,0.58,1413093600madison,43.788614,-111.656993,0.65,,0.0008,0.0055,1413093600,0.24,rain,1016.5,ID,1413121110,1413161395,50.75,1413140400,35.99,1413176400,1413093600,9.89,329,5.2
0,2014-10-13 00:00:00,54.14,1413241200,26.1,1413194400,0.07,madison,28.77,0.65,1413180000madison,43.788614,-111.656993,0.68,,0,0,,0,,1024.34,ID,1413207583,1413247692,54.14,1413241200,29.1,1413198000,1413180000,9.97,222,2.46
