,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,55.73,1412204400,34.53,1412168400,0.1,minidoka,34.12,0.65,1412143200minidoka,42.857211,-113.63984,0.25,,0.0006,0.0045,1412172000,0.18,rain,1017.7,ID,1412170384,1412212663,55.73,1412204400,39.18,1412168400,1412143200,9.98,245,7.92
0,2014-10-02 00:00:00,62.34,1412290800,33.64,1412244000,0.01,minidoka,30.87,0.53,1412229600minidoka,42.857211,-113.63984,0.29,,0,0,,0,,1022.23,ID,1412256850,1412298956,62.34,1412290800,38.93,1412258400,1412229600,10,232,8.59
0,2014-10-03 00:00:00,64.39,1412377200,35.71,1412344800,0,minidoka,31.56,0.53,1412316000minidoka,42.857211,-113.63984,0.33,,0,0,,0,,1027.28,ID,1412343317,1412385250,64.39,1412377200,35.71,1412344800,1412316000,9.96,232,1.61
0,2014-10-04 00:00:00,69.14,1412460000,38.15,1412431200,0.01,minidoka,36.12,0.57,1412402400minidoka,42.857211,-113.63984,0.36,,0,0,,0,,1023.8,ID,1412429785,1412471545,69.14,1412460000,38.15,1412431200,1412402400,10,227,3.93
0,2014-10-05 00:00:00,72.48,1412546400,41.24,1412514000,0.03,minidoka,37.46,0.5,1412488800minidoka,42.857211,-113.63984,0.4,,0,0,,0,,1019.46,ID,1412516252,1412557840,72.48,1412546400,44.25,1412514000,1412488800,9.95,233,6.04
0,2014-10-06 00:00:00,74.09,1412632800,42.7,1412600400,0.02,minidoka,39,0.5,1412575200minidoka,42.857211,-113.63984,0.44,,0,0,,0,,1016.56,ID,1412602720,1412644135,74.09,1412632800,45.55,1412600400,1412575200,10,226,6.1
0,2014-10-07 00:00:00,74.61,1412719200,44.78,1412683200,0.01,minidoka,40.24,0.54,1412661600minidoka,42.857211,-113.63984,0.48,,0,0,,0,,1015.17,ID,1412689188,1412730432,74.61,1412719200,44.87,1412686800,1412661600,9.99,221,3.25
0,2014-10-08 00:00:00,76.31,1412805600,38.03,1412776800,0.01,minidoka,36.27,0.5,1412748000minidoka,42.857211,-113.63984,0.51,,0,0,,0,,1013.83,ID,1412775657,1412816728,76.31,1412805600,41.54,1412776800,1412748000,9.98,68,1.76
0,2014-10-09 00:00:00,71.23,1412892000,41.51,1412859600,0.03,minidoka,37.18,0.54,1412834400minidoka,42.857211,-113.63984,0.55,,0,0,,0,,1013.83,ID,1412862126,1412903026,71.23,1412892000,41.51,1412859600,1412834400,9.95,242,3.31
0,2014-10-10 00:00:00,68.12,1412982000,40.24,1412949600,0.04,minidoka,35.54,0.52,1412920800minidoka,42.857211,-113.63984,0.58,,0,0,,0,,1016.54,ID,1412948595,1412989323,68.12,1412982000,42.79,1412949600,1412920800,9.98,231,5.25
0,2014-10-11 00:00:00,67.03,1413061200,37.66,1413036000,0.05,minidoka,33.9,0.49,1413007200minidoka,42.857211,-113.63984,0.62,,0.0003,0.0044,1413079200,0.18,rain,1014.92,ID,1413035065,1413075622,67.03,1413061200,42.86,1413028800,1413007200,9.81,231,7.28
0,2014-10-12 00:00:00,56.71,1413147600,36.48,1413122400,0.09,minidoka,32.75,0.56,1413093600minidoka,42.857211,-113.63984,0.65,,0.0003,0.0062,1413093600,0.29,rain,1018.24,ID,1413121534,1413161922,56.71,1413147600,42.35,1413176400,1413093600,9.96,268,10.78
0,2014-10-13 00:00:00,63.47,1413241200,29.74,1413208800,0.02,minidoka,29.92,0.53,1413180000minidoka,42.857211,-113.63984,0.68,,0,0,,0,,1022.14,ID,1413208005,1413248222,63.47,1413241200,34.78,1413205200,1413180000,10,137,2.9
0,2014-10-14 00:00:00,70.56,1413324000,35.22,1413295200,0.02,minidoka,30.31,0.43,1413266400minidoka,42.857211,-113.63984,0.72,,0,0,,0,,1013.87,ID,1413294475,1413334523,70.56,1413324000,39.56,1413295200,1413266400,9.99,128,4.09
0,2014-10-15 00:00:00,65.75,1413399600,40.28,1413435600,0.07,minidoka,31.72,0.41,1413352800minidoka,42.857211,-113.63984,0.75,,0.0003,0.0028,1413406800,0.09,rain,1008.18,ID,1413380947,1413420824,65.75,1413399600,42.31,1413435600,1413352800,9.71,228,8.42
0,2014-10-16 00:00:00,58.55,1413500400,33.66,1413468000,0.03,minidoka,29.84,0.57,1413439200minidoka,42.857211,-113.63984,0.78,,0,0,,0,,1018.85,ID,1413467418,1413507127,58.55,1413500400,36.41,1413460800,1413439200,9.98,59,2.5
