,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,60.34,1412110800,46.58,1412143200,0.3,nez perce,42.49,0.65,1412143200nez perce,46.333791,-116.760909,0.22,,0.0081,0.0353,1412067600,0.67,rain,1013.29,ID,1412084734,1412127051,60.34,1412110800,47.6,1412143200,1412060400,9.48,250,8.49
0,2014-10-02 00:00:00,61.36,1412204400,38.08,1412172000,0.08,nez perce,38.24,0.65,1412229600nez perce,46.333791,-116.760909,0.25,,0,0,,0,,1019.32,ID,1412171211,1412213333,61.36,1412204400,40.89,1412172000,1412146800,9.81,222,4.01
0,2014-10-03 00:00:00,63.39,1412287200,38.71,1412254800,0.01,nez perce,33.37,0.55,1412316000nez perce,46.333791,-116.760909,0.29,,0,0,,0,,1023.78,ID,1412257689,1412299615,63.39,1412287200,39.3,1412258400,1412233200,9.94,263,1.22
0,2014-10-04 00:00:00,66.64,1412377200,33.37,1412344800,0.01,nez perce,31.45,0.51,1412402400nez perce,46.333791,-116.760909,0.33,,0,0,,0,,1027.67,ID,1412344167,1412385898,66.64,1412377200,37.46,1412344800,1412319600,9.9,88,3.01
0,2014-10-05 00:00:00,72.57,1412463600,42.99,1412431200,0.07,nez perce,36.14,0.49,1412488800nez perce,46.333791,-116.760909,0.37,,0,0,,0,,1022.57,ID,1412430646,1412472181,72.57,1412463600,42.99,1412431200,1412406000,9.8,127,0.72
0,2014-10-06 00:00:00,75.16,1412546400,46.86,1412514000,0.04,nez perce,41.57,0.52,1412575200nez perce,46.333791,-116.760909,0.4,,0,0,,0,,1019.14,ID,1412517125,1412558465,75.16,1412546400,46.86,1412517600,1412492400,9.99,110,0.92
0,2014-10-07 00:00:00,79.42,1412632800,49.14,1412600400,0.01,nez perce,45.14,0.55,1412661600nez perce,46.333791,-116.760909,0.44,,0,0,,0,,1015.18,ID,1412603604,1412644750,79.42,1412632800,49.41,1412604000,1412578800,9.99,171,2.09
0,2014-10-08 00:00:00,79.51,1412719200,51.18,1412690400,0.02,nez perce,45.49,0.53,1412748000nez perce,46.333791,-116.760909,0.48,,0,0,,0,,1012.42,ID,1412690083,1412731034,80.54,1412719200,51.18,1412690400,1412665200,9.97,162,0.77
0,2014-10-09 00:00:00,73.06,1412805600,46.91,1412776800,0.02,nez perce,42.04,0.53,1412834400nez perce,46.333791,-116.760909,0.51,,0,0,,0,,1012.84,ID,1412776563,1412817320,73.06,1412805600,49.4,1412776800,1412751600,9.97,197,1.2
