,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,52.93,1412204400,36.89,1412164800,0.19,oneida,35.63,0.68,1412143200oneida,42.183895,-112.520449,0.25,,0.0012,0.0069,1412197200,0.33,rain,1014,ID,1412170101,1412212409,52.93,1412204400,40.03,1412168400,1412143200,9.85,258,4.57
0,2014-10-02 00:00:00,60.16,1412290800,32.97,1412251200,0.02,oneida,32.64,0.58,1412229600oneida,42.183895,-112.520449,0.29,,0,0,,0,,1019.46,ID,1412256565,1412298704,60.16,1412290800,38.15,1412254800,1412229600,10,214,7.5
0,2014-10-03 00:00:00,63.75,1412377200,36.05,1412334000,0.01,oneida,33.15,0.55,1412316000oneida,42.183895,-112.520449,0.33,,0,0,,0,,1023.48,ID,1412343030,1412385000,63.75,1412377200,37.92,1412341200,1412316000,9.99,202,2.32
0,2014-10-04 00:00:00,67.79,1412460000,34.44,1412427600,0.01,oneida,36.32,0.57,1412402400oneida,42.183895,-112.520449,0.36,,0,0,,0,,1020.31,ID,1412429496,1412471297,67.79,1412460000,39.17,1412427600,1412402400,10,204,3.81
0,2014-10-05 00:00:00,70.4,1412546400,39.52,1412517600,0.02,oneida,38.02,0.54,1412488800oneida,42.183895,-112.520449,0.4,,0,0,,0,,1016.43,ID,1412515961,1412557594,70.4,1412546400,42.81,1412517600,1412488800,10,211,4.17
0,2014-10-06 00:00:00,72.5,1412632800,41.46,1412596800,0.02,oneida,39.3,0.53,1412575200oneida,42.183895,-112.520449,0.44,,0,0,,0,,1013.72,ID,1412602427,1412643891,72.5,1412632800,44.65,1412600400,1412575200,10,206,5.6
0,2014-10-07 00:00:00,73.48,1412719200,41.75,1412697600,0.02,oneida,39.81,0.54,1412661600oneida,42.183895,-112.520449,0.48,,0,0,,0,,1012.25,ID,1412688893,1412730190,73.48,1412719200,45,1412697600,1412661600,10,187,3.38
0,2014-10-08 00:00:00,75.08,1412805600,41.53,1412776800,0.03,oneida,38.05,0.52,1412748000oneida,42.183895,-112.520449,0.51,,0,0,,0,,1010.87,ID,1412775360,1412816488,75.08,1412805600,43.48,1412773200,1412748000,9.96,113,2.1
0,2014-10-09 00:00:00,72.52,1412892000,40.55,1412856000,0.04,oneida,37.89,0.53,1412834400oneida,42.183895,-112.520449,0.55,,0,0,,0,,1009.85,ID,1412861827,1412902788,72.52,1412892000,43.13,1412863200,1412834400,10,172,1.22
0,2014-10-10 00:00:00,69.24,1412978400,41.87,1412949600,0.05,oneida,37.39,0.52,1412920800oneida,42.183895,-112.520449,0.58,,0,0,,0,,1012.52,ID,1412948294,1412989088,69.24,1412978400,45.4,1412949600,1412920800,9.99,194,3.22
0,2014-10-11 00:00:00,66.18,1413064800,38.59,1413036000,0.06,oneida,34.15,0.49,1413007200oneida,42.183895,-112.520449,0.62,,0,0,,0,,1011.87,ID,1413034761,1413075388,66.18,1413064800,42.58,1413036000,1413007200,10,209,6.34
0,2014-10-12 00:00:00,56.32,1413151200,39.22,1413176400,0.2,oneida,32.98,0.53,1413093600oneida,42.183895,-112.520449,0.65,,0.0003,0.0019,1413122400,0.05,rain,1013.53,ID,1413121229,1413161690,56.32,1413151200,42.94,1413176400,1413093600,9.88,296,8.07
0,2014-10-13 00:00:00,60.78,1413241200,28.32,1413208800,0.03,oneida,29.36,0.53,1413180000oneida,42.183895,-112.520449,0.68,,0,0,,0,,1019.93,ID,1413207698,1413247992,60.78,1413241200,34.44,1413208800,1413180000,10,173,3.24
0,2014-10-14 00:00:00,69.69,1413324000,33.51,1413295200,0.03,oneida,31.08,0.47,1413266400oneida,42.183895,-112.520449,0.72,,0,0,,0,,1013.3,ID,1413294166,1413334295,69.69,1413324000,37.62,1413291600,1413266400,9.99,156,4.5
0,2014-10-15 00:00:00,69.38,1413406800,44.52,1413435600,0.06,oneida,32.04,0.38,1413352800oneida,42.183895,-112.520449,0.75,,0,0,,0,,1005.95,ID,1413380635,1413420599,69.38,1413406800,46.77,1413435600,1413352800,9.83,217,7.96
0,2014-10-16 00:00:00,59.69,1413500400,34.92,1413460800,0.03,oneida,31.14,0.53,1413439200oneida,42.183895,-112.520449,0.78,,0,0,,0,,1014.61,ID,1413467105,1413506903,59.69,1413500400,39.76,1413460800,1413439200,10,42,1.27
0,2014-10-17 00:00:00,67.34,1413583200,34.39,1413550800,0.02,oneida,33.58,0.57,1413525600oneida,42.183895,-112.520449,0.81,,0,0,,0,,1012.92,ID,1413553574,1413593209,67.34,1413583200,36.87,1413554400,1413525600,9.99,63,3.1
0,2014-10-18 00:00:00,67.93,1413669600,39.17,1413637200,0.02,oneida,35.45,0.54,1413612000oneida,42.183895,-112.520449,0.84,,0,0,,0,,1012.28,ID,1413640045,1413679515,67.93,1413669600,41.36,1413640800,1413612000,9.91,201,2.38
0,2014-10-19 00:00:00,70.62,1413756000,34.91,1413727200,0.01,oneida,34.68,0.55,1413698400oneida,42.183895,-112.520449,0.87,,0,0,,0,,1013.02,ID,1413726515,1413765823,70.62,1413756000,38.44,1413723600,1413698400,9.96,94,3.05
0,2014-10-20 00:00:00,73.28,1413842400,37.69,1413810000,0.06,oneida,35.28,0.49,1413784800oneida,42.183895,-112.520449,0.9,,0,0,,0,,1009.39,ID,1413812986,1413852131,73.28,1413842400,40.69,1413813600,1413784800,10,154,4.55
0,2014-10-21 00:00:00,58.9,1413878400,41.19,1413954000,0.2,oneida,36.67,0.55,1413871200oneida,42.183895,-112.520449,0.93,,0.0007,0.0055,1413903600,0.24,rain,1008.51,ID,1413899457,1413938441,58.9,1413878400,41.19,1413954000,1413871200,9.98,238,5.64
0,2014-10-22 00:00:00,58.19,1414015200,29.59,1413982800,0.03,oneida,28.81,0.58,1413957600oneida,42.183895,-112.520449,0.96,,0,0,,0,,1016.92,ID,1413985929,1414024751,58.19,1414015200,31.63,1413986400,1413957600,9.99,184,1.3
0,2014-10-23 00:00:00,64.23,1414098000,38.8,1414062000,0.06,oneida,31.49,0.5,1414044000oneida,42.183895,-112.520449,0.99,,0,0,,0,,1014.46,ID,1414072401,1414111063,64.23,1414098000,39.94,1414065600,1414044000,9.96,203,1.78
0,2014-10-24 00:00:00,72.84,1414188000,40.8,1414159200,0.05,oneida,34.39,0.48,1414130400oneida,42.183895,-112.520449,0.03,,0,0,,0,,1014.03,ID,1414158874,1414197376,72.84,1414188000,43.06,1414159200,1414130400,9.85,189,3.61
0,2014-10-25 00:00:00,74.31,1414270800,41.36,1414245600,0.01,oneida,32.68,0.41,1414216800oneida,42.183895,-112.520449,0.06,,0.0001,0.0026,1414299600,0.08,rain,1009.24,ID,1414245346,1414283690,74.31,1414270800,43.69,1414245600,1414216800,9.82,181,9.16
0,2014-10-26 00:00:00,61.57,1414303200,36.95,1414386000,0.13,oneida,33.15,0.53,1414303200oneida,42.183895,-112.520449,0.09,,0.0005,0.0028,1414364400,0.09,rain,1009.48,ID,1414331819,1414370005,61.57,1414303200,40.18,1414386000,1414303200,9.98,252,7.72
0,2014-10-27 00:00:00,42.66,1414443600,27.74,1414418400,0.15,oneida,25.88,0.59,1414389600oneida,42.183895,-112.520449,0.13,,0,0,,0,,1016.66,ID,1414418293,1414456322,46.79,1414443600,33.56,1414418400,1414389600,9.89,229,5.63
0,2014-10-28 00:00:00,54.16,1414533600,23.37,1414494000,0.01,oneida,21.2,0.53,1414476000oneida,42.183895,-112.520449,0.16,,0,0,,0,,1020.56,ID,1414504766,1414542639,54.16,1414533600,26.17,1414501200,1414476000,10,168,1.18
0,2014-10-29 00:00:00,60.13,1414620000,29.57,1414591200,0.1,oneida,24.93,0.48,1414562400oneida,42.183895,-112.520449,0.2,,0,0,,0,,1020.22,ID,1414591240,1414628958,60.13,1414620000,31.79,1414580400,1414562400,9.99,203,3.12
0,2014-10-30 00:00:00,67.3,1414706400,31.43,1414677600,0.06,oneida,30.91,0.52,1414648800oneida,42.183895,-112.520449,0.24,,0,0,,0,,1018.56,ID,1414677715,1414715279,67.3,1414706400,35.82,1414677600,1414648800,10,95,2.76
0,2014-10-31 00:00:00,68.8,1414792800,38,1414764000,0.04,oneida,29.84,0.44,1414735200oneida,42.183895,-112.520449,0.28,,0,0,,0,,1009.19,ID,1414764189,1414801601,68.8,1414792800,41.81,1414749600,1414735200,9.99,161,5.05
0,2014-11-01 00:00:00,63.48,1414864800,39.07,1414904400,0.15,oneida,33.45,0.49,1414821600oneida,42.183895,-112.520449,0.31,,0.0021,0.0192,1414875600,0.59,rain,999.79,ID,1414850664,1414887924,63.48,1414864800,43.93,1414904400,1414821600,9.63,186,9.1
