,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,60.77,1412204400,36.1,1412168400,0.03,owyhee,34.8,0.58,1412143200owyhee,42.572851,-116.18969,0.25,,0.0001,0.0011,1412172000,0.02,rain,1019.29,ID,1412170990,1412213280,60.77,1412204400,40.85,1412168400,1412143200,9.98,279,6.9
0,2014-10-02 00:00:00,67.15,1412290800,37.22,1412251200,0.01,owyhee,32.39,0.52,1412229600owyhee,42.572851,-116.18969,0.29,,0,0,,0,,1022.87,ID,1412257456,1412299574,67.15,1412290800,40.49,1412254800,1412229600,9.93,238,2.69
0,2014-10-03 00:00:00,70,1412377200,38.99,1412344800,0,owyhee,33.61,0.5,1412316000owyhee,42.572851,-116.18969,0.33,,0,0,,0,,1026.76,ID,1412343922,1412385869,70,1412377200,38.99,1412344800,1412316000,9.85,165,0.94
0,2014-10-04 00:00:00,73.92,1412463600,39.45,1412427600,0,owyhee,37.11,0.53,1412402400owyhee,42.572851,-116.18969,0.36,,0,0,,0,,1023.58,ID,1412430388,1412472165,73.92,1412463600,40.17,1412431200,1412402400,9.94,234,2.09
0,2014-10-05 00:00:00,77.58,1412550000,45.94,1412517600,0.02,owyhee,38.15,0.48,1412488800owyhee,42.572851,-116.18969,0.4,,0,0,,0,,1019.55,ID,1412516855,1412558461,77.58,1412550000,45.94,1412517600,1412488800,9.68,263,3.78
0,2014-10-06 00:00:00,79.26,1412632800,46.11,1412600400,0.01,owyhee,40.25,0.48,1412575200owyhee,42.572851,-116.18969,0.44,,0,0,,0,,1016.42,ID,1412603322,1412644757,79.26,1412632800,47.55,1412600400,1412575200,9.96,248,2.92
0,2014-10-07 00:00:00,79.7,1412722800,46.01,1412690400,0,owyhee,41.65,0.5,1412661600owyhee,42.572851,-116.18969,0.48,,0,0,,0,,1014.34,ID,1412689790,1412731054,79.7,1412722800,47.13,1412690400,1412661600,9.86,182,1.7
0,2014-10-08 00:00:00,77.84,1412809200,44.15,1412776800,0,owyhee,37.09,0.45,1412748000owyhee,42.572851,-116.18969,0.51,,0,0,,0,,1012.65,ID,1412776257,1412817351,77.84,1412809200,45.48,1412776800,1412748000,9.89,88,2.06
0,2014-10-09 00:00:00,73.29,1412892000,44.27,1412863200,0.01,owyhee,36.04,0.46,1412834400owyhee,42.572851,-116.18969,0.55,,0,0,,0,,1013.63,ID,1412862725,1412903650,73.29,1412892000,45.37,1412863200,1412834400,9.93,281,3.38
0,2014-10-10 00:00:00,71.51,1412978400,41.59,1412942400,0.01,owyhee,34.46,0.47,1412920800owyhee,42.572851,-116.18969,0.58,,0,0,,0,,1016.86,ID,1412949194,1412989948,71.51,1412978400,41.82,1412946000,1412920800,9.96,259,2.99
0,2014-10-11 00:00:00,71.63,1413061200,44.6,1413021600,0.06,owyhee,35.78,0.48,1413007200owyhee,42.572851,-116.18969,0.62,,0.0004,0.0055,1413082800,0.24,rain,1015.7,ID,1413035662,1413076248,71.63,1413061200,46.09,1413025200,1413007200,9.31,263,3.1
0,2014-10-12 00:00:00,60.87,1413151200,39.67,1413122400,0.06,owyhee,33.02,0.5,1413093600owyhee,42.572851,-116.18969,0.65,,0.0002,0.0037,1413093600,0.14,rain,1020.73,ID,1413122132,1413162548,60.87,1413151200,44.26,1413176400,1413093600,9.95,288,10.81
0,2014-10-13 00:00:00,71.47,1413241200,34.5,1413208800,0.01,owyhee,29.69,0.44,1413180000owyhee,42.572851,-116.18969,0.68,,0,0,,0,,1020.42,ID,1413208601,1413248849,71.47,1413241200,38.21,1413205200,1413180000,10,125,7.56
0,2014-10-14 00:00:00,75.68,1413320400,51.35,1413291600,0.03,owyhee,29.2,0.3,1413266400owyhee,42.572851,-116.18969,0.72,,0,0,,0,,1010.33,ID,1413295071,1413335151,75.68,1413320400,51.35,1413291600,1413266400,9.96,136,9.93
0,2014-10-15 00:00:00,64.16,1413356400,43.41,1413435600,0.09,owyhee,31.46,0.4,1413352800owyhee,42.572851,-116.18969,0.75,,0.001,0.0169,1413399600,0.58,rain,1008.43,ID,1413381541,1413421454,64.16,1413356400,43.41,1413435600,1413352800,9.84,220,5.42
0,2014-10-16 00:00:00,62.19,1413500400,34.75,1413460800,0.05,owyhee,31.24,0.55,1413439200owyhee,42.572851,-116.18969,0.78,,0,0,,0,,1018.24,ID,1413468012,1413507757,62.19,1413500400,38.54,1413460800,1413439200,9.89,90,2.74
0,2014-10-17 00:00:00,68.86,1413583200,36.54,1413543600,0.04,owyhee,30.17,0.45,1413525600owyhee,42.572851,-116.18969,0.81,,0,0,,0,,1014.52,ID,1413554483,1413594062,68.86,1413583200,39.73,1413540000,1413525600,9.92,94,4.04
