,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,61.81,1412204400,36.23,1412168400,0.02,payette,35.18,0.58,1412143200payette,44.00243,-116.750238,0.25,,0.0001,0.0013,1412182800,0.02,rain,1020.17,ID,1412171156,1412213383,61.81,1412204400,40.82,1412168400,1412143200,9.93,287,4.96
0,2014-10-02 00:00:00,66.95,1412290800,34.64,1412251200,0.02,payette,33.49,0.56,1412229600payette,44.00243,-116.750238,0.29,,0,0,,0,,1023.49,ID,1412257626,1412299674,66.95,1412290800,38.16,1412258400,1412229600,9.85,21,0.38
0,2014-10-03 00:00:00,70.76,1412377200,36.98,1412344800,0,payette,34.24,0.55,1412316000payette,44.00243,-116.750238,0.33,,0,0,,0,,1027.69,ID,1412344096,1412385964,70.76,1412377200,36.98,1412344800,1412316000,9.9,140,0.84
0,2014-10-04 00:00:00,73.84,1412463600,35.48,1412427600,0.01,payette,37.1,0.56,1412402400payette,44.00243,-116.750238,0.36,,0,0,,0,,1024.54,ID,1412430567,1412472255,73.84,1412463600,37.17,1412431200,1412402400,9.81,258,0.66
0,2014-10-05 00:00:00,78.96,1412550000,42.07,1412517600,0.02,payette,39.48,0.54,1412488800payette,44.00243,-116.750238,0.4,,0,0,,0,,1020.32,ID,1412517038,1412558547,78.96,1412550000,42.07,1412517600,1412488800,9.79,273,0.83
0,2014-10-06 00:00:00,79.14,1412636400,42.98,1412600400,0,payette,41.82,0.54,1412575200payette,44.00243,-116.750238,0.44,,0,0,,0,,1017.08,ID,1412603510,1412644839,80.36,1412636400,44.7,1412604000,1412575200,9.92,314,0.4
0,2014-10-07 00:00:00,79.48,1412722800,41.14,1412690400,0,payette,43,0.56,1412661600payette,44.00243,-116.750238,0.48,,0,0,,0,,1014.82,ID,1412689981,1412731131,80.86,1412722800,44.1,1412690400,1412661600,9.77,128,1.97
0,2014-10-08 00:00:00,77.37,1412809200,42.3,1412776800,0,payette,39.32,0.51,1412748000payette,44.00243,-116.750238,0.51,,0,0,,0,,1013.37,ID,1412776454,1412817424,77.37,1412809200,43.52,1412776800,1412748000,9.88,144,0.35
0,2014-10-09 00:00:00,73.94,1412895600,42.33,1412863200,0,payette,36.22,0.46,1412834400payette,44.00243,-116.750238,0.55,,0,0,,0,,1014.41,ID,1412862926,1412903718,73.94,1412895600,44.5,1412863200,1412834400,9.92,303,4.01
0,2014-10-10 00:00:00,72.52,1412982000,39.97,1412949600,0,payette,35.98,0.52,1412920800payette,44.00243,-116.750238,0.58,,0,0,,0,,1017.41,ID,1412949399,1412990012,72.52,1412982000,39.97,1412949600,1412920800,9.87,289,1.16
0,2014-10-11 00:00:00,70.45,1413061200,43.7,1413036000,0.06,payette,37.9,0.53,1413007200payette,44.00243,-116.750238,0.62,,0.0004,0.0027,1413075600,0.08,rain,1016.44,ID,1413035872,1413076308,70.45,1413061200,45.47,1413028800,1413007200,9.39,329,1.78
0,2014-10-12 00:00:00,61.85,1413151200,41.72,1413122400,0.08,payette,34.02,0.51,1413093600payette,44.00243,-116.750238,0.65,,0.0001,0.0008,1413108000,0.01,rain,1021.99,ID,1413122345,1413162603,61.85,1413151200,44.45,1413176400,1413093600,9.85,303,6.59
0,2014-10-13 00:00:00,71.96,1413241200,35.24,1413201600,0.01,payette,31.35,0.47,1413180000payette,44.00243,-116.750238,0.68,,0,0,,0,,1019.9,ID,1413208819,1413248900,71.96,1413241200,38.07,1413205200,1413180000,9.99,135,6.85
0,2014-10-14 00:00:00,71.84,1413320400,54.2,1413295200,0.02,payette,32.15,0.33,1413266400payette,44.00243,-116.750238,0.72,,0,0,,0,,1009.23,ID,1413295293,1413335198,71.84,1413320400,54.2,1413295200,1413266400,9.95,156,8.35
0,2014-10-15 00:00:00,60.67,1413352800,39.93,1413435600,0.13,payette,34.13,0.48,1413352800payette,44.00243,-116.750238,0.75,,0.001,0.0098,1413399600,0.5,rain,1008.61,ID,1413381768,1413421496,60.67,1413352800,43.34,1413435600,1413352800,9.86,210,5.4
0,2014-10-16 00:00:00,60.71,1413504000,34.09,1413464400,0.06,payette,32.77,0.61,1413439200payette,44.00243,-116.750238,0.78,,0,0,,0,,1019.35,ID,1413468243,1413507795,60.71,1413504000,36.51,1413460800,1413439200,9.76,115,1.29
0,2014-10-17 00:00:00,66.4,1413579600,32.37,1413547200,0.03,payette,31.36,0.51,1413525600payette,44.00243,-116.750238,0.81,,0,0,,0,,1015.67,ID,1413554718,1413594095,66.4,1413579600,36.9,1413547200,1413525600,9.89,143,2.77
0,2014-10-18 00:00:00,70.05,1413673200,38.02,1413640800,0.01,payette,34.69,0.54,1413612000payette,44.00243,-116.750238,0.84,,0,0,,0,,1016.81,ID,1413641194,1413680396,70.05,1413673200,38.02,1413640800,1413612000,9.85,34,0.14
0,2014-10-19 00:00:00,73.23,1413759600,33.68,1413727200,0,payette,33.85,0.52,1413698400payette,44.00243,-116.750238,0.87,,0,0,,0,,1014.83,ID,1413727670,1413766698,73.23,1413759600,36.96,1413727200,1413698400,9.3,141,4.41
0,2014-10-20 00:00:00,73.27,1413846000,39.84,1413806400,0.02,payette,34.61,0.48,1413784800payette,44.00243,-116.750238,0.9,,0.0002,0.0032,1413867600,0.11,rain,1009.5,ID,1413814146,1413853001,73.27,1413846000,40.71,1413813600,1413784800,9.4,186,2.13
0,2014-10-21 00:00:00,58.54,1413928800,39.86,1413954000,0.19,payette,39.41,0.67,1413871200payette,44.00243,-116.750238,0.93,,0.0069,0.0433,1413882000,0.69,rain,1014.1,ID,1413900623,1413939305,58.54,1413928800,42.7,1413954000,1413871200,9.79,253,2.51
0,2014-10-22 00:00:00,58.56,1414015200,30.54,1413986400,0.1,payette,35.17,0.63,1413957600payette,44.00243,-116.750238,0.96,,0,0,,0,,1018.27,ID,1413987100,1414025610,58.56,1414015200,36.84,1413982800,1413957600,9.72,138,8.24
0,2014-10-23 00:00:00,58.72,1414098000,50.86,1414126800,0.3,payette,44.7,0.72,1414044000payette,44.00243,-116.750238,0.99,,0.0062,0.017,1414112400,0.58,rain,1015.85,ID,1414073578,1414111917,58.72,1414098000,50.86,1414126800,1414044000,9.82,141,5.97
0,2014-10-24 00:00:00,61.11,1414191600,46.3,1414213200,0.25,payette,46.54,0.82,1414130400payette,44.00243,-116.750238,0.03,,0.0028,0.0157,1414155600,0.57,rain,1017.32,ID,1414160056,1414198224,61.11,1414191600,46.3,1414213200,1414130400,9.4,29,0.55
0,2014-10-25 00:00:00,62.21,1414270800,38.91,1414245600,0,payette,41.11,0.72,1414216800payette,44.00243,-116.750238,0.06,,0.0001,0.0016,1414296000,0.03,rain,1010.33,ID,1414246534,1414284533,62.21,1414270800,40.65,1414238400,1414216800,6.79,198,4.16
0,2014-10-26 00:00:00,53.71,1414303200,40.19,1414386000,0.1,payette,34.64,0.59,1414303200payette,44.00243,-116.750238,0.09,,0.0007,0.0054,1414364400,0.24,rain,1015.84,ID,1414333012,1414370842,53.71,1414303200,41.64,1414386000,1414303200,9.99,259,5.87
0,2014-10-27 00:00:00,49.57,1414447200,31.92,1414472400,0.06,payette,30.77,0.69,1414389600payette,44.00243,-116.750238,0.13,,0.0004,0.0029,1414400400,0.09,rain,1022.39,ID,1414419491,1414457154,49.57,1414447200,32.78,1414418400,1414389600,9.93,320,0.79
0,2014-10-28 00:00:00,58.43,1414537200,26.91,1414501200,0.07,payette,29.92,0.61,1414476000payette,44.00243,-116.750238,0.16,,0.0001,0.0013,1414555200,0.02,rain,1022.96,ID,1414505970,1414543466,58.43,1414537200,32.49,1414504800,1414476000,9.84,137,5.5
0,2014-10-29 00:00:00,57.89,1414620000,41.23,1414591200,0.16,payette,38.06,0.66,1414562400payette,44.00243,-116.750238,0.2,,0.0008,0.0082,1414580400,0.42,rain,1022.51,ID,1414592449,1414629780,57.89,1414620000,41.23,1414591200,1414562400,9.88,157,0.84
