,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,53.87,1412204400,35.67,1412168400,0.16,power,35.39,0.68,1412143200power,42.694126,-112.844407,0.25,,0.0011,0.0081,1412197200,0.42,rain,1015.46,ID,1412170189,1412212475,53.87,1412204400,39.7,1412168400,1412143200,9.92,238,6.52
0,2014-10-02 00:00:00,61.26,1412290800,33.71,1412258400,0.02,power,31.68,0.54,1412229600power,42.694126,-112.844407,0.29,,0,0,,0,,1020.2,ID,1412256655,1412298770,61.26,1412290800,38.81,1412258400,1412229600,10,223,9.6
0,2014-10-03 00:00:00,63.2,1412377200,35.15,1412344800,0,power,31.87,0.55,1412316000power,42.694126,-112.844407,0.33,,0,0,,0,,1025.42,ID,1412343122,1412385064,63.2,1412377200,35.15,1412344800,1412316000,9.98,221,1.57
0,2014-10-04 00:00:00,68.08,1412463600,35.78,1412431200,0.01,power,36.21,0.58,1412402400power,42.694126,-112.844407,0.36,,0,0,,0,,1021.94,ID,1412429589,1412471359,68.08,1412463600,37.45,1412427600,1412402400,10,221,3.94
0,2014-10-05 00:00:00,71.22,1412546400,42.34,1412510400,0.03,power,37.91,0.52,1412488800power,42.694126,-112.844407,0.4,,0,0,,0,,1017.59,ID,1412516056,1412557655,71.22,1412546400,42.36,1412517600,1412488800,10,223,5.89
0,2014-10-06 00:00:00,72.69,1412632800,41.75,1412600400,0.02,power,39.12,0.51,1412575200power,42.694126,-112.844407,0.44,,0,0,,0,,1014.78,ID,1412602523,1412643951,72.69,1412632800,44.13,1412600400,1412575200,10,216,6.46
0,2014-10-07 00:00:00,73.71,1412719200,42.57,1412690400,0.02,power,40.54,0.56,1412661600power,42.694126,-112.844407,0.48,,0,0,,0,,1013.58,ID,1412688991,1412730247,73.71,1412719200,44.07,1412690400,1412661600,10,217,2.87
0,2014-10-08 00:00:00,75.31,1412805600,38.45,1412776800,0.01,power,37.5,0.54,1412748000power,42.694126,-112.844407,0.51,,0,0,,0,,1012.38,ID,1412775459,1412816544,75.31,1412805600,41.16,1412776800,1412748000,9.98,50,1.23
0,2014-10-09 00:00:00,71.75,1412892000,39.52,1412856000,0.04,power,37.63,0.56,1412834400power,42.694126,-112.844407,0.55,,0,0,,0,,1011.89,ID,1412861927,1412902842,71.75,1412892000,40.72,1412859600,1412834400,9.97,238,2.38
0,2014-10-10 00:00:00,68.02,1412982000,41.92,1412949600,0.07,power,36.52,0.52,1412920800power,42.694126,-112.844407,0.58,,0,0,,0,,1014.34,ID,1412948396,1412989141,68.02,1412982000,43.54,1412949600,1412920800,9.99,222,4.94
0,2014-10-11 00:00:00,66.03,1413061200,37.11,1413036000,0.06,power,33.54,0.49,1413007200power,42.694126,-112.844407,0.62,,0,0,,0,,1012.92,ID,1413034865,1413075440,66.03,1413061200,41.35,1413036000,1413007200,9.98,220,8.1
0,2014-10-12 00:00:00,56.62,1413147600,38.03,1413122400,0.16,power,33.3,0.56,1413093600power,42.694126,-112.844407,0.65,,0.0003,0.003,1413093600,0.1,rain,1015.36,ID,1413121335,1413161740,56.62,1413147600,42.95,1413176400,1413093600,9.91,268,8.77
0,2014-10-13 00:00:00,61.45,1413241200,29.12,1413208800,0.03,power,29.96,0.55,1413180000power,42.694126,-112.844407,0.68,,0,0,,0,,1020.98,ID,1413207804,1413248040,61.45,1413241200,33.88,1413205200,1413180000,10,178,2.45
0,2014-10-14 00:00:00,70.11,1413324000,33.12,1413295200,0.02,power,31.48,0.49,1413266400power,42.694126,-112.844407,0.72,,0,0,,0,,1013.89,ID,1413294275,1413334342,70.11,1413324000,36.49,1413295200,1413266400,10,139,2.26
0,2014-10-15 00:00:00,67.58,1413399600,42.07,1413435600,0.06,power,31.9,0.4,1413352800power,42.694126,-112.844407,0.75,,0,0,,0,,1006.85,ID,1413380745,1413420644,67.58,1413399600,44.34,1413435600,1413352800,9.77,221,9.43
0,2014-10-16 00:00:00,58.42,1413500400,32.4,1413460800,0.02,power,29.63,0.56,1413439200power,42.694126,-112.844407,0.78,,0,0,,0,,1016.87,ID,1413467216,1413506947,58.42,1413500400,35.67,1413460800,1413439200,10,43,1.89
0,2014-10-17 00:00:00,67.58,1413583200,30.28,1413554400,0.01,power,32.17,0.57,1413525600power,42.694126,-112.844407,0.81,,0,0,,0,,1014.75,ID,1413553687,1413593251,67.58,1413583200,34.09,1413554400,1413525600,10,44,4.18
0,2014-10-18 00:00:00,66.92,1413669600,37,1413637200,0.01,power,35.08,0.56,1413612000power,42.694126,-112.844407,0.84,,0,0,,0,,1014.1,ID,1413640159,1413679556,66.92,1413669600,39.12,1413640800,1413612000,9.95,230,2.88
0,2014-10-19 00:00:00,71.29,1413756000,32.35,1413727200,0,power,33.46,0.56,1413698400power,42.694126,-112.844407,0.87,,0,0,,0,,1014.82,ID,1413726631,1413765862,71.29,1413756000,35.59,1413727200,1413698400,9.98,58,3.21
0,2014-10-20 00:00:00,73.72,1413842400,35.42,1413810000,0.08,power,34.64,0.5,1413784800power,42.694126,-112.844407,0.9,,0,0,,0,,1010.49,ID,1413813104,1413852169,73.72,1413842400,38.74,1413813600,1413784800,10,147,2.52
0,2014-10-21 00:00:00,58.9,1413878400,36.98,1413954000,0.2,power,36.88,0.6,1413871200power,42.694126,-112.844407,0.93,,0.0014,0.0081,1413903600,0.42,rain,1010.2,ID,1413899576,1413938477,58.9,1413878400,40.03,1413954000,1413871200,9.93,226,9.07
0,2014-10-22 00:00:00,57.04,1414011600,30.46,1413972000,0.03,power,29.09,0.6,1413957600power,42.694126,-112.844407,0.96,,0,0,,0,,1018.41,ID,1413986050,1414024786,57.04,1414011600,30.52,1413986400,1413957600,9.98,188,1.15
0,2014-10-23 00:00:00,62.16,1414094400,40.37,1414069200,0.08,power,32.09,0.51,1414044000power,42.694126,-112.844407,0.99,,0,0,,0,,1015.64,ID,1414072523,1414111097,62.16,1414094400,40.37,1414069200,1414044000,9.95,237,1.75
0,2014-10-24 00:00:00,71.66,1414188000,41.91,1414159200,0.09,power,34.96,0.5,1414130400power,42.694126,-112.844407,0.03,,0,0,,0,,1015.18,ID,1414158997,1414197408,71.66,1414188000,44.06,1414159200,1414130400,9.86,184,3.29
0,2014-10-25 00:00:00,73.28,1414270800,40.04,1414242000,0,power,32.52,0.44,1414216800power,42.694126,-112.844407,0.06,,0.0002,0.0044,1414299600,0.18,rain,1009.93,ID,1414245471,1414283720,73.28,1414270800,40.75,1414238400,1414216800,9.89,188,6.37
