,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,43.64,1412200800,31.78,1412150400,0.18,teton,33.5,0.78,1412143200teton,43.760994,-111.211765,0.25,,0.0031,0.0228,1412143200,0.62,rain,1015.83,ID,1412169820,1412212061,46.42,1412200800,35.89,1412168400,1412143200,9.59,235,0.64
0,2014-10-02 00:00:00,53.75,1412290800,29.28,1412247600,0.02,teton,29.69,0.6,1412229600teton,43.760994,-111.211765,0.29,,0,0,,0,,1021.25,ID,1412256289,1412298352,53.75,1412290800,35.53,1412247600,1412229600,9.99,215,7.61
0,2014-10-03 00:00:00,56.88,1412373600,22.37,1412341200,0,teton,24.38,0.58,1412316000teton,43.760994,-111.211765,0.33,,0,0,,0,,1028.36,ID,1412342759,1412384643,56.88,1412373600,26.51,1412341200,1412316000,9.98,17,1.22
0,2014-10-04 00:00:00,62.65,1412463600,27.45,1412431200,0.03,teton,30.58,0.59,1412402400teton,43.760994,-111.211765,0.36,,0,0,,0,,1024.02,ID,1412429229,1412470935,62.65,1412463600,30.79,1412427600,1412402400,10,279,2.04
0,2014-10-05 00:00:00,64.56,1412546400,37.67,1412514000,0.08,teton,36.65,0.6,1412488800teton,43.760994,-111.211765,0.4,,0,0,,0,,1019.29,ID,1412515700,1412557227,64.56,1412546400,37.67,1412514000,1412488800,10,260,2.4
0,2014-10-06 00:00:00,66.5,1412632800,38.24,1412600400,0.01,teton,36.39,0.59,1412575200teton,43.760994,-111.211765,0.44,,0,0,,0,,1016.86,ID,1412602170,1412643520,66.5,1412632800,38.24,1412600400,1412575200,9.99,227,3.6
0,2014-10-07 00:00:00,68.32,1412719200,33.29,1412690400,0.02,teton,37.35,0.63,1412661600teton,43.760994,-111.211765,0.48,,0,0,,0,,1016.34,ID,1412688641,1412729813,68.32,1412719200,37.31,1412686800,1412661600,9.97,303,0.63
0,2014-10-08 00:00:00,68.66,1412805600,33.81,1412766000,0.01,teton,34.78,0.62,1412748000teton,43.760994,-111.211765,0.51,,0,0,,0,,1015.5,ID,1412775113,1412816107,68.66,1412805600,35.1,1412769600,1412748000,9.96,324,2.01
0,2014-10-09 00:00:00,68.16,1412888400,31.28,1412852400,0.03,teton,32.83,0.58,1412834400teton,43.760994,-111.211765,0.55,,0,0,,0,,1014.57,ID,1412861584,1412902402,68.16,1412888400,34.4,1412856000,1412834400,9.98,340,1.56
