,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,56.96,1412200800,34.29,1412172000,0.08,valley,34.15,0.65,1412143200valley,44.771488,-115.637953,0.25,,0.0006,0.0136,1412143200,0.55,rain,1019.44,ID,1412170905,1412213100,56.96,1412200800,37.3,1412172000,1412143200,9.85,288,3.92
0,2014-10-02 00:00:00,62.39,1412287200,33.97,1412240400,0,valley,31.58,0.6,1412229600valley,44.771488,-115.637953,0.29,,0,0,,0,,1023.28,ID,1412257378,1412299387,62.39,1412287200,35.99,1412244000,1412229600,9.73,309,0.87
0,2014-10-03 00:00:00,65.7,1412377200,32.84,1412344800,0,valley,31.34,0.58,1412316000valley,44.771488,-115.637953,0.33,,0,0,,0,,1028.27,ID,1412343851,1412385675,65.7,1412377200,32.84,1412344800,1412316000,9.91,170,0.25
0,2014-10-04 00:00:00,70.24,1412463600,33.99,1412431200,0.03,valley,35.11,0.59,1412402400valley,44.771488,-115.637953,0.36,,0,0,,0,,1024.96,ID,1412430324,1412471964,70.24,1412463600,33.99,1412431200,1412402400,9.61,317,0.95
0,2014-10-05 00:00:00,74.49,1412550000,40.79,1412517600,0.03,valley,39.21,0.58,1412488800valley,44.771488,-115.637953,0.4,,0,0,,0,,1020.52,ID,1412516798,1412558253,74.49,1412550000,40.79,1412517600,1412488800,9.86,310,1.29
0,2014-10-06 00:00:00,76.05,1412636400,42.22,1412604000,0.01,valley,40.88,0.59,1412575200valley,44.771488,-115.637953,0.44,,0,0,,0,,1017.54,ID,1412603272,1412644543,76.05,1412636400,42.22,1412604000,1412575200,9.93,310,0.83
0,2014-10-07 00:00:00,76.56,1412719200,41.54,1412690400,0,valley,41.02,0.59,1412661600valley,44.771488,-115.637953,0.48,,0,0,,0,,1015.57,ID,1412689746,1412730833,76.56,1412719200,41.54,1412690400,1412661600,9.85,114,0.51
0,2014-10-08 00:00:00,74.11,1412809200,39.68,1412776800,0,valley,37.54,0.55,1412748000valley,44.771488,-115.637953,0.51,,0,0,,0,,1014.2,ID,1412776221,1412817123,74.11,1412809200,39.68,1412776800,1412748000,9.94,26,0.21
0,2014-10-09 00:00:00,70.97,1412892000,38.22,1412863200,0.01,valley,36.13,0.53,1412834400valley,44.771488,-115.637953,0.55,,0,0,,0,,1014.82,ID,1412862696,1412903415,70.97,1412892000,40.37,1412863200,1412834400,9.89,301,3
0,2014-10-10 00:00:00,69.54,1412978400,37.39,1412949600,0.01,valley,35.62,0.57,1412920800valley,44.771488,-115.637953,0.58,,0,0,,0,,1017.31,ID,1412949171,1412989707,69.54,1412978400,37.39,1412949600,1412920800,9.81,300,1.31
0,2014-10-11 00:00:00,64.16,1413061200,41.72,1413032400,0.08,valley,37.76,0.61,1413007200valley,44.771488,-115.637953,0.62,,0.0024,0.0103,1413079200,0.51,rain,1016.02,ID,1413035646,1413075999,64.16,1413061200,42.71,1413021600,1413007200,9.39,282,2.68
0,2014-10-12 00:00:00,56.63,1413147600,37.46,1413118800,0.11,valley,33.9,0.59,1413093600valley,44.771488,-115.637953,0.65,,0.0002,0.0021,1413108000,0.06,rain,1020.81,ID,1413122122,1413162293,56.63,1413147600,40.38,1413176400,1413093600,9.88,313,5.08
0,2014-10-13 00:00:00,65.76,1413241200,34.86,1413201600,0.03,valley,32.3,0.56,1413180000valley,44.771488,-115.637953,0.68,,0,0,,0,,1020.54,ID,1413208599,1413248587,65.76,1413241200,36.03,1413208800,1413180000,9.79,134,4.78
0,2014-10-14 00:00:00,67.21,1413320400,45.09,1413298800,0.02,valley,34.25,0.45,1413266400valley,44.771488,-115.637953,0.72,,0,0,,0,,1010.61,ID,1413295075,1413334882,67.21,1413320400,46.75,1413295200,1413266400,9.98,149,5.06
