,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,60.01,1412200800,34.81,1412168400,0.04,washington,34.78,0.62,1412143200washington,44.448223,-116.797792,0.25,,0.0002,0.0019,1412182800,0.05,rain,1020.14,ID,1412171177,1412213385,60.01,1412200800,38.64,1412172000,1412143200,9.9,286,4.55
0,2014-10-02 00:00:00,64.65,1412287200,33.38,1412251200,0.01,washington,32.34,0.58,1412229600washington,44.448223,-116.797792,0.29,,0,0,,0,,1023.69,ID,1412257649,1412299674,64.65,1412287200,36.87,1412258400,1412229600,9.8,356,0.4
0,2014-10-03 00:00:00,69.41,1412377200,34.75,1412344800,0,washington,32.47,0.55,1412316000washington,44.448223,-116.797792,0.33,,0,0,,0,,1027.99,ID,1412344120,1412385963,69.41,1412377200,34.75,1412344800,1412316000,9.9,130,0.95
0,2014-10-04 00:00:00,73.38,1412463600,33.89,1412427600,0.02,washington,35.61,0.56,1412402400washington,44.448223,-116.797792,0.36,,0,0,,0,,1024.78,ID,1412430593,1412472252,73.38,1412463600,35.58,1412431200,1412402400,9.72,271,0.42
0,2014-10-05 00:00:00,77.84,1412550000,40.76,1412517600,0.01,washington,38.74,0.54,1412488800washington,44.448223,-116.797792,0.4,,0,0,,0,,1020.6,ID,1412517065,1412558542,77.84,1412550000,40.76,1412517600,1412488800,9.84,278,0.52
0,2014-10-06 00:00:00,79.39,1412636400,41.41,1412600400,0,washington,41.2,0.55,1412575200washington,44.448223,-116.797792,0.44,,0,0,,0,,1017.47,ID,1412603538,1412644833,79.39,1412636400,43.43,1412604000,1412575200,9.9,292,0.28
0,2014-10-07 00:00:00,79.9,1412722800,40.06,1412690400,0,washington,41.56,0.56,1412661600washington,44.448223,-116.797792,0.48,,0,0,,0,,1015.22,ID,1412690011,1412731124,79.9,1412722800,42.75,1412690400,1412661600,9.78,126,1.9
0,2014-10-08 00:00:00,76,1412809200,39.76,1412776800,0,washington,37.95,0.52,1412748000washington,44.448223,-116.797792,0.51,,0,0,,0,,1013.92,ID,1412776485,1412817416,76,1412809200,41.46,1412776800,1412748000,9.91,141,0.22
0,2014-10-09 00:00:00,72.13,1412895600,41.13,1412863200,0,washington,35.85,0.5,1412834400washington,44.448223,-116.797792,0.55,,0,0,,0,,1015.05,ID,1412862959,1412903708,72.13,1412895600,41.13,1412863200,1412834400,9.93,303,3.66
