,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,54.73,1412200800,37.93,1412226000,0.31,big horn,37.45,0.67,1412143200big horn,45.407869,-107.518163,0.25,,0.002,0.0093,1412143200,0.49,rain,1012.38,MT,1412168970,1412211139,54.73,1412200800,42.52,1412226000,1412143200,9.93,312,8.93
0,2014-10-02 00:00:00,51.6,1412272800,25.72,1412312400,0.15,big horn,31.38,0.67,1412229600big horn,45.407869,-107.518163,0.29,,0.0002,0.0019,1412294400,0.05,rain,1020.08,MT,1412255444,1412297425,51.6,1412272800,34.12,1412312400,1412229600,9.79,314,8.03
0,2014-10-03 00:00:00,54.1,1412377200,22.34,1412341200,0.05,big horn,25.93,0.62,1412316000big horn,45.407869,-107.518163,0.33,,0,0,,0,,1028.58,MT,1412341919,1412383711,54.1,1412377200,26.28,1412341200,1412316000,10,262,3.29
0,2014-10-04 00:00:00,69.68,1412456400,32.43,1412424000,0.12,big horn,30.56,0.46,1412402400big horn,45.407869,-107.518163,0.36,,0,0,,0,,1017.07,MT,1412428395,1412469997,69.68,1412456400,36.96,1412416800,1412402400,9.95,292,5.91
0,2014-10-05 00:00:00,67.99,1412546400,43.92,1412571600,0.15,big horn,37.4,0.49,1412488800big horn,45.407869,-107.518163,0.4,,0.0001,0.0012,1412521200,0.02,rain,1013.57,MT,1412514870,1412556284,67.99,1412546400,47.15,1412571600,1412488800,9.96,320,11.16
0,2014-10-06 00:00:00,73.49,1412632800,40.56,1412596800,0.06,big horn,36.36,0.47,1412575200big horn,45.407869,-107.518163,0.44,,0,0,,0,,1009.28,MT,1412601346,1412642571,73.49,1412632800,44.05,1412596800,1412575200,9.92,291,7.59
0,2014-10-07 00:00:00,67.79,1412719200,46.71,1412686800,0.17,big horn,38.99,0.52,1412661600big horn,45.407869,-107.518163,0.48,,0,0,,0,,1013.9,MT,1412687823,1412728859,67.79,1412719200,47.55,1412686800,1412661600,9.93,357,0.86
0,2014-10-08 00:00:00,75.22,1412805600,43.49,1412773200,0.08,big horn,37.58,0.5,1412748000big horn,45.407869,-107.518163,0.51,,0,0,,0,,1013.76,MT,1412774299,1412815148,75.22,1412805600,44.6,1412773200,1412748000,9.91,338,0.94
0,2014-10-09 00:00:00,64.66,1412892000,39.61,1412859600,0.1,big horn,38.27,0.61,1412834400big horn,45.407869,-107.518163,0.55,,0.0002,0.0016,1412910000,0.03,rain,1018.32,MT,1412860776,1412901437,64.66,1412892000,41.12,1412859600,1412834400,9.96,7,4.7
0,2014-10-10 00:00:00,66.3,1412978400,38.53,1412949600,0.09,big horn,40.18,0.66,1412920800big horn,45.407869,-107.518163,0.58,,0.0004,0.0058,1412924400,0.26,rain,1017.84,MT,1412947254,1412987727,66.3,1412978400,40.23,1412946000,1412920800,9.96,149,2.82
0,2014-10-11 00:00:00,70.65,1413061200,41.96,1413032400,0.09,big horn,37.45,0.52,1413007200big horn,45.407869,-107.518163,0.62,,0.0005,0.0121,1413090000,0.53,rain,1009.09,MT,1413033731,1413074018,70.65,1413061200,45.28,1413032400,1413007200,9.95,242,4.67
0,2014-10-12 00:00:00,52.13,1413093600,37.91,1413176400,0.27,big horn,37.68,0.68,1413093600big horn,45.407869,-107.518163,0.65,,0.0044,0.0124,1413111600,0.53,rain,1012,MT,1413120209,1413160309,52.13,1413093600,41.83,1413176400,1413093600,9.84,322,14.29
0,2014-10-13 00:00:00,60.44,1413237600,30.89,1413201600,0.05,big horn,30.7,0.59,1413180000big horn,45.407869,-107.518163,0.68,,0.0008,0.0133,1413183600,0.54,rain,1020.32,MT,1413206688,1413246601,60.44,1413237600,34.99,1413201600,1413180000,9.98,218,4.49
0,2014-10-14 00:00:00,74.25,1413324000,35.69,1413280800,0.04,big horn,31.79,0.43,1413266400big horn,45.407869,-107.518163,0.72,,0,0,,0,,1013.89,MT,1413293166,1413332894,74.25,1413324000,41.08,1413280800,1413266400,9.99,185,6.55
0,2014-10-15 00:00:00,75.1,1413414000,46.47,1413381600,0.04,big horn,32.58,0.37,1413352800big horn,45.407869,-107.518163,0.75,,0,0,,0,,1004.63,MT,1413379645,1413419188,75.1,1413414000,47.75,1413381600,1413352800,10,215,6.3
0,2014-10-16 00:00:00,59.07,1413486000,37.45,1413464400,0.05,big horn,27.4,0.41,1413439200big horn,45.407869,-107.518163,0.78,,0,0,,0,,1015.19,MT,1413466125,1413505482,59.07,1413486000,43.29,1413464400,1413439200,9.95,311,9.03
0,2014-10-17 00:00:00,62.53,1413583200,30.86,1413547200,0.05,big horn,29.21,0.52,1413525600big horn,45.407869,-107.518163,0.81,,0,0,,0,,1019.75,MT,1413552605,1413591778,62.53,1413583200,33.97,1413550800,1413525600,9.87,156,4.19
0,2014-10-18 00:00:00,72.64,1413669600,33.2,1413626400,0.03,big horn,30.39,0.47,1413612000big horn,45.407869,-107.518163,0.84,,0,0,,0,,1015.05,MT,1413639085,1413678074,72.64,1413669600,37.13,1413633600,1413612000,9.99,177,3.18
0,2014-10-19 00:00:00,72.35,1413756000,36.53,1413727200,0.01,big horn,32.74,0.47,1413698400big horn,45.407869,-107.518163,0.87,,0,0,,0,,1016.29,MT,1413725565,1413764372,72.35,1413756000,40.37,1413727200,1413698400,9.95,179,3.72
0,2014-10-20 00:00:00,76.79,1413842400,36.71,1413813600,0,big horn,30.42,0.41,1413784800big horn,45.407869,-107.518163,0.9,,0,0,,0,,1012.45,MT,1413812046,1413850670,76.79,1413842400,40.94,1413813600,1413784800,9.98,179,5.41
0,2014-10-21 00:00:00,73.31,1413921600,41.04,1413892800,0.06,big horn,31.79,0.39,1413871200big horn,45.407869,-107.518163,0.93,,0,0.001,1413932400,0,,1006.17,MT,1413898528,1413936970,73.31,1413921600,45.46,1413896400,1413871200,9.97,238,8.21
0,2014-10-22 00:00:00,61.55,1414015200,31.89,1413986400,0.01,big horn,25.5,0.43,1413957600big horn,45.407869,-107.518163,0.96,,0,0,,0,,1014.9,MT,1413985009,1414023271,61.55,1414015200,37.26,1413986400,1413957600,9.97,248,6.23
0,2014-10-23 00:00:00,68.85,1414098000,34.76,1414058400,0.06,big horn,25.64,0.38,1414044000big horn,45.407869,-107.518163,0.99,,0,0,,0,,1013.3,MT,1414071491,1414109572,68.85,1414098000,39.39,1414062000,1414044000,9.98,204,4.85
0,2014-10-24 00:00:00,66.15,1414184400,42.28,1414213200,0.11,big horn,31.69,0.44,1414130400big horn,45.407869,-107.518163,0.03,,0,0,,0,,1015.51,MT,1414157973,1414195875,66.15,1414184400,42.28,1414213200,1414130400,9.97,296,2.46
0,2014-10-25 00:00:00,73.57,1414274400,28.87,1414242000,0.01,big horn,30.98,0.5,1414216800big horn,45.407869,-107.518163,0.06,,0,0,,0,,1013.97,MT,1414244456,1414282179,73.57,1414274400,34.62,1414242000,1414216800,10,163,4.81
0,2014-10-26 00:00:00,64.77,1414346400,35.05,1414386000,0.05,big horn,29.06,0.39,1414303200big horn,45.407869,-107.518163,0.09,,0.0001,0.0028,1414335600,0.09,rain,1003.84,MT,1414330939,1414368485,64.77,1414346400,40.78,1414386000,1414303200,10,262,10.87
0,2014-10-27 00:00:00,43.81,1414443600,28.93,1414414800,0.21,big horn,23.15,0.48,1414389600big horn,45.407869,-107.518163,0.13,,0.0001,0.0012,1414422000,0.02,rain,1013.91,MT,1414417422,1414454791,49.3,1414443600,35.66,1414418400,1414389600,9.96,302,10.36
0,2014-10-28 00:00:00,52.02,1414533600,18.13,1414504800,0.04,big horn,19.5,0.51,1414476000big horn,45.407869,-107.518163,0.16,,0,0,,0,,1021.54,MT,1414503905,1414541099,52.02,1414533600,25.73,1414501200,1414476000,10,205,3.78
0,2014-10-29 00:00:00,61.34,1414620000,30.52,1414576800,0.09,big horn,22.21,0.39,1414562400big horn,45.407869,-107.518163,0.2,,0,0.0009,1414594800,0,,1018.63,MT,1414590389,1414627409,61.34,1414620000,36.01,1414576800,1414562400,10,273,6.95
0,2014-10-30 00:00:00,58.09,1414706400,29.98,1414677600,0.05,big horn,26.89,0.51,1414648800big horn,45.407869,-107.518163,0.24,,0,0,,0,,1025.96,MT,1414676873,1414713719,58.09,1414706400,34.04,1414674000,1414648800,9.99,164,1.61
0,2014-10-31 00:00:00,60.79,1414796400,27.68,1414764000,0.04,big horn,28.44,0.51,1414735200big horn,45.407869,-107.518163,0.28,,0,0,,0,,1015.66,MT,1414763357,1414800032,60.79,1414796400,34.39,1414764000,1414735200,9.97,151,7.66
0,2014-11-01 00:00:00,64.7,1414879200,41.01,1414850400,0.07,big horn,31.17,0.45,1414821600big horn,45.407869,-107.518163,0.31,,0,0,,0,,1004.01,MT,1414849841,1414886345,64.7,1414879200,43.1,1414850400,1414821600,10,166,3.26
0,2014-11-02 00:00:00,57.46,1414958400,33.33,1414987200,0.14,big horn,28.79,0.49,1414908000big horn,45.407869,-107.518163,0.35,,0,0,,0,,1006.39,MT,1414936326,1414972660,57.46,1414958400,38.91,1414994400,1414908000,10,281,6.76
0,2014-11-03 00:00:00,45.82,1415048400,23.99,1415023200,0.08,big horn,20.18,0.48,1414998000big horn,45.407869,-107.518163,0.39,,0,0,,0,,1018.35,MT,1415022811,1415058977,49.56,1415048400,32.29,1415019600,1414998000,9.98,302,7.15
0,2014-11-04 00:00:00,54.83,1415131200,23.5,1415106000,0.07,big horn,20.71,0.41,1415084400big horn,45.407869,-107.518163,0.43,,0.0001,0.0019,1415167200,0.05,rain,1019.16,MT,1415109295,1415145295,54.83,1415131200,31.59,1415109600,1415084400,9.97,239,9.73
0,2014-11-05 00:00:00,55.56,1415221200,33.81,1415253600,0.1,big horn,27.27,0.49,1415170800big horn,45.407869,-107.518163,0.46,,0,0.0009,1415170800,0,,1023.89,MT,1415195780,1415231615,55.56,1415221200,37.79,1415253600,1415170800,10,283,5.69
0,2014-11-06 00:00:00,61.68,1415307600,27.49,1415278800,0.04,big horn,25.8,0.46,1415257200big horn,45.407869,-107.518163,0.5,,0,0,,0,,1021.11,MT,1415282265,1415317936,61.68,1415307600,33.61,1415278800,1415257200,9.99,195,5.23
0,2014-11-07 00:00:00,57.03,1415390400,36.94,1415419200,0.16,big horn,30.02,0.47,1415343600big horn,45.407869,-107.518163,0.53,,0,0,,0,,1018.89,MT,1415368750,1415404260,57.03,1415390400,39.33,1415426400,1415343600,10,321,10.58
0,2014-11-08 00:00:00,62.23,1415484000,24.67,1415455200,0.04,big horn,24.43,0.5,1415430000big horn,45.407869,-107.518163,0.57,,0,0,,0,,1019.7,MT,1415455234,1415490584,62.23,1415484000,30.56,1415451600,1415430000,10,233,5.73
0,2014-11-09 00:00:00,53.32,1415563200,20.78,1415599200,0.2,big horn,27.76,0.51,1415516400big horn,45.407869,-107.518163,0.6,,0.0016,0.0083,1415592000,0.43,rain,1003.93,MT,1415541719,1415576911,53.32,1415563200,32.61,1415599200,1415516400,9.43,296,4.41
0,2014-11-10 00:00:00,11.47,1415602800,-6.52,1415631600,0.66,big horn,9.36,0.79,1415602800big horn,45.407869,-107.518163,0.63,0.953,0.0022,0.011,1415613600,0.52,snow,1020.37,MT,1415628204,1415663239,26.7,1415602800,10.47,1415685600,1415602800,5.46,340,16.32
0,2014-11-11 00:00:00,-3.68,1415689200,-16.75,1415764800,0.33,big horn,-3.26,0.72,1415689200big horn,45.407869,-107.518163,0.66,0.096,0.0002,0.0017,1415700000,0.04,snow,1036.95,MT,1415714688,1415749570,10.4,1415689200,-2.57,1415772000,1415689200,7.52,330,11.91
0,2014-11-12 00:00:00,6.32,1415826000,-19.16,1415804400,0.09,big horn,-8.33,0.73,1415775600big horn,45.407869,-107.518163,0.69,,0,0,,0,,1043.95,MT,1415801172,1415835902,6.32,1415826000,-7.43,1415858400,1415775600,9.75,215,2.21
0,2014-11-13 00:00:00,8,1415912400,-30.31,1415872800,0.03,big horn,-9.57,0.72,1415862000big horn,45.407869,-107.518163,0.72,,0,0,,0,,1033.99,MT,1415887656,1415922236,8,1415912400,-13.42,1415887200,1415862000,9.95,152,5.28
0,2014-11-14 00:00:00,0.48,1415995200,-8.97,1416031200,0.35,big horn,-0.48,0.75,1415948400big horn,45.407869,-107.518163,0.75,0.534,0.0012,0.0065,1416013200,0.31,snow,1024.06,MT,1415974140,1416008572,11,1415995200,0.94,1415955600,1415948400,6.9,337,4.73
