,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,55.1,1412200800,36.4,1412164800,0.21,broadwater,33.16,0.62,1412143200broadwater,46.329849,-111.497873,0.25,,0.0003,0.0023,1412179200,0.06,rain,1015.26,MT,1412169947,1412212071,55.1,1412200800,41.28,1412168400,1412143200,10,262,10.5
0,2014-10-02 00:00:00,37.31,1412229600,26.08,1412308800,0.06,broadwater,28.72,0.69,1412229600broadwater,46.329849,-111.497873,0.29,,0.0018,0.0131,1412269200,0.54,rain,1023.29,MT,1412256425,1412298354,42.49,1412229600,30.24,1412312400,1412229600,9.12,307,7.28
0,2014-10-03 00:00:00,58.75,1412377200,20.17,1412341200,0.02,broadwater,24.92,0.58,1412316000broadwater,46.329849,-111.497873,0.33,,0,0,,0,,1029.68,MT,1412342903,1412384637,58.75,1412377200,25.75,1412334000,1412316000,10,247,5.86
0,2014-10-04 00:00:00,69.59,1412460000,40.26,1412409600,0.13,broadwater,34,0.43,1412402400broadwater,46.329849,-111.497873,0.36,,0,0,,0,,1018.8,MT,1412429382,1412470920,69.59,1412460000,46.44,1412402400,1412402400,10,271,12.01
0,2014-10-05 00:00:00,68.46,1412546400,47.17,1412517600,0.06,broadwater,38.55,0.5,1412488800broadwater,46.329849,-111.497873,0.4,,0,0,,0,,1016.62,MT,1412515860,1412557204,68.46,1412546400,49.32,1412517600,1412488800,9.98,281,8.21
0,2014-10-06 00:00:00,73.45,1412632800,46.32,1412578800,0.05,broadwater,39.07,0.46,1412575200broadwater,46.329849,-111.497873,0.44,,0,0,,0,,1011.8,MT,1412602339,1412643488,73.45,1412632800,49.54,1412578800,1412575200,10,270,11.6
0,2014-10-07 00:00:00,70.43,1412719200,45.79,1412690400,0.11,broadwater,39.94,0.53,1412661600broadwater,46.329849,-111.497873,0.48,,0,0,,0,,1013.85,MT,1412688819,1412729773,70.43,1412719200,45.79,1412690400,1412661600,9.96,208,1.5
0,2014-10-08 00:00:00,69.2,1412805600,44.04,1412758800,0.05,broadwater,40.53,0.6,1412748000broadwater,46.329849,-111.497873,0.51,,0,0,,0,,1014.31,MT,1412775298,1412816059,69.2,1412805600,45.81,1412776800,1412748000,9.99,242,0.84
0,2014-10-09 00:00:00,60.25,1412892000,39.58,1412856000,0.12,broadwater,40.38,0.7,1412834400broadwater,46.329849,-111.497873,0.55,,0,0,,0,,1018.95,MT,1412861779,1412902345,60.25,1412892000,41.74,1412856000,1412834400,10,85,0.9
0,2014-10-10 00:00:00,66.54,1412982000,33.53,1412942400,0.04,broadwater,39.5,0.7,1412920800broadwater,46.329849,-111.497873,0.58,,0,0,,0,,1017.89,MT,1412948259,1412988632,66.54,1412982000,36.66,1412949600,1412920800,9.77,202,3.47
0,2014-10-11 00:00:00,62.67,1413064800,39.72,1413090000,0.16,broadwater,36.93,0.57,1413007200broadwater,46.329849,-111.497873,0.62,,0.0027,0.0305,1413079200,0.65,rain,1010.75,MT,1413034740,1413074919,62.67,1413064800,44.79,1413010800,1413007200,9.92,244,10.33
0,2014-10-12 00:00:00,52.41,1413147600,34.63,1413176400,0.28,broadwater,34.08,0.63,1413093600broadwater,46.329849,-111.497873,0.65,,0.0012,0.005,1413162000,0.21,rain,1016.94,MT,1413121221,1413161207,52.41,1413147600,39.23,1413176400,1413093600,9.99,270,9.29
0,2014-10-13 00:00:00,59.5,1413241200,29.96,1413201600,0.04,broadwater,31.05,0.56,1413180000broadwater,46.329849,-111.497873,0.68,,0,0,,0,,1019.85,MT,1413207702,1413247496,59.5,1413241200,35.82,1413198000,1413180000,10,216,9.18
0,2014-10-14 00:00:00,71.49,1413324000,42.51,1413295200,0.03,broadwater,33.37,0.42,1413266400broadwater,46.329849,-111.497873,0.72,,0,0,,0,,1010.92,MT,1413294184,1413333786,71.49,1413324000,48.54,1413295200,1413266400,10,195,11.32
0,2014-10-15 00:00:00,70.22,1413403200,39.12,1413435600,0.08,broadwater,33.24,0.46,1413352800broadwater,46.329849,-111.497873,0.75,,0.0003,0.0024,1413428400,0.07,rain,1004.64,MT,1413380666,1413420077,70.22,1413403200,45.28,1413435600,1413352800,9.98,232,8.26
0,2014-10-16 00:00:00,55.01,1413493200,35.74,1413464400,0.08,broadwater,29.31,0.51,1413439200broadwater,46.329849,-111.497873,0.78,,0,0,,0,,1017.92,MT,1413467149,1413506368,55.01,1413493200,38.87,1413522000,1413439200,10,252,7.39
0,2014-10-17 00:00:00,60.43,1413586800,24.7,1413550800,0,broadwater,28.15,0.57,1413525600broadwater,46.329849,-111.497873,0.81,,0,0,,0,,1019.11,MT,1413553632,1413592661,60.43,1413586800,30,1413550800,1413525600,9.99,187,5.21
0,2014-10-18 00:00:00,67.64,1413669600,37.6,1413637200,0.03,broadwater,32.89,0.48,1413612000broadwater,46.329849,-111.497873,0.84,,0,0,,0,,1015.2,MT,1413640115,1413678954,67.64,1413669600,43.11,1413637200,1413612000,9.99,235,6.59
0,2014-10-19 00:00:00,70.72,1413756000,34.59,1413723600,0,broadwater,34.58,0.56,1413698400broadwater,46.329849,-111.497873,0.87,,0,0,,0,,1016.14,MT,1413726599,1413765249,70.72,1413756000,38.91,1413720000,1413698400,10,200,6.46
0,2014-10-20 00:00:00,74.42,1413842400,37.32,1413802800,0.01,broadwater,31.7,0.42,1413784800broadwater,46.329849,-111.497873,0.9,,0,0,,0,,1010.87,MT,1413813083,1413851544,74.42,1413842400,42.68,1413802800,1413784800,10,190,8.23
0,2014-10-21 00:00:00,57.23,1413910800,36.04,1413954000,0.18,broadwater,37.45,0.63,1413871200broadwater,46.329849,-111.497873,0.93,,0.0081,0.0419,1413925200,0.69,rain,1007.47,MT,1413899567,1413937841,57.23,1413910800,42.32,1413954000,1413871200,9.67,232,7.79
0,2014-10-22 00:00:00,57.38,1414015200,30.14,1413986400,0.02,broadwater,31.15,0.58,1413957600broadwater,46.329849,-111.497873,0.96,,0,0,,0,,1015.99,MT,1413986052,1414024138,57.38,1414015200,37.04,1413982800,1413957600,9.99,226,10.88
0,2014-10-23 00:00:00,61.06,1414098000,41.39,1414051200,0.12,broadwater,33,0.46,1414044000broadwater,46.329849,-111.497873,0.99,,0.0001,0.0034,1414119600,0.12,rain,1011.56,MT,1414072537,1414110437,61.06,1414098000,47.2,1414051200,1414044000,10,216,12.79
