,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,51.29,1412200800,36.27,1412164800,0.26,carbon,34.59,0.67,1412143200carbon,45.224475,-109.028551,0.25,,0.0021,0.018,1412143200,0.58,rain,1014.1,MT,1412169328,1412211505,51.29,1412200800,41.28,1412226000,1412143200,9.93,296,7.36
0,2014-10-02 00:00:00,40.82,1412276400,25.94,1412312400,0.1,carbon,29.27,0.65,1412229600carbon,45.224475,-109.028551,0.29,,0.0003,0.0021,1412269200,0.06,rain,1021.46,MT,1412255802,1412297791,46.73,1412276400,32.47,1412312400,1412229600,9.8,316,8.85
0,2014-10-03 00:00:00,54.58,1412377200,24.69,1412319600,0.04,carbon,24.64,0.6,1412316000carbon,45.224475,-109.028551,0.33,,0,0,,0,,1029.28,MT,1412342277,1412384078,54.58,1412377200,26.24,1412341200,1412316000,9.99,247,3.14
0,2014-10-04 00:00:00,67.97,1412460000,34.02,1412424000,0.1,carbon,30.2,0.45,1412402400carbon,45.224475,-109.028551,0.36,,0,0,,0,,1018.76,MT,1412428752,1412470365,67.97,1412460000,39.49,1412416800,1412402400,9.95,281,8.01
0,2014-10-05 00:00:00,66.9,1412542800,44.84,1412506800,0.11,carbon,36.28,0.49,1412488800carbon,45.224475,-109.028551,0.4,,0,0,,0,,1015.6,MT,1412515227,1412556653,66.9,1412542800,47.89,1412571600,1412488800,9.97,314,9.78
0,2014-10-06 00:00:00,71.77,1412632800,41.45,1412600400,0.05,carbon,36.01,0.48,1412575200carbon,45.224475,-109.028551,0.44,,0,0,,0,,1011.45,MT,1412601702,1412642941,71.77,1412632800,45.35,1412600400,1412575200,9.93,278,8.16
0,2014-10-07 00:00:00,69.44,1412719200,45.59,1412686800,0.15,carbon,38.41,0.53,1412661600carbon,45.224475,-109.028551,0.48,,0,0,,0,,1014.38,MT,1412688178,1412729229,69.44,1412719200,45.59,1412686800,1412661600,9.97,267,1.07
0,2014-10-08 00:00:00,72.73,1412805600,40.51,1412776800,0.06,carbon,36.56,0.52,1412748000carbon,45.224475,-109.028551,0.51,,0,0.0009,1412794800,0,,1014.63,MT,1412774654,1412815518,72.73,1412805600,42.69,1412773200,1412748000,9.88,287,1.61
0,2014-10-09 00:00:00,62.39,1412888400,38.45,1412859600,0.09,carbon,37.02,0.64,1412834400carbon,45.224475,-109.028551,0.55,,0.0001,0.0017,1412917200,0.04,rain,1018.27,MT,1412861130,1412901808,62.39,1412888400,38.45,1412859600,1412834400,9.97,5,3.59
0,2014-10-10 00:00:00,64.63,1412978400,35.35,1412942400,0.11,carbon,38.38,0.67,1412920800carbon,45.224475,-109.028551,0.58,,0.0004,0.0049,1412924400,0.21,rain,1018.08,MT,1412947607,1412988099,64.63,1412978400,38.25,1412942400,1412920800,9.94,177,1.64
