,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,53.47,1412200800,36.83,1412226000,0.15,carter,42.86,0.79,1412143200carter,45.516825,-104.515324,0.25,,0.0003,0.005,1412143200,0.21,rain,1009.1,MT,1412168251,1412210417,53.47,1412200800,40.82,1412226000,1412143200,9.89,290,12.61
0,2014-10-02 00:00:00,52.98,1412269200,23.5,1412312400,0.04,carter,32.43,0.71,1412229600carter,45.516825,-104.515324,0.29,,0.0007,0.0049,1412294400,0.21,rain,1017.11,MT,1412254726,1412296702,52.98,1412269200,34.44,1412312400,1412229600,9.91,301,12.67
0,2014-10-03 00:00:00,39.28,1412373600,18.34,1412341200,0.03,carter,21.58,0.56,1412316000carter,45.516825,-104.515324,0.33,,0.0002,0.003,1412359200,0.1,rain,1025.49,MT,1412341201,1412382988,46.92,1412373600,29.16,1412341200,1412316000,10,310,15.61
0,2014-10-04 00:00:00,61.12,1412456400,27.4,1412402400,0.14,carter,31.57,0.57,1412402400carter,45.516825,-104.515324,0.36,,0,0.001,1412438400,0,,1014.7,MT,1412427677,1412469274,61.12,1412456400,30.36,1412402400,1412402400,10,292,6.88
0,2014-10-05 00:00:00,60.95,1412546400,39.48,1412499600,0.15,carter,38.64,0.62,1412488800carter,45.516825,-104.515324,0.4,,0.0003,0.003,1412528400,0.1,rain,1009.8,MT,1412514153,1412555560,60.95,1412546400,44.2,1412499600,1412488800,9.99,307,15.74
0,2014-10-06 00:00:00,65.26,1412632800,37.22,1412596800,0.12,carter,38.45,0.58,1412575200carter,45.516825,-104.515324,0.44,,0.0001,0.0012,1412643600,0.02,rain,1005.6,MT,1412600629,1412641847,65.26,1412632800,41.97,1412596800,1412575200,10,293,12.83
0,2014-10-07 00:00:00,56.59,1412719200,36.65,1412744400,0.08,carter,32.83,0.53,1412661600carter,45.516825,-104.515324,0.48,,0.0001,0.001,1412715600,0.01,rain,1013.34,MT,1412687106,1412728135,56.59,1412719200,40.49,1412744400,1412661600,9.99,301,10.18
0,2014-10-08 00:00:00,62.64,1412805600,36.89,1412755200,0.08,carter,35.73,0.61,1412748000carter,45.516825,-104.515324,0.51,,0,0.0009,1412787600,0,,1016.27,MT,1412773583,1412814423,62.64,1412805600,40.03,1412758800,1412748000,9.94,91,4.89
0,2014-10-09 00:00:00,56,1412892000,31.15,1412859600,0.02,carter,34.46,0.69,1412834400carter,45.516825,-104.515324,0.55,,0.0002,0.0013,1412910000,0.02,rain,1022.15,MT,1412860060,1412900712,56,1412892000,35.73,1412856000,1412834400,9.86,91,6.09
