,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,57.79,1412200800,40.01,1412222400,0.25,custer,42.13,0.72,1412143200custer,46.261481,-105.550508,0.25,,0.0005,0.0074,1412143200,0.37,rain,1010.03,MT,1412168517,1412210648,57.79,1412200800,42.23,1412226000,1412143200,9.94,295,13.77
0,2014-10-02 00:00:00,44.18,1412265600,26.34,1412312400,0.1,custer,31.79,0.69,1412229600custer,46.261481,-105.550508,0.29,,0.0002,0.0018,1412287200,0.04,rain,1019.05,MT,1412254994,1412296930,49.99,1412265600,36.25,1412312400,1412229600,9.97,305,11.95
0,2014-10-03 00:00:00,43.07,1412370000,18,1412341200,0.03,custer,22.75,0.57,1412316000custer,46.261481,-105.550508,0.33,,0,0,,0,,1027.2,MT,1412341472,1412383213,49.95,1412370000,27.39,1412341200,1412316000,10,306,12.25
0,2014-10-04 00:00:00,64.89,1412456400,28.38,1412406000,0.15,custer,32.74,0.58,1412402400custer,46.261481,-105.550508,0.36,,0,0,,0,,1014.94,MT,1412427951,1412469497,64.89,1412456400,32.93,1412406000,1412402400,10,297,5.94
0,2014-10-05 00:00:00,64.14,1412542800,40.96,1412492400,0.16,custer,38.96,0.59,1412488800custer,46.261481,-105.550508,0.4,,0,0,,0,,1011.3,MT,1412514429,1412555781,64.14,1412542800,45.06,1412496000,1412488800,10,309,15.12
0,2014-10-06 00:00:00,68.28,1412632800,38.06,1412589600,0.12,custer,38.77,0.56,1412575200custer,46.261481,-105.550508,0.44,,0,0.0011,1412643600,0,,1006.58,MT,1412600908,1412642066,68.28,1412632800,42.6,1412593200,1412575200,10,300,12.15
0,2014-10-07 00:00:00,58.62,1412722800,39.06,1412744400,0.1,custer,32.19,0.48,1412661600custer,46.261481,-105.550508,0.48,,0,0,,0,,1014.18,MT,1412687387,1412728351,58.62,1412722800,41.12,1412744400,1412661600,9.97,298,8.63
0,2014-10-08 00:00:00,64.78,1412805600,37.03,1412755200,0.11,custer,34.88,0.59,1412748000custer,46.261481,-105.550508,0.51,,0,0,,0,,1015.5,MT,1412773867,1412814636,64.78,1412805600,39.57,1412769600,1412748000,10,70,6.34
0,2014-10-09 00:00:00,59.5,1412892000,30.69,1412856000,0.01,custer,33.95,0.66,1412834400custer,46.261481,-105.550508,0.55,,0,0,,0,,1021.89,MT,1412860346,1412900923,59.5,1412892000,35.8,1412859600,1412834400,9.86,77,6.12
0,2014-10-10 00:00:00,63.83,1412978400,29.19,1412938800,0.02,custer,35.67,0.65,1412920800custer,46.261481,-105.550508,0.58,,0,0,,0,,1020.1,MT,1412946826,1412987210,63.83,1412978400,34.21,1412931600,1412920800,9.93,131,7.15
0,2014-10-11 00:00:00,73.34,1413061200,34.02,1413032400,0.06,custer,38.65,0.58,1413007200custer,46.261481,-105.550508,0.62,,0,0,,0,,1008.2,MT,1413033307,1413073498,73.34,1413061200,39.3,1413032400,1413007200,9.98,220,4.91
0,2014-10-12 00:00:00,58.09,1413151200,37.04,1413176400,0.23,custer,40.66,0.7,1413093600custer,46.261481,-105.550508,0.65,,0.0074,0.0315,1413108000,0.66,rain,1009.89,MT,1413119788,1413159786,58.09,1413151200,42.14,1413176400,1413093600,9.77,315,12.73
0,2014-10-13 00:00:00,61.66,1413237600,32.25,1413205200,0.01,custer,33.71,0.63,1413180000custer,46.261481,-105.550508,0.68,,0.0002,0.0039,1413183600,0.15,rain,1018.41,MT,1413206269,1413246075,61.66,1413237600,37.46,1413205200,1413180000,9.99,259,6.46
0,2014-10-14 00:00:00,71.78,1413320400,31.21,1413291600,0,custer,36.03,0.57,1413266400custer,46.261481,-105.550508,0.72,,0,0,,0,,1012.56,MT,1413292751,1413332365,71.78,1413320400,36.73,1413288000,1413266400,10,174,7.63
0,2014-10-15 00:00:00,72.35,1413406800,40.14,1413374400,0,custer,41.2,0.6,1413352800custer,46.261481,-105.550508,0.75,,0,0,,0,,1004.04,MT,1413379233,1413418656,72.35,1413406800,41.16,1413378000,1413352800,9.97,195,3.5
0,2014-10-16 00:00:00,58.69,1413439200,39.61,1413464400,0.07,custer,39.36,0.66,1413439200custer,46.261481,-105.550508,0.78,,0.0001,0.0011,1413468000,0.02,rain,1013.32,MT,1413465715,1413504948,58.69,1413439200,43.12,1413522000,1413439200,9.68,297,16.3
0,2014-10-17 00:00:00,56.83,1413583200,31.12,1413550800,0.08,custer,36.45,0.75,1413525600custer,46.261481,-105.550508,0.81,,0,0,,0,,1021.35,MT,1413552198,1413591241,56.83,1413583200,35.88,1413550800,1413525600,9.05,77,1.36
0,2014-10-18 00:00:00,70.61,1413669600,32.88,1413630000,0.01,custer,36.31,0.6,1413612000custer,46.261481,-105.550508,0.84,,0,0,,0,,1014.43,MT,1413638681,1413677534,70.61,1413669600,38.78,1413637200,1413612000,9.82,181,5.6
0,2014-10-19 00:00:00,70.55,1413752400,36.32,1413723600,0.01,custer,36.62,0.57,1413698400custer,46.261481,-105.550508,0.87,,0,0,,0,,1015.88,MT,1413725164,1413763829,70.55,1413752400,39.92,1413723600,1413698400,9.95,239,2.35
0,2014-10-20 00:00:00,75.53,1413842400,38.19,1413810000,0,custer,37.7,0.52,1413784800custer,46.261481,-105.550508,0.9,,0,0,,0,,1012.09,MT,1413811648,1413850124,75.53,1413842400,42.81,1413810000,1413784800,9.99,157,7.39
0,2014-10-21 00:00:00,77.05,1413925200,40.05,1413896400,0.03,custer,40.1,0.55,1413871200custer,46.261481,-105.550508,0.93,,0.0002,0.0032,1413954000,0.11,rain,1004.94,MT,1413898132,1413936421,77.05,1413925200,40.05,1413896400,1413871200,9.8,217,3.76
0,2014-10-22 00:00:00,62.95,1414011600,34.58,1414040400,0.05,custer,33.58,0.54,1413957600custer,46.261481,-105.550508,0.96,,0.0001,0.0032,1413957600,0.11,rain,1012.58,MT,1413984616,1414022719,62.95,1414011600,38.68,1414040400,1413957600,10,265,11.17
0,2014-10-23 00:00:00,68.23,1414098000,30.5,1414062000,0,custer,30.22,0.51,1414044000custer,46.261481,-105.550508,0.99,,0,0,,0,,1011.95,MT,1414071101,1414109018,68.23,1414098000,35.66,1414065600,1414044000,10,199,5.42
0,2014-10-24 00:00:00,61.39,1414180800,39.03,1414152000,0.06,custer,32.39,0.5,1414130400custer,46.261481,-105.550508,0.03,,0,0,,0,,1015.56,MT,1414157586,1414195318,61.39,1414180800,43.1,1414155600,1414130400,10,278,4.91
0,2014-10-25 00:00:00,69.01,1414274400,30.72,1414242000,0,custer,32.66,0.51,1414216800custer,46.261481,-105.550508,0.06,,0,0,,0,,1014.79,MT,1414244072,1414281619,69.01,1414274400,35.19,1414242000,1414216800,10,139,7.82
