,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,56.3,1412200800,39.43,1412226000,0.26,dawson,45.14,0.79,1412143200dawson,47.272425,-104.901027,0.25,,0.0008,0.0103,1412143200,0.51,rain,1008.43,MT,1412168385,1412210468,56.3,1412200800,42.61,1412226000,1412143200,9.81,289,14.91
0,2014-10-02 00:00:00,39.76,1412262000,25.68,1412312400,0.13,dawson,32.19,0.71,1412229600dawson,47.272425,-104.901027,0.29,,0.0001,0.0018,1412280000,0.04,rain,1018,MT,1412254866,1412296747,46.84,1412262000,36.05,1412312400,1412229600,9.99,300,13.15
0,2014-10-03 00:00:00,39.19,1412370000,17.98,1412341200,0.04,dawson,22.11,0.57,1412316000dawson,47.272425,-104.901027,0.33,,0,0,,0,,1026.65,MT,1412341347,1412383027,47.11,1412370000,27.82,1412341200,1412316000,10,306,14.03
0,2014-10-04 00:00:00,59.97,1412463600,28.53,1412406000,0.18,dawson,32.49,0.63,1412402400dawson,47.272425,-104.901027,0.36,,0,0,,0,,1014.92,MT,1412427829,1412469307,59.97,1412463600,31.04,1412402400,1412402400,9.99,299,4.36
0,2014-10-05 00:00:00,61.27,1412542800,39.02,1412492400,0.15,dawson,39.71,0.66,1412488800dawson,47.272425,-104.901027,0.4,,0.0003,0.0043,1412510400,0.17,rain,1010.49,MT,1412514311,1412555587,61.27,1412542800,43.2,1412492400,1412488800,9.98,309,14.84
0,2014-10-06 00:00:00,63.63,1412632800,37.04,1412589600,0.15,dawson,39.32,0.62,1412575200dawson,47.272425,-104.901027,0.44,,0,0,,0,,1005.56,MT,1412600794,1412641868,63.63,1412632800,41.95,1412589600,1412575200,10,291,12.05
0,2014-10-07 00:00:00,58.69,1412715600,34.35,1412744400,0.06,dawson,31.37,0.51,1412661600dawson,47.272425,-104.901027,0.48,,0,0,,0,,1013.67,MT,1412687276,1412728150,58.69,1412715600,38.53,1412744400,1412661600,9.99,296,11.46
0,2014-10-08 00:00:00,57.39,1412802000,33.93,1412766000,0.17,dawson,32.5,0.62,1412748000dawson,47.272425,-104.901027,0.51,,0,0,,0,,1017.47,MT,1412773759,1412814432,57.39,1412802000,36.35,1412762400,1412748000,10,79,6.4
0,2014-10-09 00:00:00,57.59,1412892000,27.14,1412859600,0,dawson,31.85,0.65,1412834400dawson,47.272425,-104.901027,0.55,,0,0,,0,,1023.8,MT,1412860243,1412900715,57.59,1412892000,32.44,1412859600,1412834400,9.4,71,5.5
0,2014-10-10 00:00:00,63.51,1412974800,26.19,1412946000,0,dawson,33.46,0.64,1412920800dawson,47.272425,-104.901027,0.58,,0,0,,0,,1021.37,MT,1412946726,1412986998,63.51,1412974800,30.59,1412946000,1412920800,9.72,133,6.28
0,2014-10-11 00:00:00,72.55,1413061200,31.77,1413032400,0.05,dawson,38.78,0.6,1413007200dawson,47.272425,-104.901027,0.62,,0,0,,0,,1007.8,MT,1413033210,1413073282,72.55,1413061200,36.99,1413032400,1413007200,9.94,223,6.09
0,2014-10-12 00:00:00,60.64,1413147600,37.51,1413176400,0.15,dawson,40,0.67,1413093600dawson,47.272425,-104.901027,0.65,,0.0046,0.0239,1413115200,0.62,rain,1009.21,MT,1413119695,1413159567,60.64,1413147600,42.21,1413176400,1413093600,9.89,312,12.49
0,2014-10-13 00:00:00,62.59,1413234000,31.73,1413205200,0.02,dawson,33.92,0.63,1413180000dawson,47.272425,-104.901027,0.68,,0,0,,0,,1017.5,MT,1413206179,1413245853,62.59,1413234000,37.03,1413205200,1413180000,10,257,6.04
