,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,55.37,1412200800,36.17,1412226000,0.23,fergus,36.56,0.67,1412143200fergus,47.223641,-109.223714,0.25,,0.0002,0.0021,1412146800,0.06,rain,1013.74,MT,1412169422,1412211505,55.37,1412200800,42.86,1412226000,1412143200,10,280,12.2
0,2014-10-02 00:00:00,35.69,1412236800,18.95,1412312400,0.14,fergus,28.67,0.75,1412229600fergus,47.223641,-109.223714,0.29,,0.0027,0.0164,1412269200,0.57,rain,1023.13,MT,1412255903,1412297784,42.49,1412236800,27.82,1412312400,1412229600,8.69,299,12.56
0,2014-10-03 00:00:00,54.59,1412377200,17.45,1412326800,0.02,fergus,24.77,0.58,1412316000fergus,47.223641,-109.223714,0.33,,0,0,,0,,1028.57,MT,1412342384,1412384064,54.59,1412377200,25.02,1412334000,1412316000,10,261,6.39
0,2014-10-04 00:00:00,67.09,1412456400,41.52,1412409600,0.13,fergus,35.2,0.46,1412402400fergus,47.223641,-109.223714,0.36,,0,0,,0,,1016.38,MT,1412428866,1412470344,67.09,1412456400,46.18,1412402400,1412402400,10,295,12.78
0,2014-10-05 00:00:00,64.92,1412546400,44.94,1412568000,0.09,fergus,39.96,0.57,1412488800fergus,47.223641,-109.223714,0.4,,0,0,,0,,1015.57,MT,1412515348,1412556625,64.92,1412546400,47.63,1412568000,1412488800,9.99,295,10.72
0,2014-10-06 00:00:00,72.34,1412629200,41.41,1412575200,0.11,fergus,40.52,0.52,1412575200fergus,47.223641,-109.223714,0.44,,0,0,,0,,1009.65,MT,1412601830,1412642906,72.34,1412629200,45.36,1412575200,1412575200,10,286,12.89
0,2014-10-07 00:00:00,64.38,1412719200,45.47,1412690400,0.16,fergus,40.4,0.61,1412661600fergus,47.223641,-109.223714,0.48,,0.0009,0.0091,1412668800,0.49,rain,1014.63,MT,1412688313,1412729188,64.38,1412719200,46.41,1412690400,1412661600,9.95,122,3.18
0,2014-10-08 00:00:00,66.93,1412802000,41.76,1412762400,0.09,fergus,42.86,0.67,1412748000fergus,47.223641,-109.223714,0.51,,0,0,,0,,1014.59,MT,1412774795,1412815470,66.93,1412802000,45.71,1412758800,1412748000,9.99,64,1.04
0,2014-10-09 00:00:00,57.3,1412892000,37.93,1412859600,0.19,fergus,39.9,0.72,1412834400fergus,47.223641,-109.223714,0.55,,0,0,,0,,1020.94,MT,1412861279,1412901753,57.3,1412892000,41.51,1412859600,1412834400,10,113,7.32
