,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,59.54,1412200800,36.19,1412218800,0.24,garfield,40.51,0.69,1412143200garfield,47.280033,-106.986706,0.25,,0.0008,0.0155,1412146800,0.56,rain,1010.42,MT,1412168886,1412210968,59.54,1412200800,40.71,1412218800,1412143200,10,296,15.35
0,2014-10-02 00:00:00,38.77,1412236800,25.58,1412312400,0.16,garfield,30.5,0.69,1412229600garfield,47.280033,-106.986706,0.29,,0.0002,0.0013,1412265600,0.02,rain,1020.15,MT,1412255367,1412297247,42.93,1412236800,31.93,1412312400,1412229600,9.58,310,14.52
0,2014-10-03 00:00:00,51.57,1412370000,15.81,1412341200,0.01,garfield,24.43,0.64,1412316000garfield,47.280033,-106.986706,0.33,,0,0,,0,,1028.28,MT,1412341849,1412383526,51.57,1412370000,24.36,1412341200,1412316000,10,294,8.36
0,2014-10-04 00:00:00,68.69,1412460000,29.95,1412420400,0.12,garfield,34.61,0.6,1412402400garfield,47.280033,-106.986706,0.36,,0,0,,0,,1015.09,MT,1412428331,1412469806,68.69,1412460000,32.76,1412420400,1412402400,9.95,302,8.49
0,2014-10-05 00:00:00,66.34,1412539200,39.7,1412571600,0.16,garfield,39.89,0.6,1412488800garfield,47.280033,-106.986706,0.4,,0,0,,0,,1012.57,MT,1412514813,1412556087,66.34,1412539200,43.69,1412571600,1412488800,10,305,14.37
0,2014-10-06 00:00:00,72.57,1412629200,33.49,1412586000,0.16,garfield,38.63,0.58,1412575200garfield,47.280033,-106.986706,0.44,,0,0,,0,,1007.25,MT,1412601295,1412642368,72.57,1412629200,38.35,1412586000,1412575200,10,304,11.45
0,2014-10-07 00:00:00,61.85,1412719200,39.24,1412744400,0.09,garfield,33.5,0.5,1412661600garfield,47.280033,-106.986706,0.48,,0.0001,0.0014,1412668800,0.03,rain,1014.83,MT,1412687778,1412728649,61.85,1412719200,39.24,1412744400,1412661600,10,285,4.87
0,2014-10-08 00:00:00,64.16,1412802000,32.53,1412751600,0.14,garfield,34.46,0.6,1412748000garfield,47.280033,-106.986706,0.51,,0,0,,0,,1016.26,MT,1412774261,1412814931,64.16,1412802000,35.78,1412751600,1412748000,10,89,7.63
0,2014-10-09 00:00:00,61.22,1412892000,30.3,1412859600,0.04,garfield,32.98,0.63,1412834400garfield,47.280033,-106.986706,0.55,,0,0,,0,,1022.93,MT,1412860744,1412901214,61.22,1412892000,35.66,1412859600,1412834400,9.84,89,7.36
0,2014-10-10 00:00:00,65.91,1412978400,26.45,1412942400,0.02,garfield,35.72,0.66,1412920800garfield,47.280033,-106.986706,0.58,,0,0,,0,,1019.97,MT,1412947228,1412987498,65.91,1412978400,32.36,1412935200,1412920800,9.93,130,7.74
0,2014-10-11 00:00:00,71.77,1413061200,33.05,1413032400,0.08,garfield,38.45,0.62,1413007200garfield,47.280033,-106.986706,0.62,,0.0005,0.0079,1413082800,0.4,rain,1007.78,MT,1413033712,1413073782,71.77,1413061200,35.71,1413028800,1413007200,9.94,267,6.8
0,2014-10-12 00:00:00,61.47,1413147600,34.17,1413172800,0.13,garfield,39.7,0.69,1413093600garfield,47.280033,-106.986706,0.65,,0.001,0.0039,1413100800,0.15,rain,1011.55,MT,1413120196,1413160067,61.47,1413147600,39.22,1413172800,1413093600,9.88,308,10.89
0,2014-10-13 00:00:00,62.1,1413234000,29.46,1413205200,0.01,garfield,32.98,0.64,1413180000garfield,47.280033,-106.986706,0.68,,0,0,,0,,1018.01,MT,1413206681,1413246353,62.1,1413234000,36.32,1413205200,1413180000,10,259,7.09
0,2014-10-14 00:00:00,72.63,1413324000,29.71,1413291600,0.01,garfield,35.03,0.58,1413266400garfield,47.280033,-106.986706,0.72,,0,0,,0,,1010.89,MT,1413293166,1413332639,72.63,1413324000,34.94,1413291600,1413266400,10,209,4.5
0,2014-10-15 00:00:00,69.22,1413403200,31.21,1413374400,0.03,garfield,38.49,0.63,1413352800garfield,47.280033,-106.986706,0.75,,0,0,,0,,1004.21,MT,1413379652,1413418926,69.22,1413403200,35.75,1413374400,1413352800,9.99,239,1.6
0,2014-10-16 00:00:00,55.2,1413442800,35.6,1413522000,0.18,garfield,40.31,0.74,1413439200garfield,47.280033,-106.986706,0.78,,0.0009,0.0079,1413446400,0.4,rain,1014.46,MT,1413466138,1413505215,55.2,1413442800,35.6,1413522000,1413439200,9.78,303,12.65
0,2014-10-17 00:00:00,59.9,1413583200,28.58,1413558000,0.08,garfield,35.65,0.76,1413525600garfield,47.280033,-106.986706,0.81,,0,0,,0,,1021.51,MT,1413552624,1413591504,59.9,1413583200,30.94,1413550800,1413525600,9.53,118,4.86
0,2014-10-18 00:00:00,71.52,1413666000,33.68,1413630000,0.01,garfield,36.38,0.61,1413612000garfield,47.280033,-106.986706,0.84,,0,0,,0,,1013.45,MT,1413639110,1413677794,71.52,1413666000,38.97,1413637200,1413612000,9.93,258,2.86
0,2014-10-19 00:00:00,71.32,1413752400,31.19,1413727200,0.01,garfield,37.14,0.6,1413698400garfield,47.280033,-106.986706,0.87,,0,0,,0,,1015.69,MT,1413725597,1413764085,71.32,1413752400,36.7,1413727200,1413698400,10,244,2.84
0,2014-10-20 00:00:00,78.13,1413842400,29.07,1413810000,0,garfield,34.89,0.51,1413784800garfield,47.280033,-106.986706,0.9,,0,0,,0,,1011,MT,1413812085,1413850377,78.13,1413842400,34.19,1413810000,1413784800,10,163,5.33
0,2014-10-21 00:00:00,77.57,1413921600,33.06,1413896400,0.04,garfield,38.41,0.59,1413871200garfield,47.280033,-106.986706,0.93,,0.0002,0.0021,1413946800,0.06,rain,1005,MT,1413898572,1413936670,77.57,1413921600,36.65,1413896400,1413871200,9.93,273,2.5
0,2014-10-22 00:00:00,62.84,1414015200,27.13,1414040400,0.06,garfield,33.5,0.57,1413957600garfield,47.280033,-106.986706,0.96,,0,0.0008,1413957600,0,,1012.19,MT,1413985060,1414022964,62.84,1414015200,33.58,1414040400,1413957600,10,269,12.07
0,2014-10-23 00:00:00,69.74,1414098000,23.06,1414065600,0.01,garfield,31.32,0.58,1414044000garfield,47.280033,-106.986706,0.99,,0,0,,0,,1011.02,MT,1414071548,1414109260,69.74,1414098000,30.67,1414065600,1414044000,10,237,5.56
0,2014-10-24 00:00:00,59.56,1414177200,37.01,1414152000,0.04,garfield,33.49,0.54,1414130400garfield,47.280033,-106.986706,0.03,,0,0,,0,,1015.55,MT,1414158037,1414195556,59.56,1414177200,39.52,1414152000,1414130400,10,287,8.31
0,2014-10-25 00:00:00,67.75,1414270800,24.31,1414245600,0,garfield,32.57,0.57,1414216800garfield,47.280033,-106.986706,0.06,,0,0,,0,,1014.65,MT,1414244526,1414281854,67.75,1414270800,30.42,1414245600,1414216800,10,127,6.95
0,2014-10-26 00:00:00,64.8,1414350000,33.9,1414375200,0.01,garfield,30.59,0.48,1414303200garfield,47.280033,-106.986706,0.09,,0.0004,0.0087,1414335600,0.46,rain,1002.27,MT,1414331015,1414368153,64.8,1414350000,39.88,1414375200,1414303200,10,274,10.62
0,2014-10-27 00:00:00,29.57,1414443600,23.43,1414461600,0.26,garfield,30.33,0.76,1414389600garfield,47.280033,-106.986706,0.13,,0.0026,0.0228,1414432800,0.62,rain,1013.03,MT,1414417505,1414454454,40.48,1414443600,34.07,1414468800,1414389600,9.84,298,18.35
0,2014-10-28 00:00:00,47.42,1414533600,17.61,1414501200,0.06,garfield,25.73,0.69,1414476000garfield,47.280033,-106.986706,0.16,,0,0,,0,,1021.34,MT,1414503994,1414540755,49.67,1414533600,24.95,1414504800,1414476000,9.99,287,4.13
0,2014-10-29 00:00:00,60.63,1414620000,22.74,1414569600,0.1,garfield,32.62,0.7,1414562400garfield,47.280033,-106.986706,0.2,,0.001,0.0152,1414591200,0.56,rain,1016.5,MT,1414590484,1414627058,60.63,1414620000,27.64,1414576800,1414562400,9.99,289,6.18
0,2014-10-30 00:00:00,33.75,1414710000,22.41,1414674000,0.06,garfield,30.32,0.88,1414648800garfield,47.280033,-106.986706,0.24,,0,0,,0,,1028.58,MT,1414676974,1414713363,40.98,1414710000,27.08,1414674000,1414648800,9.9,87,4.71
0,2014-10-31 00:00:00,56.95,1414789200,21.8,1414746000,0.06,garfield,31.42,0.69,1414735200garfield,47.280033,-106.986706,0.28,,0,0,,0,,1016.93,MT,1414763465,1414799669,56.95,1414789200,31.8,1414746000,1414735200,9.73,133,11.69
0,2014-11-01 00:00:00,55.82,1414882800,24.58,1414850400,0.02,garfield,32.22,0.72,1414821600garfield,47.280033,-106.986706,0.31,,0,0,,0,,1005.83,MT,1414849955,1414885976,55.82,1414882800,28.06,1414850400,1414821600,10,77,3.87
0,2014-11-02 00:00:00,51.16,1414958400,28.03,1414940400,0.13,garfield,33.55,0.75,1414908000garfield,47.280033,-106.986706,0.35,,0,0,,0,,1007.64,MT,1414936446,1414972285,51.16,1414958400,34.97,1414933200,1414908000,9.66,279,11.95
