,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,53.41,1412197200,32.35,1412172000,0.11,glacier,33.22,0.66,1412143200glacier,48.705671,-112.990502,0.25,,0.0015,0.0067,1412193600,0.32,rain,1013.68,MT,1412170364,1412212371,53.41,1412197200,37.53,1412168400,1412143200,9.64,250,11.1
0,2014-10-02 00:00:00,37.02,1412229600,21.82,1412244000,0.19,glacier,28.43,0.83,1412229600glacier,48.705671,-112.990502,0.29,,0.0105,0.0611,1412240400,0.73,rain,1023.72,MT,1412256850,1412298645,40.53,1412229600,27.5,1412312400,1412229600,8.84,321,6.45
0,2014-10-03 00:00:00,54.11,1412373600,17.37,1412341200,0.02,glacier,26.98,0.66,1412316000glacier,48.705671,-112.990502,0.33,,0.0002,0.002,1412348400,0.05,rain,1026.8,MT,1412343337,1412384919,54.11,1412373600,23.59,1412341200,1412316000,9.94,242,9.05
0,2014-10-04 00:00:00,66.45,1412456400,42.45,1412406000,0.13,glacier,35.76,0.5,1412402400glacier,48.705671,-112.990502,0.36,,0.0002,0.0012,1412445600,0.02,rain,1017.09,MT,1412429824,1412471194,66.45,1412456400,48.31,1412402400,1412402400,9.94,263,13.24
0,2014-10-05 00:00:00,64.13,1412542800,39.75,1412514000,0.03,glacier,38.83,0.59,1412488800glacier,48.705671,-112.990502,0.4,,0,0,,0,,1016.9,MT,1412516311,1412557469,64.13,1412542800,43.44,1412514000,1412488800,9.89,263,7.68
0,2014-10-06 00:00:00,66.58,1412625600,50.14,1412658000,0.04,glacier,41.83,0.56,1412575200glacier,48.705671,-112.990502,0.44,,0.0003,0.0018,1412654400,0.04,rain,1010.71,MT,1412602799,1412643745,66.58,1412625600,50.14,1412658000,1412575200,9.94,265,11.07
0,2014-10-07 00:00:00,65.72,1412719200,39.59,1412683200,0.09,glacier,39.16,0.66,1412661600glacier,48.705671,-112.990502,0.48,,0,0,,0,,1014.02,MT,1412689287,1412730021,65.72,1412719200,40.32,1412679600,1412661600,9.94,155,1.92
0,2014-10-08 00:00:00,58.06,1412802000,37.64,1412758800,0.08,glacier,39.36,0.75,1412748000glacier,48.705671,-112.990502,0.51,,0.0009,0.0093,1412820000,0.49,rain,1016.3,MT,1412775775,1412816298,58.06,1412802000,39.83,1412762400,1412748000,9.94,334,0.91
0,2014-10-09 00:00:00,60.34,1412888400,36.48,1412863200,0.1,glacier,39.13,0.74,1412834400glacier,48.705671,-112.990502,0.55,,0.0003,0.0032,1412859600,0.11,rain,1020.97,MT,1412862264,1412902576,60.34,1412888400,36.48,1412863200,1412834400,9.94,155,3.08
0,2014-10-10 00:00:00,66.84,1412978400,32.29,1412949600,0.02,glacier,38.03,0.66,1412920800glacier,48.705671,-112.990502,0.58,,0.0003,0.0046,1412942400,0.19,rain,1015.28,MT,1412948753,1412988854,66.84,1412978400,37.51,1412938800,1412920800,9.83,220,7.18
0,2014-10-11 00:00:00,58.83,1413050400,38.75,1413086400,0.17,glacier,36.32,0.55,1413007200glacier,48.705671,-112.990502,0.62,,0.0004,0.0038,1413061200,0.14,rain,1006.39,MT,1413035242,1413075133,58.83,1413050400,43.9,1413090000,1413007200,9.94,242,10.94
0,2014-10-12 00:00:00,54.54,1413144000,35.09,1413176400,0.2,glacier,31.47,0.58,1413093600glacier,48.705671,-112.990502,0.65,,0,0,,0,,1014.01,MT,1413121732,1413161413,54.54,1413144000,40.28,1413122400,1413093600,9.71,255,9.4
0,2014-10-13 00:00:00,56.01,1413230400,34.91,1413208800,0.02,glacier,33.02,0.57,1413180000glacier,48.705671,-112.990502,0.68,,0,0,,0,,1014.34,MT,1413208222,1413247693,56.01,1413230400,40.25,1413208800,1413180000,9.94,233,10.68
0,2014-10-14 00:00:00,64.88,1413316800,45.78,1413345600,0.05,glacier,33.43,0.45,1413266400glacier,48.705671,-112.990502,0.72,,0,0,,0,,1008.05,MT,1413294712,1413333975,64.88,1413316800,49.11,1413270000,1413266400,9.94,227,12.44
0,2014-10-15 00:00:00,58.98,1413406800,35.33,1413381600,0.12,glacier,36.82,0.7,1413352800glacier,48.705671,-112.990502,0.75,,0.0017,0.0153,1413424800,0.56,rain,1007,MT,1413381203,1413420257,58.98,1413406800,38.34,1413381600,1413352800,9.92,243,4.81
0,2014-10-16 00:00:00,53.05,1413489600,32.65,1413464400,0.07,glacier,34.41,0.7,1413439200glacier,48.705671,-112.990502,0.78,,0,0,,0,,1018.22,MT,1413467694,1413506540,53.05,1413489600,37.66,1413464400,1413439200,9.72,245,8.31
0,2014-10-17 00:00:00,57.32,1413583200,23.12,1413543600,0.01,glacier,29.99,0.62,1413525600glacier,48.705671,-112.990502,0.81,,0.0003,0.0056,1413558000,0.25,rain,1016.95,MT,1413554185,1413592824,57.32,1413583200,28.6,1413550800,1413525600,9.75,200,7.64
0,2014-10-18 00:00:00,60.6,1413666000,42.93,1413691200,0.11,glacier,36.63,0.53,1413612000glacier,48.705671,-112.990502,0.84,,0,0,,0,,1010.92,MT,1413640677,1413679109,60.6,1413666000,48.02,1413694800,1413612000,9.93,246,12.28
0,2014-10-19 00:00:00,65.81,1413756000,34.51,1413723600,0.01,glacier,36.06,0.57,1413698400glacier,48.705671,-112.990502,0.87,,0,0,,0,,1013.21,MT,1413727169,1413765395,65.81,1413756000,40.04,1413723600,1413698400,9.02,227,8.83
0,2014-10-20 00:00:00,70.28,1413838800,39.85,1413810000,0.05,glacier,32.85,0.47,1413784800glacier,48.705671,-112.990502,0.9,,0.0009,0.0054,1413853200,0.24,rain,1007.64,MT,1413813661,1413851682,70.28,1413838800,41.82,1413813600,1413784800,9.32,212,7.35
0,2014-10-21 00:00:00,50.02,1413892800,37.52,1413954000,0.31,glacier,37.08,0.68,1413871200glacier,48.705671,-112.990502,0.93,,0.0035,0.0189,1413910800,0.59,rain,1005.52,MT,1413900154,1413937970,50.02,1413892800,41.34,1413874800,1413871200,9.77,252,7.9
0,2014-10-22 00:00:00,54.32,1414015200,32.08,1413986400,0.07,glacier,32.15,0.58,1413957600glacier,48.705671,-112.990502,0.96,,0,0,,0,,1012.38,MT,1413986647,1414024259,54.32,1414015200,39.01,1413986400,1413957600,9.94,231,11.79
0,2014-10-23 00:00:00,52.49,1414094400,36.06,1414126800,0.17,glacier,35.72,0.63,1414044000glacier,48.705671,-112.990502,0.99,,0.0073,0.0471,1414105200,0.7,rain,1009.08,MT,1414073141,1414110549,52.49,1414094400,43.54,1414126800,1414044000,9.77,220,13.39
0,2014-10-24 00:00:00,43.6,1414184400,32.06,1414159200,0.04,glacier,29.78,0.58,1414130400glacier,48.705671,-112.990502,0.03,,0.0028,0.0134,1414130400,0.54,rain,1013.58,MT,1414159635,1414196840,49.96,1414184400,39.32,1414213200,1414130400,9.94,245,14.01
0,2014-10-25 00:00:00,51.17,1414274400,35.88,1414245600,0.05,glacier,33.98,0.72,1414216800glacier,48.705671,-112.990502,0.06,,0.0004,0.002,1414231200,0.05,rain,1010.92,MT,1414246129,1414283133,51.17,1414274400,35.88,1414245600,1414216800,9.94,167,3.57
0,2014-10-26 00:00:00,41.41,1414324800,26.09,1414386000,0.1,glacier,29.53,0.6,1414303200glacier,48.705671,-112.990502,0.09,,0.0019,0.0087,1414375200,0.46,rain,1005.4,MT,1414332623,1414369427,47.2,1414324800,33.63,1414386000,1414303200,9.61,250,15.87
0,2014-10-27 00:00:00,34.33,1414447200,22.8,1414472400,0.24,glacier,27.3,0.83,1414389600glacier,48.705671,-112.990502,0.13,0.256,0.0013,0.0145,1414393200,0.55,snow,1018.23,MT,1414419118,1414455722,36.7,1414447200,28.16,1414472400,1414389600,9.81,314,3.95
0,2014-10-28 00:00:00,40.57,1414530000,15.95,1414486800,0.07,glacier,25.92,0.68,1414476000glacier,48.705671,-112.990502,0.16,,0.0003,0.0024,1414522800,0.07,rain,1018.56,MT,1414505613,1414542019,46.83,1414530000,25.58,1414494000,1414476000,9.89,223,10.83
0,2014-10-29 00:00:00,51.62,1414616400,31.83,1414587600,0.08,glacier,32.87,0.65,1414562400glacier,48.705671,-112.990502,0.2,,0.0008,0.0048,1414576800,0.2,rain,1016.96,MT,1414592108,1414628317,51.62,1414616400,39.2,1414645200,1414562400,9.43,250,13.98
0,2014-10-30 00:00:00,51.43,1414702800,25.98,1414674000,0.03,glacier,32.22,0.74,1414648800glacier,48.705671,-112.990502,0.24,,0.0002,0.0021,1414681200,0.06,rain,1022.06,MT,1414678603,1414714616,51.43,1414702800,29.7,1414677600,1414648800,8.08,180,5.46
0,2014-10-31 00:00:00,60.34,1414792800,28.99,1414749600,0.07,glacier,34.78,0.68,1414735200glacier,48.705671,-112.990502,0.28,,0,0,,0,,1009.1,MT,1414765098,1414800917,60.34,1414792800,35.68,1414753200,1414735200,8.2,183,6.92
0,2014-11-01 00:00:00,42.6,1414821600,21.8,1414904400,0.2,glacier,31.71,0.88,1414821600glacier,48.705671,-112.990502,0.31,,0.0107,0.0613,1414897200,0.73,rain,1006.53,MT,1414851594,1414887219,44.65,1414821600,30.34,1414904400,1414821600,5.94,323,5.82
0,2014-11-02 00:00:00,26.62,1414972800,19.28,1414936800,0.39,glacier,29.24,0.93,1414908000glacier,48.705671,-112.990502,0.35,2.108,0.01,0.0399,1414947600,0.68,snow,1011.93,MT,1414938090,1414973523,33.65,1414972800,29.07,1414983600,1414908000,7.19,298,9.17
0,2014-11-03 00:00:00,32.64,1415044800,20.42,1414998000,0.06,glacier,29.04,0.75,1414998000glacier,48.705671,-112.990502,0.39,,0.0002,0.0012,1415034000,0.02,rain,1018.51,MT,1415024585,1415059829,39.98,1415044800,31.43,1414998000,1414998000,9.81,247,12.36
0,2014-11-04 00:00:00,36.03,1415127600,27.19,1415163600,0.18,glacier,33.05,0.75,1415084400glacier,48.705671,-112.990502,0.43,,0.0033,0.0282,1415160000,0.64,rain,1015.42,MT,1415111081,1415146136,44.3,1415127600,33.82,1415167200,1415084400,9.83,242,12.9
0,2014-11-05 00:00:00,42.14,1415221200,27.85,1415178000,0.18,glacier,31.13,0.72,1415170800glacier,48.705671,-112.990502,0.46,,0.0001,0.0011,1415188800,0.02,rain,1023.61,MT,1415197577,1415232445,47.28,1415221200,32.65,1415174400,1415170800,9.85,241,7.64
0,2014-11-06 00:00:00,56.22,1415307600,37.64,1415257200,0.08,glacier,37.83,0.66,1415257200glacier,48.705671,-112.990502,0.5,,0.0051,0.0243,1415329200,0.62,rain,1012.28,MT,1415284073,1415318755,56.22,1415307600,43.15,1415257200,1415257200,9.94,227,14.84
0,2014-11-07 00:00:00,37.84,1415343600,29.76,1415422800,0.12,glacier,32.71,0.77,1415343600glacier,48.705671,-112.990502,0.53,,0.0001,0.0019,1415358000,0.05,rain,1021.46,MT,1415370569,1415405067,44.97,1415343600,35.71,1415408400,1415343600,9.42,263,6.33
0,2014-11-08 00:00:00,42.39,1415476800,28.68,1415430000,0.06,glacier,28.59,0.59,1415430000glacier,48.705671,-112.990502,0.57,,0,0,,0,,1019.72,MT,1415457064,1415491381,49.12,1415476800,36.48,1415433600,1415430000,9.23,254,14.84
0,2014-11-09 00:00:00,32.88,1415516400,-3.99,1415588400,,glacier,19.89,0.91,1415516400glacier,48.705671,-112.990502,0.6,3.052,0.0083,0.0174,1415599200,0.58,snow,1014.05,MT,1415543560,1415577697,36.09,1415516400,9.94,1415599200,1415516400,5.19,351,6.08
0,2014-11-10 00:00:00,-0.31,1415638800,-17.13,1415682000,0.53,glacier,4.89,0.85,1415602800glacier,48.705671,-112.990502,0.63,0.624,0.0014,0.0065,1415602800,0.31,snow,1032.31,MT,1415630055,1415664015,14.45,1415638800,-0.29,1415682000,1415602800,7.62,338,8.67
0,2014-11-11 00:00:00,-8.23,1415739600,-15.38,1415692800,0.1,glacier,-1.05,0.8,1415689200glacier,48.705671,-112.990502,0.66,0.199,0.0004,0.0027,1415725200,0.08,snow,1042.23,MT,1415716550,1415750335,6.35,1415739600,-0.21,1415692800,1415689200,8.16,342,7.54
0,2014-11-12 00:00:00,3.67,1415826000,-13.49,1415847600,0.03,glacier,-1.5,0.78,1415775600glacier,48.705671,-112.990502,0.69,0.16,0.0004,0.0031,1415779200,0.1,snow,1040.05,MT,1415803045,1415836657,11.79,1415826000,-6.55,1415858400,1415775600,9.63,186,2.51
0,2014-11-13 00:00:00,4.36,1415912400,-19.16,1415876400,0.01,glacier,-7.62,0.78,1415862000glacier,48.705671,-112.990502,0.72,0.568,0.0012,0.0082,1415894400,0.42,snow,1023.85,MT,1415889539,1415922980,10.24,1415912400,-9.63,1415887200,1415862000,9.37,223,1.9
0,2014-11-14 00:00:00,-1.78,1416006000,-22.66,1415962800,0.06,glacier,-3.88,0.78,1415948400glacier,48.705671,-112.990502,0.75,0.254,0.0006,0.0035,1415966400,0.13,snow,1023.37,MT,1415976033,1416009306,11.99,1416006000,-9.21,1415962800,1415948400,9.42,316,6.71
0,2014-11-15 00:00:00,10.35,1416117600,-12.59,1416042000,0.07,glacier,4.39,0.72,1416034800glacier,48.705671,-112.990502,0.78,0.04,0.0001,0.0021,1416074400,0.06,snow,1030.01,MT,1416062527,1416095634,23.75,1416117600,1.2,1416063600,1416034800,9.37,272,7.77
0,2014-11-16 00:00:00,14.02,1416124800,-0.73,1416200400,0.09,glacier,13.64,0.75,1416121200glacier,48.705671,-112.990502,0.81,0.128,0.0003,0.0064,1416200400,0.3,snow,1032.16,MT,1416149019,1416181964,25.66,1416124800,11.48,1416200400,1416121200,9.82,280,8.11
0,2014-11-17 00:00:00,23.94,1416261600,-2.17,1416218400,0.03,glacier,13.26,0.72,1416207600glacier,48.705671,-112.990502,0.84,0.068,0.0002,0.0032,1416243600,0.11,snow,1027.46,MT,1416235512,1416268296,32.94,1416261600,10.44,1416214800,1416207600,9.91,233,11.35
0,2014-11-18 00:00:00,25.81,1416340800,6.04,1416376800,0.05,glacier,17.52,0.68,1416294000glacier,48.705671,-112.990502,0.88,,0,0,,0,,1023.09,MT,1416322004,1416354631,33.14,1416340800,13.91,1416376800,1416294000,9.77,261,9.48
0,2014-11-19 00:00:00,28.22,1416434400,-0.13,1416387600,0.06,glacier,13.98,0.84,1416380400glacier,48.705671,-112.990502,0.91,0.236,0.0006,0.0053,1416416400,0.23,snow,1022.71,MT,1416408495,1416440967,28.22,1416434400,7.63,1416394800,1416380400,5.92,225,3.21
