,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2014-10-01,69.16,1412125200,59.77,1412092800,0.25,custer,56.18,0.77,1412143200custer,37.8267,-122.4233,0.22,,0,0,,0,,1013.01,MT,1412085941,1412128561,69.16,1412125200,59.77,1412092800,1412060400,8.65,237,3.71
0,2014-10-01 00:00:00,54.36,1412200800,35.66,1412164800,0.25,golden valley,35.12,0.64,1412143200golden valley,46.380624,-109.174586,0.25,,0.0001,0.0009,1412208000,0.01,rain,1014.12,MT,1412169390,1412211513,54.36,1412200800,42.15,1412168400,1412143200,9.99,285,11.36
0,2014-10-02 00:00:00,35.89,1412236800,21.16,1412308800,0.14,golden valley,28.3,0.71,1412229600golden valley,46.380624,-109.174586,0.29,,0.002,0.0131,1412269200,0.54,rain,1022.78,MT,1412255868,1412297796,41.78,1412236800,28.37,1412312400,1412229600,9.01,315,11.21
0,2014-10-03 00:00:00,55.83,1412377200,19.49,1412326800,0.04,golden valley,24.18,0.56,1412316000golden valley,46.380624,-109.174586,0.33,,0,0,,0,,1028.9,MT,1412342346,1412384078,55.83,1412377200,25.46,1412330400,1412316000,10,268,6.57
0,2014-10-04 00:00:00,67.96,1412460000,41.88,1412409600,0.15,golden valley,33.29,0.42,1412402400golden valley,46.380624,-109.174586,0.36,,0,0,,0,,1016.89,MT,1412428825,1412470362,67.96,1412460000,46.61,1412402400,1412402400,9.99,290,13.9
0,2014-10-05 00:00:00,66.01,1412542800,47.06,1412571600,0.15,golden valley,38.94,0.52,1412488800golden valley,46.380624,-109.174586,0.4,,0,0,,0,,1015.58,MT,1412515304,1412556645,66.01,1412542800,48.48,1412568000,1412488800,10,304,11.45
0,2014-10-06 00:00:00,72.44,1412629200,44.94,1412578800,0.1,golden valley,39.04,0.48,1412575200golden valley,46.380624,-109.174586,0.44,,0,0,,0,,1010.18,MT,1412601783,1412642929,72.44,1412629200,47.85,1412575200,1412575200,10,286,13.1
0,2014-10-07 00:00:00,65.97,1412719200,46.94,1412690400,0.19,golden valley,40.12,0.58,1412661600golden valley,46.380624,-109.174586,0.48,,0.0004,0.0038,1412668800,0.14,rain,1014.44,MT,1412688263,1412729214,65.97,1412719200,46.94,1412690400,1412661600,9.95,129,2.03
0,2014-10-08 00:00:00,69.18,1412802000,43.37,1412758800,0.11,golden valley,41.19,0.6,1412748000golden valley,46.380624,-109.174586,0.51,,0,0,,0,,1014.38,MT,1412774743,1412815499,69.18,1412802000,46.36,1412758800,1412748000,9.99,298,0.96
0,2014-10-09 00:00:00,58.12,1412892000,39.77,1412859600,0.2,golden valley,39.91,0.71,1412834400golden valley,46.380624,-109.174586,0.55,,0,0,,0,,1020.14,MT,1412861223,1412901785,58.12,1412892000,41.98,1412859600,1412834400,10,103,5.58
0,2014-10-10 00:00:00,64.48,1412978400,32.01,1412946000,0.07,golden valley,39.51,0.69,1412920800golden valley,46.380624,-109.174586,0.58,,0,0,,0,,1018.16,MT,1412947704,1412988072,64.48,1412978400,37.51,1412946000,1412920800,9.97,163,4.76
0,2014-10-11 00:00:00,64.51,1413054000,39.18,1413090000,0.18,golden valley,36.95,0.54,1413007200golden valley,46.380624,-109.174586,0.62,,0.0052,0.0614,1413082800,0.73,rain,1009.37,MT,1413034184,1413074359,64.51,1413054000,44.96,1413090000,1413007200,9.87,261,10.66
0,2014-10-12 00:00:00,51.09,1413147600,33.25,1413176400,0.32,golden valley,36.68,0.71,1413093600golden valley,46.380624,-109.174586,0.65,,0.0024,0.0176,1413162000,0.58,rain,1015.4,MT,1413120666,1413160647,51.09,1413147600,39.42,1413176400,1413093600,9.96,291,9.48
0,2014-10-13 00:00:00,59.46,1413237600,30.12,1413201600,0.06,golden valley,31.24,0.57,1413180000golden valley,46.380624,-109.174586,0.68,,0,0,,0,,1019.4,MT,1413207147,1413246936,59.46,1413237600,35.33,1413201600,1413180000,10,233,7.71
0,2014-10-14 00:00:00,69.83,1413320400,50.45,1413266400,0.11,golden valley,34.4,0.41,1413266400golden valley,46.380624,-109.174586,0.72,,0,0,,0,,1010.98,MT,1413293629,1413333226,69.83,1413320400,50.45,1413266400,1413266400,10,198,9.7
0,2014-10-15 00:00:00,71.1,1413410400,41.7,1413435600,0.1,golden valley,34.5,0.45,1413352800golden valley,46.380624,-109.174586,0.75,,0.0006,0.0045,1413424800,0.18,rain,1004.44,MT,1413380112,1413419516,71.1,1413410400,48.43,1413435600,1413352800,10,228,7.85
0,2014-10-16 00:00:00,55.46,1413493200,37.91,1413460800,0.12,golden valley,29.99,0.49,1413439200golden valley,46.380624,-109.174586,0.78,,0,0.0009,1413446400,0,,1016.5,MT,1413466594,1413505808,55.46,1413493200,42.71,1413522000,1413439200,10,284,10.61
0,2014-10-17 00:00:00,57.87,1413586800,28.27,1413550800,0.04,golden valley,30.34,0.59,1413525600golden valley,46.380624,-109.174586,0.81,,0,0,,0,,1019.56,MT,1413553078,1413592100,57.87,1413586800,32.9,1413554400,1413525600,9.98,165,6.08
0,2014-10-18 00:00:00,67.52,1413669600,42.49,1413615600,0.06,golden valley,33.08,0.46,1413612000golden valley,46.380624,-109.174586,0.84,,0,0,,0,,1014.39,MT,1413639561,1413678393,67.52,1413669600,44.59,1413637200,1413612000,9.99,244,5.87
0,2014-10-19 00:00:00,70.1,1413756000,37.3,1413709200,0.01,golden valley,34.98,0.53,1413698400golden valley,46.380624,-109.174586,0.87,,0,0,,0,,1015.86,MT,1413726045,1413764687,70.1,1413756000,40.9,1413716400,1413698400,10,188,5.52
0,2014-10-20 00:00:00,75.46,1413838800,40.93,1413802800,0,golden valley,31.51,0.39,1413784800golden valley,46.380624,-109.174586,0.9,,0,0,,0,,1010.84,MT,1413812529,1413850983,75.46,1413838800,44.35,1413802800,1413784800,10,197,6.91
0,2014-10-21 00:00:00,62.39,1413921600,36.77,1413954000,0.13,golden valley,36.73,0.55,1413871200golden valley,46.380624,-109.174586,0.93,,0.0022,0.0129,1413946800,0.54,rain,1006.3,MT,1413899013,1413937279,62.39,1413921600,43.77,1413954000,1413871200,9.96,242,8.17
0,2014-10-22 00:00:00,58.25,1414015200,31.76,1413982800,0.03,golden valley,29.3,0.5,1413957600golden valley,46.380624,-109.174586,0.96,,0,0,,0,,1014.54,MT,1413985498,1414023576,58.25,1414015200,39.93,1413982800,1413957600,10,250,13.83
0,2014-10-23 00:00:00,61.18,1414098000,42.63,1414051200,0.14,golden valley,30.3,0.41,1414044000golden valley,46.380624,-109.174586,0.99,,0,0,,0,,1011.23,MT,1414071984,1414109875,61.18,1414098000,46.85,1414051200,1414044000,10,226,10.59
